公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 不動產、廠房及設備轉列費用數,　　 其他應收款－關係人減少,　　 預付設備款減少,　　 短期借款增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 金融資產減損損失,　　　　 其他項目,　　 處分子公司,　　 其他應收款－關係人增加,　　 發放現金股利,　　　　 股份基礎給付酬勞成本,　　　　 處分無形資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　 持有至到期日金融資產到期還本,　　 處分採用權益法之投資,　　 處分無形資產,　　 處分以成本衡量之金融資產,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　　 收益費損項目,　　　　 收益費損項目合計
2498,2015年01月01日至2015年03月31日,,514255,514255,,,713244,482011,,1489,-96174,0,2568,2103,,0,,,,214513,,-3756327,175911,,-4487118,274257,9324,1049644,-6519796,,4253062,-4055364,1577891,602968,2378557,-4141239,-2878150,-2363895,86989,-1489,-91000,-2369395,,,-60233,,-277892,6704,-5600.0,0.0,-59358,-250523.0,0,,0,,-646902,,0,-5925.0,,,-5925,-1006168,-4028390,55743558,51715168,51715168,,,,0.0,,,-88.0,,,,157936.0,,,,,,,,,,1263089.0
2498,2014年度,,1983426,1983426,,,2952892,1868817,3875.0,16983,-403155,-26381,8679,153493,-157995.0,695945,5755423.0,,,-77823,,-5772987,1552870,,5864806,-822362,25539,1779567,2549610,,-2472508,-5279307,-2367706,187007,-9932514,-7382904,-1627481,355945,311262,-16983,-990083,-339859,,0.0,-432463,,-1372934,16017,0.0,90154.0,-244588,,2436069,,26381,,2853017,,0,-213185.0,0.0,,-213185,144644,2444617,53298941,55743558,55743558,0.0,0.0,,,,373257.0,0.0,0.0,,0.0,269013.0,0.0,0.0,0.0,0.0,0.0,2358135.0,-7918.0,-15836.0,,
2498,2014年01月01日至2014年09月30日,,1516891,1516891,,,2312234,1394663,0.0,16263,-283912,-22765,8184,57217,-157226.0,168979,3706868.0,,,-100138,0.0,-1863189,1363691,,221274,-585427,73826,1525210,635247,,-2853919,-2914319,-1658824,569366,-6857696,-6222449,-2515581,-998690,210319,-16263,-991239,-1795873,,0.0,-432463,,-920733,10103,,88171.0,-227947,,2770357,,22765,,3667619,,0,-216324.0,0.0,,-216324,-282161,1373261,53298941,54672202,54672202,,0.0,,,,66905.0,-218.0,0.0,,0.0,146544.0,,,,,,2357366.0,,,,
2498,2014年01月01日至2014年06月30日,,876208,876208,,,1560013,925882,0.0,13498,-195577,-6982,5830,747,-103525.0,257109,2621240.0,,,140427,0.0,-12942402,-109219,,-2561791,-849309,46946,657150,-15618198,,3755963,2265897,441481,225263,6688604,-8929594,-6308354,-5432146,140831,-13498,-871614,-6176427,,0.0,-426937,,-743795,10482,,84258.0,-217381,,242609,,6982,,1245949,,7696,,,,7696,61483,-4861299,53298941,48437642,48437642,,0.0,,0.0,,66905.0,,,,,97340.0,,,,,,2289731.0,,,,
2498,2014年01月01日至2014年03月31日,,-1881263,-1881263,,,785083,464673,0.0,4863,-62173,-3680,2859,751,0.0,80657,1321703.0,,,64911,0.0,434839,26583,-7.0,-1603502,-969397,-1268,-764343,-2812184,,-3064070,-2840701,-1897844,-3304,-7805919,-10618103,-9296400,-11177663,65319,-3378,-410439,-11526161,,0.0,-383349,,-477451,2511,,77324.0,-132557,,169345,,3680,,-740497,,8079,0.0,,,2526347,371648,-9368663,53298941,43930278,43930278,,,,2518268.0,,,,,,,48670.0,,,,,,,,,,
2498,2013年度,,-195644,-195644,,,2916699,1968492,1010405.0,8405,-554355,-16282,-197069,58,-29735.0,1281518,3506966.0,,,-155347,,16845574,-607949,,-207347,-1360194,-96724,-1869090,12548923,,-27311669,-427233,-672629,-822489,-29234020,-16685097,-13178131,-13373775,599071,-8405,-3448352,-16231461,,56738.0,-197684,,-2855698,2609,-166428.0,0.0,-223008,,3790421,,661896,,20366766,,196416,0.0,-1033846.0,,-2499885,697378,2332798,50966143,53298941,53298941,2995.0,6554025.0,,,,0.0,-164969.0,4643189.0,,-1662455.0,26742.0,-108265.0,-2637673.0,100000.0,7883326.0,117380.0,0.0,0.0,0.0,,
2498,2013年01月01日至2013年12月31日,,-195644,-195644,,,2916699,1968492,1010405.0,8405,-554355,-16282,-197069,58,-29735.0,1281518,3506966.0,,,-155347,,16845574,-607949,0.0,-207347,-1360194,-96724,-1869090,12548923,,-27311669,-427233,-672629,-822489,-29234020,-16685097,-13178131,-13373775,599071,-8405,-3448352,-16231461,,56738.0,-197684,0.0,-2855698,2609,-166428.0,,-223008,,3790421,,661896,,20366766,,196416,,-1033846.0,0.0,-2499885,697378,2332798,50966143,53298941,53298941,2995.0,6554025.0,,,,0.0,-164969.0,4643189.0,0.0,-1662455.0,26742.0,-108265.0,-2637673.0,100000.0,7883326.0,117380.0,,,,,
2498,2013年01月01日至2013年09月30日,,-1346734,-1346734,,,2163076,1497393,1009364.0,8393,-409458,-16282,-146795,2555,-29735.0,1424478,5327553.0,,,26821,204519.0,9283985,-683523,0.0,-3109103,-1906586,-105440,-1880323,1830350,,-19213479,3886917,-2432302,154919,-17603945,-15773595,-10446042,-11792776,452839,-8393,-3302711,-14651041,,56738.0,-153789,0.0,-2116148,856,0.0,11607.0,-199017,,3755517,-37572.0,661896,,8724447,,201321,,-409024.0,0.0,-1870158,-49551,-7846303,50966143,43119840,43119840,0.0,6600093.0,,,,0.0,-175436.0,144266.0,0.0,-1662455.0,,,,,,,,,,,
2498,2013年01月01日至2013年06月30日,,1627587,1627587,,,1408280,1002080,1009364.0,1873,-347759,-13232,-171722,1563,-29735.0,1123441,3984153.0,,,-41552,204519.0,-7958792,-367888,0.0,-4999538,-2113542,5550,-1443183,-16714426,,-7857396,4407900,-3280025,-154602,-6884123,-23598549,-19614396,-17986809,393969,-642,-3247533,-20841015,,56738.0,-120244,0.0,-1696188,0,0.0,14419.0,-193761,0.0,2420878,0.0,658846,0.0,7764827,,123015,,0.0,0.0,10059645,166259,-2850284,50966143,48115859,48115859,0.0,6600093.0,24046.0,9936630.0,0.0,,,,,,,,,,,,,,,,
2498,2013年01月01日至2013年03月31日,,102745,102745,,,694689,494060,575816.0,48,-159635,-10005,-43681,1558,-29735.0,542152,2065267.0,,,-221752,204519.0,12313606,-63616,0.0,-14494140,-1382330,-15183,-593101,-4251997,,1635429,-3677970,-1231749,397256,-2877034,-7129031,-5063764,-4961019,132677,-48,-621502,-5449892,,56738.0,-48382,0.0,-964837,126199,0.0,8216.0,-127150,0.0,2381690,-188238.0,655619,0.0,1899855,,0,-6863.0,0.0,0.0,-6863,42898,-3514002,50966143,47452141,47452141,,,,,,,,,,,,,,,,,,,,,
