公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息-營業活動,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 其他非流動負債增加,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 處分無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 短期借款減少,　　　　　 其他應收款－關係人（增加）減少,　　 取得以成本衡量之金融資產,　　 其他非流動負債減少,　　 發放現金股利,　　　　 呆帳費用提列（轉列收入）數,　　 取得備供出售金融資產,　　 處分以成本衡量之金融資產,　　 發行公司債,　　 取得採用權益法之投資,　　 預付投資款增加,　　　 收益費損項目,　　　　 其他項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 因合併產生之現金流入,　　　　 金融資產減損迴轉利益,　　 其他非流動資產增加,　　 償還公司債,　　 非控制權益變動,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 償還長期借款
2538,2016年01月01日至2016年09月30日,,-3873,-3873,,,22056,2538,55602,-72487,8126,1104,,,,108837,-35,488,103636,110871,-91498,23385,255684,,0,-120487,-42301,-127716,59105,,-231971,23713,40652,36779,18319,-76162,-21064,,30857.0,,,60528,-450206,,749300.0,100000.0,,37.0,-78233,161120,-310150,1036894,726744,726744,,,0.0,,0.0,,,-569984.0,,-47075.0,,,,-160800.0,,0.0,16939.0,-572.0,-308187.0,,0.0,0.0,-45529.0,,,400.0,19600.0,-40000.0
2538,2016年01月01日至2016年06月30日,,86336,86336,,,14650,2884,36997,-51560,7227,33,,,,92408,-169,-35,100382,209325,-87653,4525,318783,,0,-135211,-41006,-234212,168562,,-241529,77254,87485,173821,15701,-74518,115004,,30857.0,,-43788.0,43007,-305708,,77700.0,100000.0,,-24.0,-52591,125085,-65619,1036894,971275,971275,,,,,0.0,,,,,-50356.0,,,,-160800.0,,0.0,10231.0,338.0,-124628.0,0.0,0.0,,,,,,,
2538,2016年01月01日至2016年03月31日,,113208,113208,,,7325,1369,18892,-26328,444,194,,,,92408,-68,33,87594,139466,-5754,2660,316339,,0,-85817,-14346,-220750,167860,,-152884,163455,165351,278559,2772,-788,280543,,,,,22716,-305368,,76000.0,0.0,,6.0,-26551,49455,24630,1036894,1061524,1061524,,,,,0.0,,,,,-29945.0,,,,-183548.0,,0.0,1896.0,169.0,-49056.0,0.0,0.0,,-65535.0,,,,,
2538,2015年度,,1834718,1834718,,,25141,-2876,68297,-103995,-167,-1833,,,,336929,0,13373,-1251,1585220,201492,15059,2643017,,-24338,-297570,-216612,-3729913,-26303,,-4300084,-1657067,-1672304,162414,94713,-67283,189844,,,,-47073.0,16142,-640548,,,,,,-93752,178129,-272575,1309469,1036894,1036894,,,1318.0,795900.0,492195.0,,-143233.0,-522913.0,0.0,-105540.0,,,0.0,-160800.0,,767.0,-15237.0,-5348.0,,-386873.0,42278.0,-571.0,,-1648.0,143775.0,,,
2538,2015年01月01日至2015年09月30日,,1999854,1999854,,,17735,-1636,49265,-77938,-457,-1805,,,,348496,-1663,11460,18416,2014898,177427,-751,2884723,,-24196,-314660,-1257,-3978493,-12953,,-4335470,-1450747,-1465387,534467,72379,-65506,541340,,,,0.0,18057,-524468,,409100.0,,,537.0,-66943,-180219,-163347,1309469,1146122,1146122,,,1318.0,,316440.0,,0.0,-522913.0,0.0,-83650.0,,,0.0,-160800.0,,767.0,-14640.0,-3911.0,-323621.0,,42278.0,-571.0,-18050.0,,,,,
2538,2015年01月01日至2015年06月30日,,1900811,1900811,,,10329,-3474,27667,-52143,-3110,-1586,,,,283277,-1,-3555,-98948,2474086,186887,-24510,3133676,,-10746,-193946,31700,-4007240,23554,,-4156386,-1022710,-1044260,856551,46779,-62906,840424,,,,-34066.0,17766,149777,,-460900.0,50000.0,,-162.0,-40724,-451786,538415,1309469,1847884,1847884,,,,,316440.0,,,,0.0,,,,,,,767.0,-21550.0,292.0,0.0,123799.0,42278.0,,,,,,,
2538,2015年01月01日至2015年03月31日,,532512,532512,,,3011,-5457,9767,-25735,843,-307,,,,-474536,-526,24331,-11163,1391560,92379,-20896,1317589,,-7346,-115700,822,-1114461,3279,,-1233260,84329,67218,599730,24179,-13619,610290,,,,-29728.0,17766,46742,,-247900.0,50000.0,,-155.0,-15294,-213349,443683,1309469,1753152,1753152,,,,,316440.0,,,,0.0,,,,,,,767.0,-17111.0,146.0,0.0,16426.0,42278.0,,,,,,,
2538,2014年度,,1384482,1384482,,,2356,4908,24199,-88417,3205,-1861,-57470.0,,,-505939,2000,89555,-27430,-1843297,-52781,-8558,-2592695,,-98390,679227,154089,2321803,15154,-1721.0,3070162,477467,419997,1804479,11088,-89479,1726088,,,,-1754.0,59223,-1531375,,,,0.0,,-48823,103721,298434,1011035,1309469,1309469,,-962806.0,0.0,850100.0,-246245.0,,-2638.0,-694918.0,-1860.0,-72670.0,,0.0,-278368.0,-275000.0,,,,,,,,,,,,,,
2538,2014年01月01日至2014年09月30日,,1359699,1359699,,,1462,2788,18202,-61952,-1272,-1590,-44222.0,,,-172410,1968,127911,-97445,-774929,-62088,-74482,-1112913,,-104244,-203547,145905,1348130,10938,458.0,1197640,84727,40505,1400204,12737,-63728,1349213,,,-389359.0,3379.0,42018,-363962,,935100.0,,0.0,,-37774,199300,1184551,1011035,2195586,2195586,,0.0,0.0,,-61438.0,0.0,-3108.0,-694918.0,-1860.0,,,,-20000.0,,,,,,,,,,,,,,,
2538,2014年01月01日至2014年06月30日,,1295873,1295873,,,568,943,13998,-36323,-59,-374,-23107.0,,,-1177226,1900,97915,-941,-531612,-57895,-177701,-1899335,,-2728,-153705,168062,990005,-13496,305.0,988443,-910892,-933999,361874,26904,-62614,326164,,,-376954.0,4971.0,11895,-360088,,894200.0,150000.0,,-3057.0,-26090,1015053,981129,1011035,1992164,1992164,,0.0,,,-53775.0,,,,-1860.0,,,,,,,,,,,,,,,,,,,
