公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 應付短期票券減少,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　　 應付票據增加（減少）,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 存入保證金增加,　　 現金增資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 應付帳款增加（減少）,　　　　　 預收款項增加（減少）,　　 支付之股利,　　 取得以成本衡量之金融資產,　　 存出保證金增加,　　 應付短期票券增加,　　 非控制權益變動,　　　　 攤銷費用,　　　　　 應收建造合約款（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款（增加）減少,　　 取得無形資產,　　 其他投資活動,　　　 收益費損項目,　　　　 其他項目,　　　　 收益費損項目合計,　　　　　 應付建造合約款增加（減少）,　　 取得無活絡市場之債務工具投資,　　 取得投資性不動產,　　 短期借款增加,　　 其他應付款－關係人增加,　　 取得子公司股權,　　 處分無活絡市場之債務工具投資,　　 短期借款減少,　　 舉借長期借款,　　　　　 其他營業負債增加（減少）,　　 存出保證金減少,　　 其他金融資產增加,　　 對子公司之收購（扣除所取得之現金）,　　 處分不動產、廠房及設備,　　 發行公司債
2540,2016年01月01日至2016年09月30日,,269118,269118,,,3037,80213,-852,,,,,-12138,-685,-316131,-18415,-653439,,-1370,761,-1846657,-2500096,-2404115,-2134997,269,-93690.0,-32784,-2261202,,,,-164834,,-360000,-20.0,2497428,71392,60833,132225,132225,0.0,,5260.0,,-2205.0,0.0,,,-119198.0,-168773.0,-4147.0,-29618.0,-1872911.0,31796.0,,,0.0,360000.0,,683.0,15666.0,0.0,56.0,,-845.0,,,12900.0,95981.0,-10249.0,,-10460.0,2140745.0,40000.0,0.0,,-183297.0,,0.0,1601.0,-152925.0,,,500000.0
2540,2016年01月01日至2016年06月30日,,77988,77988,,,1870,53313,-617,,,,,14254,-118,-242158,-49985,-247824,,-8020,242,-1844939,-2092763,-2029143,-1951155,229,-61339.0,-20063,-2032328,,,,-159268,,-230000,,2277765,86169,60833,147002,147002,0.0,,93689.0,,-1850.0,,,,118117.0,-58018.0,-1873.0,-25377.0,-1943997.0,38067.0,,,2675.0,310000.0,,454.0,-2666.0,0.0,5.0,,-1112.0,0.0,,8600.0,63620.0,-24925.0,,-6056.0,1963259.0,40000.0,0.0,0.0,-305494.0,,,,-152925.0,,,500000.0
2540,2016年01月01日至2016年03月31日,,11371,11371,,,605,23375,-222,,,,,5661,-1412,-76506,-28154,-101845,,-12579,1376,-1871072,-1972917,-1946106,-1934735,25,-24665.0,0,-1959375,,,,-152186,,-100000,0.0,2247104,135543,60833,196376,196376,0.0,,-961.0,,-1498.0,,,,38701.0,1285.0,-4342.0,-24247.0,-1918515.0,37122.0,,,0.0,130000.0,,186.0,-12831.0,0.0,108.0,,-845.0,0.0,,2867.0,26811.0,22377.0,0.0,-1143.0,1784041.0,170000.0,0.0,,-236937.0,,,4225.0,-152925.0,,,500000.0
2540,2015年度,,251115,251115,,,1700,39679,-900,,,,,59240,-412,-2210600,-53435,-1986270,,6409,-716,-184648,-2170918,-2112503,-1861388,802,-42585.0,-29305,-1932476,,,,-1064782,,-150000,,1757382,-1239876,1300709,60833,60833,25.0,,-102295.0,0.0,-727537.0,400.0,0.0,0.0,213336.0,-31324.0,-89.0,34887.0,-51759.0,20136.0,,0.0,-100527.0,200000.0,,711.0,2064.0,63.0,-737.0,,0.0,0.0,,17200.0,58415.0,-55686.0,0.0,-1733.0,1397775.0,,-350.0,,-369273.0,678830.0,,0.0,,-234999.0,14.0,
2540,2015年01月01日至2015年09月30日,,104949,104949,,,1268,24074,-2005,,,,,59953,-1713,-1485781,-72491,-1355130,,-6772,175,-177439,-1532569,-1495788,-1390839,657,-26560.0,-29292,-1446034,,,,-151783,,-100000,,413471,-1184346,1300709,116363,116363,11.0,,-83738.0,,-49786.0,100.0,,,223195.0,-74532.0,-2194.0,29239.0,-52258.0,39135.0,,0.0,-100427.0,150000.0,,533.0,-30868.0,62.0,-693.0,,0.0,0.0,,12900.0,36781.0,-73573.0,,-1570.0,710510.0,,-235349.0,0.0,-111790.0,0.0,285.0,0.0,0.0,,,
2540,2015年01月01日至2015年06月30日,,34186,34186,,,838,14129,-1787,,,,,57514,186,-1141055,-52300,-1028333,,-12437,873,-122536,-1150869,-1128723,-1094537,633,-14898.0,-19524,-1128326,,,,-120971,,-50000,0.0,364757,-884540,1300709,416169,416169,11.0,,-86387.0,,-19332.0,,0.0,,113557.0,-11018.0,-957.0,31498.0,-342089.0,18209.0,,,-100297.0,100000.0,,355.0,-25822.0,64.0,329375.0,,0.0,0.0,,8600.0,22146.0,-30080.0,,-1342.0,650510.0,,-235349.0,0.0,-100404.0,0.0,,,,,,
2540,2015年01月01日至2015年03月31日,,39166,39166,,,417,6512,-984,,,,,59783,13,-264206,-71363,-111107,,-15647,-873,-194806,-305913,-295480,-256314,58,-6672.0,-6,-262934,,,,-19691,,0,0.0,-91349,-373974,1300709,926735,926735,11.0,,-95255.0,,-19270.0,,,,192047.0,-187.0,-1664.0,15186.0,-51540.0,7663.0,,,-40.0,50000.0,,177.0,-40716.0,0.0,-720.0,,0.0,0.0,,4300.0,10433.0,-38434.0,0.0,-381.0,94000.0,0.0,-235349.0,,,,,,,,,
2540,2014年度,,77740,77740,,,1612,21449,-815,,,,,1413,34951,-822869,-153451,-1527103,,10108,1101,-27185,-1554288,-1515327,-1437587,734,-20772.0,-73,-1457698,,,,-22951,,-308500,,2748430,1267781,32928,1300709,1300709,43.0,,121782.0,0.0,-95498.0,0.0,1950000.0,0.0,-309306.0,17066.0,272.0,-9143.0,-243068.0,54801.0,,0.0,0.0,203000.0,,528.0,-286113.0,77.0,-16687.0,,-903.0,0.0,,16144.0,38961.0,44778.0,0.0,-9745.0,491304.0,,0.0,,-189374.0,602000.0,,83195.0,,0.0,0.0,
2540,2014年01月01日至2014年09月30日,,104806,104806,,,1195,13783,-1190,,,,,60583,34801,-325289,-197819,-871632,,-842,1436,-16727,-888359,-861440,-756634,118,-13394.0,-13,-769923,,,,44333,,-258500,,857804,132214,32928,165142,165142,43.0,,156829.0,,-33642.0,0.0,,,-244246.0,17198.0,-410.0,-34293.0,-190475.0,46841.0,,0.0,0.0,203000.0,,350.0,-182237.0,80.0,-17411.0,,-523.0,-894.0,,12738.0,26919.0,-11105.0,,-4052.0,471304.0,,0.0,0.0,-160000.0,602000.0,-2000.0,83444.0,0.0,,,
2540,2014年01月01日至2014年06月30日,,33444,33444,,,785,6561,-799,,,,,57525,34999,-161460,-145674,-481654,,-591,3763,-102722,-584376,-570057,-536613,78,-6181.0,-9,-542725,,,,-8392,,-288500,0.0,928430,377313,32928,410241,410241,0.0,,68942.0,,-457.0,,0.0,,-162155.0,12165.0,-2016.0,-44312.0,-187100.0,29821.0,,,-6401.0,233000.0,,221.0,-70805.0,79.0,-9317.0,,-219.0,-894.0,,7551.0,14319.0,-8240.0,,-421.0,381930.0,,0.0,0.0,0.0,602000.0,,,,,,
