公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 發行公司債,　　 舉借長期借款,　　 存入保證金增加,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 處分子公司,　　　　 呆帳費用提列（轉列收入）數,　　　　　 應付建造合約款（增加）減少,　　 處分無活絡市場之債券投資,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　　　 金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　 取得採用權益法之投資,　　 發放現金股利,　　　　 買回應付公司債損失（利益）,　　 償還公司債,　　　　 非金融資產減損迴轉利益,　　　　　 應付建造合約款增加（減少）,　　 預付設備款增加,　　 庫藏股票買回成本,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　 預付投資款增加,　　 預付設備款減少,　　 存入保證金減少,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 存出保證金減少
2547,2016年01月01日至2016年09月30日,,-4361705,-4361705,,,267356,82289,-38,403963,-171284,,1113,115,434,5510,,,,361608,-39493,71921,,-222118,-1609757,506540,-670952,-2326388,,223629,-275895,-88460,-653571,37088,,-757209,-3083597,-2461030,-6822735,176687,-384002,-138686,-7168736,,,,-21447,109.0,0,-47146,-814555,2642082,,-128242.0,-609986.0,,4870843,,,-16192.0,3874144,-1197,-653707,2181061,1527354,1527354,13872.0,,0.0,,,0.0,,0.0,,-724137.0,,0.0,19237.0,-232537.0,,,-2500.0,,,622567.0,0.0,,,-9742.0,3461153.0,0.0,66468.0
2547,2016年01月01日至2016年06月30日,,-3502197,-3502197,,,179087,55105,-14,262798,-118073,,650,62,-75,1669,,,,82057,-58398,104590,,25092,-887545,-328921,-428045,-1936743,,146484,-473969,3098626,-522171,47459,,2296429,359686,774004,-2728193,116162,-244627,-98640,-2955298,,,,-10861,68.0,-52868,-13774,-494279,-1095433,,,0.0,,1685399,,,-17692.0,2755761,-593,-1295563,2181061,885498,885498,13872.0,,0.0,,,1375731.0,69301.0,0.0,,-445573.0,,,19237.0,-332537.0,,,-1719.0,,,414318.0,-522000.0,,,-24441.0,,0.0,
2547,2016年01月01日至2016年03月31日,,-222060,-222060,,,90340,27671,112,132689,-57826,,401,82,-75,727,,,,-44911,-90458,113836,,18295,-549168,-209257,-58323,-1023968,,233721,-444799,13932,-305773,89744,,-413175,-1437143,-1209913,-1431973,51696,-119272,-216,-1499765,,,,-5954,12.0,-47440,-11521,-235232,-463854,,,-487.0,,674279,,,,1593566,-78,-370131,2181061,1810930,1810930,13872.0,,,,,1271758.0,0.0,,,-203982.0,,,19237.0,-332537.0,,,-1719.0,,,227230.0,-162000.0,0.0,,-19447.0,,,
2547,2015年度,,-1237197,-1237197,,,436043,111451,161,481603,-153038,,1997,513,180,3657,,,,-169283,-4286,185118,0.0,-24690,-3453954,-553547,3638725,-1177972,,-169883,-474730,639359,1215065,258,,1210069,32097,951562,-285635,141956,-429012,-153206,-725897,,,0.0,-56031,604.0,-253329,-28311,-1160353,-3922957,,,,,1374099,0.0,,-16201.0,4431497,-542,-217899,2398960,2181061,2181061,12460.0,,49.0,,,4367332.0,310165.0,,286.0,-796055.0,,-876882.0,24103.0,-600119.0,0.0,0.0,-1896.0,0.0,,919465.0,-2377137.0,,,-126897.0,0.0,-46504.0,
2547,2015年01月01日至2015年09月30日,,-908000,-908000,,,326946,83698,212,350013,-114928,,1605,450,-14,3060,,,,185790,-32459,185720,0.0,-61064,-3122015,-521686,1160242,-2655816,,-199487,-572903,648409,1669445,48632,,1594096,-1061720,-386591,-1294591,107077,-315133,-151129,-1653776,,,0.0,-48472,605.0,-251322,-17566,-962760,-1422109,,,-90654.0,,0,0.0,,-16201.0,1882036,292,-1193557,2398960,1205403,1205403,,,-16.0,,,5065332.0,0.0,-1486281.0,,-450344.0,,-876882.0,24103.0,-600119.0,0.0,0.0,-1896.0,,,675129.0,-90698.0,,,-113159.0,0.0,-50000.0,
2547,2015年01月01日至2015年06月30日,,-208727,-208727,,,218479,55851,-233,225534,-80914,,1257,169,-14,1411,,,,-127621,-5708,267865,0.0,-59462,-2442632,-504791,1003968,-1971891,,-113424,-419625,23227,2370340,30178,,1890696,-81195,340820,132093,75509,-206335,-115107,-113840,,,,-42360,9.0,-199793,-7923,-983393,-1302723,,,-20749.0,,0,0.0,,0.0,747562,-701,-669702,2398960,1729258,1729258,,,-14.0,,,2490332.0,,-1473030.0,,-103510.0,,,489.0,-135105.0,,,-1263.0,,,422015.0,-18000.0,,,-113886.0,0.0,-50000.0,
2547,2015年01月01日至2015年03月31日,,-59343,-59343,,,109837,27848,-313,102270,-37978,,918,29,0,787,,,,-214758,-10670,374083,,-20969,-1434243,-382597,-402778,-1803744,,114935,39320,-82581,420159,38371,,530204,-1273540,-1069653,-1128996,34017,-99316,-1204,-1195499,,,,-1482,,-199748,-1369,-677847,-952685,,,,,1335815,0.0,,,1656590,-323,-491917,2398960,1907043,1907043,,,,,,497082.0,69792.0,,,288188.0,,,489.0,-135105.0,,,-17239.0,,,203887.0,-5000.0,-50000.0,0.0,-110994.0,,,
2547,2014年度,,-226430,-226430,,,419541,83614,326,375977,-67336,,2276,725,-1217,3819,812794.0,,,-255611,2935,-588128,299060.0,10312,-7885650,-400469,1668621,-8511537,,151215,111723,-41525,2008349,135216,1303.0,2355837,-6155700,-5342906,-5569336,65245,-314050,-86877,-5905018,,0.0,94363.0,-57503,10187.0,-433839,-23940,-1640181,-1951226,,0.0,,,6533041,46368.0,,-11404.0,7505341,958,-349945,2748905,2398960,2398960,0.0,0.0,0.0,,99941.0,1441668.0,519685.0,0.0,95.0,-1362607.0,,-860727.0,474.0,-144228.0,-5500.0,-10444.0,-254.0,-19062.0,,,,,,,,,
2547,2014年01月01日至2014年09月30日,,-176437,-176437,,,313250,62457,1004,276719,-45992,,1075,187,-479,3399,606594.0,,,-109688,-15714,-84778,284936.0,-7574,-6123457,-540848,672120,-6806284,,145549,-279810,-95387,1992521,-51729,,1710935,-5095349,-4488755,-4665192,42122,-234035,-79853,-4936958,,0.0,94363.0,-44079,10181.0,-142584,-9654,-1215996,-1207391,,0.0,,,4724803,64172.0,,-11404.0,4963208,61,-1181080,2748905,1567825,1567825,,0.0,,,100378.0,820592.0,370000.0,0.0,,-881281.0,,-860727.0,474.0,-144228.0,-5500.0,-209.0,,,,,,,,,,,
2547,2014年01月01日至2014年06月30日,,-120048,-120048,,,208213,42234,-58,176478,-32041,,590,248,-479,237,395896.0,,,19311,-5358,-18503,16584.0,7284,-4309159,-251491,233025,-4813553,,140671,-444654,-59566,1584995,-24081,0.0,1197365,-3616188,-3220292,-3340340,32944,-170115,-52745,-3530256,,0.0,0.0,-30275,119.0,-243289,-1239,-818889,-933195,,0.0,,,2681883,55555.0,,-11474.0,3134990,-592,-1329053,2748905,1419852,1419852,,0.0,,,160378.0,553254.0,0.0,,,-505246.0,,,474.0,-144228.0,,,,,,,,,,,,,
