公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得採用權益法之投資,　　 存出保證金增加,　　 其他金融資產增加,　　 收取之股利,　　 短期借款增加,　　 以成本衡量之金融資產減資退回股款,　　 發放現金股利,　　 舉借長期借款,　　　　 呆帳費用提列（轉列收入）數,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 其他應付款－關係人增加（減少）,　　　　 金融資產減損損失,　　　　 處分採用權益法之投資損失（利益）,　　 處分子公司,　　 償還長期借款,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款
2607,2016年01月01日至2016年09月30日,,765636,765636,,,1363996,1713,116538,-17817,-89328.0,-24963,12477,-558,,,,-3861,-12278,-340316,19124,,3859,-4833,23389,,-314916,,-10943,,5377,-241,77588,25085,-93956,-5176,-320092,1041966,1807602,16169,-113608,-118709,1591454,,-745000,863558,-1013571,10538,,0.0,484.0,,-720962,,0.0,-2483.0,,-737941,-122839,9712,2892709,2902421,2902421,,-50.0,0.0,125754.0,,375.0,-374204.0,493808.0,,,1362058.0,-8086.0,0.0,0.0,0.0,-855062.0,,36950.0
2607,2016年01月01日至2016年06月30日,,562781,562781,,,909911,1205,76655,-11092,-78374.0,-15505,8646,-233,,,,-4879,-8961,-252599,18497,,2297,-5583,23554,,-227674,,-9218,,-6034,-55,57003,23131,-59360,2765,-224909,666304,1229085,10445,-75134,-77452,1086944,,-285000,333233,-736044,10538,,0.0,,,-563013,,0.0,-2486.0,,-44833,-41665,437433,2892709,3330142,3330142,,,-16.0,77326.0,,,0.0,493808.0,,,891213.0,-2702.0,0.0,,,-536155.0,,36950.0
2607,2016年01月01日至2016年03月31日,,237233,237233,,,456277,636,38383,-5650,,-4648,10732,-82,,,,2297,10750,-3919,15160,,2945,-11428,21305,,37110,,-25241,,-23981,-81,21238,17244,-41998,-57151,-20041,475607,712840,4565,-36943,-31,680431,,-135000,185082,-191156,81,,,,,-141009,,1277.0,,,-268376,-52778,218268,2892709,3110977,3110977,,,-16.0,0.0,,,,0.0,,,495648.0,-4332.0,,,,-269653.0,,
2607,2015年度,,1039686,1039686,,,1661536,2240,122631,-20706,-99096.0,-18180,17182,-1747,,,,-1208,1629,-170381,-23017,,1425,8457,-26106,,-209201,,26769,,4184,1037,863,-27032,-51701,-42749,-251950,1398521,2438207,21138,-115263,-138070,2206012,,-820000,863747,-3603776,9777,0.0,-3027.0,0.0,,-3386282,,1374.0,,0.0,854721,111424,-214125,3106834,2892709,2892709,,,-1180.0,134453.0,,,-379391.0,1753069.0,0.0,,1650471.0,3131.0,3977.0,-17366.0,-10894.0,-520331.0,44618.0,
2607,2015年01月01日至2015年09月30日,,805727,805727,,,1243831,1560,89249,-15931,-99468.0,-17884,-5685,-1538,,,,-1834,1306,-56623,1308,,1705,2170,-3083,,-55051,,1628,,23320,994,62212,-9274,-40960,36501,-18550,1170292,1976019,16166,-83842,-137922,1770421,,-540000,648537,-3362889,9777,0.0,-2428.0,,,-3124252,,1737.0,,,1124895,127591,-101345,3106834,3005489,3005489,,,-1180.0,134825.0,,,-379391.0,1753069.0,0.0,,1188842.0,-1419.0,2294.0,-7586.0,-10894.0,-250520.0,,
2607,2015年01月01日至2015年06月30日,,540060,540060,,,790528,950,54591,-10566,-74094.0,-13878,-7870,-740,,,,3481,-15695,-148575,2152,,52,-8188,-26171,,-192944,,194,,51030,-231,46578,-28966,-13130,53583,-139361,601854,1141914,10958,-52047,-103380,997445,,-275000,245740,-2173948,9710,0.0,-560.0,,,-2148028,,5944.0,,,1270686,-39148,80955,3106834,3187789,3187789,,,-1180.0,47210.0,,,-5138.0,1269880.0,0.0,,741215.0,-1892.0,2294.0,,,,,
2607,2015年01月01日至2015年03月31日,,238189,238189,,,383897,460,26906,-5827,,-3878,-84,-310,,,,7110,5431,-53328,2700,,-660,-5430,-808,,-44985,,-42,,-6914,107,18094,2476,-5351,7912,-37073,364091,602280,5729,-24946,-195,582868,,-7158,65310,-425983,84,0.0,0.0,,,-361730,,1504.0,,,345584,-21799,544923,3106834,3651757,3651757,,,-1180.0,7197.0,,,,344080.0,,,401164.0,-458.0,,,,,,
2607,2014年度,,878509,878509,,,1098392,1782,32438,-36413,-88342.0,-40837,-13450,-1017,952560.0,,,747,-5618,-165417,2493,,2590,-2292,-162,,-167659,,-2219,0.0,4650,1331,-20888,38671,-45395,-23850,-191509,761051,1639560,37775,-25186,-46689,1605460,,-460000,481017,-8766677,13684,240.0,-3074.0,200.0,0.0,-8606970,,2465.0,0.0,2801.0,5986718,233030,-781762,3888596,3106834,3106834,0.0,,,127640.0,,,-324809.0,6306261.0,7.0,,,,,,,,,
2607,2014年01月01日至2014年09月30日,,604494,604494,,,718499,1323,10450,-30706,-64304.0,-27105,-13177,-596,594384.0,,,-3101,592,-137864,4820,,2386,3435,-1601,,-131333,,-1910,0.0,27605,2704,55225,12245,-18991,76878,-54455,539929,1144423,30848,-8069,-46490,1120712,,-460000,365596,-5472059,13541,235.0,-3073.0,,0.0,-5445961,,179.0,0.0,0.0,3902142,10401,-412706,3888596,3475890,3475890,0.0,,-1000.0,110799.0,,,-324809.0,4226772.0,,,,,,,,,,
2607,2014年01月01日至2014年06月30日,,348861,348861,,,400324,839,981,-21605,-5758.0,-15591,-11855,-216,347119.0,,,-3358,-10250,-50984,4118,,1049,-3466,-825,,-63716,,-1777,0.0,13210,3483,63744,34379,-10738,102301,38585,385704,734565,18386,-408,-13743,738800,,-355000,220216,-652078,12218,180.0,-3073.0,,0.0,-728942,,179.0,,0.0,531108,5160,546126,3888596,4434722,4434722,0.0,,,48595.0,0.0,,-3889.0,534818.0,,,,,,,,,,
2607,2014年01月01日至2014年03月31日,,142826,142826,,,189188,334,87,-9198,0.0,-1010,-693,-65,178643.0,,,-988,11325,-9214,1427,,1013,-36670,-287,0.0,-33394,,-1106,0.0,-10440,-698,55293,32221,2311,77581,44187,222830,365656,7498,-87,-151,372916,,-285000,120065,-70327,766,100.0,-2154.0,,0.0,-220386,,46.0,,,46,63865,216441,3888596,4105037,4105037,,,,16164.0,,,,,,,,,,,,,,
2607,2013年度,,675681,675681,,,711891,1840,766,-29529,-89850.0,-5884,-7968,-1470,581210.0,,,6709,15662,38800,-8071,,-2809,2809,-596,,52504,,1582,-250.0,88629,-38608,-84145,-12140,-45647,-90579,-38075,543135,1218816,27355,-766,-78053,1167352,,-715000,596033,-530938,8353,1295.0,-1928.0,0.0,436.0,-735154,,0.0,-1011.0,29626.0,-294363,65877,203712,3684884,3888596,3888596,-193638.0,,,100233.0,,,-322978.0,0.0,1414.0,,,,,,,,,
2607,2013年01月01日至2013年12月31日,,675681,675681,,,711891,1840,766,-29529,-89850.0,-5884,-7968,-1470,579796.0,,,6709,17076,38800,-8071,,-2809,2809,-596,,53918,,1582,-250.0,88629,-38608,-84145,-12140,-45647,-90579,-36661,543135,1218816,27355,-766,-78053,1167352,,-715000,596033,-530938,8353,1295.0,-1928.0,,436.0,-735154,,,-1011.0,29626.0,-294363,65877,203712,3684884,3888596,3888596,-193638.0,,0.0,100233.0,,0.0,-322978.0,,,,,,,,,,,
