公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預收款項增加－處分資產,　　 存出保證金增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 存入保證金減少,　　 其他應付款－關係人減少,　　 應付租賃款減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分投資損失（利益）,　　 收取之利息,　　 處分子公司,　　 償還長期借款,　　　　 股利收入,　　 發放現金股利,　　　　 處分其他資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　 處分以成本衡量之金融資產,　　 存出保證金減少,　　 其他應收款－關係人增加,　　　　 未實現外幣兌換損失（利益）,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 對子公司之收購（扣除所取得之現金）,　　 非控制權益變動,　　　　 不動產、廠房及設備轉列費用數,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 應付短期票券增加,　　 其他應付款－關係人增加,　　 其他金融資產增加,　　 其他金融資產減少
2608,2016年01月01日至2016年09月30日,,1245828,1245828,,,334508,51287,496,10173,-705,-602,-101390,,8995,,,,6203,-54471,3046,-26557,-78676,-6068,60,-156463,,32256,6633,-258162,48543,,0.0,-754356,-910819,-621141,624687,6288.0,-9698,-273868,341818,,0,-485084,148925,,-6753.0,-19343,-147056,-186000.0,-687045,,2736000,-2558000,,2240000,4024,0.0,0,315478,4951,-24798,835307,810509,810509,0.0,205.0,697.0,0.0,-1274784.0,-13374.0,-831762.0,,,,1978.0,,,,,,,0.0,0.0,85.0,,289678.0,-583626.0,0.0,,0.0,
2608,2016年01月01日至2016年06月30日,,921495,921495,,,221870,34299,218,5476,-646,-752,-102395,,5997,,,,7662,-4572,2025,-13046,-57585,-11995,0,-77511,,6651,-69955,-248705,26673,,,-853046,-930557,-779572,141923,5006.0,-5442,-161094,-23972,,0,-189170,148668,,-6379.0,-11083,-69534,-184000.0,-304514,,1925000,-1823000,,1090000,4398,0.0,0,403208,2165,76887,835307,912194,912194,0.0,205.0,641.0,,-793190.0,-13374.0,,,,,1978.0,,,,,,,0.0,0.0,87.0,,150985.0,-567710.0,,,,
2608,2016年01月01日至2016年03月31日,,418992,418992,,,111070,17355,131,2218,-173,149,-43068,,2999,,,,56945,-1642,1424,-4394,-53545,-12365,0,-13577,,5830,-47113,-243239,53178,,,-780293,-793870,-702897,-283905,,-2062,-3209,-289011,,0,-184903,62665,,-8275.0,-5562,-21987,,-156084,,1005000,-728000,,610000,2298,,0,437703,2399,-4993,835307,830314,830314,0.0,205.0,165.0,,-451595.0,,,,,,1978.0,,,,,,,,,87.0,,90973.0,-548949.0,,,,
2608,2015年度,,1677820,1677820,,,386226,65884,1616,9753,-1466,661,-250236,,11992,,,,993,-75543,11743,-2820,-23308,592,-1,-88344,,85,-37829,66479,2374,,,-57438,-145782,66157,1743977,13114.0,-11187,-305981,1428275,,-5000,-229145,421470,,-4905.0,-15996,-578557,0.0,-508643,,2542000,-2226000,,1863895,-6070,-26200.0,-325471,-847346,-4431,67855,767452,835307,835307,0.0,0.0,1466.0,0.0,-1826250.0,-13114.0,-725374.0,,,,,,,,,,,-110124.0,-117876.0,623.0,,211939.0,-88547.0,,,,500.0
2608,2015年01月01日至2015年09月30日,,1305606,1305606,,,279596,48310,1373,7036,-702,781,-247157,,8995,,,,-82044,-63067,11217,-11506,-45827,-12164,67,-203324,,3752,-25197,-93764,-22666,,0.0,-203205,-406529,-320618,984988,12422.0,-6634,-305913,673628,,-5000,-152262,413316,,-5634.0,-12217,-341855,0.0,-200854,,1473000,-1091000,,1263895,-6070,-26200.0,-325471,-649751,-4425,-181402,767452,586050,586050,0.0,0.0,1187.0,0.0,-1094655.0,-12422.0,-725374.0,,,,,,,0.0,,,,-110124.0,-117876.0,101.0,,85911.0,-65330.0,0.0,0.0,500.0,
2608,2015年01月01日至2015年06月30日,,920029,920029,,,181542,31386,1303,5026,-682,80,-246300,,5996,,,,13635,12487,12894,-9747,-51337,-10599,567,-32100,,4988,-154580,-149143,46658,,0.0,-292297,-324397,-347341,572688,0.0,-4881,-206859,361941,,-5000,-64235,412320,,-5635.0,-6215,-123702,0.0,97409,,430000,-306000,,793895,-6070,-26200.0,-325471,-310782,2396,150964,767452,918416,918416,0.0,,993.0,0.0,-753060.0,-1350.0,,,0.0,,,0.0,,0.0,,,,-110124.0,-117876.0,55.0,,-22944.0,-40220.0,0.0,0.0,,
2608,2015年01月01日至2015年03月31日,,321853,321853,,,86745,14847,254,2619,-63,141,2,,2998,,,,44618,50292,12587,-1374,-63889,-3020,0,39214,,4179,-161307,-243755,59467,,0.0,-358526,-319312,-211742,110111,,-2575,-21,107753,,-5000,-32532,0,,-4180.0,-832,-78612,0.0,-121156,,210000,-121000,,403895,-6270,,-325471,-30311,-1171,-44885,749353,704468,704468,,,238.0,0.0,-191465.0,,,,0.0,,,,,,,,,,,27.0,,107570.0,-17110.0,,,,
2608,2014年度,,1220176,1220176,,,329463,58196,2668,9690,-1499,-1537,-13595,,11782,386613.0,,,173,-66729,-873,1356,-1156,5440,0,-61789,,879,75093,136285,-45082,-69230.0,-1.0,97944,36155,422768,1642944,13659.0,-9773,-223844,1411111,,0,-357073,69435,,8639.0,-43592,-458992,-34250.0,-907175,,4192000,-4220000,,1098004,6184,,-15140,-722249,1781,-216532,965885,749353,749353,0.0,-59.0,1784.0,-13201.0,-1101872.0,-13659.0,-677015.0,0.0,0.0,,0.0,,0.0,5086.0,,,,-91800.0,-4410.0,77.0,,,,,,,
2608,2014年01月01日至2014年09月30日,,907164,907164,,,243379,40050,1499,6988,-775,-1015,-684,,8784,286215.0,,,-1882,-40688,12410,-7407,-19317,463,0,-56421,,2207,54624,-48296,27287,-52419.0,9701.0,-6896,-63317,222898,1130062,6573.0,-6988,-211260,912686,,0,-284780,1025,,-1260.0,-29967,-254219,-34250.0,-701880,,2358000,-2178000,,814365,-16,0.0,-11333,-519002,896,-307300,965885,658585,658585,0.0,-59.0,872.0,-13201.0,-820593.0,-13659.0,-677015.0,,,,,,,1707.0,,,912686.0,-91801.0,-4410.0,,,,,,,,
2608,2014年01月01日至2014年06月30日,,557399,557399,,,159993,26095,254,4466,-721,-354,-494,,5786,194953.0,,,16687,6818,12721,-2451,-33792,1974,0,1957,,2653,-34485,-51746,4516,-35596.0,5581.0,-109077,-107120,87833,645232,,-4466,-127468,514045,,0,-180237,674,,504.0,-16884,-110865,-34250.0,-354259,,602000,-722000,,500000,-266,0.0,-7540,-297806,0,-138020,965885,827865,827865,0.0,-59.0,747.0,-13201.0,-670000.0,,,,,,,,,-13.0,,,,,,,,,,,,,
