公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得持有至到期日金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 其他金融負債增加,　　 其他金融負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 存貨（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分不動產、廠房及設備,　　 其他投資活動,　　 發行公司債,　　　　　 應付帳款－關係人增加（減少）,　　 收取之股利,　　 償還公司債,　　 發放現金股利,　　　　 處分投資損失（利益）,　　　　　 其他營業資產（增加）減少,　　 取得以成本衡量之金融資產,　　 其他金融資產減少,　　 其他籌資活動,　　　　 處分採用權益法之投資損失（利益）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　　 收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 收益費損項目合計,　　 取得無形資產,　　 其他非流動資產增加,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產減少
2612,2016年01月01日至2016年09月30日,,200010,200010,,,560469,,123989,-19761,34888,,,,949,-38421,-9470,-17630,1882,-62690,,-886,1971,-6888,7643,-80128.0,-78288,-140978,616515,816525,19261,-133041,-91314,625316,,0,-144000,68457.0,-1519992,-597039.0,-2153658,,-1109759,741395,-644399,84.0,,1287321,-147346,-388367,4506458,4118091,4118091,-14266.0,,,,,42622.0,0.0,2300000.0,0.0,13885.0,0.0,0.0,,,0.0,-3146.0,,59403.0,0.0,0.0,,12771.0,757493.0,,-560.0,,
2612,2016年01月01日至2016年06月30日,,166094,166094,,,370443,1728.0,80080,-10558,26361,,,,-782,-21994,-247,-45985,1159,-65595,,284,-12065,-15179,-12140,,-119252,-184847,286544,452638,9995,-91707,-59226,311700,,0,13233,,-295818,-596938.0,-846401,,-1029771,0,-484355,86.0,,785960,-61520,189739,4506458,4696197,4696197,-15110.0,,0.0,2254.0,,38142.0,-5029.0,2300000.0,,,,,10780.0,0.0,0.0,,,,0.0,,,7667.0,471391.0,,,-80152.0,9.0
2612,2016年01月01日至2016年03月31日,,92906,92906,,,186148,870.0,37276,-4207,14058,,,,1904,14031,2604,-22083,2336,-1208,,-5752,-22038,-11883,-21940,-79963.0,-141576,-142784,82759,175665,3619,-25170,-42,154072,,0,0,0.0,-60312,-636659.0,-677606,,-1064759,0,-168098,86.0,0.0,1067229,-75623,468072,4506458,4974530,4974530,-9785.0,,,,,23475.0,,2300000.0,,,,,,,0.0,,,0.0,,,,1183.0,225543.0,-4120.0,10.0,,
2612,2015年度,,414075,414075,,,724146,3902.0,133923,-17709,76484,,,,1195,936,48159,11990,-19658,118121,,-86,2835,-8152,-21469,0.0,-26872,91249,1004908,1418983,19033,-135245,-73222,1272722,,0,-228000,148811.0,-559821,,-546872,,150159,0,-792204,,,-975621,146226,-103545,4610003,4506458,4506458,-26484.0,,76276.0,,,53498.0,-14361.0,,,43173.0,0.0,-333415.0,32273.0,-777.0,0.0,55321.0,-161.0,,0.0,0.0,,-12876.0,913659.0,,-2320.0,,
2612,2015年01月01日至2015年09月30日,,293496,293496,,,541692,,99943,-14388,52916,,,,1666,10713,37307,-5343,6349,50692,,-7012,-21343,-7177,-21856,-395.0,-57783,-7091,696746,990242,12806,-113129,-71794,861298,,-2267,-228000,148811.0,-254425,54982.0,-225341,,200126,0,-632003,2.0,,-765287,158798,29468,4610003,4639471,4639471,-25521.0,,,,,48304.0,0.0,,0.0,43173.0,0.0,-333412.0,,,0.0,4575.0,,32273.0,0.0,0.0,,16922.0,703837.0,,2679.0,,
2612,2015年01月01日至2015年06月30日,,177884,177884,,,357707,,65868,-11356,38387,,,,234,6221,40792,-22189,8782,33602,,-1403,-35586,-9717,-13543,,-59819,-26217,446001,623885,9216,-86353,-50255,496493,,0,134337,,-82776,64488.0,154718,,-209904,0,-467662,-5.0,,-677571,-105086,-131446,4610003,4478557,4478557,-21476.0,26523.0,,-238.0,,34121.0,4333.0,,,,,,0.0,0.0,0.0,,,,0.0,,,16565.0,472218.0,,,430.0,215.0
2612,2015年01月01日至2015年03月31日,,158733,158733,,,178314,1147.0,33491,-4479,9496,,,,-729,-1031,40323,-32029,11012,17546,,-3840,-22180,-7266,-43271,10.0,-76547,-59001,128460,287193,5273,-24517,-116,267833,,0,0,86983.0,-39644,-18935.0,56978,,-120318,0,-160769,-3.0,0.0,-281090,-47599,-3878,4610003,4606125,4606125,-14792.0,,,,,19652.0,,,,,,,,,0.0,,,14527.0,,,,-30243.0,187461.0,6213.0,2709.0,,
2612,2014年度,,396764,396764,,,697253,3923.0,193310,-52746,49727,852325.0,,,-1312,997,-949,-1055,4109,2131,,-1412,16816,-40388,5145,0.0,-19839,-17708,834617,1231381,58092,-223332,-25958,1103617,,122975,-18600,502481.0,-617303,,38403,,1059600,0,-701449,,,-2026713,247894,-636799,5246802,4610003,4610003,-64703.0,,-1305.0,,,107388.0,-7732.0,,,63434.0,-2000000.0,-384711.0,25561.0,1646.0,-12500.0,-51500.0,-153.0,,1073741.0,-1060547.0,,,,,,,
2612,2014年01月01日至2014年09月30日,,283580,283580,,,521700,,151696,-42868,40899,646093.0,,,-780,-17188,15919,-14583,-6306,-23089,,-5480,-2373,-49446,-23700,1331.0,-79668,-102757,543336,826916,48250,-174666,-19334,744600,,-10301,-18600,443944.0,-403721,-64477.0,-520745,,230000,0,-350725,-208.0,,-505644,-85984,-367773,5246802,4879029,4879029,-58664.0,33330.0,-151.0,,,85486.0,4039.0,,0.0,63434.0,0.0,-384711.0,,,-12500.0,,,,-1060547.0,515932.0,,,,,,,
2612,2014年01月01日至2014年06月30日,,167097,167097,,,346373,,102216,-30004,22968,432015.0,,,-2375,-23726,14568,-26067,4,-38935,,2789,-14495,-50384,-40528,,-102241,-141176,290839,457936,33751,-80122,-12284,399281,,122975,386191,,-352107,-34717.0,-813507,,249779,0,-350725,-209.0,,-101155,10738,-504643,5246802,4742159,4742159,-32507.0,22969.0,,-1339.0,377.0,53327.0,4861.0,,,,,,0.0,0.0,-12500.0,,,,-981537.0,,,,,,,,
