公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　　 其他營業資產（增加）減少,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　　　 股利收入,　　 對子公司之收購（扣除所取得之現金）,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之股利,　　 其他投資活動,　　 其他非流動負債減少,　　　　 投資性不動產公允價值調整損失(利益),　　 其他金融資產增加,　　 其他非流動負債增加,　　 預付投資款增加,　　　　 非金融資產減損損失,　　 其他籌資活動,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 其他非流動資產減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　 處分子公司,　　 處分採用權益法之投資,　　　　 非金融資產減損迴轉利益,　　　　　 淨確定福利負債增加(減少),　　　　　 其他金融負債增加（減少）,　　 預收款項增加－處分資產,　　　　　 預付費用（增加）減少,　　 其他應收款增加,　　 處分無形資產,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
2614,2016年01月01日至2016年09月30日,,401210,401210,,,183819,37041,-153434,-156320,6204,-324434,,,-514153,,,,0.0,-19200,129881,-44743,64922,,305634.0,,7772685,,79579,-156576,-42935,-33817,33113,,10280.0,-161085,7611600,7027599,7428809,-342437,7086372,,,,-59033,562228,,43644.0,-12011.0,-10594.0,18834,413335,,1150494,-2644552,1386379,-6568104,,-27709.0,-8916.0,-310744,17715,-7012536,-61826,425345,3645981,4071326,4071326,-468.0,362915.0,-18543.0,7266884.0,,,-678.0,,2687.0,,199177.0,,-7099.0,-5490.0,,,,,,,,0.0,85715.0,,-584001.0,88.0,31229.0,-460.0,-50729.0,,,69307.0,-450000.0,1371.0,0.0
2614,2016年01月01日至2016年06月30日,,73232,73232,,,118896,25181,-153441,-92886,19,-325388,,621.0,-324646,,,,,-20049,45529,-4932,56191,-13713.0,238314.0,,301340,,73996,-132016,15341,-3798,23051,,-14435.0,-37861,263479,-297081,-223849,-11990,-235839,,,,-36277,85,,33069.0,-8136.0,-8510.0,12457,455215,,739343,-862552,1331432,-1145467,0.0,-8650.0,-8916.0,-186117,15215,-136478,-14940,67958,3645981,3713939,3713939,-15.0,208466.0,-11877.0,,,,,,57501.0,,198499.0,,-10766.0,-5490.0,,0.0,,,,,,0.0,,,-560560.0,88.0,32367.0,,,,174072.0,,,,
2614,2016年01月01日至2016年03月31日,,-276049,-276049,,,64058,12582,-153434,-30330,0,0,,,-65247,,,,,341,42042,-13683,19630,-9867.0,,,356077,,71324,-65214,126983,-15203,0,,-7071.0,123079,479156,407921,131872,-2482,129390,,,,-24497,0,,2561.0,-6616.0,-7652.0,5743,83937,,211187,-465596,765000,-438716,1708.0,0.0,,-90806,-8916,-26139,4043,191231,3645981,3837212,3837212,-15.0,106501.0,-5971.0,317614.0,,,,,0.0,0.0,,,,0.0,-1210.0,,,621.0,,,,0.0,28572.0,,-71235.0,0.0,,,,12260.0,87036.0,,,,
2614,2015年度,,-2255241,-2255241,,,293028,69242,-396433,-218131,36112,-13894,0.0,,-107081,,,,0.0,20928,-1562,72295,392956,-15615.0,,,1060285,,-25771,-314908,-208269,-35902,4583,,1017.0,-598465,461820,967186,-1288055,-47926,-1335981,,,,-103769,14494,,84618.0,-54580.0,-43.0,68860,662515,,2451000,-2661173,4280000,-3527363,0.0,-2957.0,-103256.0,-444168,44849,36932,10891,-625643,4271624,3645981,3645981,4671.0,467036.0,-67492.0,412390.0,,,-42.0,,1558.0,,42.0,189170.0,,-166857.0,,,,,,178893.0,-19215.0,86743.0,72000.0,,505366.0,-2378.0,305800.0,605207.0,,,,,,,
2614,2015年01月01日至2015年09月30日,,-876589,-876589,,,245486,31043,-345988,-175233,-1353,-11799,0.0,,-202550,,,,330889.0,16879,53123,58873,327610,51889.0,2121.0,,841384,,10276,-327130,-109572,-15075,-14788,,,-455286,386098,-158684,-1035273,-56902,-1092175,,,,-125779,4860,,66988.0,-54475.0,-43.0,52372,544016,,1657000,-1764594,3810000,-3416735,0.0,-3444.0,0.0,-329040,42641,-128736,66162,-610733,4271624,3660891,3660891,0.0,351449.0,-50872.0,,,,-37.0,,44969.0,-24248.0,189207.0,,,-269357.0,,-21268.0,,,-103296.0,,,86743.0,,,-544782.0,-2378.0,305800.0,-115571.0,1003.0,,,,,,
2614,2015年01月01日至2015年06月30日,,-518229,-518229,,,172245,26877,-200766,-112132,364,-7481,,-115571.0,-169263,,,,0.0,12627,88481,-63288,143968,8135.0,328276.0,,518199,,7304,-332638,-109060,-28336,-13328,,2168.0,-473890,44309,-434689,-952918,-53656,-1006574,,,,-80950,231,,45942.0,-44941.0,-43.0,38383,455928,,1337388,-1274350,1710000,-1400851,0.0,-738.0,-103296.0,-233419,44140,112971,-60792,-498467,4271624,3773157,3773157,0.0,233974.0,-37888.0,,,,,,107143.0,0.0,,,,-269357.0,,34097.0,0.0,,,,,86742.0,,,-478998.0,-2378.0,305799.0,,,,,,,,
2614,2015年01月01日至2015年03月31日,,-395918,-395918,,,76735,10320,-35984,-44528,-36,-4522,0.0,,82507,,,,,7214,28079,-52166,106777,-13436.0,,,195319,,3531,-127615,27978,-72761,-16780,,33600.0,-152047,43272,-42938,-438856,-911,-439767,,,,-5749,108,,-32193.0,-3006.0,-43.0,18192,115567,,1006388,-987639,3102300,-2499701,,-3472.0,,-116136,44848,546588,-57468,164920,4271624,4436544,4436544,0.0,117667.0,-19012.0,118851.0,,,,,322.0,0.0,,,,-269357.0,0.0,0.0,,,,,,86742.0,53572.0,,-86210.0,-2378.0,,,,,,,,,
2614,2014年度,,-3594020,-3594020,,,280983,45489,436292,-225561,14466,-92080,79895.0,,1270019,2260107.0,,,1168267.0,13788,155289,5080,196456,-29885.0,,,1598944,,20833,203531,169866,-106826,-3167,,-21951.0,305827,1904771,4164878,570858,-53667,517191,,,,-217861,37420,,73677.0,-53586.0,-20689.0,23716,223842,,1765179,-1877664,4236931,-3085114,14447.0,,-347994.0,-393028,138560,451317,102880,1295230,2976394,4271624,4271624,12791.0,412519.0,-62985.0,-85017.0,0.0,0.0,-93.0,,972.0,,93.0,195397.0,0.0,-68747.0,,,,157119.0,,174966.0,43541.0,107153.0,77550.0,,,,,,,,,,,,
2614,2014年01月01日至2014年09月30日,,-3133361,-3133361,,,207395,21794,350023,-167915,20822,-125263,27516.0,,1335974,2069073.0,,,1206920.0,8911,344022,-53485,-15522,-90002.0,-52469.0,0.0,1348375,,9045,147500,128704,15542,65213,702.0,0.0,366706,1715081,3784154,650793,-37869,612924,,,,-134484,0,,42859.0,0.0,-20689.0,53604,298936,,1501193,-1932099,2121412,-1361783,11417.0,0.0,-347994.0,-382206,168060,-308440,3849,607269,2976394,3583663,3583663,0.0,294609.0,-51464.0,0.0,0.0,0.0,-93.0,,170283.0,-8127.0,195490.0,,,0.0,,,,155675.0,-86440.0,,,,,,,,,,,,,,,,
2614,2014年01月01日至2014年06月30日,,-2701017,-2701017,,,140281,15056,362266,-99882,158,-65305,172822.0,,1339529,2026719.0,,,624957.0,30897,98625,63230,34147,8031.0,,-76971.0,782916,,59,122726,310749,3068,63532,437.0,0.0,500571,1283487,3310206,609189,-15956,593233,,,,-132761,0,,44002.0,-34326.0,-20689.0,37933,-135957,,700000,-1128523,1590000,-896600,,16224.0,-86440.0,-283332,0,-86467,5685,376494,2976394,3352888,3352888,2561.0,193514.0,-34281.0,,,,,,106295.0,-46411.0,,,0.0,0.0,,2204.0,-90000.0,,,,,,,,,,,,,,,,,,
