公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之股利,　　 支付之利息-營業活動,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 支付之利息,　　 收取之利息,　　 退還（支付）所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 收取之利息-營業活動,　　 其他金融資產增加,　　 其他非流動資產增加,　　 發放現金股利,　　　　 呆帳費用提列（轉列收入）數,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 其他預付款項增加,　　 短期借款減少,　　 存入保證金減少,　　 舉借長期借款,　　　　 其他項目,　　 非控制權益變動,　　 發行公司債,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 股利收入,　　 其他預付款項減少
2616,2016年01月01日至2016年09月30日,,325071,325071,,,154541,-5001,13718,-7088,-3338,,,,,188585,-116768,1196,-5478,271,67806,,39568,-4887,,-10941,56865,175221,500292,35536.0,,-43301,,,492697,-6918,7088,,492697,,0,,-227700,12478,-9657,-235277,,,-274290,649.0,-223243,-18620,15557,238418,253975,253975,,-1980.0,-8418.0,-168794.0,1060.0,,,0.0,,220000.0,,-808.0,,,118356.0,-45622.0,-35536.0,
2616,2016年01月01日至2016年06月30日,,201987,201987,,,101781,-3803,9783,-4556,-788,,,,,-19662,-68325,-16051,7628,303,-96107,,158548,-20117,,112040,15933,119410,321397,,-5097.0,-25813,,,321397,-5097,4556,-25813.0,295043,,0,,-154161,5153,6501,-145734,,49996.0,-257859,660.0,-87203,-8962,53144,238418,291562,291562,4556.0,5867.0,,,1060.0,,,,,120000.0,,,,,103477.0,-26391.0,,-9094.0
2616,2016年01月01日至2016年03月31日,,76550,76550,,,50252,-2970,5218,-1401,459,,,,,-19831,37615,-3561,9719,-6347,17595,,-23861,-56172,,-92485,-74890,-22822,53728,1401.0,-2825.0,-2916,,,53728,-2825,1401,-2916.0,49388,,0,,-27022,2361,-1244,-68563,,0.0,-65239,-310.0,54451,-1488,33788,238418,272206,272206,,-3819.0,,,510.0,,-38839.0,,,120000.0,,,,,52068.0,-12452.0,,
2616,2015年01月01日至2015年09月30日,,201149,201149,,,139078,-2323,13879,-6616,-6827,0.0,,,,117189,55957,-9394,-17,32828,196563,,-187531,-62041,,-260736,-64173,53840,254989,19972.0,,-61727,,,213015,-6835,6616,,213015,,-29580,0.0,-217029,17283,-17143,-328512,,-50000.0,0,154.0,-167329,5669,-277157,592998,315841,315841,,-64764.0,-17279.0,-167483.0,794.0,,,,,50000.0,0.0,0.0,,,118013.0,-11164.0,-19972.0,
2616,2015年01月01日至2015年06月30日,,127519,127519,,,91338,-143,9266,-4212,-3842,0.0,,,,-6997,6169,2419,-7511,23827,17907,,31549,-60466,,-32948,-15041,78160,205679,,-4615.0,-41011,,,205679,-4615,4212,-41011.0,164265,,-12262,0.0,-187178,11882,-12819,-245020,,-50000.0,0,348.0,-49652,-6425,-136832,592998,456166,456166,4212.0,-44643.0,,,794.0,,,,,0.0,0.0,,,,93201.0,-4031.0,,0.0
2616,2015年01月01日至2015年03月31日,,57030,57030,,,44701,-942,4696,-1820,-114,0.0,,,,8990,87757,-28068,6850,16968,92497,,-24942,-128747,,-160978,-68481,-21166,35864,1820.0,-2439.0,-5097,,,35864,-2439,1820,-5097.0,30148,,-7133,,-61873,4645,-1317,-97066,,-50000.0,0,149.0,-49851,-2523,-119292,592998,473706,473706,,-31388.0,,,794.0,,,,,0.0,,,,,47315.0,-7289.0,,
2616,2014年度,,305014,305014,,,164339,-2397,8993,-7607,-5639,0.0,159065.0,,,-12641,48782,98829,-18626,-11985,104359,,-357728,42395,-8364.0,-323697,-219338,-60273,244741,,-7352.0,-66594,,,244741,-7352,7607,-66594.0,178402,,-132750,0.0,-398319,23528,16389,-546299,,,0,,530692,8174,170969,422029,592998,592998,7607.0,-49389.0,0.0,-167483.0,-144.0,0.0,-5758.0,-209988.0,-582.0,395000.0,1520.0,13745.0,500000.0,,,,,
2616,2014年01月01日至2014年09月30日,,231545,231545,,,120630,-1651,4221,-4847,-6032,0.0,113685.0,,,-187505,-42805,50058,-5582,-8289,-194123,,-165050,-11667,-10720.0,-187437,-381560,-267875,-36330,,-4176.0,-64555,,,-36330,-4176,4847,-64555.0,-100214,,-74718,0.0,-356688,19885,-1674,-442434,,219729.0,0,295.0,461286,1085,-80277,422029,341752,341752,4847.0,-29239.0,0.0,-167483.0,,,,,,395000.0,1364.0,13745.0,,,,,,
2616,2014年01月01日至2014年06月30日,,133282,133282,,,78390,-1096,2572,-3514,-3729,0.0,73691.0,,,39066,1532,18039,-6212,5699,58124,,-41397,-46938,-12995.0,-101330,-43206,30485,163767,,-2527.0,-38598,,,163767,-2527,3514,-38598.0,126156,,0,0.0,-280094,13658,-1573,-213350,,-149990.0,0,1295.0,101305,-4656,9455,422029,431484,431484,3514.0,54659.0,,,,,,,,250000.0,1068.0,,,,,,,
2616,2014年01月01日至2014年03月31日,,48786,48786,,,39059,-16,1097,-514,-91,0.0,39535.0,,,14996,55121,5970,-20652,11145,66580,,-49810,-86667,-15282.0,-151759,-85179,-45644,3142,514.0,-1052.0,-1537,,,3142,-1052,514,-1537.0,1067,,0,0.0,-149500,8400,2956,-86219,,3.0,0,182.0,200185,-909,114124,422029,536153,536153,,51925.0,,,,,,,,200000.0,,,,,,,,
