公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 處分投資性不動產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 預付設備款增加,　　 收取之股利,　　 其他非流動負債增加,　　 發放現金股利,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 預付款項（增加）減少,　　　　　 淨確定福利負債增加(減少),　　　　　 存貨（增加）減少,　　 短期借款增加,　　 持有至到期日金融資產到期還本,　　　　 股利收入
2617,2016年01月01日至2016年09月30日,,-3675,-3675,,,511606,18805,21757,-6519,-958,-114.0,,121,,,,-2958,17856,9144,-6237.0,4159,-58218,-36254,,-1215,-6566,-52185,7746,-8236,,-89069,-125323,413149,409474,-67748,341726,,,-1417268,114.0,,180914,-37045,,12673,-1260567,,1235847.0,-219800,,-20887,830564,-6444,-94721,266629,171908,171908,,,-107275.0,7320.0,2209.0,-91805.0,,538472.0,,-28613.0,,-75000.0,100000.0,-6226.0
2617,2016年01月01日至2016年06月30日,,7642,7642,,,339358,9282,12774,-4668,-955,-114.0,,249,,,,-54961,20424,1595,-4747.0,641,-49497,-86545,,-9753,-16,-54398,-5039,-7638,,-98720,-185265,164435,172077,-42314,129763,,,-680276,114.0,,299369,-34576,,5735,-493574,,625611.0,-161756,,-12281,393777,-3738,26228,266629,292857,292857,,,-190166.0,6226.0,2203.0,,,349700.0,,-21876.0,,-60000.0,100000.0,-6226.0
2617,2016年01月01日至2016年03月31日,,8867,8867,,,168090,1386,5198,-2885,23,-114.0,,1889,,,,-26966,33750,-12765,,803,-97005,-100668,,4717,-8275,-28601,-12804,-9809,,-76410,-177078,-3491,5376,-1411,3965,,,0,114.0,,223252,18158,,3409,246305,,,-140854,,-5011,-189298,-4637,56335,266629,322964,322964,,,-98628.0,,1567.0,,,173587.0,1515.0,-21638.0,,-45000.0,100000.0,
2617,2015年度,,135411,135411,,,645265,104730,15312,-13642,-3106,,,1660,,,,64099,-3351,18533,26007.0,-2121,20104,123271,,-53279,896,-44032,-13795,-29481,,-158686,-35415,714804,850215,-72177,778038,,,-796063,,,517125,3389,,18960,-772073,,607462.0,-537115,,-15485,-87767,5278,-76524,343153,266629,266629,,,-517569.0,2085.0,3612.0,-271241.0,,750219.0,,-18995.0,,125000.0,,
2617,2015年01月01日至2015年09月30日,,141326,141326,,,479279,94268,10184,-10482,-3175,,,714,,,,83111,-1531,19114,,-2068,-4159,118139,,1659,10587,-48138,-14741,-27762,,-96758,21381,592169,733495,-74070,659425,,,-785206,,,522032,-5542,,15387,-757944,,601791.0,-449655,,-10289,13303,6105,-79111,343153,264042,264042,,,-506700.0,2085.0,2697.0,-271241.0,,570788.0,,-18363.0,23672.0,140000.0,,
2617,2015年01月01日至2015年06月30日,,70787,70787,,,321634,72507,6791,-7043,-3174,,,1881,,,,58095,-17680,8399,20870.0,72,4290,74046,,16276,-2618,-45267,-10586,-28193,,-85468,-11422,381174,451961,-49917,402044,,,-48878,,,541985,-5540,,6996,-9449,,,-246727,,-7019,-252662,-5052,134881,343153,478034,478034,,,-504012.0,,1084.0,,,392596.0,,-15080.0,,,,
2617,2015年01月01日至2015年03月31日,,85938,85938,,,161192,-15561,3497,-3633,17,,,1617,,,,81101,-10424,32834,,-1325,-11408,110307,,-14152,2301,-29598,-4303,-1680,,-59192,51115,198244,284182,-9918,274264,,,-29186,,,566585,-1074,,5996,45156,,,-187180,,-3419,-190657,-3470,125293,343153,468446,468446,,,-497165.0,,-58.0,,,147129.0,19529.0,-11760.0,,,,
2617,2014年度,,422504,422504,,,594133,-40133,23226,-24148,-3905,0.0,0.0,-1093,548080.0,,,-88066,3607,32554,-19156.0,2607,-12622,-81076,,-27823,-4877,12288,1876,-36770,-16811.0,-72117,-153193,394887,817391,-87231,730160,,,-65587,0.0,0.0,682725,-197321,,29378,-286483,,0.0,-408612,,-23840,-767089,23631,-299781,642934,343153,343153,,0.0,-737763.0,2085.0,-801.0,-333836.0,,,,,,,,
2617,2014年01月01日至2014年09月30日,,325379,325379,,,444740,7641,18922,-18911,-3991,0.0,0.0,-817,447584.0,,,-29023,-29355,17305,-31754.0,7272,-47360,-112915,,-19705,2864,-801,9720,-13498,-15738.0,-37158,-150073,297511,622890,-87176,535714,,,-37141,0.0,0.0,394564,-89,,25031,-347755,,0.0,-346875,,-19242,-700713,10902,-501852,642934,141082,141082,,0.0,-732205.0,2085.0,-760.0,-333836.0,,,,,,,,
2617,2014年01月01日至2014年06月30日,,260433,260433,,,300676,24049,13770,-13070,-3988,0.0,0.0,1460,322897.0,,,4995,-10958,15244,-19514.0,471,-31623,-41385,,-58530,13869,-3457,-17858,-18283,-8072.0,-92331,-133716,189181,449614,-34529,415085,,,-19201,0.0,0.0,989787,-89,,14920,421980,,0.0,-191068,,-13922,-206057,-3898,627110,642934,1270044,1270044,,,-563437.0,,-1067.0,,,,,,,,,
