公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 備供出售金融資產減資退回股款,　　 發行公司債,　　 非控制權益變動,　　　　 金融資產減損損失,　　 短期借款減少,　　 取得採用權益法之投資,　　　　　 遞延貸項增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 其他應付款－關係人減少,　　　　 股份基礎給付酬勞成本,　　 現金增資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　 預付設備款增加,　　 償還公司債,　　 存入保證金增加,　　　　 股利收入,　　 存入保證金減少,　　　　 未實現外幣兌換損失（利益）,　　 其他預付款項增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 發放現金股利
2618,2016年01月01日至2016年09月30日,,6169891,6169891,,,11397405,265536,1332287,-202188,-97409,238036,-1720,-138031,,,,,-66913,-1428278,281526,749657,-90016,-554024,,975463,16354,-579227,545130,-1688028,,317855.0,-797213,-1351237,10573476,16743367,-685735,16057632,,-19326,44936,-7208496,174629,-149041,-55455,,204302,234928.0,-13695475,,2270000.0,18152000,-11422221,-1449712,-1190686,-3097371,-39031,-774245,35744865,34970620,34970620,,,-236424.0,5373.0,-2960000.0,,,,,,0.0,,11924713.0,,-384760.0,,-5100000.0,-2645.0,-139412.0,,-801411.0,-6921952.0,66247.0,-1157683.0
2618,2016年01月01日至2016年06月30日,,3306978,3306978,,,7470561,174334,917005,-133804,-60001,164559,-1011,-98676,,,,95.0,-189670,-1421479,304886,-274378,738579,-841967,,871347,-19675,-1790080,1911742,-1516857,,447817.0,-304764,-1146731,6747953,10054931,-574792,9480139,,-83106,0,-4247272,162949,-116963,-28701,0.0,135855,51136.0,-8963604,,2420000.0,11321000,-8689315,-998021,-847519,-1065415,-6105,-554985,35744865,35189880,35189880,,,-62380.0,5431.0,-2660000.0,,,,,,0.0,,7894684.0,75280.0,-284338.0,,-1550000.0,820.0,-129082.0,,-414632.0,-4837502.0,,
2618,2016年01月01日至2016年03月31日,,1525364,1525364,,,3473871,85656,409094,-61613,-38375,56281,-648,-441174,,,,-3.0,-144510,-570258,-26348,625031,-35197,-151285,,913599,278,-1394091,485860,-23137,,816413.0,733912,582627,4070712,5596076,-10473,5585603,,-473959,0,-1287773,11702,-55160,-21168,,63098,3314.0,-4581810,,1960000.0,7521000,-3426609,-516699,-263492,1749440,-7766,2745467,35744865,38490332,38490332,,,0.0,4993.0,-1960000.0,,,,,,0.0,,3488085.0,78084.0,-143094.0,-2821864.0,-1550000.0,,0.0,-14760.0,,,,
2618,2015年度,,7365204,7365204,,,12774438,344037,1693378,-329138,-131192,-33725,-8834,564182,,,,-368.0,7377,1777100,-770711,-800763,597429,810064,,-198169,-76300,344321,2766854,-241398,,1491212.0,3732378,4542442,19194733,26559937,-532584,26027353,,-731476,67362,-15200600,872023,-209577,-175033,,345510,576954.0,-26004227,,12150000.0,18618500,-11382079,-2028562,-1610439,8575102,1687,8599915,27144950,35744865,35744865,0.0,,246065.0,241124.0,-12360000.0,0.0,,0.0,0.0,0.0,10013433.0,,14652291.0,,-354142.0,-11549390.0,-5100000.0,28184.0,-461979.0,,,,,
2618,2015年01月01日至2015年09月30日,,6811638,6811638,,,9422996,256518,1275888,-249789,-88769,-97530,-8440,653629,,,,-364.0,-80463,763443,580523,-42124,531908,1752923,,365361,-99256,762717,1905372,337477,,678566.0,3711436,5464359,16864425,23676063,-504137,23171926,,-264555,67362,-15126568,832807,-141948,0,309689.0,264613,96943.0,-19607088,,9948000.0,11319500,-7979175,-1515760,-1483281,5485164,4248,9054250,27144950,36199200,36199200,0.0,,-114148.0,235563.0,-9610056.0,0.0,,0.0,0.0,,10013433.0,,11400066.0,,-238801.0,-5645431.0,-5100000.0,6651.0,,,,,,
2618,2015年01月01日至2015年06月30日,,4204082,4204082,,,6110651,170090,844137,-178482,-53836,-35572,-4039,91462,,,,-9.0,-112460,739729,132512,-82184,662779,1340367,,155572,-53670,217416,2881777,525326,,602150.0,4184316,5524683,12587896,16791978,-301225,16490753,,-694197,821,-14612044,723736,-114362,0,344657.0,195156,75778.0,-18297976,,129917.0,6502500,-5980955,-1006535,-939226,7057729,-13446,5237060,27144950,32382010,32382010,0.0,,-113843.0,118802.0,0.0,0.0,,,,,10013433.0,,7063213.0,,-144255.0,-4217521.0,-1550000.0,2438.0,,,,,,
2618,2015年01月01日至2015年03月31日,,2270915,2270915,,,3020746,84242,389849,-80997,-33519,19963,-2750,-228444,,,,-5.0,-162944,-304402,830860,100485,494169,958163,,50006,-32989,-3205,856571,-97491,,507063.0,1258016,2216179,5438351,7709266,-21983,7687283,,-623625,821,-458308,439244,-62645,0,102022.0,86351,,-5210994,,280107.0,4902500,-2381788,-501097,-359574,10389331,-5977,12859643,27144950,40004593,40004593,,,-14250.0,53082.0,0.0,0.0,,,,,10013433.0,,3222172.0,14138.0,-36077.0,-4694854.0,-1550000.0,,,,,,,
2618,2014年度,,48945,48945,,,11422313,304586,1565898,-355051,-110289,-168926,-11971,-55096,14549774.0,,,-1860.0,-74546,315058,-2531298,906288,-1399585,-2785943,,337769,772842,1337340,1275736,594084,-362012.0,-97078.0,3858681,1072738,15622512,15671457,-496864,15174593,,-67550,1060004,-20325286,645629,-263422,-644975,,357746,67109.0,-19198925,,,18584000,-8557254,-1500699,-1476102,6235119,35991,2246778,24898172,27144950,27144950,3764.0,0.0,-122445.0,1634310.0,-378948.0,-90482.0,,58538.0,-500000.0,324000.0,186567.0,,,,,,,,,,,,,
2618,2014年01月01日至2014年09月30日,,421846,421846,,,8485861,223538,1193817,-264030,-88052,48840,-9945,130899,11355868.0,,,-2006.0,-28821,88178,-2340090,699528,-849825,-2433036,,916064,494042,-458804,529494,566520,-291382.0,33221.0,1789155,-643881,10711987,11133833,-454652,10679181,,-67550,798827,-18596795,52727,-180751,574427,,261166,47561.0,-17138568,,,16164000,-6121616,-1184936,-1192670,6697969,19761,258343,24898172,25156515,25156515,3764.0,0.0,-87739.0,1634940.0,-379070.0,-90482.0,,58538.0,-500000.0,,,,,,,,,,,,,,,
2618,2014年01月01日至2014年06月30日,,-132520,-132520,,,5501272,144323,785242,-185354,-40101,16946,-9303,127570,6340595.0,,,97.0,-216347,-346864,-327984,402685,-914652,-1403065,,442732,260829,-189706,1562335,262023,-183755.0,355013.0,2509471,1106406,7447001,7314481,-269974,7044507,,0,680437,-17606409,27321,-135674,0,1762651.0,184380,29519.0,-15144493,,0.0,11542000,-4571774,-815992,-775593,5124892,13363,-2961731,24898172,21936441,21936441,3764.0,0.0,-148707.0,,-105042.0,-90482.0,,,,,,,,,,,,,,,,,,
