公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 各項保險負債淨變動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 不動產及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 處分待出售資產損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 附賣回票券及債券投資（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得待出售資產,　　 處分待出售資產,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 應付商業本票增加,　　 發行公司債,　　 償還公司債,　　 發行金融債券,　　 償還金融債券,　　 其他借款增加,　　 附買回票券及債券負債增加,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　 其他投資活動,　　　　 處分無形資產損失（利益）,　　 處分無形資產,　　 應付商業本票減少,　　 其他負債減少,　　 發放現金股利,　　 因合併產生之現金流入,　　 附買回票券及債券負債減少,　　 其他負債增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
2885,2016年01月01日至2016年09月30日,,13191002,13191002,,,739981,968100,765527,8187055,-23892388,-1736425,17280070,-68282,31384,,-46760,0,127001,9148.0,,113669,2478095,,,-9090529,-15748101,-15177043,,5374812,-12633687,42146,-14602850,19113867,4751840,-37969545,,-22673711,5085480,-2087055,42022038,-21775,14791477,940092,38056546,87001,2565096,15756098,23902869,1655647,-7262235,-1044413,33007966,,,-244803,69583,,,0,-929396,38303,-211334.0,-51652,319759,1209574,,14103604,18450000,-12942153,5000000,,15157400,-7136172,0,,-408881,27897980,-990913,61124607,134112980,195237587,64610511,90528239,40098837,,,222710.0,15.0,203.0,,,-4325818.0,1996201.0,,,
2885,2016年01月01日至2016年06月30日,,8212602,8212602,,,493168,609076,874143,5395396,-15186462,-395561,9000273,-9577,17664,,-9455,0,126436,0.0,-5361.0,-21453,888287,,,-7524123,-16951385,-1457699,,6675281,-4642961,-30944,-11075000,12275957,1532150,-21198724,,-24163062,5966774,-6315238,37740730,70756,12932701,-3558991,22673670,1474946,2363233,10575835,14729239,232520,-4221076,-188998,21127520,,,-225475,69583,,,0,-629795,4947,-184687.0,-40169,224578,730942,,13889421,15000000,-8718944,5000000,,9849977,2584280,0,,-394417,37210317,-712443,58356336,134112980,192469316,60338992,94819881,37310443,,,142915.0,,76.0,,,,1368969.0,,,
2885,2016年01月01日至2016年03月31日,,4077143,4077143,,,236618,249423,345919,2323744,-6502115,-131922,4162247,-87725,2971,,-3619,0,98577,,0.0,2849,696967,,,-7239757,-19132229,-4855801,,-1237206,-9060992,21303,-2872009,10564957,5213391,-28598343,,5770287,2851545,-5952359,2092353,23184,11625903,-4409224,12001689,-16596654,-15899687,-11822544,5943654,31737,-1123510,-247706,-7218369,,,-185793,0,,,0,-272161,2645,-45682.0,-13972,190961,-792758,,43385421,0,-4218944,5000000,0.0,488354,0,0,0.0,-49998,40544864,-306720,32227017,134112980,166339997,59389025,71960713,34990259,,,-468756.0,,,,,,0.0,-4059969.0,0.0,0.0
2885,2015年度,,13116553,13116553,,,1035990,1116134,614529,8756733,-24636845,-1408055,25669205,-57079,41064,0.0,-122914,-36150,293387,15292.0,,49417,11330708,,,-278027,-104447897,-19443075,0.0,981083,-34866326,-21378,-29652685,-53001771,-4606241,-245336317,,27063358,8933397,10716455,69792760,-832766,13020907,7458648,136152759,-109183558,-97852850,-84736297,23979044,1436087,-8967850,-1471889,-69760905,,0.0,-781136,705894,,,69246,-6470497,87632,-123234.0,-57061,1235333,-4723909,,-10096416,3374921,-4129630,10000000,,19915452,65679009,2602265,-197606.0,-664611,80033666,-384601,5164251,128948729,134112980,41773169,65287479,27052332,,,,,6525.0,,,-6449718.0,603389.0,,,
2885,2015年01月01日至2015年09月30日,,12507840,12507840,,,796221,860026,49050,6493772,-18445173,-1317424,14213741,-112597,12222,0.0,-72800,-36150,134266,8896.0,,55304,2641108,,,-409584,-74193227,-16634285,0.0,4883409,-33180119,34033,-26294917,-35705894,-4422148,-185922732,,10001929,14496504,17265771,61666067,-381197,12990283,887591,116926948,-68995784,-66354676,-53846836,18258208,1261775,-6121989,-1107804,-41556646,,0.0,-459437,668279,603389.0,0.0,69246,-3599818,82292,-103985.0,-30864,967828,-1801776,,0,1304194,-4129630,10000000,0.0,16726445,49787882,2602265,0.0,-525188,55524834,-587552,11578860,128948729,140527589,44592451,72145787,23789351,1778.0,,,-24.0,1294.0,-13791416.0,0.0,-6449718.0,,,,
2885,2015年01月01日至2015年06月30日,,8763360,8763360,,,542058,605528,-4521,4386105,-12194003,-398688,6068835,-71715,12259,0.0,-304236,-36150,73890,7302.0,,55263,-1256312,,,-320513,-63152471,-11532494,0.0,-46222322,-24058885,87283,-15634044,-23225066,-2612537,-186671049,,20911267,4158497,45776533,43738604,-330078,7488688,-1585469,120158042,-66513007,-67769319,-59005959,11795180,259162,-4418204,-617518,-51987339,,,-322120,547337,603389.0,,69246,-3236838,36120,,-2731,1041213,-1313910,,3096133,0,-2829230,0,0.0,11474831,33214011,2602265,0.0,-648008,46910002,-1491506,-7882753,128914454,121031701,36729476,64056654,20245571,1761.0,0.0,-49526.0,,,,,,,,,
2885,2015年01月01日至2015年03月31日,,4689301,4689301,,,276618,343308,-1108793,2125139,-5916785,-180119,1683844,1353,6811,0.0,-47454,-36150,60991,0.0,-372.0,42982,-2748627,,,293489,-47279595,-4552545,0.0,-35798847,-5672215,10520,-7461662,-9231314,606260,-109085909,,-759460,788031,15060729,31767783,-278126,2433519,3295461,52307937,-56777972,-59526599,-54837298,5753068,24465,-2085985,107015,-51038735,,0.0,-264856,53826,0.0,0.0,69246,-353674,17927,-19185.0,-2775,271559,-227932,,21200276,0,0,0,0.0,8205674,28559215,2606415,0.0,-162090,60409490,-567845,8574978,128914454,137489432,42442407,69081813,25965212,,,,,,,,,,,,
2885,2014年度,,17890780,17890780,,,1125583,1214185,-234517,6494033,-20008841,-1909896,10045027,17384,-148299,756.0,-1330724,-149159,215498,165324.0,,-5486072,-9989718,,,-2077305,-50921522,-10844017,6865366.0,-19275025,-34981676,35940,-16044265,-12902022,-4286741,-144431267,,-7391475,29708503,61170207,25779163,-4427612,-3015799,-1325645,100497342,-43933925,-53923643,-36032863,17009740,1868321,-5431291,-2667201,-25253294,,1455246.0,0,1515,,,1309941,-733750,261864,-119329.0,-283370,4847400,12025751,,6080925,5030000,-9931860,8000000,,-1626414,41279488,0,0.0,-48775,41761452,444544,28978453,99970276,128948729,47061183,64244339,17643207,,,,,193831.0,,,-7021912.0,5092403.0,,,
2885,2014年01月01日至2014年09月30日,,15286316,15286316,,,834900,868234,-873929,4338853,-14379153,-1878828,7832449,16963,-2196,160.0,-130183,-95,19681,135330.0,,-5548286,-8766100,,,-2068621,-45986341,-1657980,-2232388.0,-31257541,-15176024,51903,-808332,-7938420,-1886073,-108959817,,-3144324,10056804,67794743,5998862,-3826576,-1056084,4079526,79902951,-29056866,-37822966,-22536650,12796755,1773192,-2271329,-2652464,-12890496,,1455246.0,0,0,5092403.0,-590.0,1238,-476457,52812,-100762.0,-282610,363994,6209781,,14660093,0,-9931860,6300000,0.0,5771822,19033557,0,0.0,-631296,28771396,-458986,21631695,99970276,121601971,36993504,83960156,648311,0.0,,,0.0,104507.0,0.0,0.0,-6430920.0,,,,
2885,2014年01月01日至2014年06月30日,,12778827,12778827,,,532222,509457,545322,2309013,-8799193,-288614,1506755,28079,-1089,6579.0,-98775,-95,0,137687.0,,-5578985,-9191985,,,-2187909,-18290836,322283,-4936430.0,-21751214,-6914480,-73070,379912,-6701175,-655044,-60807963,,3502748,3388181,-6530290,56596773,4003187,-5129855,-9536344,46294400,-14513563,-23705548,-10926721,7148980,362420,-152556,-904571,-4472448,,,0,0,5092403.0,,1238,-324981,37242,,-260437,171502,4682778,,14023424,0,-9931860,0,0.0,12393849,6647749,0,0.0,-338651,22794511,-30811,22974030,99970276,122944306,32447610,90496696,0,0.0,-348.0,-34189.0,,,,,,,,,
