公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款減少,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 處分待出售非流動資產損失（利益）,　　　　 非金融資產減損損失,　　 取得以成本衡量之金融資產,　　 處分待出售非流動資產,　　 其他應收款增加,　　 收取之股利,　　　　 處分無形資產損失（利益）,　　 預付投資款減少,　　　　 投資性不動產公允價值調整損失(利益),　　 其他預付款項增加,　　 發行公司債,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 其他非流動負債減少,　　 取得投資性不動產,　　 庫藏股票買回成本
2903,2015年01月01日至2015年09月30日,,1776581,1776581,,,2280990,25673,-922,-28222,353504,-63523,-425049,28146,,168767,,184319,,,,-155716,-7593,-593000,-100003,22407,-532272,-67663,38101,6262,-1389477,,375264,-5350725,-106443,-794129,754996,100471,,-5025821,-6415298,-4166930,-2390349,66585,-357273,-838018,-3519055,,,,-106000.0,-1377109,1022,,-27338,-33235,-224811,,34055868,-33785723,18821278,-19058353,-1000000,36464952,-34690000,-14919.0,-1439211,-581519,-1403882,11849,-5135899,10952918,5817019,5817019,-297640.0,97.0,18766.0,,16.0,0.0,399091.0,,78346.0,3462.0,-12607.0,,,2248368.0,-5255.0,854825.0,,-1822.0,-176255.0
2903,2015年01月01日至2015年06月30日,,916927,916927,,,1520215,15935,-712,-27726,232064,-47640,51090,17363,,168253,,95975,,,,-17608,-14285,145707,55173,116352,274286,64138,36955,4174,664892,,-18957,-5452699,-85015,-899856,397870,60308,,-6000611,-5335719,-3310374,-2393447,40395,-202774,-492348,-3048174,,,,-106000.0,-974083,457,0.0,-9208,-3399,-512370,,21089308,-20574263,11024656,-11543074,0,26300313,-25525000,,-15,-81392,667384,-31949,-2925109,10952918,8027809,8027809,-1.0,97.0,-2027.0,,16.0,,1.0,,78346.0,2459.0,0.0,,,2025345.0,-2262.0,502269.0,-23149.0,-769.0,
2903,2015年01月01日至2015年03月31日,,487335,487335,,,762427,7889,-923,-2854,114447,-25971,42534,2358,,514,1160.0,12016,,,,-38904,-34506,140681,2393,43369,-144341,-134614,7446,2086,-156390,,-15419,-4252700,-79025,-709461,661646,10862,,-4385317,-4541707,-3628110,-3140775,27956,-197690,-54957,-3365466,,,,,-397823,7,0.0,-3177,1963,-193490,,11728446,-10929670,6280817,-6863141,0,12200265,-13825000,,-15,-81392,-1521641,-15502,-5096099,10952918,5856819,5856819,,,,,,,,,,,,,,913597.0,-1220.0,205540.0,-31951.0,,
2903,2014年度,,3089800,3089800,,,2951638,28907,-3321,-46651,465191,-101762,-133261,18330,0.0,2055,,223165,3671067.0,,,-4270,25709,276947,-134629,173061,104093,115264,-18273,5294,543196,,-95891,-92347,1329,-448737,449175,12266,26519.0,-147686,395510,4066577,7156377,116462,-481901,-609052,6450707,,0.0,-369923.0,-360000.0,-1984796,24190,,-34958,-52667,-2859668,,68280489,-69231410,23851586,-23907209,-2500000,48618177,-48592000,26571.0,-1622612,-720319,-5796727,-62799,-2268487,13221405,10952918,10952918,-268122.0,-316.0,513283.0,0.0,582.0,212388.0,268821.0,0.0,78456.0,21931.0,-372940.0,0.0,,,,,,,
2903,2014年01月01日至2014年09月30日,,1845897,1845897,,,2195953,20502,-1770,-6816,341346,-70728,-104535,14613,0.0,1541,,123431,2281467.0,,,-30050,8725,332206,-78129,305507,-130085,-253148,21054,-72936,103144,,-125175,-5294900,-85034,-1161382,972921,5934,-5724.0,-5693360,-5590216,-3308749,-1462852,85452,-354519,-617514,-2084116,,0.0,-681693.0,-360000.0,-1573147,475,,-28950,-4489,-2290480,,56079462,-52879060,17444137,-16722551,-2500000,32159768,-35174000,14816.0,-1622590,-720319,-3920337,63580,-8231353,13221405,4990052,4990052,-264620.0,-316.0,32866.0,0.0,582.0,278286.0,265317.0,0.0,78456.0,,,,,,,,,,
2903,2014年01月01日至2014年06月30日,,1354431,1354431,,,1455085,12763,-2658,2451,223063,-49408,-111031,11778,0.0,1027,,50494,1587666.0,,,6757,23280,185042,-27684,173312,342780,-100207,15500,-68722,550058,,-110120,-5401173,-84994,-1079969,577851,-25970,-3913.0,-6128288,-5578230,-3990564,-2636133,63511,-223453,-322889,-3118964,,0.0,-320340.0,-360000.0,-1038575,133,,-9036,-7714,-1438933,,35871617,-35484841,11297924,-10291092,-2500000,23659639,-22524000,-8823.0,-21,-122387,-101984,-1479,-4661360,13221405,8560045,8560045,-21702.0,-316.0,16120.0,0.0,582.0,296016.0,1.0,,,,,,,,,,,,
2903,2014年01月01日至2014年03月31日,,769834,769834,,,729416,6365,14,2594,112046,-25653,-27884,3737,0.0,514,-4526.0,-61295,735328.0,,,5803,16052,89915,-6994,129574,77330,-218774,15935,1323,110164,,-99010,-5666587,-95165,-1120315,1265861,-39042,-2021.0,-5756279,-5646115,-4910787,-4140953,41684,-122095,76377,-4144987,,0.0,-52442.0,0.0,-494580,1,271966.0,-4303,-22185,-301543,,17190302,-15404276,6808014,-6248526,-2500000,11505346,-11595159,-91914.0,0,-122387,-458600,14879,-4890251,13221405,8331154,8331154,,,,,,,,,,,,,,,,,,,
2903,2013年度,,4092782,4092782,,,2934424,24630,8518,-33996,508253,-120037,-228035,41902,-386986.0,1027,,199505,2703544.0,,,1169262,3076,698025,-6325,-6519,165533,73263,-13293,5412,2088434,,-39328,-993958,-19053,-2032521,642472,84261,-11748.0,-2369875,-281441,2422103,6514885,87411,-515434,-1144255,5278177,,709014.0,681466.0,-147899.0,-3388947,5023,,-30186,-21593,-3414959,,52458782,-54640379,25070441,-26671997,-1200000,51964386,-52270000,131672.0,-1095903,-197462,-5459768,23852,-3572698,16794103,13221405,13221405,-236453.0,0.0,14217.0,-50000.0,0.0,-1250053.0,335570.0,3256.0,78216.0,-26681.0,0.0,990692.0,,,,,,,
2903,2013年01月01日至2013年09月30日,,2419395,2419395,,,2180721,18150,-5696,-18431,390476,-97217,-159477,35539,-379826.0,513,,156308,1927518.0,,,0,10597,661421,22876,147744,50067,181169,7461,4059,1085394,,-138191,-6524046,-113727,-1488149,798287,64679,-9387.0,-7410534,-6325140,-4397622,-1978227,93064,-354215,-1017207,-2934499,,701854.0,944658.0,-147899.0,-2676942,3581,,-22954,-117821,-2555477,,39767771,-41768786,19771211,-19890431,0,39204362,-41550000,84834.0,-129,-197462,-4578630,-52637,-10121243,16794103,6672860,6672860,-234250.0,0.0,38228.0,-50000.0,0.0,-1237779.0,322086.0,2480.0,47825.0,,,,,,,,,,
2903,2013年01月01日至2013年06月30日,,1581406,1581406,,,1406605,11677,-2735,-14867,300949,-71419,-129792,19603,-379826.0,0,,77987,1228681.0,,,0,17421,284428,14887,192764,552504,245330,-14146,2706,1295894,,-150420,-5209555,-88821,-441549,347226,55108,-6870.0,-5494881,-4198987,-2970306,-1388900,58267,-235615,-770985,-2337233,,701854.0,736298.0,-90000.0,-2085309,3411,,-19612,-131626,-2189307,,25901114,-27191932,11914066,-12871349,0,19950000,-21595952,59992.0,-5,-197462,-4031528,-51400,-8609468,16794103,8184635,8184635,-6733.0,0.0,17232.0,-50000.0,0.0,-1254324.0,1.0,,,,,,,,,,,,
