公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 償還公司債,　　　　 其他項目,　　 取得採用權益法之投資,　　 預付投資款增加,　　 償還長期借款,　　 其他應付款－關係人增加,　　 發放現金股利,　　 非控制權益變動,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 處分不動產、廠房及設備,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產增加,　　 處分以成本衡量之金融資產,　　 取得按攤銷後成本衡量之金融資產,　　　　 股利收入,　　　　　 其他應收款（增加）減少,　　　　　 應付票據增加（減少）,　　 其他非流動負債減少
3031,2016年01月01日至2016年09月30日,,129872,129872,,,106945,1003,1736,1710,-4771,262,4674,,,,,,17073,25196,-838,-148626,-26587,-13320,-349.0,-147451,,-4387,-3602,-60398,,-60072,-207523,-162092,-32220,4723,-1710,-7957,-37164,,,-15645,20153.0,,-99321.0,,1068.0,53984.0,0.0,-123337,,0,0.0,-33018,-9754,-203273,784470,581197,581197,-12144.0,,,,,-17635.0,,-13767.0,,-100000.0,,16424.0,,45431.0,-14935.0,,0.0,,-53984.0,,23250.0,-1616.0
3031,2016年01月01日至2016年06月30日,,82970,82970,,,76338,698,11512,1137,-3264,262,3269,,,,,,-28088,38544,-5267,-115130,-15341,-32880,,-121543,,14149,9272,-50091,,-41762,-163305,-138638,-55668,3222,-1137,-270,-53853,,,-10508,,7629.0,-38523.0,,,53984.0,0.0,-88566,,0,-11756.0,-11756,56,-154119,784470,630351,630351,-11301.0,,,,,,,,,-100000.0,,4853.0,,24667.0,-15092.0,-6001.0,,,-53984.0,36619.0,,
3031,2016年01月01日至2016年03月31日,,6734,6734,,,39232,373,3240,563,-1231,262,3072,,,,,,-44018,45519,-4910,-21864,-22099,-9718,0.0,-57090,,19203,4776,-65732,,-41753,-98843,-53001,-46267,1231,-563,8012,-37587,,,-4485,-26435.0,,-26226.0,0.0,,,,-164157,,0,,-5878,-8040,-215662,784470,568808,568808,331.0,,,,,-5878.0,,,,,,0.0,,45842.0,0.0,-7011.0,,-100000.0,,,,
3031,2015年01月01日至2015年09月30日,,38832,38832,,,161113,711,9447,2164,-4656,1471,3161,,,,,0.0,11590,78504,-15595,8198,-79040,5679,-33422.0,-24086,,-46566,-15220,54218,,-8241,-32327,140854,179686,4656,-2164,-50326,131852,,,-63456,1463.0,,8371.0,,-55155.0,0.0,1741.0,-116603,,35000,70075.0,-2722,-31312,-18785,866609,847824,847824,-230.0,,0.0,0.0,,-9460.0,0.0,-98337.0,,-53800.0,,42636.0,,173181.0,-673.0,,1597.0,,,,,
3031,2015年01月01日至2015年06月30日,,-20664,-20664,,,110615,396,13784,1253,-3139,981,1984,,,,,0.0,34396,39554,-15958,20740,-65503,-12150,-59765.0,-58686,,-59936,-17863,30525,,-48588,-107274,18604,-2060,3135,-1253,-27460,-27638,,,-36604,2139.0,,10497.0,,-15528.0,0.0,-5789.0,-33971,,24000,-4750.0,19250,24,-42335,866609,824274,824274,4.0,,,,,,,,,,,11314.0,,125878.0,-1314.0,,,,,,,
3031,2015年01月01日至2015年03月31日,,10783,10783,,,62216,184,8269,646,-985,490,-542,,,,,0.0,4239,66289,-3042,-4038,-93999,-22039,29389.0,-23201,,-17278,-24657,66801,,23689,488,70799,81582,960,-646,-1312,80584,,,-17112,-388.0,,0.0,8223.0,0.0,0.0,0.0,-7308,,16000,,13625,1425,88326,866609,954935,954935,33.0,,,,,-2375.0,,,,,,11272.0,,70311.0,-1177.0,-9303.0,,0.0,,,,
3031,2014年度,,50473,50473,,,250200,676,14323,5109,-20321,4666,-5792,0.0,275668.0,,,0.0,-16189,148488,4920,-166539,93235,53294,-3095.0,114114,,-15966,-5374,104170,1122.0,83952,198066,473734,524207,20321,-5109,-10237,529182,,0.0,-486899,,17879.0,,-22438.0,18852.0,3342.0,104467.0,-338342,,30000,,-48336,-5067,137437,729172,866609,866609,21127.0,0.0,5680.0,-18016.0,,-9500.0,,-68836.0,,0.0,0.0,44471.0,,,,,,,,,,
3031,2014年01月01日至2014年09月30日,,26951,26951,,,193510,472,21951,1514,-3900,3499,-9374,0.0,213416.0,,,0.0,25375,76357,9333,-110174,58820,15107,101085.0,175903,,9410,-15627,52091,539.0,46413,222316,435732,462683,2632,-1514,-21541,442260,,0.0,-28386,-350998.0,0.0,-41777.0,0.0,6124.0,3342.0,-1048.0,-430759,,20000,,18049,-818,28732,729172,757904,757904,64.0,0.0,5680.0,-18016.0,0.0,-7125.0,74010.0,-68836.0,0.0,,,,,,,,,,,,,
3031,2014年01月01日至2014年06月30日,,-5357,-5357,,,136949,279,18928,1054,-2582,2333,-7501,0.0,149482.0,,,-350710.0,-4908,103497,1735,3461,46408,12029,-13120.0,-201608,,-24763,-14077,1017,436.0,-37387,-238995,-89513,-94870,2333,-1054,-10671,-104262,,0.0,-11494,,9378.0,-18988.0,0.0,8286.0,3342.0,-1048.0,-10524,,23000,-4749.0,18251,-4954,-101489,729172,627683,627683,22.0,0.0,,,,,,,,,,,,,,,,,,,,
3031,2014年01月01日至2014年03月31日,,-1173,-1173,,,71248,99,14329,528,-976,1166,336,0.0,86730.0,,,-300256.0,4577,128603,372,-4116,1824,-20335,-18204.0,-207535,,-26149,2890,13487,334.0,-9438,-216973,-130243,-131416,976,-528,-1617,-132585,,0.0,-6815,-1681.0,0.0,-2241.0,0.0,9067.0,3342.0,-1048.0,624,,6000,-2375.0,3625,-1871,-130207,729172,598965,598965,,,,,,,,,,,,,,,,,,,,,,
