公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 發放現金股利,　　 現金減資,　　 員工執行認股權,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 其他非流動負債減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 其他應收款－關係人（增加）減少,　　　　 股份基礎給付酬勞成本,　　　　　 其他營業負債增加（減少）,　　 取得採用權益法之投資,　　 短期借款增加,　　 存入保證金減少,　　 其他金融資產增加,　　 其他非流動負債增加,　　 非控制權益變動,　　 預付投資款增加
3035,2015年01月01日至2015年09月30日,,646279,646279,,,60680,206487,-6328,295,0,-24489,30058,0.0,-34206.0,36288.0,-2600.0,266185.0,,,-5760,-76,-95519,-28107,-34747.0,-289389,51464,-402134,,1370.0,-42283,171558.0,-56585,-92536,-1664.0,-20140,-422274,-156089,490190,24986,0,-60674,454502,,0,132422.0,0.0,67177.0,0.0,-21497,0.0,-45.0,-171543,0.0,6514,,0.0,1257,-621376.0,-1657002.0,0,-140449.0,-2417570,8039,-1948515,4312675,2364160,2364160,,,,,,,,,,,,,,,,,,,,,
3035,2015年01月01日至2015年06月30日,,437887,437887,,,40787,136832,-2427,-4510,0,-18517,18553,0.0,-36293.0,29940.0,1540.0,165905.0,,,3788,772,-202413,-44356,-10057.0,-212431,55661,-409036,,948.0,-84977,220126.0,-25548,1108,-1100.0,110557,-298479,-132574,305313,17502,0,-19066,303749,,0,1695.0,,60991.0,,-17076,0.0,,-81216,0.0,-35211,,,936,,,0,-19983.0,-19047,-16064,233427,4312675,4546102,4546102,395.0,,,,,,,,,,,,,,,,,,,,
3035,2015年01月01日至2015年03月31日,,226259,226259,,,20330,69360,-2097,-7780,0,-9162,15611,0.0,1723.0,,640.0,88625.0,,,-3974,134,-69547,-3947,-27.0,-87477,87534,-77304,,246.0,245817,,-29960,-84429,-569.0,131105,53801,142426,368685,7486,0,-5547,370624,,0,1695.0,,,,-3789,0.0,,-78520,0.0,-80821,,,472,,,0,,472,-13605,276670,4312675,4589345,4589345,-207.0,,,,,,,,,,,,,,,,,,,,
3035,2014年度,,803792,803792,,,81878,262759,5897,-1908,211,-37337,14508,1352.0,8236.0,82265.0,-1865.0,,,,-3015,5524,111745,-2862,-21234.0,-93830,-121661,-125333,,,-12638,,-73790,37512,,-51466,-176799,148366,952158,37821,-211,-154213,840146,,-194850,100530.0,-43798.0,0.0,-109.0,-37733,193.0,2233.0,-380496,939.0,-451886,,-10000.0,-9953,-822158.0,,122859,,-719252,23434,-307558,4620233,4312675,4312675,,,-4591.0,-86240.0,325165.0,-2550.0,4591.0,7155.0,94050.0,0.0,0.0,,,,,,,,,,
3035,2014年01月01日至2014年09月30日,,603698,603698,,,61585,191388,756,-296,211,-29429,5956,-157.0,9795.0,0.0,-1220.0,238589.0,,,-924,6094,-162812,532,-53959.0,-217302,-39119,-467490,,0.0,23486,0.0,-133709,-862,-1879.0,-112964,-580454,-341865,261833,28204,-211,-127710,162116,,-163900,69812.0,-43798.0,0.0,-109.0,-35483,193.0,1908.0,-375117,939.0,-545555,,-10000.0,-4790,-822158.0,0.0,103455,0.0,-733493,8989,-1107943,4620233,3512290,3512290,,,,,,,,,,,,,,,,,,,,,
3035,2014年01月01日至2014年06月30日,,438798,438798,,,41051,120715,-7548,-7258,128,-20490,-8283,-193.0,-355.0,0.0,-120.0,117647.0,,,-422,6296,-131245,115,2994.0,-180595,-93901,-396758,,1663.0,132704,0.0,-16742,-12614,-1288.0,103723,-293035,-175388,263410,20009,-128,-86130,197161,,-113900,69812.0,,0.0,,-29896,193.0,,-88020,939.0,-160890,,,-4,,,67260,0.0,67256,3653,107180,4620233,4727413,4727413,-18.0,,,,,,,,,,,,,,,,,,,,
3035,2014年01月01日至2014年03月31日,,201776,201776,,,20671,60549,192,-3417,76,-9364,11592,-193.0,-1025.0,,-1226.0,77855.0,,,-3993,6296,-31663,1786,-10003.0,-37572,-36639,-111788,,44.0,136645,,-97402,109168,-673.0,147782,35994,113849,315625,7731,-76,-4274,319006,,-73900,64268.0,,,,-21815,193.0,,-86201,-15000.0,-132673,,,268,,,62638,,62906,4653,253892,4620233,4874125,4874125,-218.0,,,,,,,,,,,,,,,,,,,,
3035,2013年度,,992891,992891,,,87733,249700,-2343,6729,344,-26436,18568,148.0,-11017.0,40000.0,-1640.0,,,,4024,-5822,489468,-1971,40428.0,272663,78354,877144,,,-356928,,-39777,92102,,-307193,569951,928125,1921016,24625,-344,-112717,1835904,,-80000,213656.0,0.0,12543.0,0.0,-13096,136.0,1088.0,-191171,0.0,-56844,,-2000.0,7910,-812640.0,,86065,,-726083,16597,1069574,3550659,4620233,4620233,,,-3324.0,-288.0,358174.0,-2590.0,3324.0,0.0,0.0,-5418.0,0.0,,,,,,,,,,
3035,2013年01月01日至2013年12月31日,,992891,992891,,,87733,249700,-2343,6729,344,-26436,18568,148.0,-11017.0,40000.0,-1640.0,,,,4024,-5822,489468,-1971,,272663,119425,877144,,,-356928,,-39777,92102,,-307193,569951,928125,1921016,24625,-344,-112717,1835904,,-80000,213656.0,0.0,12543.0,,-13096,136.0,1088.0,-191171,0.0,-56844,,-2000.0,7910,-812640.0,,86065,,-726083,16597,1069574,3550659,4620233,4620233,,,-3324.0,-288.0,358174.0,-2590.0,3324.0,,,-5418.0,,-643.0,0.0,0.0,0.0,0.0,0.0,,,,
3035,2013年01月01日至2013年09月30日,,727148,727148,,,66177,189184,-3300,-1294,258,-18508,8417,25.0,-9798.0,30000.0,0.0,,,,3546,474,178444,-8108,-121613.0,64103,197339,314185,,32.0,-172796,,-99714,70428,,-204245,109940,367489,1094637,17842,-258,-101844,1013701,,-50000,30632.0,0.0,12462.0,0.0,-10650,0.0,1705.0,-153995,0.0,-169846,,-1000.0,7021,-812640.0,,56747,,-755290,13281,101846,3550659,3652505,3652505,,,-3324.0,-288.0,257549.0,-2195.0,3324.0,,,-5418.0,,,,,,,,,,,
3035,2013年01月01日至2013年06月30日,,480832,480832,,,44405,126814,339,4301,169,-11748,-614,0.0,-632.0,,0.0,,,,2162,295,353051,-11920,,-87818,56534,312304,,147.0,-310720,,49598,-54485,,-317040,-4736,156933,637765,11994,-169,-91832,558835,,-50000,30632.0,,,,-9788,0.0,,-119721,0.0,-146259,,-500.0,7039,,,44058,,45179,15403,473158,3550659,4023817,4023817,2618.0,,-1077.0,-288.0,161669.0,-1580.0,1077.0,,,-5418.0,,0.0,,,,,,,,,
3035,2013年01月01日至2013年03月31日,,237968,237968,,,22304,63419,-1160,5168,84,-4220,8761,0.0,0.0,,-1600.0,,,,-6084,128,268304,-19406,,-149853,-31024,62065,,44.0,-97401,,-5982,-11874,,-115852,-53787,38969,276937,4014,-84,-1370,279497,,-30000,0.0,,,,-4881,0.0,,-92151,0.0,-124989,,,6338,,,42078,,42998,11218,208724,3550659,3759383,3759383,2043.0,,,,92756.0,-639.0,,,,-5418.0,,0.0,,,,,,,,,
3035,2012年01月01日至2012年12月31日,,1175408,1175408,,,89304,243706,-1600,-2799,321,-21424,36720,536.0,-1342.0,8325.0,1901.0,,,,-2305,-474,-284321,31047,,-305883,-100040,-661976,,,279486,,246568,14410,,535915,-126061,223683,1399091,19322,-321,-98731,1326103,,-221140,165832.0,-23928.0,0.0,,-42532,0.0,4254.0,-304854,-33.0,-428461,,0.0,0,-603465.0,,124341,,-496945,-7684,393013,3157646,3550659,3550659,,,-6742.0,0.0,349744.0,-4035.0,6742.0,,,2058.0,,0.0,2838.0,-514.0,-6060.0,2000.0,-21879.0,,,,
3035,2012年01月01日至2012年09月30日,,934421,934421,,,67091,179824,13930,-4025,211,-15759,24671,0.0,-534.0,8325.0,,,,,2492,-1523,-691061,19615,,-145573,-42693,-858743,,21.0,575201,,166243,-41410,,697068,-161675,106121,1040542,14907,-231,-87676,974284,,-171965,60534.0,-23928.0,0.0,,-30244,,1953.0,-285864,-25.0,-455599,,0.0,0,-603465.0,,111408,,-494224,-10656,13805,3157646,3171451,3171451,,,-6742.0,804.0,267796.0,-2987.0,6742.0,,,-3874.0,,,,,-6060.0,2000.0,-293.0,,,,
3035,2012年01月01日至2012年06月30日,,580472,580472,,,44602,119776,7836,346,134,-10264,19735,,-534.0,2325.0,,,,,2492,0,-353072,15854,,-242436,4399,-572763,,20.0,314570,,48165,-720,,360105,-212658,-27898,552574,9487,-154,-82572,479335,,-127000,60534.0,,,,-17563,,,-230333,,-318189,,0.0,0,,,93027,,96922,-3701,254367,3157646,3412013,3412013,2258.0,,0.0,804.0,184760.0,-1930.0,0.0,,,0.0,,,,,-6060.0,2000.0,-66.0,-25.0,1960.0,1.0,
3035,2012年01月01日至2012年03月31日,,267824,267824,,,22438,56352,1654,-1334,53,-4941,10762,,,,,,,,170,-804,-243346,1071,,-388994,-26551,-658454,,44.0,282719,,-33690,130572,,378672,-279782,-193994,73830,4225,-53,-5561,72441,,-107000,,,,,-5916,,,-172058,,-288847,,,0,,,83147,,86664,-4373,-134115,3157646,3023531,3023531,2920.0,,,804.0,85788.0,-973.0,,,,1811.0,,,,,-6060.0,2000.0,-294.0,,,,-733.0
