公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得投資性不動產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 退還（支付）之所得稅,　　 按攤銷後成本衡量之金融資產到期還本,　　 處分備供出售金融資產,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 取得以成本衡量之金融資產,　　 收取之股利,　　 發放現金股利,　　 非控制權益變動,　　 短期借款減少,　　 現金減資,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分投資性不動產損失（利益）,　　 處分投資性不動產,　　　 收益費損項目,　　　　 收益費損項目合計,　　 處分無活絡市場之債務工具投資,　　 處分子公司,　　 取得無活絡市場之債務工具投資,　　 處分子公司股權（未喪失控制力）
3040,2016年01月01日至2016年06月30日,,96232,96232,,,9063,32,-6085,-11503,-17040,-125,,,371,2158,6554,,,,125,,-1546,-197,-891,159,-2350,,-1111,-9553,2475,-411,-8600,-10950,-48800,47432,6524,-32,10119,,,,-1243,,-487.0,-2630.0,,141838,,50000.0,-2139,,47861,-13817,186001,335340,521341,521341,-43805.0,,0.0,30466.0,,,,,,,,0.0,0.0,-21275.0,30232.0,,-37850.0,77305.0,8195.0,0.0,0.0
3040,2016年01月01日至2016年03月31日,,69973,69973,,,4648,16,-3993,-5799,-16931,-44,,,0,982,3313,,,,44,,-3514,-10846,1691,-801,-13426,,156,-5967,2828,1344,-1639,-15065,-54148,15825,4115,-16,13228,,,,-46,-563.0,0.0,-3304.0,,135926,,,1660,,1660,-5828,144986,335340,480326,480326,-6696.0,,0.0,30357.0,,,,,,,,0.0,,-21275.0,30232.0,,-39083.0,71055.0,8195.0,,
3040,2015年01月01日至2015年06月30日,,119659,119659,,,7403,35,-7063,-5813,3,-77,,,-15584,-1484,-79238,,,,77,,-821,-310,13836,-8447,4335,,-2839,-1244,-119,7268,3066,7401,-94417,25242,7046,-35,26493,,,,-559,,15.0,0.0,,39658,,0.0,175,,-269326,-1451,-204626,582286,377660,377660,-5760.0,,0.0,1.0,,,,,,,,-270000.0,0.0,0.0,66883.0,,-101818.0,0.0,23545.0,-50227.0,499.0
3040,2015年01月01日至2015年03月31日,,13139,13139,,,3728,17,-3507,-2301,0,-32,,,-15734,-978,3353,,,,32,,-3172,-4267,14750,4513,11856,,-3539,-1061,4181,6731,6312,18168,2714,15853,5337,-17,20565,,,,-156,0.0,9.0,0.0,,11075,,,773,,-269227,-743,-238330,582286,343956,343956,-608.0,,0.0,0.0,,,,,,,,-270000.0,,0.0,9649.0,,-15454.0,1573.0,0.0,,
3040,2014年01月01日至2014年09月30日,,557928,557928,,,16525,884,-5250,-5478,-31559,-798,0.0,,-2494,-448,9898,-522810.0,,,244,0.0,5701,2671,16097,1265,25978,,-2384,18503,-9327,992,7784,33762,-489048,68880,2427,-900,61686,,-388594.0,0.0,-1219,,3884.0,0.0,0.0,318501,,-85000.0,2618,,-172382,2749,210554,257479,468033,468033,-8721.0,,2708.0,36967.0,,0.0,,1061.0,-90000.0,0.0,,,1034.0,-505124.0,663694.0,,,,,,
3040,2014年01月01日至2014年06月30日,,43310,43310,,,11056,678,-2736,-3382,-31601,-681,,0.0,-10691,58,6618,-29303.0,,,127,,-845,1687,16884,1771,19624,,-2870,3118,-9356,-100,-9208,10416,-18887,24423,1595,-597,18473,,0.0,0.0,-949,,,,,9706,,35000.0,4585,,39585,-1930,65834,257479,323313,323313,-6948.0,,2707.0,4110.0,3838.0,,,,,,,,1378.0,,,,,,,,
3040,2014年01月01日至2014年03月31日,,9891,9891,,,5561,304,-1225,-1360,60,-608,,,-757,-142,3329,5162.0,,,54,,-165,2834,983,-2423,1283,,-816,-622,-5949,1766,-5621,-4338,824,10715,367,-288,10794,,0.0,0.0,-23,0.0,3817.0,,,6503,,,2253,,2253,2289,21839,257479,279318,279318,,,2707.0,2.0,,,,,,,,,,,,,,,,,
3040,2013年01月01日至2013年12月31日,,42242,42242,,,22612,1257,-4080,-3871,15,-19411,,,-6059,-17,12897,3343.0,,,815,,22236,-2839,3104,-6429,16887,,1437,5039,8313,-492,14297,31184,34527,76769,4727,-1299,69566,,18213.0,22530.0,-1839,,,-693.0,186.0,49044,,,8066,0.0,-149923,7617,-23696,281175,257479,257479,-10631.0,,10646.0,1.0,,0.0,0.0,0.0,-20773.0,1443.0,0.0,-138659.0,,,,,,,,,
3040,2013年01月01日至2013年09月30日,,41783,41783,,,17150,942,-2799,-3126,15,-3195,-16181.0,,-4077,577,9654,-1040.0,,,747,396.0,25661,-1315,6292,-3463,28318,,582,4040,-1981,3727,6368,34686,33646,75429,5261,-919,71075,,18291.0,22530.0,-1695,,,-693.0,220.0,49300,,0.0,4614,0.0,-14716,4458,110117,281175,391292,391292,-8696.0,,10646.0,1.0,,0.0,0.0,0.0,-20773.0,1443.0,,,,,,,,,,,
3040,2013年01月01日至2013年06月30日,,35153,35153,,,11664,623,-1862,-1932,15,-2062,-16181.0,0.0,-3047,357,6395,-6030.0,,,491,-130.0,22697,-1795,10607,200,32070,,-795,4515,-693,2717,5744,37814,31784,66937,4742,-652,64991,,,22530.0,-294,,,0.0,0.0,-3048,,0.0,3444,0.0,3444,6462,71849,281175,353024,353024,-6036.0,-32899.0,7790.0,1.0,-176.0,0.0,,,,,,,,,,,,,,,
