公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　　　　 預付款項（增加）減少,　　 收取之利息-營業活動,　　 支付之利息-營業活動,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 退還（支付）所得稅,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 其他應收款增加,　　 員工購買庫藏股,　　　　 非金融資產減損損失,　　 短期借款增加,　　　 收益費損項目,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 處分無形資產損失（利益）
3058,2016年01月01日至2016年06月30日,,48476,48476,,,82889,8045,1643,4424,-3689,1303,433,,,,-58,10118,-84977,1933,92404,4786,12420,,1670,-5547,0,-36949,0,-31064,-15570,,-87854,-75434,35516,83992,3794,-4308,-8777,74701,,-43263,2256,-2404,-6650,0,-20136,-80197,,0,-574,-61,0,-3965,-64580,-74041,806576,732535,732535,0.0,0.0,-11786.0,,,,,,,-10000.0,0.0,0.0,0.0,0.0,-3330.0,,15889.0,110950.0,-394.0,13.0
3058,2016年01月01日至2016年03月31日,,20906,20906,,,41470,4294,529,2256,-1945,1453,44,,,,-110,-6266,94899,1872,90450,4361,192901,,4,-483,0,-125077,0,-26106,-7313,,-159170,33731,81845,102751,1958,-2173,-6401,96135,,-18193,236,13,-5488,-4463,0,-27895,,0,-227,-2513,0,-19486,-28235,20519,806576,827095,827095,,,7695.0,,,,,,,0.0,,,,,-16746.0,,0.0,48114.0,-195.0,13.0
3058,2015年01月01日至2015年06月30日,,46049,46049,,,79224,7853,4423,5629,-10396,0,-329,,,,40,22114,-95856,56869,79590,18125,83620,,-643,-31232,0,-129282,0,5948,74,,-155534,-71914,20230,66279,10474,-5738,-17023,53992,,-107120,7116,687,-1129,0,8319,-97072,,0,-939,1103,0,-155196,-40586,-238862,999748,760886,760886,0.0,0.0,2738.0,10474.0,-5738.0,,,66279.0,-17023.0,-27371.0,22426.0,0.0,0.0,0.0,-155360.0,,5740.0,92144.0,-399.0,
3058,2015年01月01日至2015年03月31日,,9764,9764,,,39716,4214,4601,2894,-5444,0,-103,,,,-69,13395,128436,670,9541,15860,146229,,-127,-18822,0,-124826,0,-22819,4109,,-162685,-16456,33869,43633,5046,-2643,-6079,39957,,-55199,6827,324,-626,2415,0,-23833,,73350,-410,-77,0,72863,-17078,71909,999748,1071657,1071657,,,-21604.0,,,,,,,22426.0,,,,,,,4447.0,50325.0,-200.0,
3058,2014年01月01日至2014年06月30日,,15465,15465,,,76595,8923,4285,5187,-6339,6667,2189,104540.0,,,562,10370,418362,-57605,111874,24550,512081,,440,-7154,-31356,-396245,-39632,-69639,-1334,-450.0,-545370,-33289,71251,86716,6642,-5069,-13197,75092,,-56141,208,-5145,-1128,0,13537,-48669,,0,-291,13,0,15330,-20648,21105,660510,681615,681615,0.0,0.0,3968.0,6642.0,-5069.0,,,86716.0,-13197.0,0.0,0.0,0.0,0.0,7033.0,15608.0,,,,,
3058,2014年01月01日至2014年03月31日,,37011,37011,,,38636,4472,-1390,2090,-3030,2654,641,44073.0,,,1940,5487,398598,-72,21734,9195,439404,,398,-3808,-8554,-358978,-34784,-85797,-646,-237.0,-492406,-53002,-8929,28082,2953,-2007,678,29706,,-20093,211,-652,-372,-2158,0,-23064,,35003,-291,2,0,34714,7437,48793,660510,709303,709303,,,2522.0,,,,,,,,,,,,,,,,,
3058,2013年01月01日至2013年06月30日,,100826,100826,,,68158,8646,1948,3652,-5612,5641,53,91457.0,,,4731,-24995,41301,-1322,12738,-5304,56903,,286,-2131,-10518,-41702,-2377,-60308,-4080,-553.0,-121383,-64480,26977,127803,4917,-2725,-19416,110579,,-36663,1903,-1443,-2199,-10871,0,-75781,,-50020,-19545,165,0,-25609,62409,71598,739470,811068,811068,8971.0,0.0,29754.0,4917.0,-2725.0,,,127803.0,-19416.0,-25000.0,0.0,-1508.0,43791.0,0.0,0.0,,,,,
3058,2013年01月01日至2013年03月31日,,39357,39357,,,33653,4302,-469,2125,-2898,1824,178,38715.0,,,-2602,31353,244123,-15978,29321,31583,317800,,0,483,-9161,-242931,48,-64826,554,-282.0,-316115,1685,40400,79757,2780,-1465,-6865,74207,,-16957,1216,-1055,-401,-5336,0,-22533,,-78145,-342,95,0,-78392,48109,21391,739470,760861,760861,,,,,,,,,,,,,,,,,,,,
3058,2012年01月01日至2012年06月30日,,177404,177404,,,61009,8430,1792,6794,-3298,8590,296,82734.0,,,21196,-50494,24151,2692,143160,1409,113095,,-1440,-4900,-12299,-84576,24422,527,13498,-590.0,-65358,47737,130471,307875,3147,-3979,-31143,275900,,-92872,450,-959,-6315,0,3009,-124323,,-231185,0,0,-12,-231197,-17849,-97469,694558,597089,597089,0.0,-879.0,-29019.0,3147.0,-3979.0,,,307875.0,-31143.0,0.0,879.0,-28515.0,0.0,,,,,,,
3058,2012年01月01日至2012年03月31日,,67719,67719,,,30294,4125,-891,3612,-1821,2934,181,38434.0,,,20911,-21093,273864,7319,-13577,-27367,240057,,-1530,-3979,-7183,-159373,22097,-34487,18234,-324.0,-166545,73512,111946,179665,1821,-2426,-11180,167880,,-13775,248,-885,-3058,0,863,-16607,,-171600,0,0,-10,-171610,-31090,-51427,694558,643131,643131,,,,,,,,,,,,,,,,,,,,
