公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　　　　 其他流動資產（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 舉借長期借款,　　 非控制權益變動,　　 其他籌資活動,　　 取得以成本衡量之金融資產,　　 其他應收款減少,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　 其他非流動資產增加
3060,2015年01月01日至2015年09月30日,,991050,991050,,,153320,3193,3984,-171741,0.0,28000.0,28063.0,44819.0,,,-55525,59374.0,-250235,-14819.0,-80,-261285,,343415,-26258,-145505,219,171871,-89414,-44595,946455,152085.0,-4040,-110820,983680,,-366592,6742,82709.0,-13613,-290754,,0.0,-20119,-383244.0,-403363,-344360,-54797,2520739,2465942,2465942,,,,,,,,,,,,,,,,,
3060,2015年01月01日至2015年06月30日,,513492,513492,,,100074,2287,2736,-92409,,0.0,21973.0,34661.0,,,113117,69230.0,-254634,-12767.0,55,-84999,,201662,-22834,-90202,370,88996,3997,38658,552150,,-2767,-33629,515754,,-310331,4315,45643.0,-12568,-272941,,0.0,-12483,,-10603,-193752,38458,2520739,2559197,2559197,1880.0,,,,,,,,,,,,,,,,
3060,2015年01月01日至2015年03月31日,,327108,327108,,,48939,1204,1395,-57112,,0.0,3690.0,-1884.0,,,17483,4116.0,-52024,,23,-37230,,-170389,-42013,-14294,508,-226188,-263418,-265302,61806,,-1403,-26841,33562,,-215416,3440,3285.0,-5523,-214214,,0.0,-5929,,-5929,-118060,-304641,2520739,2216098,2216098,,-6828.0,,,,,,,,,,,,,,,
3060,2014年度,,1002745,1002745,,,196501,5519,6012,-193462,158.0,130812.0,12600.0,,,,-275032,17443.0,-269835,,415,-544032,,50035,83590,28053,3815,165493,-378539,-222293,780452,62440.0,-6017,-189424,647451,,-152590,10425,-10137.0,-6409,-158711,,-59564.0,-5796,-365824.0,-431184,14061,71617,2449122,2520739,2520739,,-17023.0,,0.0,-1894.0,0.0,156246.0,0.0,0.0,0.0,0.0,0.0,,,,,
3060,2014年01月01日至2014年09月30日,,673607,673607,,,145440,4394,4794,-157354,158.0,110679.0,-4822.0,103289.0,,,-133462,0.0,-188129,-14089.0,-42,-335722,,-7789,12512,52685,2577,59985,-275737,-172448,501159,62440.0,-4810,-158256,400533,,-95338,4777,-8632.0,-4531,-103724,,-59564.0,-1761,-365824.0,-427149,33450,-96890,2449122,2352232,2352232,,,,,,,,,,,,,,,,,
3060,2014年01月01日至2014年06月30日,,366033,366033,,,97621,2810,3274,-82660,,100000.0,-572.0,120473.0,,,109127,-11036.0,-103818,-33738.0,-5,-39470,,-84139,24461,26093,2518,-31067,-70537,49936,415969,,-3290,-112735,299944,,-61426,2322,-12496.0,-2835,-74435,,-59564.0,-137,,-59701,32373,198181,2449122,2647303,2647303,0.0,,,,,,,,,,,,,,,,
3060,2014年01月01日至2014年03月31日,,217681,217681,,,49383,1314,1728,-24850,,39000.0,4785.0,71360.0,,,80951,13998.0,-67375,,-44,4826,,-21080,-22446,16724,2604,-24198,-19372,51988,269669,,-1728,-33132,234809,,-29895,1403,-7430.0,-1296,-37218,,-40337.0,-57,,-40394,48450,205647,2449122,2654769,2654769,,-22704.0,,,,,,,,,,,,,,,
3060,2013年度,,727406,727406,,,201541,7333,10988,-85954,-24911.0,121000.0,-28952.0,,,,49540,26380.0,343062,,379,442507,,231736,-27776,-73472,62,130550,573057,775630,1503036,4741.0,-7491,-42361,1457925,,-182262,13830,-32668.0,-4204,-170469,,-79860.0,-15117,-777597.0,-817774,-62865,406817,2042305,2449122,2449122,,23146.0,,-12277.0,1671.0,12134.0,202573.0,-72240.0,53838.0,53237.0,55000.0,-200.0,,,,,
3060,2013年01月01日至2013年12月31日,,727406,727406,,,201541,7333,10988,-85954,-24911.0,121000.0,-28952.0,,,,49540,26380.0,343062,,379,442507,,231736,-27776,-73472,62,130550,573057,775630,1503036,4741.0,-7491,-42361,1457925,,-182262,13830,-32668.0,-4204,-170469,,,-15117,-777597.0,-817774,-62865,406817,2042305,2449122,2449122,-79860.0,23146.0,,-12277.0,1671.0,12134.0,202573.0,-72240.0,53838.0,53237.0,55000.0,-200.0,0.0,0.0,,,
3060,2013年01月01日至2013年09月30日,,485136,485136,,,151644,5820,9089,-54399,-24911.0,67000.0,-13753.0,,,,220557,,398942,,-34,645619,,-68601,-53994,-100927,-8,-223530,422089,562436,1047572,4741.0,-5346,-8371,1038596,,-152273,12305,-23628.0,-4396,-133157,,-27492.0,-13298,-777597.0,-765344,-45835,94260,2042305,2136565,2136565,,26154.0,,-12277.0,,12134.0,140347.0,-72240.0,53838.0,53237.0,53243.0,-200.0,,,,,
