公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 存入保證金增加,　　 其他應付款－關係人減少,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息收入,　　　　 其他項目,　　 收取之利息,　　 其他籌資活動,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他應付款－關係人增加,　　 發放現金股利,　　　　 買回應付公司債損失（利益）,　　 其他投資活動,　　 償還公司債,　　 取得子公司股權,　　 非控制權益變動,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 存出保證金增加,　　 預付設備款增加,　　 存入保證金減少,　　 處分子公司股權（未喪失控制力）,　　　 收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分採用權益法之投資損失（利益）,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分子公司,　　 舉借長期借款
3209,2015年01月01日至2015年03月31日,,103983,103983,,,6051,312,677,,16474,,7879.0,,45029,,,,16756,-340187,8142,-248761,-17051,624,-580477,,9047,-51189,-13170,33785,,-21496,-601973,-526079,-422096,-16171,,-438065,,-123422,,1846,,-122439,,208671.0,,79899.0,,,,,408185,-2428,-154747,499912,345165,345165,-210.0,,202.0,,0.0,0.0,,0.0,,0.0,,,,,-438065.0,,,-385.0,,,-119.0,-199.0,75894.0,31.0,-863.0,120000.0
3209,2014年度,,369362,369362,,,24349,598,-2436,0.0,57772,40.0,29682.0,,-46098,62990.0,,,129059,79511,-113403,-235878,-12829,8485,-145055,,-10387,-136301,65677,-46806,-9.0,-127826,-272881,-209891,159471,-55521,-41941.0,62998,,-18508,5.0,0,-1290.0,-56630,,273407.0,0.0,115.0,0.0,0.0,,,175689,27192,209249,290663,499912,499912,-994.0,,989.0,,0.0,5535.0,-146257.0,77.0,,-1799.0,36720.0,,,,62998.0,-4837.0,-32000.0,-12.0,7980.0,,,,,,,
3209,2014年01月01日至2014年09月30日,,270098,270098,,,18143,429,311,0.0,42293,22.0,,,-38,75125.0,,,45796,-177728,-57749,-444457,-44456,4175,-674419,,19391,35301,74045,-4506,61.0,124292,-550127,-475002,-204904,-82104,-41569.0,-327898,,-15309,5.0,-2707,-1009.0,-19020,,595650.0,,,171.0,-13.0,1845.0,,464597,7448,125127,290663,415790,415790,-696.0,14584.0,679.0,,0.0,,-146257.0,77.0,,-1799.0,,15000.0,,,-327898.0,,,,,,,,,,,
3209,2014年01月01日至2014年06月30日,,174388,174388,,,11875,271,208,0.0,27195,25.0,,,16492,61774.0,,,64907,-62375,-40751,-77690,-41006,9865,-147050,,21480,-186932,75485,-32095,43.0,-122019,-269069,-207295,-32907,-67706,-24950.0,-125117,,-9266,2.0,-170,-398.0,-9832,,156687.0,,,126.0,-13.0,0.0,,155001,624,20676,290663,311339,311339,-461.0,6092.0,446.0,,0.0,,,77.0,,-1799.0,,,,,-125117.0,,,,,,,,,,,
3209,2014年01月01日至2014年03月31日,,86181,86181,,,5976,135,-17,0.0,12948,,,,-5870,19095.0,,,-20641,208127,-132808,-77056,-13909,19020,-17267,,12961,-136960,28636,-3190,25.0,-98528,-115795,-96700,-10519,-11484,0.0,-21824,,-4457,0.0,637,0.0,-3820,,312515.0,,,105.0,,1995.0,,312816,8614,295786,290663,586449,586449,-188.0,6034.0,179.0,,0.0,,,77.0,,-1799.0,,,,,-21824.0,,,,,,,,,,,
3209,2013年度,,221017,221017,,,26437,347,7080,-613.0,46216,138.0,38485.0,,-6377,113880.0,,,-80781,-644550,118659,264784,8669,23708,-309511,,14336,676222,-15265,15650,-26.0,690917,381406,495286,716303,-43721,-18680.0,655005,,-21181,1653.0,1620,-1998.0,-19906,,0.0,-620342.0,0.0,-80067.0,486.0,,,-817279,7676,-174504,465167,290663,290663,-876.0,,1103.0,,0.0,2295.0,-56799.0,3043.0,,-74700.0,11848.0,,,,655005.0,0.0,0.0,0.0,0.0,,,,,,,
3209,2013年01月01日至2013年12月31日,,221017,221017,,,26437,347,7080,-613.0,46216,138.0,,,-6377,113880.0,,,-80781,-644550,118659,264784,8669,23708,-309511,,14336,676222,-15265,15650,-26.0,690917,381406,495286,716303,-43721,-18680.0,655005,,-21181,1653.0,1620,-1998.0,-19906,,,-620342.0,,-80067.0,486.0,,0.0,-817279,7676,-174504,465167,290663,290663,-876.0,38485.0,1103.0,,0.0,2295.0,-56799.0,3043.0,0.0,-74700.0,11848.0,0.0,,,,,,,,,,,,,,
3209,2013年01月01日至2013年09月30日,,163650,163650,,,20276,216,6063,-604.0,32804,0.0,,,7113,98537.0,,,-53044,-750998,-113660,29806,-25600,9537,-903959,,31644,717769,-35097,87866,-23.0,802159,-101800,-3263,160387,-31207,-18315.0,111601,,-14905,1651.0,2244,-933.0,-11943,,,-204926.0,10035.0,,486.0,,0.0,-237766,4821,-133287,465167,331880,331880,-702.0,33371.0,736.0,11848.0,0.0,1590.0,-56799.0,,,,,,,,,,,,,,,,,,,
3209,2013年01月01日至2013年06月30日,,113966,113966,,,14229,124,-17,-260.0,22778,0.0,,,-11950,57110.0,,,5941,-714477,-43683,-54581,-43044,-2292,-852136,,12769,346876,19177,23791,-15.0,402598,-449538,-392428,-278462,-21492,-7805.0,-305607,,-11412,1651.0,2222,-933.0,-8472,,150833.0,,,-40035.0,485.0,2880.0,0.0,114163,10202,-189714,465167,275453,275453,-2119.0,34325.0,2152.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
3209,2013年01月01日至2013年03月31日,,55862,55862,,,7374,31,-97,964.0,10711,0.0,23698.0,0.0,-22115,20566.0,,,-92837,-328798,-76511,275730,-73757,13258,-282915,,16069,409696,-9649,15261,-93.0,431284,148369,168935,224797,-10728,-145.0,213924,,-3497,468.0,2397,-122.0,-754,,0.0,-267585.0,20017.0,0.0,0.0,0.0,0.0,-247568,16493,-17905,465167,447262,447262,,,,,,,,,,,,,,,,,,,,,,,,,,
