公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 其他應收款－關係人減少,　　 償還公司債,　　 其他籌資活動,　　　　 股份基礎給付酬勞成本,　　 短期借款增加,　　　　 處分投資性不動產損失（利益）,　　　　 處分其他資產損失（利益）,　　 處分子公司,　　 處分無形資產,　　 非控制權益變動,　　　　 股利收入,　　 收取之股利,　　 處分採用權益法之投資,　　　　 處分採用權益法之投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　　 收益費損項目,　　　　 收益費損項目合計,　　 因合併產生之現金流入,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　 其他借款增加,　　 庫藏股票買回成本,　　 處分以成本衡量之金融資產,　　　　 處分無形資產損失（利益）,　　 取得無活絡市場之債務工具投資,　　 存出保證金減少,　　 其他金融資產增加
3231,2016年01月01日至2016年09月30日,,2313858,2313858,,,5773029,331312,2028760,1435026,-621066,0,-200452.0,203172,294,-9919,83686.0,,,,2573.0,6278252,-5767967,130,-8598402,99173,-7986241,,-3154.0,18753349,5986574,368691,-127004,3890391,-325438,28543409,20557168,29747293,32061151,610623,-1480516,-1784322,29803011,,-3843686,2930388,-301299,60779,,-4257228,349527,,-358786,-1401875,0.0,-9859324,,-306093307.0,,5460349,-5173864,,-45192.0,-2905344.0,,482466.0,-8912802,-1977918,9052967,58559754,67612721,67612721,-119971.0,,3766.0,0.0,,130534.0,299570178.0,,,,306728.0,325148.0,-106028.0,396075.0,98641.0,,0.0,,9190125.0,-128497.0,0.0,214530.0,,-533236.0,,-72753.0,,-796.0,-3197015.0
3231,2016年01月01日至2016年06月30日,,1516537,1516537,,,3863817,222409,1714052,906208,-377330,0,-106744.0,152176,296,15900,65868.0,,,,2440.0,15711649,-2345963,-343,3493654,-544412,16317025,,-1213.0,-8125767,1876589,118789,-348396,1501133,-324407,-5303272,11013753,17563762,19080299,394865,-977733,-1003761,17552801,,-836770,19641,-45990,36912,,-2977374,314702,1245.0,-354350,-1080447,,-9595929,,-178527906.0,,3029484,-3185562,,-23347.0,,,163676.0,-12338589,-918442,-5300159,58559754,53259595,53259595,-113068.0,,,0.0,,87888.0,166610220.0,,,,309576.0,-3716.0,-15561.0,59131.0,98641.0,,0.0,,6550009.0,-128497.0,93783.0,0.0,,-401438.0,,-72753.0,,11561.0,-4851711.0
3231,2016年01月01日至2016年03月31日,,602892,602892,,,1964695,112054,2134020,494210,-197312,0,-96775.0,14946,89,-1593,12309.0,,,,1727.0,29715005,-1974008,-144,2288399,-454423,29576556,,-36330.0,-19991782,1358251,144059,-248757,-714376,-319797,-19808732,9767824,14221476,14824368,214614,-537944,-305308,14207744,,-411888,0,-32931,18370,,-1121843,70694,-2690.0,-305425,-22251,,-4982117,,-58675047.0,,4320663,-3736427,,14199.0,,,91960.0,-13613586,-639920,-5027879,58559754,53531875,53531875,-14066.0,,,0.0,,45243.0,44371442.0,,,,152816.0,-376.0,-11455.0,12014.0,,,0.0,,4453652.0,-375901.0,43783.0,,,,,-60562.0,-2937002.0,,
3231,2015年度,,2370365,2370365,,,7842216,433006,-947135,1862406,-1609279,-5134,-200797.0,846672,4161,-8149,457087.0,,,,-2670.0,10617624,3507330,-4678,8122798,26031,22266435,,31781.0,-12348395,-4261722,-500768,343391,2006677,-192308,-14921344,7345091,15989854,18360219,1699312,-1970191,-2743939,15745212,,-313351,42693,-490182,61431,,-3784661,455475,,-370066,-2092990,1932.0,-6523856,,,,22554167,-29359116,,-302164.0,-2961921.0,0.0,25001.0,-7937167,1583236,2867425,55692329,58559754,58559754,-100060.0,,10722.0,-605030.0,,-78500.0,5390872.0,,,,,42207.0,-132890.0,399811.0,0.0,,6827.0,,8644763.0,32669.0,171793.0,2479.0,,-2721183.0,22532.0,,,,
3231,2015年01月01日至2015年09月30日,,2513389,2513389,,,5920350,318154,-2379218,1432299,-1411430,-5134,-124751.0,17987,4019,-3990,467196.0,,,,-1199.0,19627210,3852540,4120,237633,-10326,23709978,,-2422.0,-667439,-4902089,-347128,182043,1213277,280038,-4243720,19466258,23603658,26117047,1340434,-1531782,-2370736,23935708,,-879418,16761,-329754,43573,,-2505084,61819,,-315692,-1403360,-1942.0,-5350271,,-9497069.0,,1113213,-8192209,,-40203.0,-2961921.0,0.0,,-22842179,1515622,-2741120,55692329,52951209,52951209,-79672.0,,9829.0,-605030.0,,-86141.0,0.0,,,,,43247.0,-118030.0,380745.0,0.0,,6827.0,,4137400.0,32669.0,96783.0,2479.0,,-2702207.0,,,,,
3231,2015年01月01日至2015年06月30日,,1197211,1197211,,,3959975,202466,4337,975511,-1077455,-5134,-64552.0,18380,4433,-3906,55965.0,,,,-512.0,24574885,-2128672,4822,11966033,591945,35008501,,37220.0,-24842730,2274018,109225,-102583,-857154,-77906,-23459910,11548591,15541740,16738951,937886,-1035081,-1710264,14985031,,-609805,16761,-329754,26139,,-1706068,55163,-5745.0,-299579,-658948,32669.0,-3493567,,,,-8936669,1081530,,34100.0,,,,-8481966,-1178462,1831036,55692329,57523365,57523365,-14400.0,,,-605030.0,,-96162.0,549878.0,,,,,44811.0,-35474.0,53539.0,0.0,,6827.0,,3993149.0,,45459.0,2479.0,-650586.0,,,,,,
3231,2015年01月01日至2015年03月31日,,1052001,1052001,,,2011640,95439,-197413,507383,-587937,-5134,-67589.0,-1036,3613,-2105,43431.0,,,,,15463808,-1265927,-27891,4416859,1858174,20445023,,,-21027897,1176558,26143,-152458,-2007810,-109148,-22094612,-1649589,48814,1100815,408507,-544687,-934406,35142,,0,46524,-47127,3447,,-818995,8863,-9076.0,-32724,-358508,0.0,-1174927,,-2552885.0,,561486,-872976,,-154613.0,,,,-3578387,-647065,-5365237,55692329,50327092,50327092,0.0,,0.0,-605030.0,,-103803.0,,,,,,45631.0,-4913.0,4913.0,0.0,,6827.0,,1698403.0,32669.0,,,,,,,,,
3231,2014年度,,4842400,4842400,,,7765789,373186,52172,2398574,-2951969,512537,16813.0,94333,10987,-10406,69395.0,8512401.0,,,225.0,-12144965,5318913,205515,-20663668,-401068,-27685048,,6493.0,14076479,-8431259,-408842,-113252,2365150,47263,7542032,-20143016,-11630615,-6788215,3237708,-1934992,-2358240,-7462402,,-582082,11226,-252525,32685,0.0,-5708441,157012,0.0,-204772,-2566433,-10881.0,-9633134,,,,7828233,-9637822,-668908.0,,-4280688.0,549944.0,,104273,2596717,-14394546,70086875,55692329,55692329,-531314.0,,2419.0,-8508081.0,0.0,222593.0,14707190.0,,,,,114405.0,-84445.0,381337.0,19972.0,,42842.0,,,,,,,,,,,,
3231,2014年01月01日至2014年09月30日,,3983408,3983408,,,5771245,280870,311066,1769851,-2328700,133456,,60595,2917,-7954,18813.0,6093416.0,,,-3261.0,-12285526,1749693,68598,-20464383,-317200,-31252079,,2525.0,13767342,-3183309,-151533,302319,1182734,45208,11965286,-19286793,-13193377,-9209969,2372402,-1438414,-1583180,-9497982,,-496597,11226,-197876,8786,0.0,-3952444,72207,0.0,-138506,-2254036,-10881.0,-7453167,,0.0,,7543540,-9644211,0.0,-213180.0,-4280688.0,379837.0,,5314527,760877,-10875745,70086875,59211130,59211130,-515455.0,,437.0,,0.0,170406.0,11413651.0,,,,,115578.0,-68492.0,361179.0,19972.0,-20657.0,,,,,,,,,,,,,
3231,2014年01月01日至2014年06月30日,,2077263,2077263,,,3836722,186642,460990,1177790,-1501233,-9611,-42839.0,29388,4485,-7006,41417.0,4282418.0,,,-11433.0,8959538,194811,-16043,-8249413,-521189,356271,,-1952.0,-2716785,-892931,-44181,190348,665802,16190,-2783509,-2427238,1855180,3932443,1662070,-968641,-962952,3712019,,-313527,12040,-190396,3070,0.0,-2571429,67295,-3684.0,-130366,-1647010,,-5278481,,,,2117080,-10042779,-72487.0,,,0.0,,-2317948,-145207,-4029617,70086875,66057258,66057258,-513565.0,,,,0.0,115604.0,5562896.0,,,-10881.0,,117342.0,-9931.0,49099.0,19972.0,,,,,,,,,,,,,,
