公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 預付投資款增加,　　 存出保證金增加,　　　　 股份基礎給付酬勞成本,　　　　 未實現外幣兌換損失（利益）,　　　　　 其他營業負債增加（減少）,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 取得子公司股權,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 收取之股利,　　 其他金融資產減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　　 持有供交易之金融資產（增加）減少,　　　 收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 預付投資款減少,　　 應付租賃款減少,　　 處分不動產、廠房及設備,　　　　　 其他應收款（增加）減少,　　　　　 預付款項（增加）減少
3257,2016年01月01日至2016年09月30日,,107588,107588,,,43146,974,231,-4356,,,,,-116.0,-44524,-39040,25683,-53466,,-45.0,-15017,-342.0,93,,-5691,-59157,-37665,69923,4496,-231,-23489,52459,,-76001,,-595,-93.0,-109125,,0.0,-2478.0,-41547,5436,-92777,786378,693601,693601,-3111.0,,,,,,,,-32436.0,,4620.0,-18252.0,9739.0,0.0,-39027.0,,,,-1760.0,,1760.0,,,,,,,21492.0,-119.0,0.0,-42.0,,234.0,4297.0
3257,2016年01月01日至2016年06月30日,,73713,73713,,,28455,633,235,-3110,,,,,,-18486,-56932,-485,-75903,,,-15262,,-858,,-5695,-81598,-40002,33711,3148,-235,-3661,32963,,-50344,,-261,-129.0,-83170,,0.0,-2478.0,-2506,-13204,-65917,786378,720461,720461,-3167.0,,5974.0,,,,,,-32436.0,,3465.0,9111.0,10460.0,,,,,,,,,,,,,,,41596.0,-35.0,0.0,-28.0,,,
3257,2016年01月01日至2016年03月31日,,30946,30946,,,14033,315,131,-1739,,,,,,17502,-44533,-7144,-34175,,,-9211,,-2917,,-6869,-41044,-12625,18321,1695,-131,-5575,14310,,-26991,,-35,-136.0,-27162,,2993.0,,2979,-12034,-21907,786378,764471,764471,,,4974.0,,,,,,,,1733.0,8972.0,5210.0,,,,,,,,,,,,,,,28419.0,49.0,0.0,-14.0,,,
3257,2015年度,,181419,181419,,,54320,986,78,-9596,,,,,52.0,-64947,22290,126324,83719,,45.0,18579,,251,,20270,103989,196841,378260,9808,-78,-73834,315374,,-25493,,-1269,-233.0,13056,,2478.0,,-150245,5280,183465,602913,786378,786378,3372.0,,37583.0,,,,,,0.0,,12502.0,-5195.0,1575.0,-542.0,-152181.0,,,,-1218.0,20.0,1218.0,,,,,,,92852.0,-180.0,40040.0,,11.0,,
3257,2015年01月01日至2015年09月30日,,139391,139391,,,40198,680,50,-7924,,,,,,-92472,32222,144749,84499,,,-11026,,-1043,,-102,84397,147538,286929,8136,-50,-73694,222539,,-24281,,-868,-141.0,14750,,2534.0,,-150236,9187,96240,602913,699153,699153,,,35751.0,,,,,,0.0,,9377.0,-13773.0,12086.0,-542.0,-152181.0,,,,-1218.0,0.0,1218.0,,,,,,0.0,63141.0,-119.0,40040.0,-47.0,,,
3257,2015年01月01日至2015年06月30日,,75641,75641,,,25914,402,35,-5781,,,,,,-92774,16357,138540,62123,,,-21523,,-6284,,-15808,46315,103909,179550,5667,-35,-42388,142794,,-20809,,-620,-134.0,18477,,2475.0,,2442,-8507,155206,602913,758119,758119,,,25126.0,,,,,,,,6251.0,5647.0,12034.0,,,,,,,,,0.0,0.0,,0.0,,,57594.0,-35.0,40040.0,-33.0,,,
3257,2015年01月01日至2015年03月31日,,42848,42848,,,12964,187,33,-2732,,,,,,49051,5368,78172,132591,,,-22110,,-8004,,-23201,109390,132401,175249,2648,-33,-3770,174094,,-15730,,-620,0.0,23554,,0.0,,-19,-4331,193298,602913,796211,796211,,,7206.0,,,,,,,,3126.0,2227.0,6865.0,,,,,,,,,-136.0,,,,,0.0,23011.0,48.0,40040.0,-19.0,,,
3257,2014年度,,356967,356967,,,39886,1039,316,-13862,,31565.0,,,154.0,-9042,-119586,-137897,-266371,,,5470,,3540,-358.0,14488,-251883,-220318,136649,14007,-316,-54585,96476,,-167065,,-957,,-268846,,,0.0,-130532,29303,-273599,876512,602913,602913,34.0,0.0,6369.0,,,,0.0,0.0,-100096.0,,26567.0,-28063.0,5836.0,,-130532.0,0.0,0.0,,-721.0,0.0,721.0,-728.0,,,,,,,,,,,,
3257,2014年01月01日至2014年09月30日,,272069,272069,,,27022,902,197,-11193,,,,,,-60820,-76988,-5437,-143245,,,31321,,-1452,,26091,-117154,-83930,188139,9745,-197,-54194,143493,,-148396,,0,-127.0,-208579,,19733.0,,-110799,312,-175573,876512,700939,700939,,,0.0,,,,,,-60056.0,,19871.0,690.0,-3495.0,0.0,-130532.0,,,,0.0,21.0,0.0,,,,,,-4286.0,33224.0,-283.0,0.0,0.0,,,
3257,2014年01月01日至2014年06月30日,,163268,163268,,,15550,642,174,-7733,260.0,29690.0,,,123.0,-34610,-28776,8014,-56869,,,15163,4496.0,150,-189.0,19620,-37249,-7559,155709,6285,-174,-37357,124463,,-110817,,0,53.0,-110764,,12234.0,,12234,-7487,18446,876512,894958,894958,0.0,0.0,,,,124463.0,0.0,0.0,0.0,,13174.0,7633.0,,,,,,,,,,,-10.0,0.0,-1620.0,,,,,,,,,
3257,2014年01月01日至2014年03月31日,,82721,82721,,,6948,326,151,-4104,,5278.0,,,-276.0,50907,-17690,-2587,30354,,,892,-7945.0,4807,-94.0,-2340,28014,33292,116013,2872,-151,-15232,103502,,-47604,,0,,-47551,,6951.0,,6951,1744,64646,876512,941158,941158,,,-2766.0,,,,,,,,6551.0,-1828.0,,,,,,0.0,,,,53.0,,,,,,,,,,,,
3257,2013年度,,210519,210519,,,21220,2166,1175,-4834,,66357.0,,,11600.0,-54654,-27071,-13452,-83577,,,25920,,963,128.0,35257,-48320,18037,228556,4782,-1211,-642,231499,,-47979,,-3131,,-13164,,,-30031.0,281829,6275,506439,370073,876512,876512,3417.0,-3845.0,26382.0,,,,-20000.0,23890.0,0.0,,27767.0,-7317.0,8246.0,,-58092.0,370000.0,-48.0,,-14.0,240.0,14.0,34056.0,,,,,,,,,,,,
3257,2013年01月01日至2013年12月31日,,210519,210519,,,21220,2166,1175,-4834,,66357.0,,,,-43054,-27071,-13452,-83577,,,25920,762.0,8447,128.0,35257,-48320,18037,228556,4782,-1211,-642,231499,,-47979,,-3131,,-13164,,0.0,-30031.0,281829,6275,506439,370073,876512,876512,3417.0,-3845.0,26382.0,,,,-20000.0,23890.0,,,27767.0,-7317.0,,0.0,-58092.0,370000.0,-48.0,,-14.0,240.0,14.0,34056.0,,,,,,,,,,,,
