公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　　 其他營業資產（增加）減少,　　 收取之股利,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 短期借款增加,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分子公司,　　 發放現金股利,　　 停業單位稅前淨利（淨損）,　　　　 其他項目,　　 預付設備款增加,　　　　 呆帳費用提列（轉列收入）數,　　　　 金融資產減損損失,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 採用權益法之被投資公司減資退回股款,　　 處分待出售非流動資產,　　 庫藏股票買回成本,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資
3311,2016年01月01日至2016年09月30日,,-118798,-118798,,,132888,3256,-644,17172,-52960,-906,11577,,5630.0,,,,0,234277,22728,52979,218,45417,7854,364968,,0,-5345,-183073,0,-221965,-1287,-516,-78530,,-487460,-122492,10200,-108598,38261,-17240,-38992,-123506,,-67104,39819,,405.0,0,0.0,-381789,,,,,0,-66.0,-105902,-140015,-751212,4031435,3280223,3280223,-2219.0,,3063.0,-1208.0,,,,,1495.0,,,,-105836.0,,1386.0,,-50626.0,68138.0,,132692.0,3256.0,0.0,0.0,0.0,-2416007.0,2062306.0
3311,2016年01月01日至2016年06月30日,,-95154,-95154,,,91856,2547,-1262,11402,-39143,-711,-5131,,2127.0,,,,0,252206,13201,47357,1050,45838,20984,381792,,0,-7771,-239598,0,-163226,-105,395,-34340,,-441535,-59743,15922,-79232,29194,-11470,-23066,-84574,,-52632,6000,,207.0,0,,-399030,,,,,0,-36.0,-36,-59143,-542783,4031435,3488652,3488652,0.0,,0.0,-327.0,,,,,1156.0,,,,,,856.0,,-55014.0,68138.0,,75665.0,3110.0,0.0,0.0,0.0,-1674843.0,1322565.0
3311,2016年01月01日至2016年03月31日,,-100981,-100981,,,46328,938,-1262,5711,-23054,-232,-926,,5833.0,,,,0,193665,18521,21938,269,24864,3539,263558,,0,-718,-162342,0,-110229,2060,2169,12679,,-253977,9581,42234,-58747,22442,-5716,-12165,-54186,,-28743,1115,39.0,,0,,-382795,,,,,-10,,-10,-12730,-449721,4031435,3581714,3581714,,,,-323.0,,,,,762.0,,,,,,2.0,,-685.0,,,32653.0,2404.0,0.0,0.0,,-912693.0,557810.0
3311,2015年度,,173901,173901,,,207028,9996,-2108,23873,-83857,-2892,-25196,0.0,0.0,,,,6082,226217,116683,-18656,1852,52890,26818,413546,,-937,-9286,-184977,-3685,-29211,2873,-4400,12772,,-220300,193246,274982,448883,87732,-23919,-90397,424898,,-141089,36167,-53.0,,-950,0.0,-412759,,0.0,,,13,0.0,-461902,-6274,-456037,4487472,4031435,4031435,-2599.0,,2599.0,-3158.0,,,,,1660.0,,,,-227261.0,,4033.0,,-67542.0,21000.0,,81736.0,-3449.0,768.0,129505.0,-234654.0,-433949.0,
3311,2015年01月01日至2015年09月30日,,204237,204237,,,157847,8118,2554,17963,-64990,-2530,-7287,0.0,-14916.0,,,,2702,201245,36612,7595,1879,-22520,-44966,182547,,-1460,-7146,-133463,-3685,-92063,-1476,-3265,28637,,-218861,-36314,-2668,201569,68015,-18036,-56951,197196,,-117206,18122,,91.0,-995,-29.0,28427,,0.0,,,33,0.0,-461882,27450,-208809,4487472,4278663,4278663,-2599.0,,2599.0,-3158.0,,,,-1329.0,0.0,-1640000.0,1641329.0,,-227261.0,,3967.0,,-63152.0,,,33646.0,-4940.0,768.0,129505.0,-234654.0,,
3311,2015年01月01日至2015年06月30日,,121737,121737,,,105521,5533,799,11920,-45139,-1502,-4815,,-13282.0,,,,5960,193407,40889,7747,2970,-44102,-13948,192923,,-1205,-2253,-199291,-3685,-76505,-1600,-3164,-33213,,-325394,-132471,-128820,-7083,45849,-11993,-47288,-17916,,-70931,15362,,231.0,-943,0.0,74205,,0.0,,,5,0.0,-144341,-49963,-138015,4487472,4349457,4349457,-2599.0,,2599.0,-863.0,,,,-1076.0,0.0,-1120000.0,1121076.0,,,,3955.0,,-55664.0,,,3651.0,-4478.0,768.0,129505.0,-144346.0,,
3311,2015年01月01日至2015年03月31日,,45599,45599,,,52676,2791,707,5939,-23239,-782,-6296,,-9896.0,,,,6082,206060,-13168,8003,-458,-6261,13784,214042,,-1193,-8150,-155785,-1347,-59152,-817,-3188,-47252,,-282025,-67983,-95611,-50012,21406,-5945,-32700,-67251,,-47555,6341,-448.0,,-952,0.0,88342,,0.0,,,-91,,-91,-29877,-8877,4487472,4478595,4478595,,,,,,,,-683.0,0.0,-600000.0,600683.0,,,,1583.0,,-50428.0,,,-27628.0,-5141.0,768.0,129505.0,,,
3311,2014年度,,-1440167,-1440167,,,371691,19764,1200,26410,-81058,-3502,13984,864486.0,13317.0,1422953.0,,,-5827,183969,137994,15834,17456,48860,56943,455514,,-851,-18269,-121053,-712,-169116,-116,5314,48401,-11399.0,-267801,187713,1610666,170499,80840,-26473,-95969,129623,,-346404,51283,-132.0,0.0,-10585,-433.0,-309723,,-119112.0,0.0,0.0,0,-1853.0,-308671,71955,-416816,4904288,4487472,4487472,0.0,,726.0,-5585.0,0.0,0.0,,-2133.0,285.0,-2200000.0,2202133.0,,-187706.0,,52849.0,,96783.0,49162.0,,,,,,,,
3311,2014年01月01日至2014年09月30日,,-1472321,-1472321,,,302114,15794,970,20373,-61558,-2060,7834,972172.0,76911.0,1330791.0,,,-3357,64302,175738,7069,39917,36379,-1547,318786,,-821,-24890,-185140,-2469,-52971,-1005,1739,26429,-3089.0,-242217,76569,1407360,-64961,64767,-20508,-69492,-89468,,-281789,10864,0.0,17.0,-9846,-432.0,-284105,,-119112.0,0.0,0.0,0,-1880.0,-308698,26896,-655375,4904288,4248913,4248913,0.0,0.0,726.0,-4678.0,0.0,0.0,,-1759.0,285.0,-1750000.0,1751759.0,,-187706.0,,,,,,,,,,,,,
3311,2014年01月01日至2014年06月30日,,-157295,-157295,,,201068,9696,-328,14209,-41954,-614,2067,,28276.0,211104.0,,,-2710,-46226,142302,20778,38982,36532,-21460,168482,,-820,-20050,-264100,-3007,-153046,-3974,776,19567,-3803.0,-428457,-259975,-48871,-206166,43879,-14344,-55768,-231673,,-200701,4997,0.0,122.0,-9837,-97.0,-206925,,-119112.0,0.0,0.0,0,-54.0,-119166,-34361,-592125,4904288,4312163,4312163,0.0,0.0,726.0,-2725.0,0.0,0.0,,-1316.0,284.0,-1250000.0,1251316.0,,,,,,,,,,,,,,,
