公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 其他金融負債減少,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 股份基礎給付酬勞成本,　　　　　 其他應收款（增加）減少,　　 其他非流動資產增加,　　 其他非流動負債減少,　　 發放現金股利,　　　 收益費損項目,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　 應付短期票券增加,　　 其他非流動負債增加,　　 取得以成本衡量之金融資產,　　 處分待出售非流動資產,　　 其他籌資活動,　　　　　 應付帳款－關係人增加（減少）,　　 庫藏股票買回成本
3321,2016年01月01日至2016年09月30日,,-212043,-212043,,,157540,4930,1648,8722,-1286,5952,0.0,,388,,,,,0.0,19494,-3922,69913,615,-52165,-8336,12199,,0,-25216.0,19053,-59377,-475,,-63742,-51543,126351,-85692,1286,-8040,-24429.0,-116875,,0,-199031,1320,,-4918,,,-240787.0,-440565,,58000,0.0,1661500,-942500,,,0.0,589632,-27997,4195,324076,328271,328271,0.0,0.0,-13400.0,2851.0,0.0,-151300.0,,,177894.0,,,0.0,0.0,,2273.0,-36068.0
3321,2016年01月01日至2016年06月30日,,-125024,-125024,,,102285,3297,1273,4019,-966,6050,0.0,,241,,,,,0.0,17242,47291,86031,54,287,-16927,132651,,0,-25216.0,-72899,-51012,-74,,-142372,-9721,106478,-18546,966,-3784,-26335.0,-47699,,0,-130322,1343,,-4414,,,-183207.0,-315386,,48000,0.0,819000,-550000,,,0.0,280932,-18883,-101036,324076,223040,223040,0.0,0.0,-1327.0,1214.0,0.0,0.0,,,116199.0,,,0.0,,,6829.0,-36068.0
3321,2016年01月01日至2016年03月31日,,-46557,-46557,,,47222,1571,738,1765,-147,21,0.0,,47,,,,,0.0,12354,-9594,52935,59,12515,4513,56940,,0,-25216.0,-15390,-54553,-136,,-94143,-37203,14014,-32543,147,-1576,-5178.0,-39150,,0,-50371,0,,-4414,,,-78071.0,-132315,,258000,,162000,-325000,,,0.0,89298,-5747,-87914,324076,236162,236162,0.0,0.0,-15842.0,541.0,0.0,0.0,,,51217.0,,,0.0,,,1152.0,-5702.0
3321,2015年度,,222644,222644,,,150778,3878,-197,9167,-1003,3850,0.0,,-112,,,,,0.0,-25680,249164,59753,-3281,-471,1916,300643,,-10991,25216.0,-163829,-40651,-24553,,-211460,89183,266652,489296,1003,-9856,-27949.0,452494,,0,-382403,2513,,-16140,,,-278426.0,-679158,,92000,,400000,-500000,,,267000.0,163000,16304,-47360,371436,324076,324076,4344.0,6764.0,19242.0,-1773.0,0.0,-96000.0,,,177469.0,,,-18000.0,15071.0,,3348.0,
3321,2015年01月01日至2015年09月30日,,216024,216024,,,109827,2833,-2098,7080,-820,2671,,,77,,,,,0.0,-39913,48315,32058,-3292,24985,-6352,65196,,-7944,,-44273,-50580,-1856,,-104653,-39457,85484,301508,820,-6967,-25477.0,269884,,0,-160937,2332,,-7176,0.0,,-241984.0,-411351,,211535,,0,-100000,,,,15535,8454,-117478,371436,253958,253958,5371.0,0.0,9395.0,-657.0,0.0,-96000.0,,0.0,124941.0,,,-18000.0,15071.0,0.0,,
3321,2015年01月01日至2015年06月30日,,177966,177966,,,71620,1542,-1635,4833,-775,2677,,,133,253.0,,,,,-5509,-85839,17423,-3085,-1308,-8685,-75479,,-3032,,-48127,23817,6546,,-20796,-96275,-21111,156855,775,-4835,-17508.0,135287,,0,-124488,1910,,-6295,0.0,620.0,-149522.0,-277775,,0,0.0,0,-100000,,,,-100000,-16497,-258985,371436,112451,112451,-3484.0,,11524.0,,,,,,75164.0,,0.0,,,,,
3321,2015年01月01日至2015年03月31日,,89152,89152,,,35195,853,4093,2584,-496,465,,,9,,,,,0.0,-5724,-62501,41992,-3130,-163,4088,-18501,,-6006,,-51623,51189,5548,,-892,-19393,21574,110726,496,-2430,,108792,,0,-20414,140,,-5033,,,-64888.0,-89763,,30000,,0,0,,,,30000,-6002,43027,371436,414463,414463,-1736.0,,6937.0,432.0,,,,0.0,40967.0,0.0,,,,,,
3321,2014年度,,349966,349966,,,145294,2036,-12292,15201,-1054,31911,6651.0,0.0,-414,,197802.0,,,0.0,266,35829,34317,1428,1074,6179,65614,,-2751,0.0,-59926,89132,10656,,37111,102725,300527,650493,1071,-15686,-39.0,635839,,-9093,-213970,6248,,-9135,,,,-244726,,0,-179550.0,1695070,-1795080,0.0,,125000.0,-192148,-6318,192647,178789,371436,371436,9398.0,1071.0,-13479.0,-18776.0,-88.0,-37500.0,,,,,,,,,,
3321,2014年01月01日至2014年09月30日,,262702,262702,,,110159,1603,-6255,12716,-686,22646,,,312,,,,,0.0,2121,77213,14968,1428,3999,-28030,63592,,-68,,-83906,46458,5621,,-31895,31697,181861,444563,705,-12972,-13.0,432283,,-9093,-28465,2167,,-621,5000.0,,-49401.0,-43232,,-148893,,1886580,-1889047,,,,-131272,6666,264445,178789,443234,443234,799.0,1071.0,-8107.0,37181.0,-5704.0,-37500.0,,7799.0,150164.0,,,0.0,0.0,63292.0,,
3321,2014年01月01日至2014年06月30日,,157705,157705,,,75263,920,-9550,9318,-598,4365,0.0,0.0,653,248.0,80619.0,,,0.0,2136,254643,40133,3829,1520,4962,307223,,0,0.0,-203894,-28860,22636,0.0,-210118,97105,177724,335429,598,-10140,-13.0,325874,,-9093,-15023,580,-1158.0,0,5000.0,19652.0,-30886.0,-30928,,67076,-157076.0,780380,-927114,-5704.0,0.0,0.0,-242438,-4784,47724,178789,226513,226513,,,,,,,,,,,,,,,,
