公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 員工執行認股權,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　 舉借長期借款,　　 存入保證金增加,　　　　 股利收入,　　 收取之股利,　　 取得備供出售金融資產,　　 發放現金股利,　　 非控制權益變動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　　 其他應付款－關係人增加（減少）,　　 取得採用權益法之投資,　　 短期借款增加,　　 存入保證金減少,　　　　 處分其他資產損失（利益）,　　 處分備供出售金融資產,　　　　 處分投資損失（利益）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分以成本衡量之金融資產,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 取得無活絡市場之債務工具投資,　　 存出保證金增加,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　 現金減資,　　　　 處分投資性不動產損失（利益）,　　 償還長期借款,　　　　 處分採用權益法之投資損失（利益）,　　 處分無活絡市場之債務工具投資,　　 處分採用權益法之投資
3380,2016年01月01日至2016年09月30日,,623099,623099,,,324321,53829,-471,-7037,9129,-21294,4424,59192,,,,111951,251543,798762,-73436,,1090631,,-181352,,,-47425,,-232616,858015,1163401,1786500,21117,-7807,-72573,1730403,,-19892,5657,1606,-18666,,0.0,-1599972,,,,0,-217105,-133530,-220204,2453944,2233740,2233740,-1776868.0,0.0,25.0,-3166.0,3166.0,,-217130.0,,0.0,10878.0,,0.0,0.0,,0.0,-580.0,,305386.0,9600.0,0.0,1811.0,-24317.0,0.0,,0.0,0.0,0.0,,,-112961.0,16165.0,192026.0
3380,2016年01月01日至2016年06月30日,,490952,490952,,,226178,37339,-1151,-13510,5357,-15024,1858,28310,,,,-646240,-69046,533401,-27303,,-207377,,312173,,,45024,,339599,132222,288038,778990,13823,-5220,-17601,769992,,-20208,4036,1238,-17902,0.0,,-389045,,0.0,,0,183336,-52115,512168,2453944,2966112,2966112,-564400.0,0.0,45.0,,,,,,0.0,-481.0,,183291.0,0.0,,,-580.0,,155816.0,7200.0,0.0,1811.0,-24317.0,0.0,,,,,,,-112961.0,16165.0,192026.0
3380,2016年01月01日至2016年03月31日,,108207,108207,,,115710,17358,-172,-67348,2931,-8481,1289,42410,,,,-36223,78507,-71649,-17988,,-45542,,186672,,,-42467,,126923,81381,185078,293285,8481,-2840,-11991,286935,,-6629,0,939,-13199,,,-18889,,,,0,7001,12942,287989,2453944,2741933,2741933,0.0,,102.0,,,,,,0.0,2235.0,,6899.0,0.0,0.0,,,,103697.0,4800.0,0.0,1811.0,-24317.0,,,,,,,,,,
3380,2015年度,,-261091,-261091,,,487442,72941,-7224,22506,12934,-30353,15961,95194,,,,554875,997456,134582,290597,,1978200,,-523183,,,-103838,,-752481,1225719,2290107,2029016,26423,-15320,-166217,1873902,,-131700,9272,33671,-76900,,,-266043,,-309899.0,,-10802,-1408101,-26839,172919,2281025,2453944,2453944,-30407.0,300000.0,0.0,0.0,0.0,,-579293.0,,24000.0,-3501.0,,,-63.0,,0.0,2050.0,,1064388.0,9930.0,7946.0,690.0,-131889.0,-77925.0,0.0,328866.0,40071.0,-482744.0,0.0,-325300.0,,,
3380,2015年01月01日至2015年09月30日,,-174594,-174594,,,358691,53567,-4463,51462,11893,-24260,15849,63068,,,,-328284,995190,-451854,265930,,481672,,-18179,,,-206033,,-341455,140217,1055011,880417,26423,-12722,-160706,733412,,-84594,8287,34792,-46142,,0.0,-2189408,,,,-7306,894415,14594,-546987,2281025,1734038,1734038,-2031772.0,300000.0,0.0,0.0,0.0,,-579293.0,,18000.0,-3357.0,,1663800.0,-42.0,,0.0,2050.0,,914794.0,18003.0,7946.0,690.0,-131889.0,-77925.0,0.0,328866.0,40071.0,-482744.0,,,,,
3380,2015年01月01日至2015年06月30日,,90679,90679,,,240985,35873,-2577,924,9771,-17260,15977,60758,,,,-329039,548540,93814,245370,,559375,,179762,,,-227875,,-170609,388766,747267,837946,17494,-10827,-80697,763916,,-49913,5919,33264,-30354,67242.0,,-43821,,-169036.0,,-7306,-166458,-42161,511476,2281025,2792501,2792501,0.0,10000.0,0.0,,,,,,12000.0,-2610.0,,0.0,-116.0,,,2050.0,,358501.0,12003.0,7946.0,690.0,-131889.0,-77925.0,0.0,,,,,,0.0,0.0,0.0
3380,2015年01月01日至2015年03月31日,,83348,83348,,,121972,18096,-7714,-15925,4111,-4673,6285,11161,,,,252715,619309,-114357,213099,690.0,971456,,-4206,,-131889.0,-396237,,-522787,448669,590032,673380,6719,-4196,-33993,641910,,-17917,4002,206,-21539,,,-2533470,,,,-7306,2650991,-10885,748546,2281025,3029571,3029571,-2506168.0,,-7.0,,,,,,6000.0,3542.0,,2658304.0,,2050.0,,,,141363.0,6003.0,7946.0,,,,,,,,,,,,
3380,2014年度,,658043,658043,,,478998,86039,7271,131199,32538,-50834,3819,147525,849746.0,,,574044,-25668,234345,561152,9285.0,1353158,,-1046129,,-51312.0,61825,9769.0,-1029441,323717,1173463,1831506,48696,-31608,-68145,1790348,,-248418,13360,-24783,-80298,,,126715,,,,-204272,-1155342,-23400,738321,1542704,2281025,2281025,464859.0,0.0,,-9899.0,9899.0,0.0,-663265.0,,24000.0,-3594.0,0.0,-287999.0,194.0,0.0,1995.0,-910.0,,,,,,,,,,,,,,,,
3380,2014年01月01日至2014年09月30日,,321468,321468,,,356695,64676,6835,53901,20961,-27245,3310,222567,718744.0,,,885400,42254,-88626,368113,9285.0,1216426,,-1424299,-4839.0,-51312.0,-220038,18002.0,-1682486,-466060,252684,574152,24674,-19010,-58120,521741,,-183097,12989,-18296,-46685,,-14213.0,-2903996,,3096103.0,,-129509,2303480,2258,-76517,1542704,1466187,1466187,-2656689.0,0.0,151.0,-45.0,45.0,0.0,,,18000.0,,,,-663265.0,-911.0,1995.0,,,,,,,,,,,,,,,,,
3380,2014年01月01日至2014年06月30日,,162398,162398,,,239655,43004,5219,-15601,11287,-14087,806,83392,365675.0,,,572398,61276,-206397,82320,9285.0,518882,,-827674,-5360.0,-51312.0,-89670,11875.0,-962141,-443259,-77584,84814,13519,-18542,-17341,62450,,-73182,1028,-17038,-40141,,,-1460081,,1537925.0,,-129509,1408597,-32030,-21064,1542704,1521640,1521640,-1330748.0,0.0,181.0,,,,,,12000.0,,,,,,,,,,,,,,,,,,,,,,,
