公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損迴轉利益,　　 支付之利息,　　 收取之股利,　　 存入保證金增加,　　 庫藏股票買回成本,　　 處分備供出售金融資產,　　 存出保證金增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得備供出售金融資產,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　 發放現金股利,　　 現金增資,　　 停業單位稅前淨利（淨損）,　　 取得以成本衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 處分不動產、廠房及設備
3416,2016年01月01日至2016年09月30日,,166238,166238,,,25691,3102,-932,-36,,-5006,0,53.0,,,6600,1941,,,,-19965,,-5377,,216160,-49646,-204,-2658,138310,,-6902,0,1974,3428,-1500,136810,166657,332895,5179,-38613,301027,,,-19340,390.0,-5276,-14,-124.0,,-24364,,0.0,-210635.0,-319,65709,410425,476134,476134,0.0,,1566.0,,,,,,29847.0,0.0,-1566.0,,-210635.0,,,,,
3416,2016年01月01日至2016年06月30日,,121942,121942,,,17627,1584,-1305,-19,,-3588,0,53.0,,0.0,4754,1103,,,,-9982,,-30667,,40856,-11895,-134,3681,-8141,,-7332,0,-11520,826,-18026,-26167,-5958,115984,3659,-15840,103803,,,-10632,147.0,-4825,-15,,,-15325,,0.0,0.0,620,89098,410425,499523,499523,,,,,,,,,20209.0,0.0,,,,,,,,
3416,2016年01月01日至2016年03月31日,,57061,57061,,,9223,705,-200,-13,,-1899,0,,,0.0,1410,4087,,,,-5988,,5713,,133110,-4895,-66,201,128075,,-19542,-248,-24440,1674,-42556,85519,98832,155893,1944,-61,157776,,,-6619,,-792,-14,-525.0,,-7950,,,,551,150377,410425,560802,560802,,,,,,,,,13313.0,0.0,,,,,,,,
3416,2015年度,,252636,252636,,,35350,3812,-451,-91,,-8018,8465,0.0,0.0,5287.0,7951,5937,,,,91,,70942,,-85354,17896,-371,99,3303,,14054,-3325,-25777,-7839,-22887,-19584,53304,305940,8785,-42034,273420,,,-30877,1673.0,-6573,-13,0.0,,-52997,,-196.0,-240922.0,-2112,-22611,433036,410425,410425,15375.0,0.0,729.0,0.0,,0.0,,,72888.0,-10067.0,-729.0,0.0,-240726.0,0.0,0.0,-9900.0,2760.0,0.0
3416,2015年01月01日至2015年09月30日,,182419,182419,,,26267,2709,-506,-78,,-6262,8467,0.0,0.0,,5369,2110,,,,78,,41715,,54766,-4817,-277,-5904,85561,,6184,-2881,-39116,2828,-32985,52576,105432,287851,6328,-39895,255013,,,-18965,200.0,-5958,-13,-5486.0,,-40289,,-496.0,-241222.0,-1472,-27970,433036,405066,405066,15509.0,,729.0,,,0.0,,,52856.0,-10067.0,-729.0,0.0,-240726.0,0.0,,,,
3416,2015年01月01日至2015年06月30日,,112924,112924,,,17655,1972,-1066,-36,,-4285,784,0.0,0.0,10356.0,2933,5160,,,,-9965,-121.0,19884,-167.0,-2783,1502,-185,1778,9943,,1993,699,-14856,-9662,-21826,-11883,21590,134514,4261,-20306,118469,,,-13707,450.0,-4887,-13,,,-18683,,-196.0,-196.0,-2435,97155,433036,530191,530191,,,,,,0.0,0.0,,33473.0,-526.0,,,,,,,,
3416,2015年01月01日至2015年03月31日,,60830,60830,,,8703,1059,1491,-24,,-2196,241,0.0,,1218.0,2408,5855,,,,-13979,-369.0,20248,-288.0,28877,6027,-92,-6830,33594,,1007,507,-23947,-438,-22871,10723,29478,90308,2178,384,92870,,,-6696,,-2335,-13,,,-9570,,,,-2013,81287,433036,514323,514323,,,,,,,,,18755.0,-526.0,,,,,,,,
3416,2014年度,,269853,269853,,,35010,4181,841,-93,,-6449,459,26.0,-1293.0,1896.0,15419,-5285,,,,10095,,-31415,,-186577,-43215,-408,-54,-251574,,88,-52,9080,4321,13437,-238137,-188757,81096,6343,-30377,57946,,,-29229,-2039.0,-5222,-13,-649.0,,-33368,,0.0,99805.0,-358,124025,309011,433036,433036,3750.0,0.0,884.0,300.0,,2900.0,,,49380.0,0.0,-884.0,1802.0,-150495.0,250000.0,0.0,0.0,0.0,884.0
3416,2014年01月01日至2014年09月30日,,197657,197657,,,26378,3276,1295,-71,,-4575,218,26.0,-1293.0,,7882,-2090,,,,71,,-45747,,-102061,-58048,-309,-2017,-208111,,3701,193,-23073,-491,-19670,-227781,-195817,1840,4628,-29691,-22339,,,-20596,-439.0,-2450,-3663,0.0,,-24248,,0.0,99505.0,-441,52477,309011,361488,361488,0.0,,884.0,,,2900.0,,,31964.0,0.0,-884.0,1802.0,-150495.0,250000.0,,,,
3416,2014年01月01日至2014年06月30日,,110378,110378,,,17606,2310,87,-39,0.0,-3131,-99,26.0,-1293.0,0.0,5041,3062,23570.0,,,40,0.0,-15030,2535.0,-52409,-51486,-209,-2250,-118809,,15195,220,-5674,2351,12092,-106717,-83147,27231,3132,-14820,15543,,0.0,-14752,0.0,-2450,-13,,0.0,-15014,,0.0,0.0,-169,360,309011,309371,309371,,0.0,0.0,,0.0,2900.0,-699.0,,,,,,,,,,,
