公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他流動資產（增加）減少,　　 其他金融資產減少,　　　　 處分投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 存出保證金減少,　　 償還公司債,　　 舉借長期借款,　　 存入保證金減少,　　 發放現金股利,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 停業單位稅前淨利（淨損）,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　 處分子公司,　　 現金增資,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　 其他應收款－關係人增加,　　 現金減資,　　 庫藏股票處分,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 庫藏股票買回成本,　　 其他應收款－關係人減少,　　 短期借款減少,　　 按攤銷後成本衡量之金融資產到期還本
3419,2016年01月01日至2016年09月30日,,24329,24329,,,71538,6261,,5831,-2505,739,6839,945,,,,46041,-101088,-92720,,-167441,,-2036,-4979,-6698,,-14099,-181540,-121096,-96767,-5997,-3283,-106047,,-26233,680,-102.0,-9985,2695,-32945,,0,-25480.0,,-100413,-31514,-270919,570860,299941,299941,-37561.0,,,,,,,,,,-4.0,,,,3386.0,-32590.0,,,,17887.0,,0.0,-1850.0,,,60444.0,-386.0,0.0,0.0,,-73079.0,
3419,2016年01月01日至2016年06月30日,,-26214,-26214,,,48312,4186,,3924,-1565,660,3123,640,,,,36459,74690,-92954,,8781,,-1229,571,-12579,,-13497,-4716,41866,15652,-3963,-2211,9478,,-17544,48,-2.0,-9770,1260,-74458,,0,-16986.0,,-85705,-14412,-165097,570860,405763,405763,-53475.0,,,,,,,,,,-2.0,,,,2675.0,-15373.0,,,,44061.0,,0.0,-490.0,,,46582.0,-260.0,,0.0,,-68227.0,-48450.0
3419,2016年01月01日至2016年03月31日,,-37018,-37018,,,23855,2001,,1991,-347,8,7183,323,,,,67582,4619,-19328,,88182,,-1218,-47100,-8021,,-56468,31714,70707,33689,-2204,-851,30634,,-9464,52,,-9345,348,-18409,,0,-8493.0,,-74902,-4673,-67350,570860,503510,503510,-8664.0,,,,,,,0.0,,,,,0.0,0.0,1430.0,2549.0,,,,43973.0,,0.0,-70.0,,,38993.0,-129.0,0.0,,,-66339.0,
3419,2015年度,,-60988,-60988,,,96100,8629,,11103,-7800,1008,-6017,1289,,,,-107617,156598,111321,,185820,,639,-140468,-33948,,-174284,11536,144777,83789,-11115,2428,75102,,-73711,11766,-1017.0,-8484,8075,151781,,11509,-33974.0,,-61167,-4406,161310,409550,570860,570860,6807.0,,,,,,,0.0,,,-2.0,,0.0,0.0,11943.0,16986.0,0.0,0.0,0.0,18711.0,,0.0,-1300.0,,,133241.0,-507.0,124245.0,-37400.0,90907.0,0.0,
3419,2015年01月01日至2015年09月30日,,-53826,-53826,,,72513,6641,,8539,-6946,965,19576,964,,,,-82623,384,91430,,82284,,913,-125787,-39540,,-164795,-82511,47091,-6735,-8598,2615,-12718,,-53016,11535,-1941.0,-8484,7068,80314,,77443,-25480.0,,13684,13215,94495,409550,504045,504045,92333.0,,,,,,,,,,1.0,,0.0,0.0,9054.0,18296.0,0.0,0.0,0.0,-19240.0,,907.0,-880.0,,,129602.0,-381.0,124245.0,-37400.0,,,
3419,2015年01月01日至2015年06月30日,,-59465,-59465,,,49117,4528,,5680,-5745,587,-2704,641,,,,-43924,115927,77403,,183172,,1136,-202281,-22762,,-224160,-40988,30690,-28775,-5464,2592,-31647,,-34871,11455,-889.0,-8472,5391,21237,,83223,-16986.0,,33069,-12617,10042,409550,419592,419592,5070.0,,,,,,,,,,-2.0,,0.0,0.0,6067.0,13507.0,0.0,0.0,0.0,28696.0,,-1027.0,-600.0,,,71678.0,-253.0,49650.0,-32566.0,,,
3419,2015年01月01日至2015年03月31日,,-7773,-7773,,,24996,2269,,3071,-2787,460,-4203,323,,,,-44509,81560,18466,,117323,,-864,-103317,-5585,,-109890,7433,37715,29942,-2775,0,27167,,-24529,11464,0.0,-8210,3030,29840,,91450,-8493.0,0.0,82957,-2866,137098,409550,546648,546648,5802.0,,,,,,,11.0,,,,,0.0,0.0,3134.0,3019.0,,,,56004.0,,-511.0,,,,30282.0,-124.0,48585.0,,,,
3419,2014年度,,-58054,-61002,,,103622,11985,,15626,-10981,-1373,-12585,1260,134186.0,,,19841,-128926,3710,,-138163,,-13836,108721,25918,-523.0,120280,-17883,116303,55301,-16015,-5849,33437,,-61798,3889,0.0,-6678,10758,-191951,,-20337,-26174.0,,3951,23447,-131116,628431,497315,409550,33376.0,,0.0,,0.0,0.0,-48880.0,1665.0,0.0,0.0,-63.0,0.0,87765.0,-2948.0,11099.0,15533.0,-276200.0,276200.0,52000.0,-66164.0,,-90907.0,-300.0,-1175.0,,,,,,,,
3419,2014年01月01日至2014年09月30日,,-58603,-61551,,,80481,10111,,12779,-8873,-794,1602,939,108050.0,,,28133,-145260,33945,,-62813,,-13867,77778,11536,-394.0,75053,12240,120290,58739,-13028,-5761,39950,,-47939,2575,1658.0,-6675,8887,-197563,,4068,-17681.0,-65.0,38122,3207,-116284,628431,512147,424382,15452.0,,,,,,-66069.0,,,,,,87765.0,-2948.0,6551.0,5254.0,-276200.0,276200.0,52000.0,-9842.0,14759.0,-90000.0,-200.0,,,,,,,,,
3419,2014年01月01日至2014年06月30日,,-48204,-51152,,,57329,9178,,9156,-6002,-813,4534,628,71044.0,,,-31979,-12916,61383,,70736,,-13323,36302,2573,-262.0,25290,96026,167070,115918,-9102,-6213,100603,,-41207,2282,-340.0,-5821,5874,-105203,,42274,-9188.0,-67.0,85019,-11365,69054,628431,697485,609720,54248.0,,,,,,-65991.0,,,,,,87765.0,-2948.0,1128.0,-4094.0,-276200.0,276200.0,52000.0,,,,,,,,,,,,,
