公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 預付投資款增加,　　 應付短期票券減少,　　 短期借款減少,　　 償還公司債,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　 存入保證金減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　　 其他應收款（增加）減少,　　　　　 其他應付款增加（減少）,　　 發行公司債,　　　　 金融資產減損損失,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 存入保證金增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分不動產、廠房及設備,　　 取得備供出售金融資產,　　 處分備供出售金融資產
3535,2016年01月01日至2016年09月30日,,-80628,-80628,,,31452,2797,-404,8408,-733,,3727,,,,,120453,-181969,4311,-57205,,,94378,379340,,455307,398102,481057,400429,570,-5192,55.0,395862,,-4133,-6237.0,-3930.0,,-82454,,251520.0,,0,-80225,-108732,4832,209508,336153,545661,545661,0.0,,,,-280000.0,,,16711.0,,-27.0,-60.0,-61.0,-14053.0,,-18411.0,,35171.0,0.0,-78272.0,,0.0,,82955.0,0.0,10057.0,-1485.0,1546.0
3535,2016年01月01日至2016年06月30日,,-35967,-35967,,,21863,1839,-457,5488,-487,,2447,,,,,-47771,-171902,7581,-212092,,,161752,26063,,165890,-46202,25758,-10209,379,-3455,89.0,-13196,,-2853,,,,2980,,-90000.0,,0,-29585,-119612,-1285,-131113,336153,205040,205040,0.0,,,,,,,6082.0,,-27.0,-120.0,-61.0,195.0,,-21925.0,,35171.0,-3785.0,-500.0,,0.0,,71960.0,0.0,10057.0,-1485.0,1546.0
3535,2016年01月01日至2016年03月31日,,-19283,-19283,,,11180,951,-29,2994,-222,,649,,,,,168340,-95855,7426,79911,,,56207,-1763,,12908,92819,107873,88590,196,-2049,,86737,,0,,,,4702,,-140000.0,,0,-27510,-167510,-489,-76560,336153,259593,259593,0.0,,,,,,,,,,-80.0,,-389.0,,-41536.0,,,4683.0,,,,,15054.0,,19.0,,
3535,2015年度,,52884,52884,,,51108,5474,6923,10660,-1130,,3479,,,,,-186477,-69535,-2381,-258393,,,-26421,2746,,968,-257425,-187683,-134799,1234,-5888,0.0,-139453,,-2363,,-5156.0,,-10238,,203500.0,,64000,-28272,239195,-758,88746,247407,336153,336153,-4995.0,,,,,,,-19.0,,,180.0,0.0,-6933.0,,24855.0,0.0,,-389.0,2646.0,,-33.0,,69742.0,-212.0,19.0,,
3535,2015年01月01日至2015年09月30日,,8269,8269,,,39565,4665,-686,7264,-902,,2233,,,,,9167,-162174,-4827,-157834,,,37380,579,,33026,-124808,-80177,-71908,913,-3823,0.0,-74818,,-2481,,-2936.0,,-9685,,63500.0,,64000,-26225,101215,-186,16526,247407,263933,263933,-4995.0,,,,,,,-19.0,,-114.0,180.0,0.0,-7669.0,,-4863.0,0.0,,708.0,,,54.0,,44631.0,-70.0,19.0,,
3535,2015年01月01日至2015年06月30日,,1727,1727,,,27242,3407,-516,4737,-695,,378,,,,,75702,4784,-1708,78778,,,-92112,5702,,-106005,-27227,6586,8313,720,-2496,0.0,6537,,-2481,,0.0,,-3890,,13500.0,,30000,-4150,39344,-697,41294,247407,288701,288701,-4995.0,,,,,,,-19.0,,-60.0,160.0,,-881.0,,-19560.0,,,3567.0,,,54.0,,33813.0,-35.0,19.0,,
3535,2015年01月01日至2015年03月31日,,8028,8028,,,13790,1869,-81,2351,-301,,2733,,,,,42111,102272,2488,146871,,,-120960,444,,-143330,3541,21626,29654,329,-964,0.0,29019,,-471,,,,-957,,70000.0,,30000,-2075,97925,-422,125565,247407,372972,372972,-4995.0,,,,,,,,,,60.0,,-2336.0,,-22814.0,,,4509.0,,,,,18085.0,0.0,,,
3535,2014年度,,-30713,-30713,,,48490,10681,-330,6525,-1023,0.0,2707,56563.0,,,-770.0,-261033,-8231,-21465,-291499,,-1291.0,145319,-11271,-118.0,140328,-151171,-94608,-125321,949,-5364,-10.0,-129746,,-1965,,-78.0,,-14363,,7000.0,,0,-43206,163854,459,20204,227203,247407,247407,-4995.0,,,0.0,,0.0,,,,,288.0,-5540.0,-5235.0,,7689.0,200000.0,0.0,-4654.0,-2671.0,0.0,60.0,,,,,,
3535,2014年01月01日至2014年09月30日,,12181,12181,,,35747,8537,-170,4312,-578,0.0,1071,42522.0,,,79.0,-143824,-66351,-7456,-222350,,-1268.0,103289,-11565,-10.0,84649,-137701,-95179,-82998,627,-4248,-10.0,-86629,,-472,-4492.0,-78.0,,-10037,,47500.0,,0,-41048,206452,102,109888,227203,337091,337091,-4995.0,,,0.0,0.0,0.0,,,,,128.0,-5540.0,-985.0,-4798.0,-5797.0,200000.0,,,,,,,,,,,
3535,2014年01月01日至2014年06月30日,,15928,15928,,,23587,6025,1857,2770,-435,0.0,7066,40870.0,,,26.0,-136392,51635,-7670,-92401,,-883.0,-38468,-13811,-10.0,-53172,-145573,-104703,-88775,457,-2696,-51.0,-91065,,-797,-480.0,-75.0,0.0,-6347,,115000.0,,0,-18950,96050,-213,-1575,227203,225628,225628,0.0,,-4995.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,
