公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 存入保證金減少,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　 其他項目,　　 發放現金股利,　　 其他金融資產增加,　　 短期借款減少,　　　 收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　　　 預付款項（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 淨確定福利負債增加(減少),　　 取得採用權益法之投資,　　 概括承受他公司之淨現金收取數,　　 其他非流動資產減少,　　 其他非流動負債增加,　　 其他籌資活動,　 匯率變動對現金及約當現金之影響,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 取得持有至到期日金融資產,　　　　 金融資產減損損失,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分持有至到期日金融資產,　　 現金減資,　　 處分不動產、廠房及設備,　　 非控制權益變動,　　　　 買回應付公司債損失（利益）,　　 償還公司債,　　 庫藏股票買回成本,　　 其他金融資產減少
3545,2016年01月01日至2016年09月30日,,83402,83402,,,40497,40477,-17858,8098,-45402,24490,0,1932,,,,145809,-324308,-50318,-228817,,2803,65991,,83449,-145368,82504,165906,53844,-1987,-7108,156811,,-29359,0,-12786,,-80877.0,1271809,,57289.0,,-10128,41757,-1246896,117789,1690441,1808230,1808230,,,-212240.0,,0.0,,,1986.0,141631.0,,227872.0,,14934.0,-279.0,,0.0,-1474441.0,0.0,-376.0,-63935.0,,-16355.0,,,,,500.0,26.0,32021.0,-990617.0,-132607.0,2831283.0
3545,2016年01月01日至2016年06月30日,,-23959,-23959,,,27866,24049,-17882,7254,-34605,13583,0,625,,,,147675,-306593,-40294,-199212,,443103,17329,,397715,198503,348303,324344,43408,-1264,-6112,316968,,0,0,-5765,,-34548.0,1897679,,58351.0,,-9022,17145,-1056785,1104587,1680546,2785133,2785133,,,,1918411.0,0.0,,,1986.0,94902.0,,149800.0,,-62519.0,-198.0,,9867.0,-34194.0,0.0,-326.0,-53275.0,,,,,,,500.0,0.0,32022.0,-990326.0,-132607.0,
3545,2016年01月01日至2016年03月31日,,-102177,-102177,,,13847,11446,-2092,4763,-13214,6562,0,-1167,,,,468556,114798,32161,615515,,-116469,45937,,-240363,375152,459671,357494,16239,-804,-751,355939,,0,0,-2139,,-5441.0,228024,,,,-8082,16169,-12139,544380,1680546,2224926,2224926,,,,218592.0,-20114.0,,,1986.0,62388.0,,84519.0,,-169730.0,-101.0,,0.0,273.0,0.0,-112.0,-27444.0,,,,,,,500.0,0.0,,,,
3545,2015年度,,241697,241697,,,69243,41639,-233196,17533,-94849,76334,-167,17652,,,,575745,149341,26195,751281,,-396726,51953,,-249956,501325,430426,672123,81435,-2778,-47063,622282,,-188000,188033,-39286,,-28251.0,671132,,,,45274,39558,-1349605,-44762,1725308,1680546,1680546,,0.0,-130005.0,101183.0,-54327.0,,0.0,0.0,34912.0,0.0,-70899.0,,95350.0,-533.0,0.0,717370.0,-31965.0,,-1665.0,11429.0,,-31585.0,0.0,-130620.0,32818.0,-1248440.0,,,,,,
3545,2015年01月01日至2015年09月30日,,191464,191464,,,50530,30973,-221157,12951,-69830,53222,-33,279,,,,494370,388010,8130,867580,,-494500,30616,,-453269,414311,349440,540904,72514,-2111,-46463,492330,,-188000,188033,-27946,,-21557.0,938388,,,,106,34868,-191614,1297308,1725308,3022616,3022616,0.0,,-130005.0,230168.0,-96392.0,,0.0,0.0,78194.0,0.0,-64871.0,-22930.0,8018.0,2597.0,0.0,717370.0,-609.0,1400.0,-1591.0,58204.0,,-31585.0,,,,,,,,,,
3545,2015年01月01日至2015年06月30日,,5609,5609,,,31889,22268,-108985,8813,-45309,34924,-33,497,,,,78041,150227,13705,221533,,17499,18021,,94603,316136,319120,324729,62534,-2005,-40094,282630,,-188000,188033,-20123,,-190.0,732459,,,,-2450,32325,-224280,762817,1725308,2488125,2488125,,,,-26492.0,-254780.0,,0.0,0.0,58920.0,0.0,2984.0,-20440.0,56379.0,2704.0,0.0,717370.0,-673.0,1400.0,-775.0,-27992.0,,,,,,,,,,,,
3545,2015年01月01日至2015年03月31日,,-50382,-50382,,,15684,12011,-96333,4516,-19900,20752,-28,305,,,,364798,-219949,-10714,133114,,-191084,31254,,-269013,-135899,-168197,-218579,19403,-1386,-5235,-225200,,-148000,148028,-13354,,,1099471,,,,-5457,22854,-79131,776977,1725308,2502285,2502285,,,,376736.0,-97400.0,,0.0,0.0,30695.0,0.0,-32298.0,-1021.0,-112016.0,2833.0,0.0,717370.0,-712.0,1400.0,-528.0,-18163.0,0.0,,,,,,,,,,,
3545,2014年度,,179217,179217,,,22059,15168,1037,27211,-5177,31388,-599,-48632,161093.0,,,131808,278119,85084,495011,,-148242,-58875,-540.0,-207657,287354,448447,627664,5809,-10953,-83965,538555,,-1496000,1496599,-33433,24025.0,-8775.0,573897,,0.0,0.0,-2244,0,-740869,371583,383389,754972,754972,103428.0,15210.0,-280417.0,591481.0,-458208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3545,2014年01月01日至2014年09月30日,,231767,231767,,,18010,12518,4852,20879,-4266,10355,-599,69149,263713.0,,,-265938,87342,121905,-56691,,120607,-109464,-415.0,10728,-45963,217750,449517,4833,-8992,-83868,361490,,-1496000,1496599,-29276,-1072.0,-4680.0,-34429,,167122.0,0.0,-5429,0,-118724,208337,383389,591726,591726,103428.0,29387.0,-280417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3545,2014年01月01日至2014年06月30日,,310422,310422,,,13160,9576,-7054,14144,-2915,18414,-599,-45400,-674.0,,,-827648,205168,30292,-592188,,528012,10410,-286.0,538136,-54052,-54726,255696,2296,-5565,-67843,184584,,-1496000,1496599,-28335,-337.0,-839.0,-28912,,-7993.0,0.0,-9912,0,-17905,137767,383389,521156,521156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
