公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 應付款項增加,　　 其他應付款－關係人增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　 退還（支付）之所得稅,　　 處分以成本衡量之金融資產,　　 應付租賃款增加,　　 現金增資,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　 非控制權益變動,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 發行公司債,　　　　 不動產、廠房及設備轉列費用數,　　 取得子公司股權,　　 存出保證金減少,　　 其他金融資產增加,　　 應付款項減少,　　 其他應付款－關係人減少,　　 應付租賃款減少,　　 存入保證金增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　 短期借款減少,　　 處分子公司,　　 存入保證金減少,　　 其他投資活動
3557,2016年01月01日至2016年09月30日,,-81626,-81626,,,26638,895,2244,4256,-619,,28,-975,,,,68,27703,-52,16378,-1793,940,43244,,-2155,15956,,-11227.0,17370,2707,45951,84733,3107,619,-1629,2097,,-1227,50,,,,-34032,,175771.0,-7394,,,187122,-1701,153486,130195,283681,283681,0.0,,5775.0,,,,162000.0,540.0,,,-17237.0,,0.0,,0.0,,-29.0,-39076.0,,,,0.0,,38782.0,-143105.0,17336.0,-150.0,-11086.0
3557,2016年01月01日至2016年06月30日,,-47171,-47171,,,18291,596,1356,2834,-418,,28,-650,,,,13,43155,1886,8249,-2035,796,52064,,-3104,7146,,-17468.0,14275,-17347,34717,58854,11683,418,-1100,11001,,-672,50,,,,-45711,,125735.0,-4930,,,19076,-138,-15772,130195,114423,114423,0.0,,2100.0,,,,,,,,-18196.0,,0.0,,0.0,,0.0,-45089.0,,,,0.0,,24137.0,-101579.0,,-150.0,
3557,2016年01月01日至2016年03月31日,,-24925,-24925,,,9574,298,570,1372,-192,,-23,-325,,,,-70,32959,1462,3644,-2889,386,35492,,-3368,8572,,-20038.0,135,-24246,11246,26013,1088,192,-465,815,,-502,50,,,,-45736,,67577.0,-2465,,,32142,-1658,-14437,130195,115758,115758,0.0,,3493.0,,,,,,,,-9547.0,,0.0,,,,0.0,-45284.0,,,,,,14767.0,-32970.0,,,
3557,2015年度,,-65106,-65106,,,50206,3886,-707,5558,-1957,,211,-1300,,,,-42,82093,-4042,46167,2860,-3516,123520,,-14799,-40695,,-12360.0,-3345,-71203,52317,100376,35270,1957,-2168,35059,,-6231,366,,0.0,,-23826,,261809.0,-9859,,,-36344,-699,-25810,156005,130195,130195,0.0,,-1072.0,,0.0,,,-6812.0,0.0,,-4.0,,45.0,0.0,1.0,0.0,2716.0,-9941.0,0.0,0.0,,222.0,,48059.0,-288516.0,-10736.0,,
3557,2015年01月01日至2015年09月30日,,-45167,-45167,,,39761,2937,-1502,4280,-1575,,202,-975,,,,-150,121352,2512,42307,122,-3972,162171,,-10323,-71689,,-19974.0,-3207,-105485,56686,98694,53527,1575,-1731,53371,,-4693,100,,0.0,,-25660,,204582.0,-7394,,,-32248,-342,-4879,156005,151126,151126,0.0,,-1166.0,,0.0,,,0.0,,,-292.0,,45.0,0.0,1.0,0.0,2658.0,-23725.0,0.0,0.0,,235.0,,42008.0,-229671.0,,,
3557,2015年01月01日至2015年06月30日,,-33731,-33731,,,27566,1885,-1107,2879,-1307,,32,-650,,,,-364,105153,863,1390,1708,-3470,105280,,-4004,-36010,,-20600.0,519,-60387,44893,74181,40450,1307,-1175,40582,,-4148,100,,0.0,,-18995,,,-4930,,0.0,-13916,-890,6781,156005,162786,162786,0.0,,-56.0,,0.0,,,0.0,,,-292.0,,45.0,0.0,1.0,0.0,2617.0,-17564.0,0.0,,,233.0,,29288.0,-9219.0,,,
3557,2015年01月01日至2015年03月31日,,-12697,-12697,,,14764,909,-124,1477,-204,,32,-325,,,,-122,10292,359,20904,-5874,-3052,22507,,-2880,-39308,,-12036.0,-91,-54466,-31959,-15917,-28614,204,-615,-29025,,-547,100,,0.0,,-14641,,,-2465,,0.0,-2708,-138,-46512,156005,109493,109493,0.0,,-472.0,,0.0,,,0.0,,,-151.0,,-15.0,0.0,,,2661.0,-16855.0,0.0,,,,,16042.0,-243.0,,,
3557,2014年度,,-313483,-313483,,,136267,3672,2419,6845,-1798,,76,-1300,328151.0,,,-42,-130372,8158,-4105,-2299,-447,-129107,,14056,20122,0.0,-309.0,199,20867,-108240,219911,-93572,1798,-4164,-95938,,-11057,2839,,-54.0,-21916.0,-6059,,-186432.0,-27925,,,-107101,2157,-206941,362946,156005,156005,0.0,0.0,166.0,0.0,22569.0,,,-949.0,182524.0,,-13201.0,,180.0,148972.0,49.0,-22001.0,1560.0,,-5866.0,-14100.0,0.0,251.0,,,,,,
3557,2014年01月01日至2014年09月30日,,-104912,-104912,,,103466,2674,2060,5350,-1340,,71,-975,110619.0,,,-1415,-142042,6242,-30039,-6087,-3988,-177329,,23121,55542,0.0,-3815.0,2107,66753,-110576,43,-104869,1340,-5525,-109054,,-5743,2229,,-54.0,,378,,-155202.0,-25460,,,-60157,406,-168427,362946,194519,194519,0.0,0.0,48.0,,22569.0,,,-949.0,,,-10202.0,,165.0,148972.0,49.0,-22001.0,10.0,-18633.0,-5866.0,-600.0,0.0,,,,,,,
3557,2014年01月01日至2014年06月30日,,-98114,-98114,,,69681,2130,398,3743,-1141,,288,-650,72990.0,,,-5208,-33406,5721,29697,-2866,-393,-6455,,4526,-28055,0.0,-17481.0,2779,-42791,-49246,23744,-74370,1141,-3835,-77064,,-2864,1871,-227.0,-54.0,-12604.0,7771,,-169658.0,-22995,-5280.0,2900.0,-68062,-232,-137587,362946,225359,225359,0.0,0.0,-620.0,0.0,21649.0,,,-1038.0,,,-4560.0,,150.0,148972.0,49.0,-22001.0,,,,,,,,,,,,
