公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 預付設備款增加,　　 其他預付款項增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 攤銷費用,　　　　 股份基礎給付酬勞成本,　　 存出保證金減少,　　 存入保證金減少,　　　　 股利收入,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 收取之股利,　　 發放現金股利,　　　　 處分其他資產損失（利益）,　　 預付投資款增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　 取得投資性不動產,　　 非控制權益變動,　　 預付投資款減少,　　 預付設備款減少,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產
3622,2016年01月01日至2016年09月30日,,-87754,1429,-86325,,,125351,2270,,0,-21706,-2145,-12738,4558,,41533,-10498.0,,,,,-31166,-21506,2449,-26730,28153,-48800,,0,-41287,-42086,-5381,747,-88007,-136807,-45993,-132318,21706,0,-6949,-117561,,,,-18312,12738,,-6892.0,,-1332,-442026,,0,733.0,,733,15240,-543614,1467757,924143,895375,28768,,0.0,1522.0,,-35694.0,-635899.0,,67239.0,,,,,90814.0,135581.0,,0.0,,,-117.0,3329.0
3622,2016年01月01日至2016年06月30日,,-36376,-909,-37285,,,85690,-2605,,0,-16210,1173,-6115,0,-2335.0,20760,,,,,,-67692,121297,-3141,3754,11802,66020,,0,-65938,-52856,-5367,-2038,-126199,-60179,20062,-17223,16210,0,-8245,-9258,,,0.0,-18028,6115,,-3073.0,,-1190,-488518,,0,0.0,0.0,-121,-7604,-505501,1467757,962256,935942,26314,,0.0,1966.0,-121.0,,-456240.0,,,,,,,80241.0,-21397.0,,0.0,,,-117.0,3329.0
3622,2016年01月01日至2016年03月31日,,-31321,2829,-28492,,,43328,581,,0,-8677,-1272,-3749,9492,0.0,4892,,,,,,-21287,-30817,3088,15893,3479,-29644,,0,-3963,-55331,-5368,-2767,-67429,-97073,-52478,-80970,8677,0,-7037,-79330,,,0.0,-11313,3749,,-675.0,,-1350,-4514,,0,,0.0,-80,6575,-77349,1467757,1390408,1388989,1419,,0.0,1147.0,-80.0,,,,,,,,,44595.0,3928.0,0.0,,,,,
3622,2015年度,,-2234838,-355132,-2589970,,,759669,-5814,,213,-28484,55908,76942,1512882,9376.0,28102,0.0,,,,,24431,476892,49195,144586,32091,727195,,-1957,-472829,-79964,-4163,-30316,-589229,137966,2549033,-40937,28484,-213,-16252,-28918,,,0.0,-106638,43235,9683.0,,,-448,-41984,,-17500,71.0,0.0,71,-11219,-82050,1549807,1467757,1466645,1112,2572.0,30.0,0.0,,-329.0,-5000.0,0.0,35817.0,,,0.0,,2411067.0,-9312.0,,17500.0,1000.0,-10321.0,,
3622,2015年01月01日至2015年09月30日,,-739289,2379,-736910,,,604551,-13356,,213,-19748,-2761,25360,26235,,-4884,0.0,,,,,29022,476459,47380,82642,10439,645942,,-1957,-414469,91397,-3314,-186863,-515206,130736,745571,8661,19748,-213,-15291,12905,,,0.0,-97035,23300,0.0,-10060.0,,-772,-57822,,-17500,2018.0,0.0,2018,-19241,-62140,1549807,1487667,1487667,0,,-641.0,5773.0,,-134.0,-5000.0,0.0,35622.0,,,,,614835.0,-9650.0,,17500.0,,,,
3622,2015年01月01日至2015年06月30日,,-552414,2542,-549872,,,407374,-11330,,213,-12971,7386,-683,44475,0.0,27235,0.0,,,,,28685,319451,49132,63356,6559,467183,,-1863,-310494,18818,-4170,-142898,-440607,26576,487762,-62110,12971,-213,-14504,-63856,,,0.0,-67266,8692,0.0,-6107.0,,-1251,-78535,,-17500,0.0,0.0,-155,13146,-129400,1549807,1420407,1306872,113535,,-513.0,1668.0,-155.0,,-5000.0,,,,,,,461186.0,-9271.0,,17500.0,,,,
3622,2015年01月01日至2015年03月31日,,-227221,859,-226362,,,207045,-439,,91,-5693,3288,1917,0,-24230.0,10051,0.0,,,,0.0,26204,56206,32271,80340,-3920,191101,,-1208,-77160,18128,-337,-69226,-129803,61298,253148,26786,5693,-91,-9382,23006,,,0.0,-30012,4874,0.0,-1808.0,0.0,-4179,-38351,,0,-360.0,0.0,-360,4693,-11012,1549807,1538795,1389048,149747,,-180.0,485.0,,,,,,,,,,191850.0,-5548.0,-2163.0,,,,,
3622,2014年度,,-1732152,3538,-1728614,,,1064408,109981,0.0,614,-27630,88021,-1290,682324,-35717.0,-74077,-10197.0,1888074.0,,,0.0,46269,-18501,-162234,86477,49212,1223,,-2024,233771,-182968,6343,-192258,-137136,-135913,1752161,23547,27630,-614,-9608,40955,,-723671.0,11209.0,-459878,18933,-56813.0,-43509.0,,2286,-1227242,,-8100,,543.0,-3417,87626,-1102078,2651885,1549807,1399183,150624,4229.0,-29.0,,4140.0,-1649.0,0.0,-4050.0,29251.0,0.0,89086.0,-1000.0,,,,,,,,,
3622,2014年01月01日至2014年09月30日,,-891491,5991,-885500,,,795309,136894,0.0,556,-19463,17556,437,-3687,58460.0,-16743,-10197.0,961073.0,,,0.0,49586,57008,-37310,68200,9907,147391,,1041,57505,-55697,4897,-90424,-82678,64713,1025786,140286,19463,-556,-7344,151849,,-738717.0,11209.0,-459565,3469,-1707.0,-33257.0,,2430,-1190937,,-8100,,516.0,-5666,-7092,-1051846,2651885,1600039,1452807,147232,3604.0,-4.0,,1918.0,-1649.0,0.0,-4050.0,29251.0,0.0,,,,,,,,,,,
3622,2014年01月01日至2014年06月30日,,-430135,9206,-420929,,,533592,27661,0.0,395,-11136,21155,-536,0,15912.0,11004,-13011.0,588276.0,,,0.0,72384,-76057,-20564,19841,-25009,-29405,,1151,235180,-90819,2521,-87575,60458,31053,619329,198400,11136,-395,-3423,205718,,-737430.0,1575.0,-209235,544,-1022.0,-11260.0,,1609,-955219,,-550,,335.0,1641,2030,-745830,2651885,1906055,1762458,143597,3144.0,96.0,0.0,1856.0,,,,,,,,,,,,,,,,
