公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 其他非流動負債增加,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分投資損失（利益）,　　 支付之股利,　　 以成本衡量之金融資產減資退回股款,　　 其他金融資產增加,　　 存入保證金增加,　　　　 金融資產減損損失,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 發放現金股利,　　　　 非金融資產減損損失,　　 處分以成本衡量之金融資產,　　 取得無形資產,　　 存入保證金減少,　　 非控制權益變動,　　 取得以成本衡量之金融資產,　　 應付短期票券增加,　　　　　 其他應付款－關係人增加（減少）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產減少,　　 其他投資活動,　　 應付短期票券減少,　　　　　 其他應收款－關係人（增加）減少
3704,2016年01月01日至2016年09月30日,,290547,290547,,,203376,57243,7171,-3610,,35604,185,143883,,,,-173165,479567,96453,402194,,-122797,,-394260.0,,-528117,-125923,334605,625152,8378,,-27315,-100839,505376,,,,-78373,3078.0,,2318.0,,-34750,-119707,,0,-474086.0,,-187614.0,-562414,-123271,-300016,3185776,2885760,2885760,26679.0,-10003.0,,0.0,,0.0,-4480.0,,0.0,1098.0,,,-7500.0,0.0,,0.0,0.0,-714.0,,,100000.0,-7772.0,,460528.0,-3288.0,,,,-1759.0
3704,2016年01月01日至2016年06月30日,,371999,371999,,,137230,39519,21265,-1893,,24512,-203,81073,,,,-1015706,563672,96574,-366763,,176673,,-322840.0,,-147781,-514544,-201161,170838,5549,,-19717,-88512,68158,,,,-58044,2648.0,-410.0,0.0,6183.0,-24416,-81539,,0,-348968.0,,-187614.0,-436635,-46033,-496049,3185776,2689727,2689727,19076.0,-7196.0,,0.0,,,0.0,,0.0,-6433.0,,,-7500.0,,,0.0,0.0,-53.0,,,100000.0,681.0,,313383.0,-2295.0,,,,-4870.0
3704,2016年01月01日至2016年03月31日,,237459,237459,,,66240,19414,-351,10634,,18484,-3,18584,,,,-814302,226456,71498,-521483,,266161,-167020.0,,,90246,-431237,-291030,-53571,3166,,-11104,-36613,-98122,,,,-22313,54.0,,-476.0,,-11958,-48227,,-8282,,,-63515.0,28194,-897,-119052,3185776,3066724,3066724,10909.0,-3704.0,,,,,-6034.0,0.0,0.0,0.0,,,-7500.0,,,,,-9.0,,,100000.0,-7357.0,,140207.0,-1538.0,0.0,,,-5135.0
3704,2015年度,,-492327,-492327,,,255740,56492,9299,-4425,0.0,-8330,1562,419440,,,,144460,53349,-56828,166412,,-51987,,-38850.0,,-112431,53981,812811,320484,13155,,-29696,-113856,190087,,0.0,,-331252,1947.0,0.0,12394.0,0.0,-57594,-457088,,932394,,,-430894.0,329448,-90349,-27902,3213678,3185776,3185776,30205.0,-17448.0,,-15309.0,,29522.0,-17501.0,,31604.0,25431.0,,,-43958.0,-71544.0,,37947.0,-50888.0,-508.0,,0.0,0.0,-625.0,,758830.0,-20969.0,,-37705.0,-100000.0,
3704,2015年01月01日至2015年09月30日,,-518685,-518685,,,187252,35472,26128,-2572,0.0,3389,-116,284589,,,,27496,-367773,-123314,-443011,,85756,-36582.0,-96552.0,,-59779,-502790,57183,-461502,9405,,-21454,-51476,-525027,,,,-258291,1649.0,,12286.0,0.0,-29902,-301314,,1003596,,,-316383.0,615343,-193,-211191,3213678,3002487,3002487,22183.0,-12780.0,,-15176.0,,29522.0,-10882.0,0.0,31604.0,20580.0,,,-32958.0,-71544.0,,37813.0,-50551.0,-326.0,,0.0,0.0,-9260.0,,559973.0,-3141.0,,,,
3704,2015年01月01日至2015年06月30日,,-679956,-679956,,,120706,21696,69950,-896,0.0,7221,-177,155369,,,,-32576,-243253,-95437,-370335,,-49556,40634.0,-119834.0,,-132281,-502616,-107574,-787530,6330,,-12693,-48802,-842695,,,,-92693,1628.0,0.0,6078.0,0.0,-15581,-153936,,630161,0.0,,-174117.0,453872,-143888,-686647,3213678,2527031,2527031,12887.0,-8588.0,,-13959.0,,0.0,-7535.0,0.0,30833.0,931.0,,,-32958.0,,,37340.0,-50215.0,-2172.0,,0.0,,-1732.0,,395042.0,-1793.0,,,,
3704,2015年01月01日至2015年03月31日,,-460477,-460477,,,60559,10473,5005,-2293,0.0,-2465,-151,66422,,,,907098,-272693,17735,662305,,-23541,166689.0,-156539.0,,-25058,637247,808711,348234,3198,,-6221,-16685,328526,,,0.0,-37907,1275.0,,7325.0,,0,-64025,,483435,,,,483493,-154385,593609,3213678,3807287,3807287,6270.0,-3189.0,,,,,-7798.0,58.0,30833.0,10165.0,,,-29850.0,0.0,,,,,,0.0,,-10573.0,,171464.0,-1094.0,2930.0,,,
3704,2014年度,,387043,387043,,,229585,54258,118861,-29250,1141.0,70943,258,168610,621679.0,,,-1214106,-1405118,44694,-2583982,,724818,,363797.0,-5079.0,1094109,-1489873,-868194,-481151,22786,0.0,-16939,-92465,-710950,,40821.0,0.0,-357921,16.0,-9054.0,0.0,289509.0,-30874,-132020,,283465,,,,433449,9114,-400407,3614085,3213678,3213678,16806.0,-18739.0,0.0,6153.0,-143181.0,5478.0,,0.0,3053.0,-9452.0,,,-25000.0,0.0,,0.0,0.0,-16.0,,-44995.0,150000.0,10573.0,,,,,,,
3704,2014年01月01日至2014年09月30日,,439763,439763,,,167814,42244,95729,-23815,934.0,-7258,168,91050,366005.0,,,-1641869,-1111089,-39366,-2806873,,587248,-69982.0,239832.0,-3671.0,753427,-2053446,-1687441,-1247678,15801,0.0,-12862,-72516,-1460436,,,0.0,-230757,16.0,0.0,1210.0,289740.0,-17287,-21594,,660432,,,,810438,-16630,-688222,3614085,2925863,2925863,12604.0,-13465.0,0.0,,-143181.0,5479.0,0.0,6.0,0.0,-14549.0,,,-25000.0,,,,,,,-44995.0,150000.0,,,,,,,,
3704,2014年01月01日至2014年06月30日,,396806,396806,,,110952,30066,89227,-16518,622.0,-3266,103,38328,246190.0,,,-879199,-846527,68453,-1681647,,534306,13056.0,32432.0,-2478.0,577316,-1104331,-858141,-461335,12812,0.0,-8603,-68411,-525537,,,0.0,-152644,3.0,-3617.0,,314268.0,-10547,109639,,0,-113470.0,,,-113410,-2135,-531443,3614085,3082642,3082642,8130.0,-11454.0,0.0,,0.0,2321.0,0.0,60.0,,-24374.0,,,-25000.0,,,,,,,-15145.0,,,,,,,,,
