公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 應付租賃款減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股份基礎給付酬勞成本,　　　　 處分無形資產損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　 對子公司之收購（扣除所取得之現金）,　　 發行公司債,　　 舉借長期借款,　　 其他應付款－關係人增加,　　 現金增資,　　　　 其他項目,　　　　 應付公司債匯率影響數,　　 處分無形資產,　　 預付設備款增加,　　 發放現金股利,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 應收帳款－關係人（增加）減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 其他應付款－關係人增加（減少）,　　 預付投資款增加,　　　　 買回應付公司債損失（利益）,　　 其他籌資活動,　　 取得採用權益法之投資
4141,2016年01月01日至2016年09月30日,,561791,561791,,,104645,114080,162422,356,260245,-67329,1140,9383.0,,,,,38113,179312,-18567,400916,-110231,2901,449258,,-29349,-376035,-3863,12520,,-12708,-430,-405868,43390,666095,1227886,67399,-257604,,-104079,933602,,-85086,747,-1813,0.0,-634860,-297549,-1044111,,541371,-207445,0,,-1446,332480,-115288,106683,2283608,2390291,2390291,28667.0,4195.0,0.0,0.0,,,,0.0,4901.0,,,-24735.0,0.0,0.0,-43186.0,,622705.0,3997.0,0.0,0.0,0.0,-815.0
4141,2016年01月01日至2016年06月30日,,663836,663836,,,70786,74703,129415,531,160426,-36782,579,12098.0,,,,,40296,-312770,-27952,47572,-51032,2742,-301144,,-186749,-56886,21569,-8285,,-11570,-203,-242124,-543268,-107394,556442,34016,-159829,,-42262,388367,,-53567,394,-3319,-7041.0,-403630,-310023,-797706,,435737,-211954,107,,-444,223446,4015,-181878,2283608,2101730,2101730,19042.0,1770.0,0.0,0.0,,,,0.0,3306.0,,,-19698.0,0.0,0.0,0.0,,435874.0,0.0,0.0,0.0,0.0,-822.0
4141,2016年01月01日至2016年03月31日,,428720,428720,,,35438,36564,94812,1071,70497,-12106,30,,3217.0,,,,-18736,-659482,-23878,-259404,-59838,-568,-1021906,,13167,149124,2456,-172758,,39021,-27,31575,-990331,-749617,-320897,9551,-87753,,-24036,-423135,,-28755,0,-866,,-205465,-308233,-551291,,834117,2644,1755,,-850,837666,19231,-117529,2283608,2166079,2166079,9521.0,,0.0,0.0,,,,0.0,1670.0,,,-7141.0,0.0,0.0,0.0,,240714.0,592.0,0.0,,,-831.0
4141,2015年度,,-108308,-108308,,,108020,127628,225892,-27363,317461,-115032,7910,,-12302.0,,,,6618,25488,-1658,195093,120445,-1751,345069,,213090,-36995,16297,58049,922.0,-7295,-1077,242991,588060,1325341,1217033,131983,-329226,,-180153,839637,,-94506,10599,23623,,-794598,1132972,-105282,,-1528966,-150710,-1267,,-3852,-1551810,-215871,-1033326,3316934,2283608,2283608,70731.0,16196.0,673.0,-342639.0,,0.0,0.0,543134.0,3122.0,,,-40733.0,-103150.0,0.0,161.0,,737281.0,,0.0,15018.0,-306999.0,
4141,2015年01月01日至2015年09月30日,,-537306,-537306,,,71460,93415,152011,-26937,230370,-97031,7447,-15694.0,,,,,27262,537004,39439,-352956,-21934,-6743,222915,,22748,269281,-5199,158458,,106,-810,444584,667499,1154149,616843,108750,-243344,,-75184,407065,,-57973,1982,28940,-167984.0,-546658,870169,-100693,,-1346473,-42291,-1242,,-2880,-1156925,-107144,-957697,3316934,2359237,2359237,55092.0,,684.0,-88047.0,,,0.0,543134.0,1499.0,,0.0,-37850.0,-174.0,0.0,159.0,,486650.0,,-103272.0,15018.0,-306999.0,
4141,2015年01月01日至2015年06月30日,,-247657,-247657,,,47291,61381,68096,-26809,151772,-72205,1764,510.0,,,,,27323,620405,18304,-279411,-43919,-711,342831,,-81075,18580,-12327,148695,,12983,-779,91113,433944,721214,473557,48185,-130110,,-42534,349098,,-27361,1098,131,-17856.0,-379382,106691,-529317,,-312239,-44406,-1236,,-1348,-123268,-160930,-464417,3316934,2852517,2852517,39454.0,,681.0,-88047.0,,,0.0,543134.0,998.0,,0.0,-21825.0,-174.0,0.0,159.0,,287270.0,5036.0,-102766.0,15018.0,-306999.0,
4141,2015年01月01日至2015年03月31日,,-366495,-366495,,,23873,31012,25057,-29750,76980,-32765,1138,,27080.0,,,,-48255,302219,9965,-239919,-125652,-43,-102063,,111997,56529,-8254,57313,,6494,-810,226879,124816,271931,-94564,31104,-66314,,-48965,-178739,,-13725,854,-503,,-175686,106593,-282732,,-446208,0,-1251,,-695,94805,-132917,-499583,3316934,2817351,2817351,23985.0,,-539.0,-88047.0,,,,543134.0,505.0,,,-8138.0,-175.0,0.0,161.0,,147115.0,3610.0,-104080.0,,,0.0
4141,2014年度,,601112,601112,,,84942,100379,63122,-10113,278197,-63878,4422,0.0,24453.0,529261.0,,,-15366,-370415,-45181,-451271,169848,-394,-718562,,292412,242479,9493,174195,899.0,-175724,-1540,542214,-176348,352913,954025,63490,-233283,,-312779,471453,,-121397,3628,1796,,-744853,-710297,-1609917,,427353,2883178,-260,,1168,3234610,43099,2139245,1177689,3316934,3316934,33747.0,0.0,-5629.0,,0.0,,-210.0,0.0,13990.0,,,-38794.0,-76619.0,0.0,-154.0,,,,,,,
4141,2014年01月01日至2014年09月30日,,312269,312269,,,61937,71006,47667,-18942,185522,-33337,3775,79229.0,,437516.0,,,43830,471215,-4097,-955221,140644,-1813,-357661,,396352,384321,-1912,241730,0.0,-121253,496,899734,542073,979589,1291858,21948,-164463,,-198059,951284,,-95204,2104,1474,,-566524,-1056453,-1736946,,1409515,-61687,1956,,326,1349901,-82585,481654,1177689,1659343,1659343,25241.0,0.0,-52219.0,,0.0,,-209.0,0.0,15418.0,,738.0,-23081.0,,0.0,,,,,,,,
4141,2014年01月01日至2014年06月30日,,380642,380642,,,40086,47176,87132,-13187,125211,-18882,20,89717.0,,388690.0,,,35786,470259,-12858,-960761,123323,-1189,-347373,,358101,398567,7050,158746,0.0,-119609,1976,804831,457458,846148,1226790,16652,-115934,,-104050,1023458,,-52506,432,-451,,-413505,67015,-421400,,26809,-56440,1564,,1811,-26465,-84289,491304,1177689,1668993,1668993,16735.0,0.0,-1933.0,,0.0,,-209.0,0.0,14682.0,,715.0,-23100.0,,0.0,,,,,,,,
4141,2014年01月01日至2014年03月31日,,155862,155862,,,18884,22746,31782,-9552,52654,-10767,234,,36031.0,150333.0,,,-39887,204084,8208,-581235,72621,229,-340418,,76893,370442,-4779,149628,,-33466,27,558745,218327,368660,524522,10188,-47275,0.0,-46986,440449,,-19033,10,463,0.0,-231449,219820,-33486,,293056,-5291,268,,-673,287360,-62883,631440,1177689,1809129,1809129,8321.0,,-4438.0,,,,,,,,,-3297.0,,,,,,,,,,
4141,2013年度,,422156,422156,,,76882,69696,39056,-35212,213625,-39535,384,0.0,66927.0,395531.0,,,-67616,-257110,-29007,-389072,-198265,8143,-805471,,16675,-109876,-1032,18011,-720.0,129554,5892,58504,-746967,-351436,70720,43789,-210043,,-165396,-260930,,-116726,9843,-3041,,-815750,5368,-924495,,354584,-70321,-12155,,-1139,1099182,21735,-64508,1242197,1177689,1177689,2118.0,2065.0,127456.0,,323918.0,,206.0,648879.0,-475.0,,,-4189.0,-144790.0,0.0,0.0,,,,,,,
4141,2013年01月01日至2013年12月31日,,422156,422156,,,76882,71575,39056,-35212,213625,-39535,384,,66927.0,395468.0,,,-67616,-257110,-29007,-389072,-200144,8143,-807350,,16675,-109876,-1032,18011,-720.0,129554,5892,58504,-748846,-353378,68778,43789,-210043,,-165396,-262872,,-116726,9843,-3041,,-815750,5368,-924495,,354584,-70321,-12155,,-1139,1099182,23677,-64508,1242197,1177689,1177689,2118.0,2065.0,127456.0,0.0,323918.0,,206.0,648879.0,-475.0,-1942.0,0.0,-4189.0,-144790.0,,,,,,,,,
4141,2013年01月01日至2013年09月30日,,115776,115776,,,57683,59670,24421,-34846,166975,-30631,1941,,23818.0,271467.0,,,-32154,565289,-30711,-728706,-107177,7643,-296724,,15107,-199875,-3903,207622,-128986.0,37672,5751,-66612,-363336,-91869,23907,34700,-167083,,-87777,-196253,,-85331,3286,-8402,,-591609,206446,-475610,,553622,-14015,-12994,,-2663,1572800,21184,922121,1242197,2164318,2164318,1471.0,1447.0,29092.0,0.0,390199.0,0.0,9772.0,648879.0,-482.0,,,,,,,,,,,,,
4141,2013年01月01日至2013年06月30日,,-91517,-91517,,,38200,40582,6016,-5458,104969,-18788,129,,21340.0,189885.0,,,15217,928625,-73535,-873048,758,6643,-1268,,-14165,-328503,-5656,164567,-128399.0,-85806,5621,-392341,-393609,-203724,-295241,39341,-99475,,-13435,-368810,,-53026,2469,-1218,,-440755,-46919,-539449,,412248,-14137,-6833,,-3449,1446431,-1419,536753,1242197,1778950,1778950,1471.0,1424.0,-5928.0,0.0,400000.0,0.0,9723.0,648879.0,,,,,,,,,,,,,,
4141,2013年01月01日至2013年03月31日,,-58457,-58457,,,18866,16479,8024,3379,47037,-4493,10,1429.0,0.0,90731.0,,,-55306,207590,-21553,-445899,-34496,8442,-341222,,27177,150088,-1629,-78798,4417.0,-84760,7417,23912,-317310,-226579,-285036,3686,-44688,-165.0,-27292,-353495,,-21898,192,-1202,-3401.0,-163054,49479,-139884,,737213,-8187,0,-1708.0,-2079,725239,43767,275627,1242197,1517824,1517824,,,,,,,,,,,,,,,,,,,,,,
4141,2012年01月01日至2012年12月31日,,619793,619793,,,71393,56549,6454,-6837,176768,-19083,1068,,-12374.0,278391.0,,,6155,-910513,-4807,-778568,-99987,-5615,-1794007,,-17980,283494,16966,186380,-6731.0,-28779,869,434219,-1359788,-1081397,-461604,12807,-168563,,-162773,-780133,,-106878,440,-30729,,-804658,-452435,-1411706,,2069420,-274234,9924,,-8106,2861519,19259,688939,553258,1242197,1242197,3245.0,1244.0,-672.0,-23160.0,0.0,,0.0,1184712.0,-36.0,0.0,11288.0,-5574.0,-120197.0,,,,,,,,,
4141,2012年01月01日至2012年09月30日,,290825,290825,,,48137,41904,21780,-980,124508,-9436,909,,-14423.0,215644.0,,,3037,-204392,6413,-865187,-69524,-2865,-1132518,,-110658,33230,17750,156167,0.0,-68361,2146,30274,-1102244,-886600,-595775,8612,-121416,,-99146,-807725,,-85660,33,-29227,,-533908,-383441,-1055363,,1213200,0,1416,,-6394,2470017,-3438,603491,553258,1156749,1156749,3245.0,0.0,0.0,-23160.0,0.0,77083.0,0.0,1184712.0,0.0,,,,,,,,,,,,,
4141,2012年01月01日至2012年06月30日,,186033,186033,,,31127,27921,21478,-33,80745,-5314,624,,-18992.0,140801.0,,,-31734,115049,-18796,-638893,-61979,3173,-633180,,-94847,201412,16318,158726,0.0,-12248,2492,271853,-361327,-220526,-34493,5034,-82473,,-59435,-171367,,-47830,321,1282,,-369750,-248884,-688021,,-193375,0,9742,,-4140,1072085,21848,234545,553258,787803,787803,3245.0,0.0,0.0,-23160.0,0.0,75146.0,0.0,1184712.0,,,,,,,,,,,,,,
4141,2012年01月01日至2012年03月31日,,93209,93209,,,15247,11480,-657,-224,42679,-4463,487,0.0,-5931.0,58618.0,,,4551,-230660,-18732,-469915,-40128,-11531,-766415,,-52837,319544,2648,107120,6580.0,-103533,113,279635,-486780,-428162,-334953,3247,-42980,0.0,-41379,-416065,,-17910,5,-385,0.0,-205992,95537,-128745,,730377,-252,9049,0.0,-1229,737945,-17045,176090,553258,729348,729348,,,,,,,,,,,,,,,,,,,,,,
