公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預收款項增加－處分資產,　　 取得無形資產,　　　　　 應付帳款－關係人增加（減少）,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 其他非流動負債減少,　　 處分無活絡市場之債券投資,　　 短期借款減少,　　　　 股份基礎給付酬勞成本,　　 其他投資活動,　　 現金增資,　　 其他籌資活動,　　　　 其他項目,　　 處分子公司股權（未喪失控制力）,　　　　 不動產、廠房及設備轉列費用數,　　 其他非流動資產減少
4306,2015年01月01日至2015年09月30日,,558253,558253,,,447479,12363,9679.0,-11736,210273,-22962,-19708.0,-37964,5500,0.0,-330390,-2127.0,0.0,260407.0,,,14516,112203,168463,90235,0.0,-1124510,26628,-3433,-715898,,-68850,-239283,299697,0.0,174400,165964,-549934,-289527,268726,22962,82621.0,-186191,-180676,7442,,-290811.0,1510.0,-1089774.0,1130157.0,0.0,0.0,455191,-1089691,3100,0.0,0.0,-32145.0,-912463,,423458.0,200000,900000.0,0.0,3309697,-3329602,-13704.0,-447345.0,-138619.0,-31657.0,872228,127544,94751,3523060,3617811,3617811,,,,,,,,,,,,,,,,,,,
4306,2015年01月01日至2015年06月30日,,401990,401990,,,303897,7796,5151.0,-510,140934,-16226,-11321.0,-25719,2780,0.0,-330390,-2097.0,0.0,74295.0,,,14515,68858,196191,126856,0.0,-510115,81526,20936,-1233,,-21422,-394437,380763,0.0,118861,83765,82532,156827,558817,16226,11321.0,-261648,-69361,255355,,-105573.0,,-952090.0,1132201.0,0.0,0.0,455191,-844016,2159,0.0,0.0,-36781.0,-348909,,31376.0,-20000,900000.0,0.0,2570511,-2961534,-10795.0,-17799.0,0.0,-17517.0,474242,-71214,309474,3523060,3832534,3832534,0.0,0.0,,,,,,,,,,,,,,,,,
4306,2015年01月01日至2015年03月31日,,-64172,-64172,,,147933,3985,1021.0,-2950,68057,-4130,-2147.0,-10584,2659,,0,-1536.0,,202308.0,,,14423,15953,326617,137540,,158705,108892,15655,777785,,-172559,-430403,199700,,52659,-314348,463437,665745,601573,4130,2147.0,-114873,-13434,479543,,-68705.0,,-732702.0,784770.0,,,0,-377048,742,0.0,,50792.0,-453874,,237495.0,30000,,,510421,-396380,4321.0,-17799.0,-298.0,0.0,367760,-20566,372863,3523060,3895923,3895923,,,36255.0,-111723.0,,,,,,,,,,,,,,,
4306,2014年度,,659117,659117,,,543050,14416,16479.0,-16396,273793,-19043,-1574.0,-62495,4887,0.0,-225040,-2901.0,,,,,23472,24790,-4746,-117417,,-939238,-306029,-89843,-1409011,,57105,107008,-59299,,295620,400434,-1008577,-483401,175716,19043,83901.0,-422070,-267498,-410908,,,,,,7330.0,,488781,-2554739,4483,-649438.0,0.0,-539451.0,-3162711,,706588.0,280000,200000.0,0.0,5814192,-2477680,0.0,-452746.0,,42537.0,4099780,93073,619234,2903826,3523060,3523060,,0.0,,,,525176.0,-1203926.0,1284249.0,-13111.0,,,,,,,,,,
4306,2014年01月01日至2014年09月30日,,627437,627437,,,402271,10471,4707.0,-6637,209401,-20752,0.0,-53035,1456,0.0,-225040,-4465.0,0.0,318377.0,,,153,-225932,103536,-36205,0.0,-790810,-253935,-99990,-1303183,,11860,121965,-55272,0.0,273502,352055,-951128,-632751,-5314,20752,67502.0,-196052,-217867,-330979,,0.0,0.0,-646583.0,778204.0,7330.0,0.0,488781,-1882347,4316,-649438.0,0.0,-512665.0,-2412402,,-31636.0,110000,0.0,0.0,5029034,-1403818,-13161.0,-452920.0,0.0,6257.0,3243756,-28742,471633,2903826,3375459,3375459,,,,,,,,,,,,,,,,,,,
4306,2014年01月01日至2014年06月30日,,263849,263849,,,273399,6539,2284.0,-6491,131685,-12413,0.0,-30012,-932,0.0,-13763,-3683.0,0.0,346613.0,,,438,86812,-74693,-8765,0.0,-997942,-139180,-120606,-1253936,,53484,-101502,75129,0.0,172474,199585,-1054351,-707738,-443889,12413,0.0,-172368,-109103,-712947,,0.0,,-398227.0,513047.0,0.0,0.0,39764,-1143546,3971,-649438.0,0.0,-352133.0,-1860215,,122247.0,310000,0.0,0.0,3911621,-1618803,-13471.0,-16327.0,0.0,406132.0,3101399,-149202,379035,2903826,3282861,3282861,126347.0,0.0,,,,,,,,,,,,,,,,,
4306,2014年01月01日至2014年03月31日,,155061,155061,,,134859,3094,616.0,-4260,61336,-6125,0.0,-9080,480,,-15790,-2566.0,,162564.0,,,0,56725,50183,32151,,-322715,-59353,-42792,-285801,,35308,-118108,-57139,,39768,-100171,-385972,-223408,-68347,6125,0.0,-81582,-61802,-205606,,0.0,,-92017.0,305968.0,,,33191,-593385,1318,-645057.0,,-4185.0,-1215403,,-1091.0,50000,,,2707309,-855996,-1562.0,-16327.0,0.0,284903.0,2167236,95797,842024,2903826,3745850,3745850,,,0.0,-221236.0,,,,,,,,,,,,,,,
4306,2013年度,,1170842,1170842,,,512109,12609,37845.0,-45893,257442,-25835,-2914.0,-55821,6449,-4602.0,-73704,-2154.0,,,,,36088,-123772,-388500,-32819,,-403517,-355237,58422,-1209335,,-26932,100253,251778,,54889,379988,-829347,-213816,957026,25835,116708.0,-292674,-150332,656563,,,,,,3150.0,,122862,-3301999,2948,-277249.0,16627.0,-182471.0,-3870506,,382886.0,300167,1000000.0,-200.0,5471984,-3415052,75959.0,-349955.0,,-280723.0,3185066,216686,187809,2716017,2903826,2903826,,-1092.0,,,,615531.0,-803659.0,550377.0,0.0,,,,,,,,,,
4306,2013年01月01日至2013年12月31日,,1170842,1170842,,,512109,12609,37845.0,-52950,257442,-25835,,-55821,6449,-4602.0,-73704,-2154.0,0.0,,,,43145,-123772,-388500,-32819,0.0,-403517,-355237,58422,-1202278,,-26932,100253,251778,0.0,54889,379988,-822290,-210902,959940,25835,113794.0,-292674,-150332,656563,,,,,,3150.0,-277249.0,122862,-3301999,2948,,16627.0,-182471.0,-3794548,,382886.0,300167,1000000.0,-200.0,5471984,-3415052,,-349955.0,,-389398.0,3109107,216687,187809,2716017,2903826,2903826,,-1092.0,,,,611388.0,-803659.0,550377.0,,,,0.0,75958.0,0.0,108675.0,,,,
4306,2013年01月01日至2013年09月30日,,1014878,1014878,,,372652,9363,31725.0,-54339,197520,-20143,,-42730,2340,-4602.0,-73704,0.0,,,,,-26293,-94041,-131246,-17051,,-316643,-220935,46919,-759290,,-65104,91253,103877,,-192534,-62508,-821798,-403716,611162,20143,80732.0,-171342,-133777,406918,,,,,,3150.0,,154362,-2263010,1128,0.0,16627.0,188472.0,-1899668,,457183.0,167,300000.0,-200.0,4321191,-2719141,,-16574.0,,-415266.0,1912305,75694,495249,2716017,3211266,3211266,,-397.0,,,,418082.0,0.0,0.0,-15055.0,,,,,,,,,,
