公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 存出保證金減少,　　 短期借款增加,　　　　 處分投資性不動產損失（利益）,　　 其他非流動資產減少,　　　　 其他項目
4426,2015年01月01日至2015年09月30日,,538980,538980,,,92949,1473,-184,7469,-76,1761.0,-695.0,0.0,102697.0,,,6004,-128058,-54863,-2002.0,-41074,-76950.0,-296943,,9761,5206,47786,2483,-376.0,64860,-232083,-129386,409594,76,-7467,-66063.0,336140,,-189802,695.0,-5319.0,0.0,-202437.0,-396863,,-22500.0,100000.0,-79315,-45969.0,-47784,353,-108154,329048,220894,220894,0.0,,,,,,,,,,
4426,2015年01月01日至2015年06月30日,,332937,332937,,,60680,1006,3766,4915,-74,1227.0,0.0,0.0,71520.0,,,-829,-65102,-30849,-6666.0,-30304,-76950.0,-210700,,12325,3498,61687,1370,-257.0,78623,-132077,-60557,272380,74,-4890,-41311.0,226253,,-23769,0.0,-5547.0,0.0,-220090.0,-249406,,-15000.0,100000.0,-51842,,33158,-229,9776,329048,338824,338824,0.0,,,,,,,,,,
4426,2015年01月01日至2015年03月31日,,160861,160861,,,30374,516,377,2477,-2,712.0,,,34454.0,,,-2396,-69914,-6206,-2946.0,-3975,-10037.0,-95474,,4880,-3383,26731,1129,-128.0,29229,-66245,-31791,129070,2,-2496,,126576,,-9539,,-1657.0,,-108665.0,-119861,,-7500.0,,-25641,,-33141,-102,-26528,329048,302520,302520,,,,,,,,,,,
4426,2014年度,,320362,320362,,,110998,2011,-3769,9220,-110,2532.0,-1.0,242.0,,,,-5578,-41520,32412,-6344.0,-432,,-21462,,38830,16165,10650,495,,65771,44309,165420,485782,110,-9148,-38271.0,438485,,-66502,1.0,,-828.0,-119992.0,-187245,,,135000.0,-103005,-30535.0,8960,534,260734,68314,329048,329048,,,-12.0,121111.0,-369.0,12.0,76.0,7500.0,,,
4426,2014年01月01日至2014年09月30日,,187572,187572,,,81802,1489,3720,6686,-46,1486.0,-1.0,242.0,95378.0,,,-3612,-39097,43187,-3993.0,-1073,0.0,-4588,,2304,2803,-10678,1692,-280.0,-4159,-8747,86631,274203,46,-6629,-36182.0,231438,,-37779,1.0,-1566.0,-829.0,-92560.0,-132733,,-20000.0,135000.0,-77386,-30535.0,7079,-93,105691,68314,174005,174005,0.0,,,,,,,,,,
4426,2014年01月01日至2014年06月30日,,96928,96928,,,53597,969,11253,4452,-45,941.0,-1.0,242.0,71408.0,,,-18882,45531,23961,-5926.0,-158,0.0,44526,,5719,7997,-288,498,-194.0,13732,58258,129666,226594,45,-4480,-20796.0,201363,,-22107,1.0,-1580.0,-828.0,-97296.0,-121810,,-15000.0,0.0,-55364,,-70364,-10,9179,68314,77493,77493,0.0,,,,,,,,,,
4426,2014年01月01日至2014年03月31日,,59639,59639,,,25800,478,6096,2325,-2,392.0,,,35089.0,,,-7773,-18446,30613,0.0,-2984,0.0,1410,,3633,-591,625,222,-108.0,3781,5191,40280,99919,2,-2342,,97579,,-8729,,-1271.0,,-27488.0,-37488,,-7500.0,,-35160,,-42660,178,17609,68314,85923,85923,,,,,,,,,,,
4426,2013年度,,234063,234063,,,86812,1918,1727,9785,-52,1002.0,20.0,0.0,,,,4295,-48170,-23350,0.0,403,,-66822,,-8301,3356,8612,-985,,2220,-64602,36603,270666,52,-9752,-45816.0,215157,,-78753,0.0,,-1200.0,-103125.0,-182662,,,225000.0,-252686,-23047.0,-45733,220,-13018,81332,68314,68314,,,-7.0,101205.0,-462.0,7.0,416.0,5000.0,,,
4426,2013年01月01日至2013年12月31日,,234063,234063,,,86812,1918,1727,9785,-52,1002.0,20.0,,,,,4295,-48170,-23350,,403,,-66822,,-8301,3356,8612,-985,,2220,-64602,36603,270666,52,-9752,-45816.0,215157,,-78753,,0.0,-1200.0,-103125.0,-182662,,0.0,225000.0,-252686,-23047.0,-45733,220,-13018,81332,68314,68314,,,-7.0,101205.0,-462.0,7.0,416.0,5000.0,,,
4426,2013年01月01日至2013年09月30日,,159806,159806,,,63434,1437,4158,7205,-29,1313.0,,0.0,,,,5357,-38251,-48793,-2953.0,-270,,-84910,,4986,-1082,3584,679,,7815,-77095,444,160250,29,-7153,-44817.0,108309,,-59878,0.0,-804.0,-1200.0,,-162153,,0.0,220000.0,-197359,0.0,35141,154,-18549,81332,62783,62783,,,,77539.0,-352.0,,,12500.0,21.0,-100271.0,
