公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 其他預付款項增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預收款項增加（減少）,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 其他非流動資產增加,　　 存入保證金增加,　　 其他應付款－關係人減少,　　　　　 其他金融資產（增加）減少,　　 對子公司之收購（扣除所取得之現金）,　　 其他投資活動,　　 支付之股利
4551,2015年01月01日至2015年09月30日,,268908,268908,,,206311,2020,232,8382,-4070,0.0,-4591,-34,-27897,-9994,646,171005.0,,,-517.0,35446,-4278,-11433,-32651,-7099,-20532,,-169176,-44753,-2322,-3406.0,-219657,-240189,-69184,199724,-7471,-79011.0,113242,,-459050.0,152760,-66792.0,134795.0,-430424,18833,-4028,-2231.0,124.0,0.0,4070,0.0,-651943,,359996,0,-288750.0,504000.0,575246,3614,40159,435127,475286,475286,,,,,,,,,,,,,,,
4551,2015年01月01日至2015年06月30日,,168493,168493,,,138157,1142,3915,5274,-2312,,-4957,0,-18489,1886,430,125046.0,,,-2019.0,-12555,-2898,-38078,-26532,-4357,-86439,,-44315,-49438,-3114,-2206.0,-99073,-185512,-60466,108027,-5274,-51300.0,51453,,0.0,0,0.0,41014.0,-342400,15864,-3528,0.0,3.0,0.0,2312,,-286735,,282426,0,,,282426,-6054,41090,435127,476217,476217,0.0,,,,,,,,,,,,,,
4551,2015年01月01日至2015年03月31日,,67606,67606,,,66240,575,-747,2436,-529,,-3320,0,-1726,2880,217,66026.0,,,0.0,9630,2693,7929,10940,-738,30454,,9805,-102794,-3128,-1006.0,-97123,-66669,-643,66963,-2436,-10569.0,53958,,,0,-32862.0,,-217456,12034,1209,,,,529,,-236549,,114388,0,,,114388,-3353,-71556,435127,363571,363571,0.0,-3.0,,,,,,,,,,,,,
4551,2014年度,,447770,447770,,,242058,979,4512,7964,-2649,-210.0,-970,-20591,-47514,1554,754,,,,48888.0,-177355,-15921,-127171,-28602,272,-299889,,106379,110091,650,,208419,-91470,94417,542187,-8048,-104808.0,429331,,-67010.0,146699,,,-610078,22010,4105,-3284.0,0.0,-16159.0,2649,210.0,-623578,,123227,-1866,,0.0,121361,13455,-59431,494558,435127,435127,-1947.0,,,0.0,185887.0,-4400.0,-2354.0,-103448.0,728.0,0.0,0.0,,,,
4551,2014年01月01日至2014年09月30日,,356627,356627,,,177724,484,3215,10091,-5921,-210.0,-2129,-17358,-22866,-4510,542,139062.0,,,48888.0,-159885,-2856,-57138,-16336,-6360,-193687,,12088,-14150,15472,-1754.0,11656,-182031,-42969,313658,-10183,-93129.0,210346,,0.0,55666,-59332.0,0.0,-391750,17604,3644,-2783.0,735.0,-16159.0,5921,210.0,-386244,,84646,-1866,0.0,0.0,82780,3460,-89658,494558,404900,404900,,,,,,,,,,,,,,,
4551,2014年01月01日至2014年06月30日,,257057,257057,,,119090,233,2525,3740,-1129,,-2224,-11171,-25620,-12590,323,73177.0,,,14668.0,-75919,-1301,-46262,-29770,-1294,-139878,,47586,-50001,-4670,-1154.0,-9847,-149725,-76548,180509,-3941,-58594.0,117974,,-42690.0,81221,-29123.0,0.0,-311154,23462,4555,-300.0,369.0,-16108.0,1129,,-288639,,-7555,-1866,,,-9421,-724,-180810,494558,313748,313748,-1608.0,,,,,,,,,,,,,,
4551,2014年01月01日至2014年03月31日,,116893,116893,,,57704,111,1977,1945,-437,,-300,-11115,2813,-17089,217,35826.0,,,48888.0,-138645,-21473,-11888,-19079,31,-142166,,-5503,-26377,-260,-801.0,-34911,-177077,-141251,-24358,-1945,-9812.0,-36115,,,22595,0.0,,-123718,4679,-5366,,,,437,,-101386,,2165,-1866,,,299,13455,-123747,494558,370811,370811,-1970.0,-13.0,,,,,,,,,,,,,
4551,2013年度,,286396,286396,,,171773,374,3194,6555,-2001,-1192.0,-608,-40,21295,30071,492,,,,0.0,-148117,-11,-13363,-24942,5994,-180439,,-68459,220795,2577,,150864,-29575,200593,486989,-9809,-68738.0,408442,,-147609.0,113190,,,-346583,23690,-8070,-883.0,-744.0,0.0,2001,1192.0,-363816,,436128,-13372,,250000.0,190329,8174,243129,251429,494558,494558,-8000.0,,,255.0,230168.0,4400.0,-449.0,0.0,0.0,-4895.0,-477532.0,,,,
4551,2013年01月01日至2013年12月31日,,286396,286396,,,171773,374,3194,6555,-2001,-1192.0,-608,-40,21295,30071,492,,,,,-148117,-11,-13363,-24942,5994,-180439,,-68459,220795,2577,,150864,-29575,200593,486989,-9809,-68738.0,408442,,-147609.0,113190,,,-346583,23690,-8070,-883.0,-744.0,,2001,1192.0,-363816,,436128,-13372,,250000.0,190329,8174,243129,251429,494558,494558,-8000.0,,,255.0,230168.0,4400.0,-449.0,,,-4895.0,-477532.0,,0.0,0.0,
4551,2013年01月01日至2013年06月30日,,155424,155424,,,83559,152,-1020,4835,-2975,,158,-24,18497,8635,246,,,,,-44722,-11600,13221,-5485,3222,-45364,,-39098,-202544,27908,,-205286,-250650,-138587,16837,-4835,-30608.0,-18606,,-55610.0,66683,,,-67069,3018,1168,-89.0,,0.0,2975,,-48924,,163603,-9021,,,154834,1193,88497,251429,339926,339926,8879.0,,,,112063.0,0.0,-431.0,0.0,,252.0,,0.0,,,
