公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 其他非流動負債增加,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 處分投資損失（利益）,　　 收取之股利,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　　　　 持有供交易之金融負債增加（減少）,　　　　 非金融資產減損迴轉利益,　　　　　 其他營業負債增加（減少）,　　 其他非流動負債減少,　　　　 金融資產減損迴轉利益,　　 處分無活絡市場之債券投資,　　 償還長期借款
5007,2015年度,,1120531,1120531,,,214922,10790,1753.0,-3849,4608,-3616,-2392,9357,231573.0,,,0.0,-1119,-1372,76626,13448,9663,0,5329,-4147,29,98457,,-77003,4098,299,-27568,1613,-1546,-27110.0,-127217,-28760,202813,1323344,-242302,1081042,,0.0,15682.0,26.0,1135.0,0.0,0.0,-543209,3795,-668,0,13122.0,3616,-506501,,115813.0,0,84987.0,0,8794,-670319.0,-4263,-9034.0,114.0,-473908,-36739,63894,797390,861284,861284,,,,,,,,,,,,,,,
5007,2015年01月01日至2015年09月30日,,826541,826541,,,156405,8086,,23337,2320,-2338,-1969,9357,195198.0,,,0.0,180,-178,27766,3185,2226,0,-8277,-4423,-261,20218,,-33481,17068,662,-97357,185,3284,-13600.0,-123239,-103021,92177,918718,-230575,688143,,0.0,21567.0,26.0,1135.0,0.0,0.0,-294417,3357,-668,-145377,,2338,-412039,,187703.0,0,84959.0,0,5268,-670319.0,-1949,-9034.0,-1.0,-403373,-44124,-171393,797390,625997,625997,,,,,,,,,,,,,,,
5007,2015年01月01日至2015年06月30日,,535688,535688,,,99899,5385,,-3764,614,-1641,-1190,-1135,97372.0,,,0.0,469,1580,68087,5879,-4587,0,5692,-1803,-158,75159,,-17307,17913,2313,-110381,3398,164,-2820.0,-106720,-31561,65811,601499,-124534,476965,,0.0,18320.0,26.0,1135.0,0.0,0.0,-234520,2578,-668,-108050,,1641,-318768,,,-28019,4964.0,0,3676,,-258,-9034.0,-1.0,-28672,-21537,107988,797390,905378,905378,-770.0,-26.0,770.0,0.0,,,,,,,,,,,
5007,2015年01月01日至2015年03月31日,,279677,279677,,,49137,3188,,-40730,395,-794,-739,0,10457.0,,,,4270,-262,-13502,-20785,943,-44,-12916,1389,-808,-41715,,-82034,23012,3112,-154165,90,2104,-2714.0,-210595,-252310,-241853,37824,-999,36825,,0.0,17216.0,,,,,-122400,1998,-938,-34128,,794,-137458,,,-37871,5016.0,0,1053,,-1462,-5334.0,-1.0,-38599,-14600,-153832,797390,643558,643558,,,,0.0,,,,,,,,,,,
5007,2014年度,,1266858,1266858,,,197202,11971,0.0,-6237,7490,-4930,-1096,1628,206028.0,,,10000.0,-4509,-6685,-66591,-1075,2503,168,-40386,-1725,647,-107653,,76972,7733,-1005,56803,-2538,-536,-10949.0,126480,18827,224855,1491713,-213265,1278448,,-54467.0,0.0,0.0,2951.0,0.0,0.0,-552643,1263,-4591,-9671,0.0,4930,-612228,,0.0,-156750,0.0,-135004,4507,-466309.0,-7654,-8623.0,186.0,-769647,-2104,-105531,902921,797390,797390,,,,,,,,,,,,,,,
5007,2014年01月01日至2014年09月30日,,982462,982462,,,148069,8783,,-25407,6334,-3344,-853,1628,135210.0,,,10000.0,-5484,-6237,2283,269,511,-78,-62193,-1775,486,-62218,,49513,8633,-1072,-28175,-2367,10571,-7753.0,29350,-32868,102342,1084804,-202084,882720,,-55858.0,0.0,0.0,2951.0,0.0,0.0,-308511,1000,-3585,-50233,,3344,-410892,,0.0,-158405,0.0,-59992,2501,-466309.0,-6453,-8623.0,0.0,-697281,3573,-221880,902921,681041,681041,,,,,,,,,,,,,,,
5007,2014年01月01日至2014年06月30日,,680022,680022,,,98936,5660,,-27015,4825,-2190,-857,1628,80987.0,,,10000.0,-2380,-10879,-29155,9265,-5221,168,-20245,596,524,-47327,,54010,33838,111,-59807,-2538,5018,-5634.0,24998,-22329,58658,738680,-123101,615579,,-23.0,0.0,0.0,2951.0,0.0,0.0,-187907,997,-2942,-39563,,2190,-224297,,,-166376,0.0,-60032,1182,,-4963,-8623.0,0.0,-238812,4011,156481,902921,1059402,1059402,0.0,0.0,0.0,0.0,,,,,,,,,,,
5007,2014年01月01日至2014年03月31日,,346945,346945,,,49671,2684,,-10994,2769,-678,-268,3000,46184.0,,,,-2397,-5540,-85101,948,-4465,168,26717,1436,381,-67853,,32539,91137,-749,-97691,-2538,6292,-5923.0,23067,-44786,1398,348343,-7,348336,,-26.0,0.0,,,,,-91379,293,-2297,-10306,,678,-103037,,,-106298,0.0,-60063,1437,,-2702,-5373.0,0.0,-172999,4392,76692,902921,979613,979613,,,,0.0,,,,,,,,,,,
5007,2013年度,,1121751,1121751,,,199850,11285,,9863,10217,-2845,-1600,-10731,,,,-10000.0,4268,3333,-366472,6842,-6614,655,-77897,-2703,340,-448248,,-42358,19239,-2536,110387,2538,-24443,,46743,-401505,-211163,910588,-70068,840520,,,,,0.0,-67876.0,360183.0,-280199,1919,-4654,-71411,,2845,-60388,,,-74141,46.0,0,4275,-439914.0,-10142,-3350.0,314.0,-522912,-8607,248613,654308,902921,902921,,-25697.0,,,,190342.0,-16084.0,-1195.0,,,,,,,
5007,2013年01月01日至2013年12月31日,,1121751,1121751,,,199850,11285,,9863,10217,-2845,-1600,-10731,,,,-10000.0,4268,3333,-366472,6842,-6614,655,-77897,-2703,340,-448248,,-42358,19239,-2536,110387,2538,-24443,,46743,-401505,-211163,910588,-70068,840520,,,,,0.0,-67876.0,360183.0,-587262,1919,-4654,0,235652.0,2845,-60388,,0.0,-74141,46.0,0,4275,-439914.0,-10142,-3350.0,314.0,-522912,-8607,248613,654308,902921,902921,,-25697.0,,,,190342.0,-16084.0,-1195.0,,,,,0.0,0.0,0.0
