公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他預付款項增加,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收帳款－關係人（增加）減少,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得採用權益法之投資,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他非流動資產增加
5215,2015年01月01日至2015年09月30日,,227783,227783,,,57634,21178,2004.0,1909.0,-19219,-95.0,-2176,1383,-2072.0,1376,61922.0,,,2787.0,-156,48751,3015,42482,-27244,69635,,-7206,-4381,-8025,-201,-19813,49822,111744,339527,-954.0,-55600,282973,,-50575,312,-819.0,-162,0.0,19140,6495.0,21271,-4338,,36590.0,152250.0,-87,-163013.0,5734.0,31474,3593,313702,917012,1230714,1230714,,,,,,,,
5215,2015年01月01日至2015年06月30日,,129373,129373,,,38951,13503,2137.0,671.0,-12226,,-744,1376,,1123,44791.0,,,2475.0,-127,122337,3209,12196,-10375,129715,,-16938,-8037,-5671,-188,-30834,98881,143672,273045,-479.0,-42262,230304,,-38571,5700,,-162,0.0,12246,6400.0,2735,-12383,,,152250.0,-131,,5734.0,157853,-30329,345445,917012,1262457,1262457,0.0,-731.0,,,,,,
5215,2015年01月01日至2015年03月31日,,68667,68667,,,20433,6754,1873.0,248.0,-6028,,-481,-56,,1199,23942.0,,,803.0,25,71344,2505,23264,-467,97474,,-21444,-15166,-18090,-36,-54736,42738,66680,135347,-248.0,-25139,109960,,-24237,4755,-777.0,-163,0.0,6022,,2549,-11851,,,,-126,,5734.0,5608,-21501,82216,917012,999228,999228,,,,,,,,
5215,2014年度,,329683,329683,,,82521,27702,-2186.0,695.0,-19692,-366.0,-5071,594,,-111,,,,-4847.0,96,-121393,-2873,-33536,-28237,-190790,,3011,-9005,17246,83,11335,-179455,-86701,242982,-648.0,-67439,174895,,-55540,3418,-376.0,-1817,-98.0,19311,6766.0,-12392,-40728,,42761.0,,-5,-54338.0,5521.0,-6061,66957,195063,721949,917012,917012,0.0,,,8668.0,92754.0,0.0,,
5215,2014年01月01日至2014年09月30日,,234184,234184,,,61726,21497,-9843.0,524.0,-15505,-366.0,-4515,336,-6015.0,-821,47018.0,,,-23.0,-40,-154812,-721,-14969,-20062,-190627,,20877,-16758,2955,-88,6986,-183641,-136623,97561,-498.0,-38090,58973,,-43524,2126,-136.0,-1563,-33.0,15114,6766.0,-5443,-26693,,0.0,0.0,-41,-54338.0,5521.0,-48858,13291,-3287,721949,718662,718662,,,,,,,,
5215,2014年01月01日至2014年06月30日,,120251,120251,,,41411,15113,-10524.0,361.0,-10671,,-2588,326,,177,33605.0,,,-4148.0,121,-89272,25,-20603,-19323,-133200,,20701,-5886,-7004,-81,7730,-125470,-91865,28386,-327.0,-18739,9320,,-20026,1020,,-1523,-33.0,10336,6400.0,15429,11510,,,0.0,-55,,5521.0,5466,-8347,17949,721949,739898,739898,0.0,-93.0,,,,,,
5215,2014年01月01日至2014年03月31日,,37418,37418,,,20573,8104,-4557.0,185.0,-5557,,-1038,185,,-1077,16818.0,,,-6913.0,94,-2323,-148,11560,-9263,-6993,,-1938,-5827,-24248,1903,-30110,-37103,-20285,17133,-185.0,-12651,4297,,-9467,91,-165.0,-1509,-47.0,5179,,17141,11223,,,,11,,0.0,11,16338,31869,721949,753818,753818,,,,,,,,
5215,2013年度,,72208,72208,,,77941,36941,0.0,302.0,-13627,0.0,-1191,850,,7332,,,,0.0,-121,35679,-225,9893,-22153,25767,,16246,-13338,17171,-337,19742,45509,154057,226265,-302.0,-42647,183316,,-160467,1102,-2760.0,-612,-18221.0,14249,6400.0,-19139,-179448,,52369.0,,220,-70875.0,10820.0,-7466,48646,45048,676901,721949,721949,2694.0,,,0.0,108548.0,0.0,,
5215,2013年01月01日至2013年12月31日,,72208,72208,,,77941,36941,,302.0,-13627,,-1191,850,,7332,,,,,-121,35679,-225,9893,-22153,25767,,16246,-13338,17171,-337,19742,45509,154057,226265,-302.0,-42647,183316,,-160467,1102,-2760.0,-612,-18221.0,14249,6400.0,-19139,-179448,,52369.0,,220,-70875.0,10820.0,-7466,48646,45048,676901,721949,721949,2694.0,,,,108548.0,0.0,,
5215,2013年01月01日至2013年09月30日,,49710,49710,,,57027,28060,0.0,28.0,-9425,0.0,-668,42,,5376,,,,0.0,-34,60753,-495,10756,-40256,33418,,16216,-45797,-9170,-356,-39107,-5689,74751,124461,-28.0,-29528,94905,,-120194,988,,-240,0.0,10047,6400.0,-1478,-109475,,73913.0,,204,-70875.0,10820.0,14062,27580,27072,676901,703973,703973,2694.0,-4998.0,,,80440.0,,,
5215,2013年01月01日至2013年06月30日,,21543,21543,,,37612,18711,0.0,3.0,-5347,,-1134,-76,,3890,,,,0.0,0,179186,-3011,-3703,-11097,164069,,-9515,-18647,7994,-541,-20709,143360,197019,218562,-3.0,-26931,191628,,-96610,699,,-18,0.0,5969,0.0,-18,-91632,,,,66,,5462.0,5528,41348,146872,676901,823773,823773,2694.0,-1654.0,,,53659.0,,,
5215,2013年01月01日至2013年03月31日,,11623,11623,,,18419,8910,0.0,3.0,-2352,,-2185,2,,1775,,,,,0,124680,-853,-523,4615,127664,,-16829,-25852,-17922,1014,-59589,68075,92647,104270,-3.0,-17093,87174,,-1820,109,-500.0,-18,0.0,2457,,0,-665,,,,20,,,20,32461,118990,676901,795891,795891,-255.0,,,,24572.0,,0.0,-893.0
5215,2012年01月01日至2012年12月31日,,301194,301194,,,74742,27978,,0.0,-8716,,1376,1251,,2910,,,,,163,111115,349,11346,-38631,84096,,-5654,21567,-17531,-141,-1759,82337,181878,483072,0.0,-65909,417163,,-19898,2408,7598.0,-5507,0.0,8234,0.0,28573,-42592,,0.0,,-391,-141750.0,0.0,-142141,-38970,193460,483441,676901,676901,-246.0,,,,99541.0,-64000.0,,
5215,2012年01月01日至2012年09月30日,,217266,217266,,,56565,20393,,0.0,-6031,,1165,65,,0,,,,,146,213730,1321,35923,-45046,208522,,-35813,-21960,-33544,140,-91177,117345,189502,406768,0.0,-48909,357859,,-17757,1250,7597.0,-5454,,5685,0.0,27261,-45418,,0.0,,-731,-141750.0,0.0,-142481,-34807,135153,483441,618594,618594,2448.0,,,,72157.0,-64000.0,,
5215,2012年01月01日至2012年06月30日,,152425,152425,,,37705,12798,,,-3688,,205,-27,,0,,,,,163,139650,1350,-14404,-85832,43375,,8638,18061,-8833,-195,17671,61046,108039,260464,,-29513,230951,,-12661,463,7585.0,-5342,,3828,,27261,-44235,,,,-717,,0.0,-717,-12956,173043,483441,656484,656484,2448.0,,,,46993.0,-64000.0,,-1369.0
