公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分採用權益法之投資,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金減少,　　 應付租賃款減少,　　 發放現金股利,　　 現金減資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股份基礎給付酬勞成本,　　　　　 預付費用（增加）減少,　　 其他金融資產減少,　　 存入保證金增加,　　 存出保證金增加,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 員工執行認股權,　　 非控制權益變動,　　 其他籌資活動,　　　　 不動產、廠房及設備轉列費用數,　　　　 呆帳費用提列（轉列收入）數,　　　　 金融資產減損損失,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　 發行公司債,　　　　 非金融資產減損損失,　　 取得無活絡市場之債券投資,　　　　　 應付帳款－關係人增加（減少）
5388,2015年01月01日至2015年09月30日,,1141903,1141903,,,321613,41441,12153,50663,-64750,-1661.0,1721,-12900.0,0.0,14590.0,362870.0,,,3595.0,-816673,-1670765,146051,-1940910,246.0,-14589,-4293045,,0,118211,3280209.0,874729,28727,47306,-1171.0,4348011,54966,417836,1559739,90981,-67639,-383401,1199680,,-63364.0,16049.0,0.0,0.0,-87003.0,0.0,-446466,7003,-6239.0,-122663,0.0,59971.0,1661.0,-641051,,795895.0,-2002.0,-6624,-687654.0,0.0,99615,46602,704846,5223705,5928551,5928551,,,,,,,,,,,,,,,,,,,,,,,,,
5388,2015年01月01日至2015年06月30日,,605236,605236,,,208511,26105,-10575,27880,-43383,,2149,,0.0,,216081.0,,,14599.0,-1024565,-1320804,76225,-1528842,,-19962,-3799538,,0,73029,2063684.0,583347,80040,80826,-777.0,2880149,-919389,-703308,-98072,56384,-44511,-281658,-367857,,0.0,,0.0,,,0.0,-361747,4417,3457.0,-90816,,65203.0,,-379486,,1146733.0,0.0,-3303,,0.0,1141281,-55767,338171,5223705,5561876,5561876,5394.0,3811.0,0.0,-2149.0,,,,,,,,,,,,,,,,,,,,,
5388,2015年01月01日至2015年03月31日,,201500,201500,,,103101,13672,-16945,11138,-21565,,1813,,,1382.0,92596.0,,,7052.0,-351602,-326823,97923,-543870,,13543,-1101940,,0,70823,377035.0,95003,10843,10198,-390.0,563512,-538428,-445832,-244332,6100,-31571,-172240,-442043,,0.0,,0.0,,,,-61155,1836,0.0,-10905,0.0,-6334.0,,-77804,,,-670.0,-3303,,,536086,-19182,-2943,5223705,5220762,5220762,,1837.0,,,-1246.0,540059.0,,,,,,,,,,,,,,,,,,,
5388,2014年度,,1188938,1188938,,,347923,56854,-55088,82416,-66892,-831.0,22433,,285.0,14560.0,,,,0.0,-1013576,-772239,-90080,-995228,-642.0,-80340,-2952105,,29138,-100833,2052369.0,384496,14519,-13455,,2364672,-587433,-185773,1003165,29244,-48014,-204048,780347,,-3333.0,,4004.0,,,-285.0,-438437,65378,,-49802,27279.0,-39431.0,831.0,-381400,,,,-13105,-606332.0,,949564,62686,1411197,3812508,5223705,5223705,,,,9488.0,26927.0,1555186.0,,0.0,401660.0,-1562.0,25469.0,0.0,2560.0,6087.0,-4320.0,,,,,,,,,,
5388,2014年01月01日至2014年09月30日,,838316,838316,,,255965,43068,-28969,55757,-41526,-831.0,25674,0.0,285.0,10919.0,320342.0,,,0.0,-453113,-757044,45819,-657697,2044.0,-52379,-1872370,,13693,26205,1303101.0,207731,3446,41148,-1173.0,1594151,-278219,42123,880439,25541,-35735,-193619,676626,,-3333.0,0.0,4004.0,-24349.0,0.0,-285.0,-295811,46425,19397.0,-39567,27279.0,-47219.0,831.0,-312628,,1238478.0,7807.0,-9817,-606332.0,-3000.0,627136,9708,1000842,3812508,4813350,4813350,,,,,,,,,,,,,,,,,,,,,,,,,
5388,2014年01月01日至2014年06月30日,,548827,548827,,,166828,29227,-5955,31366,-19524,,-51,,285.0,,209456.0,,,-5738.0,-376438,-478380,-2847,-653771,,-1097,-1513932,,5968,23289,674185.0,260812,-4534,51219,-784.0,1010155,-503777,-294321,254506,18143,-21894,-100442,150313,,-3333.0,,4004.0,,,-285.0,-177522,4804,9330.0,-26384,,-28468.0,,-190575,,1234753.0,7554.0,-6545,,-3000.0,1232762,-38881,1153619,3812508,4966127,4966127,7280.0,4339.0,27279.0,0.0,,,,,,,,,,,,,,,,,,,,,
5388,2014年01月01日至2014年03月31日,,221230,221230,,,81807,14600,3028,12987,-9471,,-4,,,3640.0,106587.0,,,-3390.0,-506284,-733,68168,-477781,,18426,-899923,,1798,66226,150355.0,-43188,7681,33165,-399.0,215638,-684285,-577698,-356468,8009,-5834,-38658,-392951,,-3333.0,,4004.0,,,,-82186,2504,10038.0,-14006,12272.0,-8181.0,,-78888,,,-12.0,-3264,,,624729,-11360,141530,3812508,3954038,3954038,,1671.0,,,0.0,628005.0,,,,,,,,,,,,,,,,,,,
5388,2013年度,,1023721,1023721,,,305093,70871,-120633,55396,-33318,-831.0,7105,,0.0,21366.0,,,,1379.0,-307783,-483296,129417,-358446,-3343.0,-21944,-1044016,,-21400,-6503,561849.0,333301,-7549,-38091,,819971,-224045,83363,1107084,36738,-31982,-180433,931407,,0.0,,0.0,,,0.0,-408164,10181,,-52338,-680.0,-40155.0,831.0,-375300,,,,-150118,-544152.0,,-1464895,61090,-847698,4660206,3812508,3812508,,,,1451.0,-21934.0,-917586.0,,2359.0,307408.0,-1636.0,143259.0,-6300.0,4480.0,0.0,141030.0,,,,,,,,,,
5388,2013年01月01日至2013年12月31日,,1023721,1023721,,,305093,70871,-120633,55396,-33318,-831.0,7105,,,21366.0,,,,1379.0,-302130,-405261,129631,-358446,,-21944,-1044016,,-21400,-6503,561849.0,333301,-7549,-38091,,819971,-224045,83363,1107084,36738,-31982,-180433,931407,,,,,,,,-408164,10181,,-52338,-680.0,-40155.0,831.0,-375300,,,,-150118,-544152.0,,-1464895,61090,-847698,4660206,3812508,3812508,,-3343.0,,1451.0,-21934.0,-917586.0,,2359.0,307408.0,-1636.0,143259.0,-6300.0,4480.0,,141030.0,,0.0,0.0,-5653.0,-78035.0,-214.0,0.0,,,
5388,2013年01月01日至2013年09月30日,,755305,755305,,,226808,52655,-129268,43086,-25220,-831.0,3293,,0.0,14500.0,,,,,6714,-473068,161397,-159209,,-33465,-499426,,-10852,49022,253881.0,136940,-7148,56095,,476717,-22709,169375,924680,29936,-25981,-168819,759816,,0.0,,0.0,0.0,,0.0,-356282,8766,0.0,-34327,-428.0,-25404.0,831.0,-284059,,,,-146869,-544152.0,0.0,-1272663,18842,-778064,4660206,3882142,3882142,,-1795.0,,0.0,-14174.0,-724172.0,,,192084.0,-1221.0,143259.0,-6300.0,1500.0,,141030.0,7061.0,,,,,,,,,
5388,2013年01月01日至2013年06月30日,,476913,476913,,,148705,36119,-138753,28622,-17098,,2580,,0.0,,,,,2141.0,90776,-764367,80067,-150741,,-49834,-795899,,-4142,122576,489339.0,300369,-7239,-72574,,827525,31626,98862,575775,16238,-17062,-93355,481596,,0.0,,0.0,,,0.0,-308661,2007,0.0,-28574,-579.0,-10279.0,,-204844,,,,-143638,,0.0,-487243,44705,-165786,4660206,4494420,4494420,,-3941.0,,0.0,-2017.0,-345105.0,,,67236.0,-804.0,143259.0,,1500.0,,,7061.0,,,,,,,,,
5388,2013年01月01日至2013年03月31日,,141153,141153,,,72559,15664,-56343,14539,-8592,,18,,,,,,,894.0,-50399,122502,178689,-256975,,-22343,-30070,,-3002,25763,213973.0,-21067,-4544,61717,,272438,242368,280213,421366,9702,-6426,-12148,412494,,0.0,,0.0,,,,-174140,239,,-17529,-337.0,-13253.0,,-204760,,,,-140500,,,-840919,22070,-611115,4660206,4049091,4049091,,-2438.0,,0.0,260.0,-701219.0,,,37845.0,-402.0,,,800.0,,,,,,,,,,,,
5388,2012年01月01日至2012年12月31日,,933313,933313,,,259324,57343,-8767,84179,-34031,-831.0,3405,,,0.0,,,,36853.0,431057,374858,-45963,-367893,,59104,497576,,0,30254,682123.0,104634,17394,-24841,,809283,1306859,1726453,2659766,30755,-67582,-173008,2449931,,,,,,,,-811974,6487,,-72878,-15042.0,-33889.0,831.0,-910849,,,,-17125,-468684.0,,-768675,21190,791597,3868609,4660206,4660206,,9560.0,,0.0,15616.0,-915613.0,,0.0,419594.0,-281.0,0.0,0.0,37747.0,,0.0,,700.0,58272.0,0.0,0.0,0.0,595000.0,,,
5388,2012年01月01日至2012年09月30日,,772980,772980,,,189344,44010,-6660,66803,-24971,-831.0,471,,,0.0,,,,45283.0,-265205,457609,-449925,-243754,,70617,-376399,,-11558,13803,734782.0,60818,86324,36329,,919131,542732,810898,1583878,25184,-56731,-161993,1390338,,,,,,,,-418491,7839,20109.0,-53165,-15028.0,-335336.0,831.0,-793241,,,,-12767,-468684.0,,-744731,18977,-128657,3868609,3739952,3739952,,8976.0,,,0.0,-862630.0,,,268166.0,-1367.0,0.0,0.0,4350.0,,0.0,,,,0.0,0.0,0.0,595000.0,0.0,,
5388,2012年01月01日至2012年06月30日,,481790,481790,,,121911,30958,-2543,47446,-15746,,-281,,,,,,,26409.0,420973,4462,-690646,-818852,,-92036,-1229464,,0,66370,1398631.0,159606,28856,22202,,1674910,445446,627191,1108981,16179,-43058,-91086,991016,,,,,,,,-338405,5541,14521.0,-40857,,,,-451378,,,,-8431,,,-632702,25552,-67512,3868609,3801097,3801097,,-79774.0,,,0.0,-628621.0,,,181745.0,-755.0,0.0,,4350.0,,,0.0,,,,,,,,-92178.0,
5388,2012年01月01日至2012年03月31日,,192896,192896,,,63863,18280,11159,24963,-8782,,74,,,,,,,14250.0,190364,207837,-72617,-658729,-162461.0,73964,-407392,,-676,38178,,-32141,8977,-136775,,898338,490946,600503,793399,9627,-17847,-24067,761112,,,,,,,,-73499,0,30300.0,-21071,,,,-64347,,,,-4205,,,-433155,-18906,244704,3868609,4113313,4113313,,,,,,-428950.0,,,109557.0,-385.0,,,0.0,,,,,,,,,,,-77.0,1021160.0
