公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得投資性不動產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計
5607,2015年01月01日至2015年09月30日,,171959,171959,,,148204,5722,0.0,43932,-445,-21091.0,0.0,176322.0,,,-22221,4520,-2886,-3941,-19367,-43895,,125,2.0,-23345,-19493,-127,-42838,-86733,89589,261548,401,21091.0,-43048,-8341.0,231651,,-60743,0.0,0.0,0.0,-600,-62241,-123584,,0.0,0.0,75017.0,0.0,100000.0,-297250,15770.0,-12032.0,-118495,-10428,119564,109136,109136,,
5607,2015年01月01日至2015年06月30日,,101337,101337,,,98602,3742,0.0,29547,-409,-64.0,0.0,131418.0,,,-9096,5803,2436,-81,-43477,-44415,,-4796,7.0,-31666,7333,-79,-29201,-73616,57802,159139,390,0.0,-28964,0.0,130565,,-66303,0.0,0.0,0.0,-273,-32111,-98687,,0.0,0.0,74814.0,0.0,100000.0,-192625,2427.0,,-15384,16494,119564,136058,136058,,
5607,2015年01月01日至2015年03月31日,,47445,47445,,,49118,1872,0.0,14736,-62,0.0,0.0,65664.0,,,-6078,8385,-6427,2765,-65438,-66793,,-5564,12.0,-36160,-5081,-1547,-48340,-115133,-49469,-2024,62,0.0,-14426,0.0,-16388,,-6844,0.0,-201.0,0.0,0,-13865,-20910,,0.0,0.0,32.0,0.0,100000.0,-88000,-14.0,,12018,-25280,119564,94284,94284,,
5607,2014年度,,291192,291192,,,174763,8390,932.0,58947,-820,-8330.0,-17680.0,,,,143510,-4154,-124,2993,-6033,136192,,-15408,8.0,20921,33260,-428,38353,174545,390747,681939,820,8330.0,-62962,-74.0,628053,,-167806,21905.0,-221857.0,0.0,-615007,-18301,-1001066,,5000.0,0.0,44927.0,0.0,465500.0,-352000,8594.0,,172021,-200992,320556,119564,119564,,216202.0
5607,2014年01月01日至2014年09月30日,,233922,233922,,,129596,6547,-2507.0,43817,-486,-8330.0,-17680.0,150957.0,,,160410,2453,-7674,-3796,-23669,127724,,-10643,13.0,-5967,64471,-357,47517,175241,326198,560120,442,8330.0,-48201,0.0,520691,,-490890,21905.0,-221857.0,0.0,-206591,-12555,-909988,,5000.0,0.0,44957.0,0.0,413000.0,-306857,3329.0,0.0,159429,-229868,320556,90688,90688,,
5607,2014年01月01日至2014年06月30日,,158288,158288,,,86521,4647,0.0,28882,-406,-30.0,-17680.0,101934.0,,,190525,2551,-8125,4787,-47867,141871,,-11015,0.0,-15950,44106,-238,16903,158774,260708,418996,370,30.0,-33637,0.0,385759,,-503396,21905.0,-227000.0,0.0,-38,-12220,-720749,,5000.0,0.0,14952.0,0.0,299500.0,-197428,3063.0,,125087,-209903,320556,110653,110653,,
5607,2014年01月01日至2014年03月31日,,64592,64592,,,43258,2432,0.0,14163,-62,0.0,0.0,59791.0,,,125499,1298,-3369,-96,-70370,52962,,-38973,0.0,-20758,41119,15349,-3263,49699,109490,174082,57,0.0,-19178,0.0,154961,,-304618,0.0,-227000.0,0.0,-38,-856,-532512,,65000.0,0.0,0.0,0.0,181000.0,-88000,1680.0,,159680,-217871,320556,102685,102685,,
5607,2013年度,,238034,238034,,,179113,9542,2522.0,60841,-671,-19412.0,0.0,,,,17526,1826,5883,-8292,600,17543,,3146,0.0,9,-6651,-172,-3668,13875,245810,483844,496,19412.0,-54130,0.0,449622,,-29780,0.0,-4900.0,0.0,-140,-15234,-50054,,-25000.0,0.0,-9954.0,0.0,0.0,-352000,226235.0,,-160719,238849,81707,320556,320556,,231935.0
5607,2013年01月01日至2013年12月31日,,238034,238034,,,179113,9542,2522.0,60841,-671,-19412.0,,,,,17526,1826,5883,-8292,600,17543,,3146,,9,-96651,-172,-93668,-76125,155810,393844,496,19412.0,-54130,,359622,,-29780,,-4900.0,0.0,-140,-15234,-50054,,0.0,-25000.0,0.0,-9954.0,,-262000,226235.0,,-70719,238849,81707,320556,320556,,231935.0
5607,2013年01月01日至2013年09月30日,,189214,189214,,,135809,7068,0.0,46515,-337,-19412.0,0.0,,,,27539,5154,-6559,-2924,-23558,-348,,-6570,0.0,-19057,-1010,49,-26588,-26936,142707,331921,194,19412.0,-39792,,311735,,-29041,0.0,300.0,0.0,-140,-6994,-35875,,0.0,-30000.0,20049.0,0.0,0.0,-264000,226282.0,,-47669,228191,81707,309898,309898,,169643.0
5607,2013年01月01日至2013年06月30日,,109744,109744,,,92543,4657,0.0,31396,-271,-45.0,0.0,,,,101804,4359,-11854,-6260,-48098,39951,,-3115,,-16803,1609,45,-18264,21687,149967,259711,247,45.0,-30842,,229161,,-15522,0.0,0.0,0.0,-139,-5644,-21305,,0.0,-30000.0,20028.0,0.0,0.0,-176000,227606.0,,41634,249490,81707,331197,331197,,128280.0
5607,2013年01月01日至2013年03月31日,,50492,50492,,,46205,2176,0.0,15930,-63,0.0,,,,,100447,2953,-2740,450,-70304,30806,,-12141,,-23406,-5314,1681,-39180,-8374,55874,106366,58,0.0,-15613,,90811,,-2857,,0.0,0.0,-139,-1727,-4723,,0.0,0.0,60.0,0.0,0.0,-88000,0.0,,-87940,-1852,81707,79855,79855,,64248.0
5607,2012年01月01日至2012年12月31日,,120316,120316,,,276045,9819,0.0,69686,-375,-26614.0,,,,,-90627,-655,-20418,717,63,-110920,,57082,,-12106,59002,-221,103757,-7163,321398,441714,375,26614.0,-68906,,399797,,-17853,,0.0,0.0,-2946,-4799,-25598,,30000.0,0.0,0.0,-19796.0,,-365500,5347.0,,-349949,24250,57457,81707,81707,,328561.0
5607,2012年01月01日至2012年09月30日,,96321,96321,,,206458,7761,,52913,-242,-26561.0,,,,,-30362,1612,-26763,-874,-24698,-81085,,24471,,-27499,-6076,22,-9082,-90167,150162,246483,242,26561.0,-52499,,220787,,-5668,,,0.0,-124,-2948,-8740,,,0.0,10177.0,,,-194000,8791.0,,-175032,37015,57457,94472,94472,,240329.0
5607,2012年01月01日至2012年06月30日,,36861,36861,,,137539,5742,,35561,-180,,,,,,23901,2041,-27644,-1011,-48693,-51406,,21661,,-30285,-3067,21,-11670,-63076,115586,152447,180,,-35298,,117329,,-2230,,,,0,-1831,-4061,,,0.0,9906.0,,,-106000,8886.0,,-87208,26060,57457,83517,83517,,178662.0
