公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款－關係人減少,　　 取得無形資產,　　 其他金融資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得待出售非流動資產,　　 其他金融資產減少,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 處分無形資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融負債增加（減少）,　　 處分子公司,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 其他投資活動,　　 非控制權益變動,　　　　　 預付費用（增加）減少,　　　　　 其他金融資產（增加）減少,　　 取得以成本衡量之金融資產,　　 其他應收款增加,　　 現金增資
5907,2015年01月01日至2015年09月30日,,482782,482782,,,395014,4037,485911,91016,-81671.0,-52845,4346,-75269,0.0,41826,812365.0,,,-776650,38351,-119099,-7821,143808.0,-721411,,-2139039,-172177,-43573,-2354789,-3076200,-2263835,-1781053,81818.0,-90749,-336034,-2126018,,-155702,331308.0,-3994415,4069684,0,0.0,-199097.0,1274.0,-1018983.0,1527968.0,-425406,37,-446741.0,0.0,-186,-366052.0,131228.0,-545083,,3817491,-2436080.0,622188,-868004,30725,-592407.0,-19156,554757,-17598,-2133942,6225312,4091370,4091370,,,,,,,,,,,,,,,,,
5907,2015年01月01日至2015年06月30日,,917061,917061,,,265503,2881,45618,58636,-56945.0,-51247,4250,-61596,0.0,29764,236864.0,,,-722161,61658,-188035,29032,28890.0,-790616,,-1303167,-113862,-45215,-1462244,-2252860,-2015996,-1098935,57004.0,-58936,-274065,-1374932,,-130906,331447.0,-2737635,2799231,0,0.0,-199097.0,,,532027.0,-161425,22,-390247.0,,-185,-187814.0,108255.0,-36327,,1782459,-802100.0,410305,-676775,13314,,-19156,708047,-144418,-847630,6225312,5377682,5377682,,,,,,,,,,,,,,,,,
5907,2015年01月01日至2015年03月31日,,571148,571148,,,135831,1498,8523,31603,-22593.0,-22019,2500,-34964,,16210,116589.0,,,-583049,52366,27572,1745,33069.0,-468297,,-721629,-172699,-16070,-910398,-1378695,-1262106,-690958,18686.0,-29060,-136533,-837865,,-85118,53164.0,-1982510,2017474,0,0.0,,,-385203.0,,-67518,0,-394139.0,,-185,0.0,3850.0,-742755,,1047709,-563400.0,744940,-646363,0,,-19156,556576,-80686,-1104730,6225312,5120582,5120582,0.0,97430.0,-7154.0,,,,,,,,,,,,,,
5907,2014年度,,1516422,1516422,,,553305,15032,166076,131825,-102955.0,-82212,931,-119250,49197.0,167479,,,,-171279,-13883,-106872,-2077,-5580.0,-299691,,-602554,103422,-79534,-578666,-878357,-98929,1417493,107703.0,-131015,-508009,886172,,-483460,385666.0,-4399592,4519168,-97442,597609.0,-98756.0,,,,-147391,1150,-708348.0,,-2948,-188624.0,56433.0,-764047,,619383,-16362.0,498830,-1576832,23972,-598497.0,-94475,-1143981,326779,-695077,6920389,6225312,6225312,,,,,0.0,779428.0,0.0,0.0,0.0,-49378.0,-148134.0,0.0,,,,,
5907,2014年01月01日至2014年09月30日,,1064000,1064000,,,416856,11499,5917,98664,-91791.0,-57287,668,-76399,49197.0,133411,490735.0,,,58456,16085,-57119,10550,102355.0,130327,,-2323930,-60334,-64918,-2449182,-2318855,-1828120,-764120,89305.0,-101368,-396539,-1172722,,-172304,161428.0,-1760706,1837429,-96818,141716.0,0.0,0.0,0.0,0.0,-122578,1031,-704764.0,-49046.0,-1945,-29236.0,52335.0,-743458,,482812,-527464.0,973760,-1059926,33106,0.0,0,-97712,41043,-1972849,6920389,4947540,4947540,,,,,,,,,,,,,,,,,
5907,2014年01月01日至2014年06月30日,,891978,891978,,,280482,7625,-80085,68135,-65824.0,-38553,523,-52499,49197.0,101980,270981.0,,,15689,30903,-89084,22074,-7161.0,-27579,,-1689540,-66121,-53687,-1809348,-1836927,-1565946,-673968,67800.0,-68634,-296585,-971387,,-157558,121493.0,-1407031,1459673,-97018,108486.0,0.0,,,0.0,-89384,982,-705462.0,,-199,-55073.0,48768.0,-772323,,373707,-332387.0,866230,-771914,14197,,0,149833,-49218,-1643095,6920389,5277294,5277294,,,,,,,,,,,,,,,,,
5907,2014年01月01日至2014年03月31日,,524152,524152,,,142309,3843,-24134,32537,-32923.0,-19902,524,-25862,,48836,125228.0,,,-20982,51279,-30422,6407,-72580.0,-66298,,-1415445,-83744,-18808,-1517997,-1584295,-1459067,-934915,35619.0,-32577,-154333,-1086206,,-142878,97075.0,-1099078,1127068,-63501,43321.0,,,0.0,,-50892,112,-720837.0,,0,-115059.0,3711.0,-986336,,378982,-292523.0,121920,-223800,24166,,0,8745,67863,-1995934,6920389,4924455,4924455,-65378.0,0.0,0.0,,,,,,,,,,,,,,
5907,2013年度,,1544946,1544946,,,609585,15542,-16388,116925,-120433.0,-54266,31783,-81155,141790.0,13872,,,,-302870,15595,86624,29324,40854.0,-130473,,-186244,-16149,-24184,-207236,-337709,320951,1865897,117144.0,-88874,-610200,1283967,,-306581,178194.0,-503552,581570,-22336,0.0,-1192436.0,,,,-307410,3138,0.0,,-12249,-226922.0,13354.0,-1938151,,851826,-83455.0,2088022,-588412,16840,-598497.0,-114613,1559665,352571,1258052,5662337,6920389,6920389,,,,,1405.0,658660.0,19341.0,60000.0,49453.0,-245455.0,-6919.0,-12046.0,,,,,
5907,2013年01月01日至2013年12月31日,,1544946,1544946,,,609585,15542,-16388,116925,,-54266,31783,-81155,141790.0,13872,,,,-302870,15595,83335,29324,,-133762,,-186244,-16149,-24184,-207236,-340998,438095,1983041,,-88874,-610200,1283967,,-306581,178194.0,-31790898,31868916,-22336,,-1192436.0,,,,-307410,3138,0.0,,-12249,-226922.0,13354.0,-1938151,,768371,0.0,2088022,-588412,16840,-598497.0,-114613,1559665,352571,1258052,5662337,6920389,6920389,,,,,1405.0,779093.0,19341.0,60000.0,49453.0,,-6919.0,-12046.0,40854.0,,0.0,-245455.0,0.0
5907,2013年01月01日至2013年09月30日,,1045381,1045381,,,467324,12022,-17394,84326,-86323.0,-42379,24660,-60147,141790.0,-38155,,,,-167977,21247,70464,56594,124943.0,105271,,-2355841,-181084,-5910,-2528995,-2423724,-1936599,-891218,77308.0,-53665,-460452,-1328027,,-277259,74358.0,-24370312,24405732,-22336,0.0,-1192436.0,,,,-178775,3116,0.0,,-7398,0.0,10251.0,-1481987,,878902,-180327.0,2207924,-569447,10635,-598497.0,-114613,1622531,209767,-977716,5662337,4684621,4684621,,,,,1401.0,487125.0,13840.0,60000.0,19939.0,0.0,-6867.0,-12046.0,,,,,
