公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入（含財務收入）,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 營業外金融商品按公允價值衡量之損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 附賣回債券投資（增加）減少,　　　　　 應收證券融資款（增加）減少,　　　　　 轉融通保證金（增加）減少,　　　　　 應收轉融通擔保價款（增加）減少,　　　　　 應收證券借貸款項（增加）減少,　　　　　 客戶保證金專戶（增加）減少,　　　　　 應收期貨交易保證金（增加）減少,　　　　　 借券擔保價款（增加）減少,　　　　　 借券保證金－存出（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 附買回債券負債增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 融券保證金增加（減少）,　　　　　 應付融券擔保價款增加（減少）,　　　　　 借券保證金－存入增加（減少）,　　　　　 期貨交易人權益增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 代收款項增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 處分無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付商業本票增加,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 現金增資,　　 短期借款減少,　　 舉借長期借款,　　 非控制權益變動,　　　 不影響現金流量之收益費損項目,　　　　 呆帳提列（轉列收入）數,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　 處分以成本衡量之金融資產,　　 應付商業本票減少,　　　　　 應計退休金負債增加（減少）,　　　　　 存入保證金增加（減少）,　　　　 其他項目,　　　　　 附買回票券負債增加（減少）,　　　　　 其他金融資產（增加）減少,　　　　 處分採用權益法之投資損失（利益）,　　 持有至到期日金融資產到期還本,　　 採用權益法之被投資公司減資退回股款,　　 取得投資性不動產
6005,2015年01月01日至2015年09月30日,,1254611,1254611,,,135952,30112,300855,154646,-1207991.0,-120788.0,0.0,-57307,0,21255.0,-743266.0,,,-2044649,-649354,6663831,-33185,-19186,-1532.0,-3292588,-1137.0,-1076976,-1327096,-3734,554159,-3274,23261,-6068254.0,52315,20733,-7206666,,10010904.0,1461130,80703,-476848,-1586082,3330998,-102,-312068,6061,-893,-8380,2756236,-2704,2428,15261383,8054717,7311451,8566062,1273729.0,165630.0,-152903.0,-111427,9741091,,8750.0,-23160.0,-159394,580,-13705,86.0,-2091,-188934,,-1971575,-1749717,-500000.0,-1495225.0,-38960.0,0.0,24216.0,-5731261,82500,3903396,4227583,8130979,8130979,,,,,,,,,,,,,,,,,,,
6005,2015年01月01日至2015年06月30日,,1156119,1156119,,,88699,20127,263462,101932,-823316.0,-39915.0,0.0,-35040,0,-9044.0,-433095.0,,,-6607380,-304689,42418,-13634,-29969,,-965660,,-50374,-38517,-3104,-1251707,-30606,-78970,-1472098.0,-108392,221268,-10691414,,7135458.0,-55278,-878271,-966770,-2093637,883743,-1056,1216170,552,-10926,49288,1069296,20494,775,6369838,-4321576,-4754671,-3598552,807611.0,11446.0,-104303.0,-74676,-2958474,,8750.0,-23160.0,-115585,0,-10228,,-627,-140850,,361720,3549007,-500000.0,,,24216.0,,3434943,-57179,278440,4227583,4506023,4506023,0.0,,,,,,,,,,,,,,,,,,
6005,2015年01月01日至2015年03月31日,,681728,681728,,,44231,10043,-128121,46510,-396510.0,-2008.0,,-14831,0,-6531.0,-447217.0,,,-4880353,0,-5031590,15007,24001,,193807,,330372,302946,2094,-391308,-45469,-5094,,-1564852,174923,-10875516,,2284005.0,-803161,-1416734,-1602465,-1619288,-271420,-678,3034808,-5322,1503528,-133224,1203086,21158,872,2195165,-8680351,-9127568,-8445840,331698.0,2125.0,-49215.0,-37808,-8199040,,0.0,,-27248,0,-28929,,-452,-56629,,4267104,3398924,-500000.0,,,,,8468229,-23310,189250,4227583,4416833,4416833,,0.0,1300000.0,2201.0,,,,,,,,,,,,,,,
6005,2014年度,,2432701,2432701,,,181418,39692,46447,178760,-1573548.0,-407672.0,6604.0,-63728,-2996,36056.0,,,,-5180538,558394,-1682067,174587,133718,,-4198994,,-279583,694406,4532,1169681,5867,-63556,0.0,522898,174557,-7966098,,1494923.0,1250313,-134757,-414943,474847,4149735,288,-1658685,-131072,-437215,59591,565012,15421,1373,5234724,-2731374,-4290341,-1857640,1498820.0,457506.0,-233696.0,-76492,-211502,,223791.0,,-103880,5847,-39924,,-3069,106160,,638000,0,500000.0,-1139521.0,,-24348.0,24034.0,-325686,104267,-326761,4554344,4227583,4227583,226014.0,,,,,0.0,-1558967.0,-107.0,23395.0,-549865.0,,,,,,,,,
6005,2014年01月01日至2014年09月30日,,1811745,1811745,,,137111,29863,450061,130272,-1159780.0,-403030.0,6604.0,-49061,-2999,126683.0,-734276.0,,,-6914745,68574,-3568959,182815,150424,-370.0,-2044931,0.0,-28110,917539,3117,1774575,-1697,23687,0.0,-1266055,80537,-10623599,,422593.0,2182532,-120394,-385486,-645528,1945145,186,-648415,-137051,1296965,246202,209781,17970,1804,4386304,-6237295,-6971571,-5159826,1139038.0,432650.0,-188437.0,-50110,-3826685,,247186.0,0.0,-84633,5848,-11831,0.0,-1751,154819,,1469794,2199444,0.0,-1139521.0,0.0,226013.0,24034.0,2779764,30103,-861999,4554344,3692345,3692345,,,,,,,,,,,,,,,,,,,
6005,2014年01月01日至2014年06月30日,,1223305,1223305,,,92943,20375,-252628,83177,-749900.0,-57436.0,6604.0,-32862,-3001,58093.0,-834635.0,,,-3721049,217710,-3306619,181895,151294,,-623607,,235489,1165112,696,-325082,9241,-172899,0.0,481689,109142,-5596988,,-1071191.0,570115,-962148,-1351029,-1267594,531579,-768,882210,-133678,-434510,-24675,120246,14820,2700,-3123923,-8720911,-9555546,-8332241,759353.0,18147.0,-141508.0,-30648,-7726897,,33095.0,0.0,-47798,5845,-8759,,-1171,-18788,,1921366,4748413,0.0,,,24034.0,,6919826,-1467,-827326,4554344,3727018,3727018,226013.0,,,,,,,,,,,,,,,,,,
6005,2014年01月01日至2014年03月31日,,563786,563786,,,47426,10738,-113460,40569,-365207.0,-1941.0,,-14864,-2999,48315.0,-351423.0,,,-4639078,-1524076,-1488216,96223,76389,,161383,,246781,1037075,873,248043,13895,6754,,460576,169367,-5134011,,2421468.0,1473381,-915600,-1295128,-1020315,-168081,-387,1231596,-132656,-425181,-198501,-184329,73335,2900,862502,-4271509,-4622932,-4059146,356343.0,1941.0,-40915.0,-7487,-3749264,,23395.0,,-19595,5849,-8520,,-266,863,,0,2899197,0.0,,,,,2499197,34426,-1214778,4554344,3339566,3339566,,-400000.0,0.0,0.0,,,,,,,,,,,,,,,
6005,2013年度,,1793877,1793877,,,187513,38410,-274843,141091,-1338329.0,-82867.0,0.0,-55722,-1356,-35732.0,,,,-5354814,1173007,-1970533,-176671,-139114,,760289,,-48244,-213411,737,-2565707,-1794,113430,225997.0,-423181,-204554,-8824563,,1786090.0,-444846,-188474,-385726,-7628,-766692,-219,2874245,140787,429912,55638,55790,-2379,-20631,3525228,-5299335,-6721261,-4927384,1350480.0,127438.0,-198054.0,-830061,-4477581,,10000.0,,-53359,19612,-25841,,-2286,-51874,,2019000,2299582,-299881.0,-387708.0,,0.0,0.0,3630993,44293,-854169,5408513,4554344,4554344,0.0,,,,,-91.0,-1421926.0,-639.0,0.0,0.0,,,,,,,,,
6005,2013年01月01日至2013年12月31日,,1793877,1793877,,,187513,38410,-274843,141091,,44517.0,,-55722,-1356,,,,,-5390546,1173007,-1970533,-176671,-139114,,760289,0.0,-48244,-213411,737,-2550955,-1794,110883,225997.0,-423181,-204554,-8848090,,,-444846,-188474,-385726,-7628,-766692,-219,2874245,140787,429912,55638,55790,-2379,-20172,3525228,-5322862,-5243343,-3449466,,,-198054.0,-830061,-4477581,,10000.0,,-53359,19612,-25841,,-2286,-51874,,2019000,2299582,-299881.0,-387708.0,,,,3630993,44293,-854169,5408513,4554344,4554344,,0.0,,,,-91.0,79519.0,-639.0,,,-1666.0,1207.0,0.0,1786090.0,,0.0,0.0,0.0,0.0
6005,2013年01月01日至2013年09月30日,,1216562,1216562,,,140739,28480,-90889,101895,-987273.0,-76480.0,0.0,-43631,183,-16161.0,,,,-3903568,1199670,-4338578,-15759,-20045,0.0,731145,,33480,-1030223,6649,-3206239,-7190,106269,214454.0,-1564143,-14105,-11808183,,2611014.0,1768913,-559377,-994945,779830,-728756,150,-251607,2622,1677526,-101087,-253551,-282,-19113,3929344,-7878839,-8822051,-7605489,1027742.0,106365.0,-146112.0,-604842,-7222336,,10000.0,,-28847,0,-9620,,-1035,-29502,,5096519,1399660,-299881.0,-387707.0,,0.0,0.0,5808591,29861,-1413386,5408513,3995127,3995127,,,,,,-75.0,-943212.0,,,,-1783.0,-210.0,,,,,,,
