公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 存出保證金減少,　　 預付設備款增加,　　 短期借款減少,　　　　　 應付建造合約款（增加）減少,　　 應付短期票券減少
6139,2015年01月01日至2015年09月30日,,359939,359939,,,129299,66351,52743,7310,62633,-30389,-5365.0,-15208,414,267788.0,,,1868,-28635,650464,-19758,-2062719,19845,-67526,-1214935,-10704,-2732100,,131332,186876,-556384.0,-29041,0.0,11232,852507,40535,-1620.0,635437,-2096663,-1828875,-1468936,32447,5365.0,-80092,-134261,-1645477,,5806.0,-105338,25241,-26170,-8515,761890,0,652914,,385725,330000.0,695000.0,-700000.0,582000.0,-101224.0,2228,-150601.0,47200,1090328,9329,107094,3334175,3441269,3441269,,,,,,,,,,,,
6139,2015年01月01日至2015年06月30日,,74347,74347,,,84393,44709,-6600,4064,41082,-22287,-3860.0,-10122,78,131457.0,,,1483,30353,658336,-49,-1223098,8920,-90803,-248446,1376,-861928,,109,514875,-335395.0,-80765,0.0,5293,-132,40618,-1449.0,143154,-718774,-587317,-512970,20092,3860.0,-51087,-90402,-630507,,,-57130,15174,5993,-4804,567385,0,526618,,377759,-40000.0,,-700000.0,511847.0,-79106.0,2395,,-19743,53152,-48870,-99607,3334175,3234568,3234568,,,,,,,,,,,,
6139,2015年01月01日至2015年03月31日,,22686,22686,,,41401,22528,-879,-1870,19500,-8207,0.0,-4614,-22,67837.0,,,354,-188499,991840,-53407,-359589,-20156,-99326,-143790,146,127573,,5699,-544798,-274246.0,-92403,,1458,348203,36302,-228.0,-520013,-392440,-324603,-301917,11658,0.0,-24383,-30300,-344942,,,-16645,15241,-6115,-2678,458679,0,448482,,-231467,-100000.0,,,521634.0,-63680.0,-3973,,0,122514,-30036,196018,3334175,3530193,3530193,,,,,,,,,,,,
6139,2014年度,,409616,409616,,,150522,79515,9209,-6945,57454,-47691,-10612.0,-9716,-30538,,,,2201,-208305,-1195959,16245,395027,-16957,-296950,-658426,14270,-1948854,,-2985,486002,684121.0,38754,40.0,34852,15125,41366,,1296075,-652779,-452805,-43189,47762,10612.0,-77622,-152608,-215045,,4200.0,-277819,78410,172433,-12794,137536,-269807,-167841,,348571,0.0,,,90000.0,-52893.0,14780,-282376.0,102954,221036,51355,-110495,3444670,3334175,3334175,,0.0,8776.0,0.0,199974.0,-1200.0,0.0,0.0,0.0,,,
6139,2014年01月01日至2014年09月30日,,250669,250669,,,109891,56773,-2444,-1683,34827,-36175,-10612.0,139,-30576,120140.0,,,0,8632,-456239,15196,31798,-19586,-101644,-556640,11388,-1067095,,11491,242201,1011819.0,-33783,39.0,19780,30256,17798,-479.0,1299122,232027,352167,602836,38730,10612.0,-50254,-142446,459478,,0.0,-175634,78408,197424,-11585,326573,-267845,147341,,79554,0.0,0.0,0.0,0.0,-6048.0,16640,-282376.0,36907,-155323,11497,462993,3444670,3907663,3907663,,,,,,,,,,,,
6139,2014年01月01日至2014年06月30日,,212749,212749,,,70103,34874,7977,-7573,19520,-24637,-6806.0,1282,-30543,64197.0,,,0,-3356,-801542,-12143,198722,-23734,-77717,-139647,11387,-848030,,47901,76250,894820.0,-15542,38.0,8172,834,14031,-335.0,1026169,178139,242336,455085,24773,6806.0,-29050,-89410,368204,,,-144731,78296,148791,-4666,349569,-263637,163622,,-199298,100000.0,,0.0,0.0,-4022.0,18230,,43448,-41642,-23162,467022,3444670,3911692,3911692,,,,,,,,,,,,
6139,2014年01月01日至2014年03月31日,,30759,30759,,,32285,17498,4093,-1499,9602,-10759,-6806.0,3276,619,48309.0,,,0,-19136,-213950,-6712,108744,-24510,-25454,-179621,1946,-358693,,1477,-183171,130711.0,-56023,,3687,3112,962,-173.0,-99418,-458111,-409802,-379043,12497,6806.0,-14135,-43645,-417520,,,-48234,4,78231,-3720,375545,-9602,392224,,90241,100000.0,,,0.0,-2006.0,3074,,32173,223482,10420,208606,3444670,3653276,3653276,,,,,,,,,,,,
6139,2013年度,,627198,627198,,,94589,65975,76190,-6933,34517,-56118,-7900.0,-1277,-283,,,,27750,81663,-690422,30881,-747580,45261,148813,155260,-2016,-950390,,-22631,-347818,-839716.0,-76676,0.0,498,117927,3100,,-1166848,-2117238,-1900176,-1272978,56044,7900.0,-91960,-186784,-1487778,,0.0,-283314,1062,0,-6127,163348,-2360309,-1756356,,638096,280000.0,,,629438.0,-3322.0,15523,-376502.0,36711,1219944,101021,-1923169,5367839,3444670,3444670,,946.0,0.0,17356.0,217062.0,-1532.0,-46594.0,-95929.0,871507.0,,,
6139,2013年01月01日至2013年12月31日,,627198,627198,,,94589,65975,76190,-6933,34517,-56118,-7900.0,-1277,-283,,,,27750,81663,-690422,30881,-747580,45261,148813,155260,-2016,-950390,,-22631,-347818,,-76676,,498,117927,3100,,-1166848,-2117238,-1900176,-1272978,56044,7900.0,-91960,-186784,-1487778,,,-283314,1062,-95929,-6127,163348,-2360309,-1756356,,638096,280000.0,0.0,,629438.0,-3322.0,15523,-376502.0,36711,1219944,101021,-1923169,5367839,3444670,3444670,,946.0,0.0,17356.0,217062.0,-1532.0,-46594.0,,871507.0,,-839716.0,
6139,2013年01月01日至2013年09月30日,,313620,313620,,,64786,51122,29247,-6660,24888,-41935,-7900.0,1186,-282,,,,26595,35282,-351948,-66685,-957064,-5816,59705,128691,-11484,-1142724,,-17913,-489614,-620503.0,-104637,0.0,3612,331638,5677,,-892954,-2035678,-1920284,-1606664,44115,7900.0,-68542,-128268,-1751459,,,-144087,1057,-60936,-2507,121551,-2147941,-1420047,,867702,,,,627623.0,-1326.0,6264,-376502.0,14533,1138294,74746,-1958466,5367839,3409373,3409373,,942.0,,,115394.0,-1214.0,-46594.0,,859410.0,,,
6139,2013年01月01日至2013年06月30日,,268208,268208,,,40451,33460,14010,-8654,16134,-29746,-6663.0,-1411,-17,,,,26595,6353,-313426,-13613,-469101,-34888,-8263,-46680,-23237,-876260,,-3704,-261542,-402904.0,-80870,0.0,4082,262642,13906,,-469387,-1345647,-1287144,-1018936,29466,6663.0,-44598,-72830,-1100235,,,-53202,191,156949,-1889,-353497,-2141236,-1588675,,256509,0.0,,,626288.0,0.0,6795,,-8628,880964,95197,-1712749,5367839,3655090,3655090,,939.0,,,58503.0,-997.0,-46594.0,,850603.0,0.0,,
6139,2013年01月01日至2013年03月31日,,99304,99304,,,19751,20062,6031,-786,7697,-14181,0.0,2238,87,,,,26595,88038,38221,-12652,-540844,-20823,-17799,-113411,-12341,-565016,,6950,-378313,920785.0,-121099,,1068,52535,2574,,484254,-80762,-39863,59441,15588,0.0,-9261,-9872,55896,,,-18870,15,57797,-175,8512,-1757136,-1173906,,401413,0.0,,,418803.0,0.0,6121,,14935,841272,66140,-210598,5367839,5157241,5157241,,,,,40899.0,-246.0,-46594.0,,582545.0,,,
6139,2012年01月01日至2012年12月31日,,736980,736980,,,51777,81934,68287,6942,16037,-59836,-1660.0,10303,213,,,,985,538551,601939,208664,-126709,-9246,-143095,-264764,-18252,788073,,-36268,-255930,,48022,,-89604,-17092,-5464,,-1244552,-456479,-265052,471928,56747,1660.0,-8175,-179474,342686,,,-278918,806,117190,-11299,236479,-579128,-1155925,,591327,99512.0,695000.0,,0.0,0.0,19368,-564754.0,286266,1126719,-37611,275869,5091970,5367839,5367839,,2997.0,8300.0,6133.0,191427.0,-7575.0,-47337.0,,-593718.0,,-880641.0,
6139,2012年01月01日至2012年09月30日,,500800,500800,,,38932,52908,62762,5455,7586,-42656,-1660.0,6604,184,,,,984,588699,182607,173815,-73831,-25304,-355720,-440832,-20872,29546,,57757,-98049,,-72763,,-82847,-13990,-2208,,-1463631,-1434085,-1290345,-789545,39364,1660.0,-3626,-165095,-917242,,,-59809,728,-370246,-9123,125983,-196758,-556562,,409891,,695000.0,,0.0,0.0,16208,-564754.0,262012,818208,-37878,-693474,5091970,4398496,4398496,,0.0,7500.0,6125.0,143740.0,-7219.0,-47337.0,,0.0,,-1244312.0,-149.0
6139,2012年01月01日至2012年06月30日,,389171,389171,,,26044,35122,64802,3456,3703,-28650,0.0,3442,345,,,,-853,581912,993190,257589,-900929,-56086,-281690,-134813,-28138,430182,,3017,169373,,-49843,,-85272,8520,-29222,,-1767675,-1337493,-1215569,-826398,28989,0.0,-2896,-76453,-876758,,,-42916,272,-55118,-7020,159851,-197952,-190220,,0,,695000.0,,0.0,,12119,,151860,627042,-24509,-464445,5091970,4627525,4627525,,0.0,,13660.0,121924.0,-6378.0,-47337.0,,0.0,-132065.0,-1777870.0,-99872.0
6139,2012年01月01日至2012年03月31日,,177950,177950,,,13055,17529,63077,-4587,2218,-13433,,1664,87,,,,0,75110,195020,67939,-169331,-45447,-142540,-170799,-5972,-196020,,35206,-410307,,-81141,,-85120,27745,-4390,,-932698,-1128718,-1049108,-871158,13433,,-2218,-7986,-867929,,,-23359,11,41677,-907,33049,-388840,-338369,,0,,,,,,3612,,0,-238595,-19800,-1464693,5091970,3627277,3627277,,,,,79610.0,-6061.0,0.0,,0.0,-142335.0,-408630.0,-99872.0
