公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得採用權益法之投資,　　 存出保證金增加,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預付費用（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 應付短期票券減少,　　 存入保證金減少,　　 員工執行認股權,　　　　　 持有供交易之金融資產（增加）減少,　　　　 非金融資產減損損失,　　　　　 其他金融資產（增加）減少,　　　　　 應付票據增加（減少）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
6152,2015年01月01日至2015年09月30日,,-320942,-320942,,,144823,3628,-19804.0,14964,-5209,-806.0,6837,671,145104.0,,,103883,406770,537,-36927,4493,26383,-21169.0,-18866,2148.0,467252,,-330797,0,34374,0.0,10178,-74960,-413.0,-361618,105634,250738,-70204,5209,806.0,-14158,-10495,-88842,,0.0,-90975,11845,9731.0,-1946,-71345,,470514.0,173191,-169930,1483.0,0.0,-29545.0,0.0,445713,32343,317869,1099674,1417543,1417543,,,,,,,,,,,,,,,,,,,,,
6152,2015年01月01日至2015年06月30日,,-246278,-246278,,,97489,2628,-1419.0,8989,-3608,,6654,885,111618.0,,,12411,240578,513,-24602,6072,69747,24948.0,-13605,1453.0,317515,,-269714,2294,-40743,0.0,5933,-59706,-387.0,-362323,-44808,66810,-179468,3608,,-8926,-10354,-195140,,,-49725,1291,10384.0,-1349,-39399,,282693.0,123191,-97311,,,-11581.0,,296992,35624,98077,1099674,1197751,1197751,0.0,,,,,,,,,,,,,,,,,,,,
6152,2015年01月01日至2015年03月31日,,-141872,-141872,,,48743,1543,,4251,-1781,,3122,113,55991.0,,,-164492,559826,602,-35639,350,-140013,-62662.0,-7482,731.0,151221,,32909,0,-48098,,19182,-6719,,-2726,148495,204486,62614,1781,,-3695,-10252,50448,,,-11230,44,,-1363,-8677,,,50000,-46249,,,-11581.0,,19951,863,62585,1099674,1162259,1162259,0.0,3872.0,27781.0,,,,,,,,,,,,,,,,,,
6152,2014年01月01日至2014年09月30日,,-229473,-229473,,,134223,5806,0.0,13715,-8222,-806.0,19243,-4202,159757.0,,,164511,1012774,-8213,1182,9877,379980,-26601.0,-63962,2100.0,1471648,,-781906,-9054,-167661,-321.0,-67326,-2547,0.0,-1028815,442833,602590,373117,8222,806.0,-14622,-60045,307478,,-9915.0,-165792,7567,543.0,-2816,-170413,,-38611.0,375428,-419940,0.0,-259399.0,0.0,16.0,-342506,-10602,-216043,1583909,1367866,1367866,,,,,,,,,,,,,,,,,,,,,
6152,2014年01月01日至2014年06月30日,,-105326,-105326,,,89851,3793,0.0,9886,-5947,,9389,653,107625.0,,,52947,1039401,-547,-3637,3371,539854,-25477.0,-1950,1401.0,1605363,,-1046451,-8156,-121472,-321.0,-47457,-6859,0.0,-1230716,374647,482272,376946,5947,,-10739,-59148,313006,,,-110983,29,944.0,-1490,-112105,,-233149.0,225428,-280012,,,0.0,,-287733,-27053,-113885,1583909,1470024,1470024,-605.0,,,,,,,,,,,,,,,,,,,,
6152,2014年01月01日至2014年03月31日,,-36515,-36515,,,44371,1868,,6087,-3299,,5694,649,55370.0,,,20059,791482,-114,-352,2146,272839,22202.0,-2247,858.0,1106873,,-786351,-5300,-110267,,-27898,16378,,-913438,193435,248805,212290,3299,,-6909,-30558,178122,,,-54307,0,,0,-54293,,,66667,-116962,,,0.0,,-206778,-23690,-106639,1583909,1477270,1477270,-605.0,619.0,-156483.0,,,,,,,,,,,,,,,,,,
6152,2013年01月01日至2013年12月31日,,465005,465005,,,164093,7927,7473.0,21082,-15802,,1829,-115544,,,,-56299,342450,423033,89358,1269,405585,,-5844,2136.0,1211406,,-547580,-7435,-25655,0.0,75673,19233,,-486970,724436,801192,1266197,15802,,-21971,-97154,1162874,,,-381871,107563,,-4985,-307277,,,340000,-351509,,-246286.0,,,-414689,53158,494066,1089843,1583909,1583909,-28133.0,-3411.0,-116040.0,,0.0,-508.0,6206.0,76756.0,9718.0,-1206.0,0.0,-34675.0,38235.0,-70000.0,-580.0,29726.0,,,,,
6152,2013年01月01日至2013年09月30日,,406094,406094,,,123186,5973,11527.0,15879,-12077,,-5204,-109810,,,,34159,465885,422772,89062,40,238561,,-40570,,1226743,,-789808,-8637,-101505,0.0,109484,7756,,-782710,444033,478933,885027,12077,,-17042,-107326,772736,,,-275568,138856,,-4455,-166993,,,290000,-227620,,-246286.0,,,-267891,30601,368453,1089843,1458296,1458296,,-10.0,-73131.0,,0.0,-780.0,6206.0,34900.0,16834.0,0.0,-25816.0,,,-40000.0,-580.0,29726.0,,,,,
6152,2013年01月01日至2013年06月30日,,323183,323183,,,81723,3923,12694.0,10803,-7848,,-3735,-73044,,,,-219653,-241595,423056,71724,-664,127003,,277,,149002,,-52288,-2837,9379,0.0,73593,42874,,70721,219723,243785,566968,7848,,-12104,-66001,496711,,,-214349,139430,,-3799,-79048,,,200000,-183731,,,,,-115950,36364,338077,1089843,1427920,1427920,,-330.0,-111895.0,,0.0,-780.0,326.0,24062.0,-1331.0,0.0,0.0,,,-49960.0,-90.0,29726.0,-9815.0,,,,
6152,2013年01月01日至2013年03月31日,,196126,196126,,,40433,1927,12333.0,5544,-3637,,-487,-76469,,,,26541,45658,422924,73625,-749,-93586,,1815,,482427,,-377871,1984,-55381,0.0,66259,43621,,-321388,161039,140683,336809,3637,,-7175,-13749,319522,,,-148556,137584,,-780,-12096,,75649.0,200000,-143734,44.0,,,,111705,16745,435876,1089843,1525719,1525719,,-344.0,,,0.0,,,-20356.0,6199.0,,0.0,,,-49980.0,,29726.0,,0.0,0.0,0.0,0.0
