公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　　　 預付款項（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他預付款項減少,　　　　　 其他營業資產（增加）減少,　　 存入保證金增加
6192,2015年01月01日至2015年09月30日,,457661,457661,,,24893,2435,6629,3819,-14574,51,-4715,300,18838.0,,,-31673,15242,3162,-292616,14931,-290954,,3703,-120516,1816.0,-52216,320332,3103,-7839.0,467,148850,-142104,-123266,334395,16690,-3932,-124063,223090,,77088.0,-11806,15,12961,-3720,-55821.0,0.0,18717,,-61923.0,-14501,29,-356132.0,-432527,21101,-169619,1461862,1292243,1292243,,,,,,,,,,,,
6192,2015年01月01日至2015年06月30日,,277466,277466,,,16305,1646,7174,2626,-10081,0,-3867,-2586,11217.0,,,10729,31623,8631,-250074,1381,-197710,,11922,-95346,1593.0,-66629,194408,1135,-5194.0,467,42356,-155354,-144137,133329,10702,-2455,-73250,68326,,-45934.0,-10693,0,16747,-3720,-3867.0,,-47467,,-61793.0,-9645,-1,,-71439,-15240,-65820,1461862,1396042,1396042,,,,,,,,,,,,
6192,2015年01月01日至2015年03月31日,,113069,113069,,,7989,743,3558,1440,-4628,0,-4011,-2460,2680.0,,,-10937,-33997,2707,-44519,139,-93257,,6856,-1607,,-70848,102917,4897,-2567.0,0,39648,-53609,-50929,62140,6064,-1440,-10352,56412,,-59224.0,-6069,0,17404,-3720,2679.0,,-48930,,-62288.0,-4811,-1,,-67100,-7968,-67586,1461862,1394276,1394276,49.0,-6650.0,,,,,,,,,,
6192,2014年度,,828230,828230,,,32648,2414,-11432,6655,-19582,-163,7102,-25232,,,,59514,417443,8580,-94205,639,445118,,-9304,-151505,,17806,-105997,-3785,,-488,-263598,181520,173385,1001615,21357,-190,-167384,855398,,,-105411,851,2110,-1535,-2045.0,,-334402,,-15040.0,-19027,-13471,-356132.0,-403670,28981,146307,1315555,1461862,1461862,192.0,53147.0,,-737.0,-8135.0,138.0,-10463.0,-228372.0,,,,
6192,2014年01月01日至2014年09月30日,,598251,598251,,,24410,1940,-9741,4960,-14125,-162,669,-7604,347.0,,,-197,213941,10861,-55536,-4699,164370,,-12582,-106865,0.0,-19789,16352,19246,-7830.0,-1372,-112840,51530,51877,650128,16792,-5704,-156019,505197,,-111593.0,-86472,851,-5061,-112,-2045.0,-3200.0,-207632,,-14455.0,-14237,-13471,-356132.0,-398295,17945,-82785,1315555,1232770,1232770,,,,,,,,,,,,
6192,2014年01月01日至2014年06月30日,,396891,396891,,,16177,1339,-10386,3493,-9519,-163,3238,-3300,879.0,,,58582,262862,6062,76688,38878,443072,,-11455,-225241,0.0,-50219,-24364,-1337,-5183.0,-48,-317847,125225,126104,522995,10456,-3543,-97239,432669,,-49291.0,-12343,851,-5922,-112,-1145.0,,-67962,,-14986.0,-9469,-13457,,-37912,283,327078,1315555,1642633,1642633,,,,,,,,,,,,
6192,2014年01月01日至2014年03月31日,,220605,220605,,,7943,597,-8898,1639,-4100,8,2556,11768,11561.0,,,23855,284415,18842,16953,-13382,274677,,-5853,-225062,,-56106,39650,-968,-2566.0,-528,-251433,23244,34805,255410,4414,-1592,-15534,242698,,-5778.0,-5799,619,-525,0,-245.0,,-11728,,0.0,-4724,1205,,-3519,11026,238477,1315555,1554032,1554032,48.0,-56006.0,,,,,,,,,,
6192,2013年度,,836609,836609,,,31586,2100,37902,7117,-15256,-1103,10941,3246,,,,-7823,68308,1389,73642,1317,67150,,2767,-70673,,-6713,-140984,-379,,-33803,-216001,-148851,-72130,764479,14621,-6686,-171590,600824,,,-21191,210,-14057,-8983,-1183.0,,-254435,,61438.0,-18704,13470,-415488.0,-359284,17595,4700,1310855,1315555,1315555,188.0,-69683.0,,0.0,76721.0,0.0,33784.0,-209231.0,,,,
6192,2013年01月01日至2013年12月31日,,836609,836609,,,31586,2100,37902,7117,-15256,-1103,10941,52006,,,,-18812,29332,-16746,53957,1317,-24780,,2767,-51965,,-6201,-122535,-379,,-33803,-178332,-203112,-77819,758790,14621,-6686,-171590,595135,,,-21191,210,2000,-8983,-1183.0,,-250735,,61438.0,-18704,13470,-415488.0,-359284,19584,4700,1310855,1315555,1315555,0.0,-74016.0,,,125293.0,,33784.0,-221588.0,,,188.0,
6192,2013年01月01日至2013年09月30日,,617911,617911,,,23627,1588,38595,4932,-10158,-1167,11108,-7979,,,,29753,151538,-4563,-58708,1271,86821,,-357,-122252,,-18226,-29765,3123,,83,-169378,-82557,-21870,596041,10990,-5179,-152491,449361,,,-15430,210,4953,-6886,-1570.0,0.0,-183373,,60671.0,-14002,13469,-415488.0,-355350,8913,-80449,1310855,1230406,1230406,141.0,-32470.0,,,60687.0,0.0,-1984.0,-164650.0,,,,
