公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收帳款－關係人（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 支付之利息,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 短期借款減少,　　　　 股利收入,　　 其他非流動資產增加,　　 收取之股利,　　 取得無活絡市場之債券投資,　　 其他非流動資產減少,　　　　 股份基礎給付酬勞成本,　　 備供出售金融資產減資退回股款,　　 短期借款增加,　　　　 未實現外幣兌換損失（利益）
6206,2015年01月01日至2015年09月30日,,886496,886496,,,69981,35812,-689.0,-2274,1255,-18128,1820.0,0.0,2529.0,90306.0,,,134066,2488,-75983,-14718,45853,,-29615,35202,-9962.0,14265,3680.0,13570,59423,149729,1036225,-148407,887818,,-120000.0,0.0,115667.0,-52737,1.0,-4085,0.0,2719.0,19379,-39056,,-829900.0,0,-45735.0,-875635,7737,-19136,2394500,2375364,2375364,,,,,,,,,,,,,,,,,,
6206,2015年01月01日至2015年06月30日,,534442,534442,,,46100,22488,-331.0,-5325,1255,-14243,1820.0,0.0,2529.0,54293.0,,,62033,2281,-80317,-2634,-29394,,-41753,12171,-9434.0,-573,102.0,-39487,-68881,-14588,519854,-112185,407669,,,0.0,115667.0,-32865,0.0,-1292,0.0,3905.0,15494,100909,,-45735.0,0,,-45735,-6528,456315,2394500,2850815,2850815,-10757.0,,,,,,,,,,,,,,,,,
6206,2015年01月01日至2015年03月31日,,241596,241596,,,22346,9301,-1676.0,-7440,1107,-7165,1820.0,0.0,2529.0,20822.0,,,219862,2368,-158458,-5415,46542,,58828,-16761,-9706.0,24273,-262.0,56372,102914,123736,365332,-744,364588,,-40000.0,,115667.0,-11533,0.0,-468,,3371.0,6944,73981,,,0,,0,-2581,435988,2394500,2830488,2830488,-11815.0,,,,,,,,,,,,,,,,,
6206,2014年度,,1105005,1105005,,,86505,5152,2352.0,4179,6127,-32544,604.0,-496.0,10047.0,,,,-277895,-2871,-44757,-464,-325987,,51025,10448,16826.0,-3168,,75095,-250892,-168966,936039,-137271,798768,,,,,-37318,507.0,-5897,0.0,679131.0,39795,661218,,-720482.0,27924,-3735.0,-696293,13030,776723,1617777,2394500,2394500,,,0.0,81926.0,-36.0,0.0,0.0,-15000.0,0.0,,,,,,,,,
6206,2014年01月01日至2014年09月30日,,790555,790555,,,64682,3762,3706.0,3068,4634,-25272,0.0,-496.0,0.0,54084.0,,,-395748,-76,-99392,-12145,-507361,,198320,59879,1148.0,5590,-189.0,264748,-242613,-188529,602026,-123779,478247,,0.0,-15000.0,0.0,-28379,507.0,-4681,-1903.0,684300.0,31481,666325,,-720482.0,18977,-3735.0,-705240,3080,442412,1617777,2060189,2060189,,,,,,,,,,,,,,,,,,
6206,2014年01月01日至2014年06月30日,,457362,457362,,,43249,2418,2179.0,-2636,3110,-17597,0.0,-496.0,0.0,30227.0,,,-245996,-263,-64452,-1272,-311983,,98285,17945,348.0,-3058,-351.0,113169,-198814,-168587,288775,-92441,196334,,,-60000.0,0.0,-11333,507.0,-4357,-327436.0,683938.0,22655,303974,,0.0,2083,,2083,-1035,501356,1617777,2119133,2119133,0.0,,,,,,,,,,,,,,,,,
6206,2014年01月01日至2014年03月31日,,222888,222888,,,21635,1145,802.0,-469,1576,-10567,0.0,-207.0,0.0,13915.0,,,-100036,-491,-125197,1053,-224671,,83427,-20415,98.0,-4616,175.0,58669,-166002,-152087,70801,-2654,68147,,0.0,,0.0,-7642,207.0,-2506,,350653.0,17196,357908,,,2084,,2084,2683,430822,1617777,2048599,2048599,0.0,,,,,,,,,,,,,,,,,
6206,2013年度,,1004532,1004532,,,83403,1953,765.0,1904,9819,-34838,0.0,85.0,0.0,,,,-57619,-176,-40153,-188,-98136,,-91737,9604,276.0,7560,,-74413,-172549,-107025,897507,-78743,818734,,,,,-89268,81.0,-10574,-605010.0,0.0,27782,-664814,,-364407.0,65825,0.0,-301714,7708,-140086,1757863,1617777,1617777,,,2433.0,65524.0,-116.0,-30.0,12175.0,0.0,-3132.0,,,,,,,,,
6206,2013年01月01日至2013年12月31日,,1004532,1004532,,,83403,1953,765.0,1904,9819,-34838,,85.0,,,,,-57619,-176,-40153,-188,-98136,,-91737,9604,276.0,7560,,-74413,-172549,-107025,897507,-78743,818734,,,,,-89268,81.0,-10574,-605010.0,0.0,27782,-664814,,-364407.0,65825,,-301714,7708,-140086,1757863,1617777,1617777,,,2433.0,65524.0,-116.0,-30.0,12175.0,,,0.0,,0.0,,,0.0,0.0,-3132.0,
6206,2013年01月01日至2013年09月30日,,768967,768967,,,61103,1206,1228.0,-2524,8122,-23587,,84.0,,,,,-169852,-2309,-45397,-7308,-224866,,-35945,36247,29.0,11293,,11345,-213521,-165456,603511,-76622,526859,,,0.0,,-46050,42.0,-2921,-653132.0,89724.0,21348,-589581,,-364407.0,64899,0.0,-302640,5055,-360307,1757863,1397556,1397556,,,3601.0,48065.0,-279.0,-30.0,11007.0,,-3132.0,-1168.0,-10767.0,1168.0,,,,,,
6206,2013年01月01日至2013年06月30日,,531907,531907,,,39731,825,1962.0,664,6352,-13770,,-8.0,,,,,-174897,-1434,8044,2573,-165714,,66819,24650,-386.0,16675,,107304,-58410,-20221,511686,-51449,460206,,,0.0,,-22932,41.0,-2132,-655797.0,4562.0,7722,-665485,,,47488,,44356,7893,-153030,1757863,1604833,1604833,,,3601.0,38189.0,-454.0,-31.0,11007.0,,-3132.0,-1168.0,-9124.0,1168.0,,,,,,
6206,2013年01月01日至2013年03月31日,,259512,259512,,,19339,423,99.0,3970,3712,-6383,,0.0,,,,,2307,601,-54573,-11784,-63449,,69539,-9937,0.0,11862,,71635,8186,29346,288858,-7410,281417,,,,,-8694,0.0,-1680,0.0,0.0,5981,-3776,,,38911,,35779,6121,319541,1978998,2298539,2298539,,,,21160.0,171.0,-31.0,,,-3132.0,,,,-3.0,620.0,,,,
6206,2012年01月01日至2012年12月31日,,693292,693292,,,72616,1317,4138.0,-4914,15908,-19145,,444.0,,,,,-210710,932,108602,5511,-95665,,161667,-129694,-12285.0,-10521,,9012,-86653,-14707,678585,-66279,612053,,,,,-93746,0.0,-269,-25606.0,199421.0,18806,102405,,-319101.0,16932,,-304497,-7209,402752,1355111,1757863,1757863,,,0.0,71946.0,-155.0,-253.0,0.0,,,-1927.0,,1927.0,,,3509.0,1872.0,-2328.0,
6206,2012年01月01日至2012年09月30日,,507050,507050,,,52622,1920,,-8670,11917,-13141,,444.0,,,,,-194379,6730,94718,20497,-72434,,66880,47738,-10418.0,-17477,,86386,13952,61842,568892,-38195,543359,,,,,-200165,0.0,0,199817.0,,12842,-71098,,-319101.0,10605,,-304372,15685,183574,1355111,1538685,1538685,,,0.0,47890.0,-337.0,-180.0,0.0,,,0.0,-70750.0,0.0,,,2798.0,,4124.0,
6206,2012年01月01日至2012年06月30日,,330143,330143,,,34599,645,,-2830,7961,-8518,,137.0,,,,,-221845,2474,-2889,20075,-202185,,201290,-13300,-8831.0,21911,,200551,-1634,27842,357985,-37753,327861,,,,,-174445,0.0,0,-9232.0,,7762,-232210,,,9695,,5268,-3021,97898,1355111,1453009,1453009,,,0.0,29476.0,-519.0,-133.0,0.0,,,0.0,-48533.0,0.0,,,1882.0,,-4427.0,-4400.0
6206,2012年01月01日至2012年03月31日,,137300,137300,,,16932,324,,-4928,3967,-3652,,,,,,,-166594,2589,2361,-5669,-167313,,115472,-11848,,-17428,,86377,-80936,-65321,71979,-2550,72320,,,,,-91455,,0,,,2938,-88253,,,9696,,15367,-4872,-5438,1775683,1770245,1770245,,,,15615.0,181.0,-47.0,,,,,3202.0,,0.0,,952.0,,5671.0,2020.0
