公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 應付公司債匯率影響數,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 無活絡市場之債務工具投資到期還本,　　 取得持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 因合併產生之現金流入,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 應付租賃款增加,　　 應付租賃款減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 員工購買庫藏股,　　 其他籌資活動,　　　　　 應付帳款－關係人增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　　　　 應付票據－關係人增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　 其他金融資產減少,　　　　 股份基礎給付酬勞成本,　　 其他非流動資產增加,　　 存出保證金減少,　　 取得子公司股權,　　 短期借款增加
6257,2015年01月01日至2015年09月30日,,711224,711224,,,886422,8400,9358,3184,18069,-26623,0.0,-4731,0.0,0.0,9447,-4627.0,898899.0,,,3109,-446,-140621,-466,-1413,-2395,-1471,7550,0.0,641,-135512,,21185,-26705,-122747,120,2327.0,-1918.0,-127738,-263250,635649,1346873,26278,-17481,-229256,1126414,,0.0,-317076.0,-840,-1971582,52585,39.0,-1113,0.0,-2237987,,715807,2050000,-1764914,0.0,-90.0,0.0,0.0,-762482.0,-128492.0,0.0,109829,1352,-1000392,3981222,2980830,2980830,,,,,,,,,,,,,,,,,,,,
6257,2015年01月01日至2015年06月30日,,452021,452021,,,569544,4214,4704,-3314,21240,-17025,0.0,-840,,0.0,3761,-4627.0,577657.0,,,-12218,3603,-44989,2242,-22287,-22203,-22744,8489,0.0,-2802,-112909,,787,-17517,-17833,-4890,283.0,0.0,-39170,-152079,425578,877599,17608,-20413,-145413,729381,,,4582.0,1190,-1461444,13366,,1369,0.0,-1440937,,564194,550000,-524870,0.0,-90.0,0.0,0.0,,-76751.0,0.0,512483,5138,-193935,3981222,3787287,3787287,,,,,,,,,,,,,,,,,,,,
6257,2015年01月01日至2015年03月31日,,183521,183521,,,272919,2428,7862,-5252,6115,-8635,0.0,-39,0.0,0.0,195,-4627.0,270966.0,,,54282,2642,112619,1493,-6770,-5250,1986,7855,,180,169037,,410,-3940,-107411,-4497,157.0,0.0,-115281,53756,324722,508243,9379,-10548,-843,506231,,,,480,-586058,39,,-479,0.0,-583988,,205968,400000,-312608,0.0,-1340.0,0.0,0.0,,0.0,0.0,292020,-1274,212989,3981222,4194211,4194211,0.0,2030.0,0.0,,,,,,,,,,,,,,,,,
6257,2014年度,,1240348,1240348,,,1062373,10361,14627,-9694,28513,-34575,,-87222,,,58624,4627.0,,,,-345916,-3296,-13486,870,23722,112999,-42033,-5427,29514.0,232,-242821,,-51248,-2967,24215,-5964,,,-33370,-276191,771443,2011791,33708,-39086,-190958,1815455,,,,-1730,-1717339,206251,572.0,-12493,,-1556829,,-162320,1550000,-1162805,,995.0,,,-326778.0,,0.0,-427686,3168,-165892,4147114,3981222,3981222,,,,,1047634.0,2594.0,-32090.0,0.0,0.0,-326778.0,,,,,,,,,,
6257,2014年01月01日至2014年09月30日,,998660,998660,,,788407,8980,7609,-6056,28615,-24373,0.0,-82157,199.0,0.0,43332,6061.0,770617.0,,,-255000,-4408,-150131,-440,11719,71202,-32500,3856,29514.0,169,-326019,,-2970,-28617,-53772,118455,0.0,2149.0,35245,-290774,479843,1478503,24492,-28184,-190190,1284621,,-12000.0,-620.0,-150,-1149748,84133,876.0,-10556,0.0,-1088065,,150855,1350000,-1104992,0.0,691.0,0.0,0.0,-653556.0,0.0,0.0,-257002,84,-60362,4147114,4086752,4086752,,,,,,,,,,,,,,,,,,,,
6257,2014年01月01日至2014年06月30日,,667633,667633,,,519365,4259,7749,-9534,18131,-14677,0.0,-73448,,0.0,25619,0.0,477464.0,,,-79999,-2306,-141714,197,-49783,50314,-10919,2276,29514.0,987,-201433,,-2970,11160,57651,3620,1713.0,0.0,71174,-130259,347205,1014838,14861,-17747,-140255,871697,,,2155.0,1080,-550763,75398,,-9705,0.0,-481835,,-96469,660000,-421121,0.0,690.0,0.0,0.0,,0.0,0.0,143100,-1996,530966,4147114,4678080,4678080,,,,,,,,,,,,,,,,,,,,
6257,2014年01月01日至2014年03月31日,,281582,281582,,,261133,2022,3933,-6322,8609,-7097,0.0,-1128,201.0,0.0,0,0.0,261351.0,,,0,-740,-28666,-375,-63918,6352,732,971,,870,-84774,,-897,94696,-20017,5524,853.0,0.0,80159,-4615,256736,538318,7713,-8979,-1778,535274,,,,190,-282006,2468,,0,0.0,-250704,,43924,360000,-382580,0.0,800.0,0.0,0.0,,0.0,0.0,22144,-460,306254,4147114,4453368,4453368,-870.0,0.0,29514.0,,,,,,,,,,,,,,,,,
6257,2013年度,,989654,989654,,,1111562,7490,11468,-12788,25423,-30782,,-22694,,,28768,29452.0,,,,25798,6414,56584,6682,-16292,-39375,86399,-28283,6902.0,-2363,102466,,-4110,-1711,-19731,-4717,,,-46936,55530,1203429,2193083,29569,-32732,-110043,2079877,,,,-49190,-1094602,61932,2869.0,-6079,,194450,,-172720,1700000,-1046607,,-1722.0,,,-377620.0,,-56250.0,-261432,6809,2019704,2127410,4147114,4147114,,,,,1147899.0,-16667.0,-151480.0,1431000.0,71107.0,-377620.0,,,,,,,,,,
6257,2013年01月01日至2013年12月31日,,989654,989654,,,1111562,7490,11468,-12788,25423,-30782,,-22694,0.0,0.0,28768,0.0,,,,25798,6414,56584,6682,-16292,-39375,86399,6902,-28283.0,-2363,102466,,-4110,-1711,-19731,-4717,,0.0,-46936,55530,1203429,2193083,29569,-32732,-110043,2079877,,,,-49190,-1094602,61932,2869.0,-6079,0.0,194450,,-172720,1700000,-1046607,0.0,-1722.0,0.0,0.0,-755241.0,0.0,-56250.0,-261433,6810,2019704,2127410,4147114,4147114,,,,,1147899.0,-16667.0,,1279520.0,71107.0,,0.0,,,,,29452.0,0.0,,,
6257,2013年01月01日至2013年09月30日,,777314,777314,,,830468,5434,3771,-5864,17197,-21551,,-20924,,,16123,2791.0,,,,35647,7176,-97369,22108,-1166,-37573,32455,10617,1231.0,200,-26674,,-15830,76156,-140696,11001,,-14173.0,-83801,-110475,716970,1494284,21049,-22094,-109350,1383889,,,,-48330,-849692,48895,2709.0,-5212,,291790,,-20400,1020000,-396300,0.0,-2552.0,-1121.0,,-755241.0,0.0,-56250.0,-211864,7834,1471649,2127410,3599059,3599059,,,,,827445.0,,,1143420.0,,,-259.0,0.0,,,,,,,,
