公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息-營業活動,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 償還公司債,　　 其他非流動負債減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動負債增加,　　　　 未實現外幣兌換損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 其他非流動資產增加,　　　　 非金融資產減損迴轉利益,　　 其他金融資產增加
6269,2015年度,,3663136,3663136,,,881554,27870,70,192740,68742,-183771,130877,-25129.0,16533,0.0,-9704.0,1099782.0,,,28598,-32,1254342,175924,30222,29370,6164.0,1524588,,-69210,0,11203,-216902,-18033,-292942,1231646,2331428,5994564,46768,-9460,-649365,5382507,,0.0,553212.0,0,-929286,41192,2296.0,-16716,107330,-241972,,188246.0,-938265,0.0,0.0,-5295.0,-543008.0,2018,-393817.0,345652.0,-1344469,4285,3800351,5799318,9599669,9599669,,,,,,,,,
6269,2015年01月01日至2015年09月30日,,2676021,2676021,,,640588,20489,0,202015,62795,-154372,0,-123244.0,12351,0.0,22557.0,683179.0,,,-203581,-21727,176340,157565,-288353,-67692,-243630.0,-491078,,161934,330,364015,-5351,-27358,493570,2492,685671,3361692,34929,-9396,-597055,2790170,,-262949.0,0.0,0,-904842,41500,2125.0,-14120,90119,-1048167,,189893.0,-506734,0.0,0.0,,0.0,2018,-363148.0,0.0,-672773,119858,1189088,5799318,6988406,6988406,5198.0,,,,,,,,
6269,2015年01月01日至2015年06月30日,,1529598,1529598,,,420703,14356,0,294740,51326,-106422,0,,-67,0.0,40605.0,605761.0,,,-300869,-8012,1042767,95400,420870,-93963,-307580.0,848613,,262526,3963,-581934,-108762,-32211,-456418,392195,997956,2527554,22567,-6012,-408627,2135482,,-2144392.0,0.0,0,-537134,39954,-919.0,-4530,65457,-2581564,,187074.0,-317180,,0.0,306.0,0.0,1556,-17465.0,0.0,-145709,-191945,-783736,5799318,5015582,5015582,,-109480.0,,,,,,,
6269,2015年01月01日至2015年03月31日,,872716,872716,,,209471,8122,0,-31047,29263,-52980,0,,609,,43564.0,178066.0,,,14733,0,1519279,82630,338347,22871,-105070.0,1872790,,-42847,6991,-680256,-207646,-18194,-941952,930838,1108904,1981620,11346,-2518,-177557,1812891,,-409078.0,0.0,0,-175895,128,100.0,-100,29809,-555036,,0.0,-317180,0.0,,-997.0,0.0,1330,-17465.0,0.0,-334312,1630,925173,5799318,6724491,6724491,,-28936.0,,,,,,,
6269,2014年度,,2058757,2058757,,,751387,30677,837,-12714,111663,-151089,580,180757.0,2352,38497.0,-91282.0,861665.0,,,6505,16,1179429,426245,-87544,405524,-394747.0,1535428,,-77420,-31398,-60980,-405112,-91285,-666195,869233,1730898,3789655,59443,-11812,-438682,3398604,,0.0,1491158.0,0,-1265022,42174,2637.0,-59668,108571,319850,,2026706.0,-1327832,1994761.0,-1470862.0,3771.0,-504754.0,25533,-328188.0,0.0,419135,-429041,3708548,2090770,5799318,5799318,,,,,,,,,
6269,2014年01月01日至2014年09月30日,,798580,798580,,,520617,20297,0,-58589,83848,-120518,580,59061.0,2165,38497.0,-86747.0,459211.0,,,46878,-35,2489148,493360,-771204,377088,348127.0,2983362,,-90316,-27803,-29145,-571284,51334,-667214,2316148,2775359,3573939,45604,-10578,-443673,3165292,,0.0,1440519.0,0,-1094248,39645,-867.0,-23846,88895,450098,,1013829.0,-834707,1994761.0,-1470862.0,,-504754.0,21277,0.0,0.0,223019,-221576,3616833,2090770,5707603,5707603,3475.0,,,,,,,,
6269,2014年01月01日至2014年06月30日,,325616,325616,,,343817,12689,0,-77280,55737,-84230,580,,1911,27024.0,-28356.0,246384.0,,,81652,16,3098029,448998,334398,337235,182818.0,4483146,,-107012,-30619,-1499175,-739257,45764,-2330299,2152847,2399231,2724847,19709,-5586,-294842,2444128,,0.0,1459626.0,0,-795003,40087,1758.0,-23169,71841,755140,,2227200.0,-1255483,,-962363.0,-1420.0,0.0,18263,0.0,0.0,26197,-196566,3028899,2090770,5119669,5119669,,-5508.0,,,,,,,
6269,2014年01月01日至2014年03月31日,,206367,206367,,,154895,5049,0,-77173,27708,-44949,580,,-15,,24248.0,168395.0,,,104298,-136,2461356,373450,705590,177365,-170772.0,3651151,,-132607,-25697,-1757854,-653880,55791,-2514247,1136904,1305299,1511666,8522,-3081,-70586,1446521,,0.0,953715.0,0,-373695,1121,1175.0,-8811,31573,605078,,0.0,-59900,0.0,,-2228.0,0.0,9321,0.0,0.0,-52807,6935,2005727,2090770,4096497,4096497,,78052.0,,,,,,,
6269,2013年度,,2512435,2512435,,,520213,17046,-16967,-148658,70852,-89806,3314,,18254,0.0,82859.0,,,,-907,885,-1662582,-87262,-291261,-55009,241249.0,-1854887,,0,16785,643604,549819,-125507,1084701,-770186,-266547,2245888,38171,-19877,-466560,1797622,,,,0,-1710410,12240,-2817.0,-23883,34645,-3563636,,2170888.0,-2484222,2985005.0,0.0,,-380262.0,25368,0.0,37746.0,2354639,-261918,326707,1764063,2090770,2090770,116.0,46532.0,,503639.0,-1873411.0,0.0,,,
6269,2013年01月01日至2013年12月31日,,2512435,2512435,,,520213,17046,-16967,-148658,70852,-89806,3314,,18254,,81734.0,,,,-907,885,-1662582,-87262,-291261,-55009,241249.0,-1854887,,0,16785,643604,549819,-125507,1084701,-770186,-267672,2244763,38171,-19877,-466560,1796497,,,,0,-1710410,12240,,-23883,34645,-3565221,,2170888.0,-2484222,2985005.0,,116.0,-380262.0,25368,,37746.0,2354639,-259208,326707,1764063,2090770,2090770,,46532.0,,502514.0,-1873411.0,,-4402.0,,
