公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 其他非流動資產減少,　　 預付設備款減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 攤銷費用,　　 其他金融資產減少,　　 預付設備款增加,　　 存入保證金減少,　　　　 處分投資損失（利益）,　　　　　 應收帳款－關係人（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預付費用（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 預付投資款增加,　　 存出保證金減少,　　 其他非流動資產增加,　　 短期借款減少,　　 舉借長期借款,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計
6277,2015年01月01日至2015年09月30日,,689037,689037,,,61442,1795,8445,-3278,-245.0,-22938,-947,5.0,5000.0,49279.0,,,26714,23470,13148,20199,-158732,21883,-12828,-66146,,3271,-2569,73897,-110381,-36086.0,-1042,2257.0,5558,-65095,-131241,-81962,607075,16518.0,-235997,387596,,-54533,1385,-2234,-5915.0,776.0,1036.0,3278,-56207,,92956,-18913,-35,0.0,-696584.0,-8445,-631021,6799,-292833,1077281,784448,784448,,,,,,,,,,,,,,,,,,,,,,
6277,2015年01月01日至2015年06月30日,,436960,436960,,,40847,1742,5403,-2312,,-12555,-950,5.0,5000.0,37180.0,,,-535161,16458,32623,-209,-73660,18416,-9335,-550868,,-70,4484,28655,17029,-36085.0,4204,1498.0,1932,21647,-529221,-492041,-55081,,-152457,-207538,,-30752,1374,-2164,,776.0,,2312,-30365,,93242,-11874,0,,-15599.0,-5403,60321,-34452,-212034,1077281,865247,865247,0.0,-2883.0,972.0,-45.0,,,,,,,,,,,,,,,,,,
6277,2015年01月01日至2015年03月31日,,254220,254220,,,20514,-608,2678,-1174,,-7014,-643,,5000.0,18753.0,,,-282514,18120,36914,3100,-88799,-16283,-8176,-337638,,-461,5607,95587,-52995,-36085.0,-3884,752.0,2382,10903,-326735,-307982,-53762,,-31781,-85543,,-12309,942,-1902,,776.0,,1174,-11380,,-7750,-4821,-29,,,-2678,-15278,-28918,-141119,1077281,936162,936162,0.0,0.0,-61.0,,0.0,0.0,,,,,,,,,,,,,,,,
6277,2014年度,,1052790,1052790,,,85720,48,15248,-2626,-314.0,-24916,-78,0.0,,,,,12155,-27437,-59600,-5876,8860,13705,-902,-59095,,-2901,1553,-18227,15102,37347.0,-6920,,3930,34144,-24951,47376,1100166,11941.0,-203765,908342,,-65284,654,-550,0.0,1916.0,,2626,-63083,,0,-21116,319,21000.0,-610200.0,-15248,-627881,7672,225050,852231,1077281,1077281,0.0,15249.0,-1230.0,0.0,-755.0,0.0,,0.0,72327.0,0.0,4260.0,3536.0,0.0,0.0,-20000.0,0.0,0.0,-2636.0,0.0,,,
6277,2014年01月01日至2014年09月30日,,789426,789426,,,66434,0,11850,-1802,-314.0,-17746,-246,0.0,0.0,58176.0,,,30355,-8480,-53268,3052,-37662,18795,-14505,-61713,,-3263,2215,7126,-36855,-473.0,-13262,2671.0,8072,-33769,-95482,-37306,752120,11942.0,-162948,601114,,-51308,621,-736,-34733.0,2692.0,3779.0,1802,-77883,,77169,-14181,328,13000.0,-610200.0,-11850,-545734,-11747,-34250,852231,817981,817981,,,,,,,,,,,,,,,,,,,,,,
6277,2014年01月01日至2014年06月30日,,496881,496881,,,46297,0,7981,-1406,,-10306,-256,0.0,0.0,42310.0,,,-559221,-1023,-33831,-869,-3424,8976,-1022,-590414,,-3787,7083,-40003,5993,-486.0,3435,1771.0,5335,-20659,-611073,-568763,-71882,,-110684,-182566,,-27223,619,-741,,2693.0,,1406,-11753,,117984,-11989,357,,-12844.0,-7981,85527,-2782,-111574,852231,740657,740657,0.0,15367.0,-3874.0,0.0,,,,,,,,,,,,,,,,,,
6277,2014年01月01日至2014年03月31日,,226558,226558,,,23306,0,3868,-867,,-4664,-256,,0.0,21387.0,,,-216734,-1037,-36738,763,-36121,-3085,-1951,-294903,,-3187,1960,4171,-50821,0.0,-12637,882.0,3727,-55905,-350808,-329421,-102863,,-19159,-122022,,-5482,607,-569,,2692.0,,867,-7551,,25404,-4099,325,,,-3868,17762,8928,-102883,852231,749348,749348,0.0,-200.0,-5466.0,,0.0,0.0,,,,,,,,,,,,,,,,
6277,2013年度,,939432,939432,,,94140,865,14499,-3503,-202.0,-15477,-39,0.0,,,,,-447181,4181,-64078,-11642,-97288,-20097,-240,-636345,,1294,-1321,119633,-66784,3247.0,-21027,,-2062,26211,-610134,-479909,459523,10561.0,-134324,335760,,-31478,463,0,-7647.0,0.0,,3503,-39882,,120035,-19659,0,0.0,-405701.0,-14499,-320842,26587,1623,850608,852231,852231,0.0,0.0,-3779.0,-1018.0,-4362.0,0.0,,44304.0,130225.0,0.0,-6769.0,0.0,-5000.0,5720.0,0.0,201.0,-1865.0,0.0,0.0,,,
6277,2013年01月01日至2013年12月31日,,939432,939432,,,94140,865,14499,-3503,-202.0,-15477,-39,0.0,,,,,-447181,4181,-64078,-11642,-97288,-20097,-240,-636345,,1294,-1321,119633,-66784,3247.0,-21027,,-2062,26211,-610134,-479909,459523,10561.0,-134324,335760,,-31478,463,201,-7647.0,,,3503,-39882,,120035,-19659,-1018,,-405701.0,-14499,-320842,26587,1623,850608,852231,852231,0.0,,-3779.0,,-4362.0,0.0,,44304.0,130225.0,,-6769.0,0.0,-5000.0,5720.0,,,-1865.0,,0.0,,,
6277,2013年01月01日至2013年09月30日,,672181,672181,,,74396,192,10953,-2504,-85.0,-7650,-136,,,,,,-104688,645,-69318,215,-118107,-37765,-15818,-344836,,275,-1179,58649,-47015,0.0,-32801,,3902,-15936,-360772,-289485,382696,10444.0,-94071,299069,,-22678,524,-146,,365.0,,2504,-18568,,-20802,-12007,-1033,0.0,-405701.0,-10953,-450496,12431,-157564,850608,693044,693044,483.0,153.0,-10.0,,-4362.0,,,,71287.0,,2233.0,,-5000.0,5720.0,,,,,,,,
6277,2013年01月01日至2013年06月30日,,435868,435868,,,48922,194,7389,-1842,,-3953,-189,,,,,,-434399,-832,-122955,2636,-74438,-36835,-5649,-672472,,-250,9767,63668,-463,0.0,-27725,,2458,49039,-623433,-576970,-141102,,-61674,-202776,,-15382,361,-87,,512.0,,1842,-11930,,0,-7845,0,,-11446.0,-7389,-45407,9738,-250375,850608,600233,600233,303.0,153.0,-49.0,-880.0,-4361.0,,,,46463.0,,1584.0,,-5000.0,5720.0,,,,-17847.0,,,,
6277,2013年01月01日至2013年03月31日,,203951,203951,,,24321,271,3483,-1155,,-3953,-209,,,,,,-79670,2799,-22339,-656,-28640,-42454,-3099,-174059,,-1484,3555,19786,-62835,,-40697,,1458,-79536,-253595,-230694,-26743,,-15231,-41974,,-5179,354,29,-36.0,672.0,,1155,-3081,,2708,-3954,-18,,,-3483,-4747,-539,-50341,850608,800267,800267,143.0,,-76.0,,,0.0,,,22901.0,,681.0,,,,,,,,,,,
6277,2012年01月01日至2012年12月31日,,633865,633865,,,80376,-1225,16266,-3294,-108.0,-22610,-419,46.0,,,,,-65415,5040,52619,1998,45453,-23707,-719,19333,,2058,625,-113138,168351,2830.0,-16365,,274,47777,67110,24213,658078,14558.0,-156812,515824,,-46185,1833,-1210,21353.0,,,3294,117163,,-13280,-16248,528,,-429927.0,-16266,-453193,-3969,175825,674783,850608,850608,6795.0,,-34898.0,,-125724.0,4064.0,,7000.0,-42897.0,,3142.0,6804.0,0.0,171440.0,,,-5268.0,,22000.0,,,
6277,2012年01月01日至2012年09月30日,,420313,420313,,,59494,-761,12004,-2344,-108.0,-18132,-499,51.0,,,,,-32777,3344,-15360,47,5859,2698,-16564,-48689,,1128,-1559,-11345,152321,,-7213,,5721,141795,93106,67181,487494,14558.0,-127639,374413,,-36627,1835,-1448,18153.0,,,2344,102191,,72799,-12504,486,,-430037.0,-12004,-381260,-12577,82767,674783,757550,757550,4988.0,,15.0,,-80618.0,4064.0,,,-25925.0,,2742.0,6804.0,0.0,112942.0,,,-1827.0,,,,,374413.0
