公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款增加,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應收款減少,　　 應付短期票券增加,　　 存入保證金增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 處分無形資產損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 因合併產生之現金流入,　　 其他金融資產增加,　　 其他投資活動,　　 短期借款減少,　　 現金增資,　　　　　 其他營業資產（增加）減少,　　 處分採用權益法之投資,　　 應付短期票券減少,　　 預付設備款增加,　　 其他非流動負債減少
6412,2015年01月01日至2015年09月30日,,877185,877185,,,406378,30503,-862,26716,31680,-7714,-28478.0,28396.0,15547,13640,-51433,85582,549955.0,,,-55885,41899,-1246222,-44355,-2257,2050,646923,76824,6203,-574820,,195,-1090821,0,249917,-8306,0.0,26918,647.0,0.0,-821450,-1396270,-846315,30870,7714,28478.0,-28119,-150772,-111829,,-814961,370791,-125462.0,-210437.0,-275660,513.0,90683.0,-24507,-108961,-1098001,,2628236.0,819325,-1230385,5039.0,-825363.0,-259846.0,1137006,633,-72191,886043,813852,813852,,,,,,,,,,,,,,,,,,,,
6412,2015年01月01日至2015年06月30日,,512031,512031,,,268272,19338,-287,-17056,19447,-5167,-21569.0,,11113,8727,-48533,54558,288843.0,,,-12252,41508,-227009,192176,9326,2820,900627,134577,6200,1047973,,10596,-2573539,0,-38883,-12653,0.0,11751,431.0,,-2602297,-1554324,-1265481,-753450,5149,0.0,-16675,-104156,-869132,,-1007779,626622,-104520.0,-210437.0,-164272,127.0,,-13701,-66536,-849813,,2178611.0,819325,-1230385,,,-173115.0,1596384,-58073,-180634,886043,705409,705409,90683.0,0.0,1948.0,0.0,,,,,,,,,,,,,,,,
6412,2015年01月01日至2015年03月31日,,174745,174745,,,134135,9380,-664,-2695,8531,-1720,,,5831,1302,-4841,19590,168849.0,,,-33809,0,501919,75204,15325,2820,527738,-39353,6203,1056047,,-85,-1520356,33,-84655,-26304,,6145,209.0,0.0,-1625013,-568966,-400117,-225372,1711,,-7740,-61128,-292529,,-227731,73550,,,-96443,,,-5939,-27874,-193754,,500221.0,406965,-411060,,,,497831,-17041,-5493,886043,880550,880550,90683.0,,1705.0,0.0,,,,,,,,,,,,,,,,
6412,2014年度,,1337462,1337462,,,489805,30843,-10973,42081,33330,-8165,-21384.0,0.0,11319,15172,-107843,4855,,,,-21454,187,89704,-97370,-16875,24929,-383705,-323788,-1173,-729545,,-50,918328,-177,655164,36204,-224245.0,-26407,,,1359570,630025,1109065,2446527,8134,24147.0,-32829,-236084,2209895,,-980201,801961,-270000.0,,-537329,560.0,,-28240,-121722,-1140446,,,799435,-1312020,14593.0,-689088.0,,-666076,93714,497087,388956,886043,886043,,,,,,0.0,0.0,479040.0,753.0,0.0,525.0,-6000.0,0.0,521004.0,0.0,,,,,
6412,2014年01月01日至2014年09月30日,,940837,940837,,,359608,21588,-12423,16523,25284,-5573,-21377.0,0.0,6663,11681,-37463,-6627,357884.0,,,-3451,187,-394619,92014,7060,27739,73113,-50036,-497,-248490,,874,883734,-177,509749,34461,-224245.0,-9453,562.0,-1578.0,1193927,945437,1303321,2244158,5551,21377.0,-25091,-226751,2019244,,-835100,501607,0.0,525.0,-397862,461.0,0.0,-22180,-69867,-822416,,521659.0,395525,-923645,-7260.0,-689088.0,0.0,-702809,11385,505404,388956,894360,894360,,,,,,,,,,,,,,,,,,,,
6412,2014年01月01日至2014年06月30日,,520932,520932,,,236722,13097,-12423,29298,16691,-3561,-14429.0,,2122,3368,-19524,-20378,230983.0,,,-21193,114,548296,-50065,22880,27749,368690,441,5102,902014,,294,-1013646,102,212707,19776,-224245.0,-2177,371.0,,-1006818,-104804,126179,647111,3546,134.0,-15867,-111552,523372,,-622788,270982,0.0,0.0,-253843,461.0,,-9995,-50949,-666132,,1386950.0,0,-923645,,,0.0,466786,-59043,264983,388956,653939,653939,0.0,10000.0,0.0,-6519.0,,,,,,,,,,,,,,,,
6412,2014年01月01日至2014年03月31日,,159032,159032,,,117797,6517,-10767,51181,9483,-1836,,,-586,650,-1814,-44753,125872.0,,,-29862,187,1729093,53978,10583,24061,12858,2214,1680,1804792,,444,-300479,-107,24355,14399,,-27568,180.0,0.0,-288776,1516016,1641888,1800920,1836,,-9448,-65289,1728019,,-547645,82817,,,-118025,,,-4065,-12741,-599659,,39774.0,0,-923645,,,,-885064,-21262,222034,388956,610990,610990,0.0,,0.0,-1193.0,,,,,,,,,,,,,,,,
6412,2013年度,,1043558,1043558,,,432529,18699,-39352,44587,58628,-12210,-10123.0,5138.0,-3836,25584,-34254,390313,,,,-22678,500,-628665,-297883,-33558,-11638,-229209,83699,-797,-1140229,,-20,1485571,-239,286250,-30968,0.0,30733,,,1771895,631666,1519027,2562585,12210,10123.0,-59384,-223691,2301843,,-704298,574971,-2092.0,,-543136,531.0,,-31466,-247639,-993219,,,4589865,-5215035,8449.0,-635303.0,,-1440208,124051,-7533,396489,388956,388956,,,,,,47.0,11611.0,887361.0,568.0,-64240.0,0.0,0.0,24150.0,-1182168.0,993984.0,,,,,
6412,2013年01月01日至2013年12月31日,,1043558,1043558,,,432529,18699,-39352,44587,58628,-12210,-10123.0,,-3836,25584,-34254,395451,,,,-22678,500,-628665,-297883,-33558,-11638,-229209,83699,-797,-1140229,,-20,1485571,-239,286250,-30968,,30733,,0.0,1771895,631666,1519027,2562585,12210,10123.0,-59384,-223691,2301843,,-704298,574971,-2092.0,,-543136,531.0,,-31466,-247639,-993219,,10768344.0,4589865,-5215035,,-635303.0,,-1440208,124051,-7533,396489,388956,388956,,,8449.0,,,47.0,11611.0,887361.0,568.0,-64240.0,,,24150.0,-11950512.0,993984.0,0.0,0.0,0.0,,
6412,2013年01月01日至2013年09月30日,,807230,807230,,,319423,13785,-3793,37323,42286,-7599,-9955.0,,-156,24307,-14847,46401,,,,-45800,602,-890436,-106738,-103708,15081,25051,71230,-1141,-1035859,,-38,288926,-224,54700,-29324,0.0,26015,,-11582.0,340482,-695377,-248156,559074,7599,9955.0,-40940,-208166,327522,,-345592,357610,-2092.0,,-456122,433.0,,-9643,-225036,-680442,,926139.0,3689180,-3667450,,-635303.0,,369115,48479,64674,396489,461163,461163,,50000.0,6549.0,,,46.0,,447221.0,12009.0,,0.0,,,,,,,,,
