公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 發放現金股利,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預付款項（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 存出保證金增加,　　　　　 應計退休金負債增加（減少）,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 處分不動產、廠房及設備,　　 其他預付款項增加
8072,2015年01月01日至2015年09月30日,,147161,147161,,,8616,69,-9654,1871.0,0.0,14314,11000,-36143.0,-9927.0,,,-5791,44765,582,613,23578,11,63758,,-603,-40165,-2747,22978,-14000.0,-2138,-1432,-204.0,-38311,25447,15520,162681,-45798,116883,,-100000.0,0.0,-898630.0,864092.0,-766,0.0,0.0,-3716,-248,9654,-129614,,0.0,-143000.0,0.0,-6732.0,-149732.0,-20269,-182732,816356,633624,633624,,,,,,,,,,,,
8072,2015年01月01日至2015年06月30日,,77658,77658,,,5935,46,-6101,251.0,,5314,26000,-36143.0,-4698.0,,,-5404,73415,-3835,5732,-50134,-3490,16284,,-693,-17609,-2682,12683,-14000.0,-1082,-1554,-136.0,-25073,-8789,-13487,64171,-21150,43021,,0.0,,-732690.0,573305.0,-245,0.0,,-4263,0,6101,-157792,,,,,,,-25255,-140026,816356,676330,676330,,,,,,,,,,,,
8072,2015年01月01日至2015年03月31日,,33582,33582,,,3115,23,-2980,,,5314,13891,,19363.0,,,-2754,33515,-2141,-3320,-69544,-23314,-67558,,7,21790,-4036,1835,,8282,-1916,-68.0,25894,-41664,-22301,11281,-14098,-2817,,,,-879040.0,791705.0,-161,0.0,,-2274,1,2980,-86789,,,,,,,-16406,-106012,816356,710344,710344,,,,,,,,,,,,
8072,2014年度,,364559,364559,,,15017,283,-28315,,-107.0,14854,-29519,,,,,-1556,-95511,-738,1820,27361,-2953,-71820,,63,-651,-4727,685,-54616.0,-6037,162,,-65464,-137284,-165071,199488,-95488,104000,,-320000.0,320107.0,,,-1770,,-185.0,515,-595,28315,1306977,,10.0,-2000000.0,9755.0,-4292.0,-1994527.0,24649,-558901,1375257,816356,816356,,0.0,-27787.0,-243.0,-343.0,-2093285.0,3368582.0,5293.0,,,,
8072,2014年01月01日至2014年09月30日,,259257,259257,,,11740,251,-24455,0.0,-107.0,5870,-3758,-28616.0,-39075.0,,,-15532,-56368,88,-59,20089,-2782,-54564,,25,13976,-6185,24016,-26000.0,-2554,-1555,-182.0,1541,-53023,-92098,167159,-95102,72057,,-320000.0,320107.0,-1606360.0,2919620.0,-1427,5293.0,-185.0,1981,-408,24455,1343076,,10.0,-2000000.0,9755.0,-4292.0,-1994527.0,7877,-571517,1375257,803740,803740,,,,,,,,,,,,
8072,2014年01月01日至2014年06月30日,,169546,169546,,,8078,168,-18853,0.0,,0,7430,0.0,-3177.0,,,-12523,-36812,-585,7497,31398,-8119,-19144,,16,-13799,-3026,7012,0.0,-1878,1718,-122.0,-10079,-29223,-32400,137146,-28913,108233,,-240000.0,,-1413857.0,1897420.0,-1046,5293.0,,3122,-257,18853,269528,,,,,,,-1655,376106,1375257,1751363,1751363,,,,,,,,,,,,
8072,2014年01月01日至2014年03月31日,,106200,106200,,,4189,86,-9804,,,0,-1097,,-6626.0,,,-5989,33935,-4614,3038,28542,-5061,49851,,16,-29993,-5171,-4683,,112,-1646,-61.0,-41426,8425,1799,107999,-980,107019,,,,-1304050.0,1002895.0,-480,3680.0,,2215,-13,9804,-285949,,,,,,,4082,-174848,1375257,1200409,1200409,,,,,,,,,,,,
8072,2013年度,,649543,649543,,,18632,607,-36681,,-1787.0,-1457,17686,,,,,600,56911,144,-7530,7089,12940,70426,,638,-54976,-14945,977,54835.0,-18389,130,,-31636,38790,37790,687333,-190748,496585,,0.0,69876.0,,,-3770,,-45.0,43,-3656,36681,-357625,,0.0,-700000.0,3803.0,-3603.0,-699800.0,-25173,-586013,1961270,1375257,1375257,,2000.0,-1000.0,272.0,94.0,-4357978.0,3902837.0,-1613.0,,,,
8072,2013年01月01日至2013年12月31日,,649543,649543,,,18632,607,-36681,,-1787.0,-1457,17686,1223.0,,,,600,56911,144,-7530,7089,11717,69203,,638,-54976,-14945,977,54835.0,-18389,130,,-31636,37567,37790,687333,-190748,496585,,,69876.0,,,-3770,,-45.0,32,-3656,36681,-357625,,,-700000.0,3803.0,-3603.0,-699800.0,-25173,-586013,1961270,1375257,1375257,,2000.0,223.0,272.0,94.0,-455130.0,,-1613.0,,0.0,0.0,0.0
8072,2013年01月01日至2013年09月30日,,615496,615496,,,14328,509,-28192,,-1787.0,800,18557,1054.0,,,,-3942,-51141,141,-8629,-235,6973,-56833,,17,-17642,-10039,23989,0.0,-13226,-1248,,-17824,-74657,-69388,546108,-189776,356332,,0.0,69876.0,,,-2748,0.0,-45.0,-331,-2971,28192,-50218,,0.0,-700000.0,3803.0,-3603.0,-699800.0,-18467,-412153,1961270,1549117,1549117,,,5269.0,,121.0,-2417279.0,2275088.0,,204.0,,,
8072,2013年01月01日至2013年06月30日,,415422,415422,,,9870,391,-19023,,-1787.0,600,-8816,304.0,,,,-2483,-22851,-1435,-347,-17926,4729,-40313,,8,18475,-7949,35045,,-3278,-251,,42310,1997,-16464,398958,-105665,293293,,0.0,69876.0,,,-3603,0.0,-45.0,1686,-557,19023,-482555,,,,,,,4543,-184719,1961270,1776551,1776551,,,-18461.0,,124.0,-1655305.0,1086370.0,,136.0,,,
8072,2013年01月01日至2013年03月31日,,199393,199393,,,4960,214,-8993,,-1787.0,300,-8817,152.0,,,,-698,-4221,-1692,-6615,-12806,7017,-19015,,-12,938,-11436,10075,,-3890,-1358,,-5748,-24763,-38734,160659,-17495,143164,,,69876.0,,,-1063,0.0,-45.0,367,-470,8993,-339727,,,,,,,4544,-192019,1961270,1769251,1769251,,,-13971.0,,-133.0,-972875.0,555490.0,,68.0,,,
8072,2012年01月01日至2012年12月31日,,903179,903179,,,18428,1411,-35911,,-1098.0,3623,-19412,729.0,,,,1899,4843,-1932,2789,15698,3418,27104,,-163,-28002,-4876,-29306,49924.0,-14623,217,,-27382,-278,-32349,870830,-181173,689657,,,76603.0,,,-7782,,-338.0,-1286,-3162,35911,-184256,,,-700000.0,3733.0,-3361.0,-699628.0,21283,-172944,2134214,1961270,1961270,,0.0,-32071.0,389.0,-553.0,-283886.0,,0.0,,159.0,14.0,-330.0
8072,2012年01月01日至2012年09月30日,,753875,753875,,,13186,1192,-27233,,-1098.0,3176,-14724,562.0,,,,964,-62792,-4037,-11284,47964,1032,-27862,,-64,-11243,-6057,21377,,-21445,-1247,,-18597,-46459,-71239,682636,-101212,581424,,,76603.0,,,-6824,,-264.0,-1826,-1364,27233,-119989,,,-700000.0,3733.0,-3361.0,-699628.0,14724,-223469,2134214,1910745,1910745,,,-24780.0,291.0,82.0,-213561.0,,,,159.0,14.0,
8072,2012年01月01日至2012年06月30日,,494459,494459,,,8746,845,-17303,,-1098.0,2644,-1007,424.0,,,,-1168,-50606,-3421,-2500,39282,-6696,-25109,,269,40319,-3186,9873,,-15608,-1329,,30390,5281,-1309,493150,-93513,399637,,,76603.0,,,-4827,,-79.0,-1494,-239,17303,-844350,,,,,,,1007,-443706,2134214,1690508,1690508,,,-6590.0,,-142.0,-931631.0,,,194.0,159.0,14.0,
8072,2012年01月01日至2012年03月31日,,228126,228126,,,4359,461,-8541,,0.0,2511,2036,247.0,,,,1008,-44239,-3817,-7282,28223,-4894,-31001,,385,9722,-4982,-895,,-15626,-351,,-11803,-42804,-41700,186426,-854,185572,,,0.0,,,-852,,-79.0,-2931,-111,8541,-290863,,,,,,,-2036,-107327,2134214,2026887,2026887,,,1104.0,,-153.0,-295431.0,,,97.0,31.0,,
