公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 現金增資,　　 現金減資,　　 員工執行認股權,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 停業單位稅前淨利（淨損）,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 償還公司債,　　 舉借長期借款,　　 庫藏股票買回成本,　　 其他非流動資產減少
8261,2015年01月01日至2015年09月30日,,133482,133482,,,18923,5178,0.0,0,0.0,-8812,11782,0.0,-1691,82.0,8316,0.0,-9254,24524.0,,,0.0,16675,130503,11250,-3925,0,1441,155944,,0.0,-5171,-111117,5049,1016,0.0,-110223,45721,70245,203727,9160,0.0,-11719.0,201168,,0.0,0.0,0,911509.0,6242.0,0.0,-14384,498.0,-5678.0,-38286.0,-3610.0,856291,,0.0,0.0,-72675.0,0.0,-998663.0,2249.0,62.0,-1069027,4440,-7128,385853,378725,378725,,,,,,,,,,,,,
8261,2015年01月01日至2015年06月30日,,95379,95379,,,12156,2638,,0,0.0,-6713,5309,0.0,82,,0,,6560,20032.0,,,0.0,7730,138718,1628,-104819,-976,77,42358,,0.0,1933,-90810,-11277,-393,0.0,-100547,-58189,-38157,57222,6810,0.0,-7957.0,56075,,,0.0,0,644993.0,,0.0,-7652,,-2030.0,-34947.0,-2354.0,598395,,0.0,0.0,,,,2250.0,,2250,-6665,650055,385853,1035908,1035908,385.0,,,,,,,,,,,,
8261,2015年01月01日至2015年03月31日,,58704,58704,,,5970,1367,,0,,-3306,3414,,0,,0,,2951,10396.0,,,,9203,87481,1076,-126808,2250,168,-26630,,,4085,97396,-20929,259,0.0,80811,54181,64577,123281,2974,,-298.0,125957,,,,0,54315.0,,,-4622,,-320.0,-37339.0,-782.0,11313,,,,,,,1283.0,,1283,-497,138056,385853,523909,523909,61.0,,,,,,,,,,,,
8261,2014年度,,209748,209748,,,27861,10100,0.0,-652,0.0,-12019,5293,35.0,-307,,1663,,-31100,,,,0.0,618,108801,310,83209,7248,-412,199774,,301.0,-13758,-82677,31674,1765,,-63474,136300,58129,267877,11803,0.0,-809.0,278871,,95826.0,-6599.0,14306,,,10000.0,-15178,0.0,-7375.0,7899.0,-1435.0,-856232,,0.0,149.0,,0.0,,13187.0,,13336,15671,-548354,934207,385853,385853,488.0,0.0,,-79045.0,0.0,0.0,-78171.0,-779.0,-954164.0,0.0,0.0,0.0,
8261,2014年01月01日至2014年09月30日,,113843,113843,,,18309,7566,0.0,-544,0.0,-8863,1878,35.0,-307,0.0,1663,16899.0,-2161,34475.0,,,0.0,-810,43907,1615,-26955,0,2772,20529,,232.0,-10173,19632,4672,4173,-1205.0,17331,37860,72335,186178,8431,0.0,-676.0,193933,,95826.0,-6599.0,14306,-551421.0,0.0,10000.0,-10113,19.0,-4541.0,6420.0,0.0,-446103,,0.0,149.0,0.0,0.0,0.0,11778.0,0.0,11927,223,-240020,934207,694187,694187,,,,,,,,,,,,,
8261,2014年01月01日至2014年06月30日,,53255,53255,,,12019,5171,,-483,0.0,-6401,171,0.0,90,,1663,,1346,13576.0,,,0.0,-19658,49389,-237,1278,919,-1255,30436,,301.0,-10601,35656,-5207,2851,-1045.0,21955,52391,65967,119222,6096,0.0,-368.0,124950,,,-6599.0,10924,-369686.0,,10000.0,-6470,,-987.0,6842.0,0.0,-356517,,0.0,149.0,,,,11778.0,,11927,206,-219434,934207,714773,714773,-541.0,,,,,,,,,,,,
8261,2014年01月01日至2014年03月31日,,30787,30787,,,5798,2145,,252,,-3936,132,,97,,1663,,-4606,1545.0,,,,10411,84659,7703,17346,-156,-7726,112237,,,-5052,-72454,-12958,1289,-743.0,-89918,22319,23864,54651,813,,-133.0,55331,,,,10265,-140250.0,,,-2273,,-865.0,8691.0,-2667.0,-127106,,,,,,,11102.0,,11102,512,-60161,934207,874046,874046,-7.0,,,,,,,,,,,,
8261,2013年度,,-132360,-132360,,,40352,21783,37299.0,-1027,2223.0,-3075,1802,2455.0,1339,,54680,,-6444,,,,-65895.0,-42858,83577,-2719,200404,16446,4917,193872,,0.0,-9324,149896,761,1786,,140716,334588,543338,410978,2625,-2121.0,-754.0,410728,,0.0,0.0,2288,,,0.0,-13802,0.0,-2778.0,-47518.0,-2667.0,-69438,,-172017.0,0.0,,408000.0,,0.0,,235983,6011,583284,350923,934207,934207,-7.0,0.0,,57363.0,0.0,0.0,208750.0,-2403.0,-4954.0,0.0,0.0,0.0,
8261,2013年01月01日至2013年12月31日,,-132360,-132360,,,40352,21783,37299.0,-1027,2223.0,-3075,1802,2455.0,1339,,54680,,-6444,,,,-65895.0,-42858,83577,-2719,200404,16446,4917,193872,,,-9324,149896,761,1786,,140716,334588,543338,410978,2625,-2121.0,-754.0,410728,,,,2288,,,,-13802,0.0,-2778.0,-47518.0,-2667.0,-69438,,-172017.0,,,408000.0,,,,235983,6011,583284,350923,934207,934207,-7.0,0.0,,57363.0,0.0,0.0,208750.0,-2403.0,-4954.0,0.0,0.0,0.0,0.0
8261,2013年01月01日至2013年09月30日,,-37791,-37791,,,27558,17657,37037.0,-887,2124.0,-1602,1529,2415.0,978,,38915,-28340.0,-280,,,,-65895.0,760,-9945,-1620,215987,15635,-47,154875,,0.0,-12991,73449,-4932,374,,54161,209036,306140,268349,1522,-1930.0,-755.0,267186,,0.0,0.0,1552,,,0.0,-11744,0.0,-2189.0,,,-57332,,-8536.0,0.0,,408000.0,,0.0,,399464,-12,609306,350923,960229,960229,,,,,,,97104.0,-1739.0,-24072.0,,,,-20879.0
