公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分投資性不動產,　　 預付設備款減少,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票處分,　　 非控制權益變動,　　　　 呆帳費用提列（轉列收入）數,　　 處分無活絡市場之債券投資
9902,2015年01月01日至2015年09月30日,,16767,16767,,,7756,30,-511,421,-1484,-4958.0,143.0,-7930,1255.0,-1155.0,0.0,-6433.0,,,11573,447,31344,1973,13716,-29489,29564,,-381,-9554,-2315,123,-43,-12170,17394,10961,27728,1703,4958.0,-460,-161.0,33768,,-3029,12176.0,50682.0,-6000.0,330.0,0.0,-17174,5200,0.0,3277.0,0.0,45462,,0.0,-16655,1114.0,0.0,-15541,63689,80555,144244,144244,,,,,,,,,,,,,,
9902,2015年01月01日至2015年06月30日,,-6196,-6196,,,4987,20,-1195,361,-1270,-2314.0,620.0,-1512,1255.0,,,952.0,,,19630,1269,32613,2070,6873,-2430,60025,,389,-9211,-1746,132,19,-10417,49608,50560,44364,1487,1968.0,-396,0.0,47423,,-3029,1048.0,50682.0,0.0,330.0,0.0,-17174,1214,0.0,1389.0,0.0,34460,,,-13118,1953.0,0.0,-11165,70718,80555,151273,151273,,,,,,,,,,,,,,
9902,2015年01月01日至2015年03月31日,,-7937,-7937,,,2272,10,1074,239,-630,,439.0,13,750.0,,715.0,4882.0,,,-3639,3467,34537,2070,21453,-92,57796,,-459,-9026,-1946,139,5,-11287,46509,51391,43454,852,,-279,0.0,44027,,0,1047.0,50682.0,,330.0,,-4519,871,0.0,4443.0,0.0,52854,,,-24837,393.0,,-24444,72437,80555,152992,152992,0.0,,,,,,,,,,,,,
9902,2014年度,,12592,12592,,,9043,40,-5630,328,-3409,-4026.0,987.0,-15096,1700.0,,,,,,-6502,-1422,5207,1251,-32283,-527,-34276,,-612,353,596,53,-75,315,-33961,-50024,-37432,3603,4026.0,-283,0.0,-30086,,-2010,4297.0,,-15330.0,11550.0,,-26110,4885,-4591.0,,,18872,,27037.0,0,5108.0,-1763.0,30382,19168,61387,80555,80555,,,0.0,0.0,-16063.0,45391.0,0.0,790.0,0.0,0.0,0.0,0.0,,
9902,2014年01月01日至2014年09月30日,,-1004,-1004,,,6731,30,-3535,232,-2800,-3999.0,956.0,-2402,1550.0,0.0,214.0,-3023.0,,,-7875,637,35725,986,-28926,-9800,-9253,,-1071,774,-1368,160,-122,-1627,-10880,-13903,-14907,3206,3999.0,-176,0.0,-7878,,-2010,2150.0,40541.0,-15000.0,272.0,230.0,-22745,4390,-8271.0,0.0,789.0,346,,23813.0,0,4200.0,-1763.0,26250,18718,61387,80105,80105,,,,,,,,,,,,,,
9902,2014年01月01日至2014年06月30日,,-5377,-5377,,,4247,21,-1534,172,-2328,-2202.0,0.0,-536,1550.0,,,-610.0,,,-18381,-364,30472,2571,-4600,-16429,-6731,,-1071,426,-2265,186,-46,-2770,-9501,-10111,-15488,2567,1872.0,-172,0.0,-11221,,-2010,2150.0,52059.0,-15000.0,0.0,230.0,-17248,0,-5885.0,0.0,789.0,15085,,,0,5550.0,-1763.0,3787,7651,61387,69038,69038,,,,,,,,,,,,,,
9902,2014年01月01日至2014年03月31日,,-8241,-8241,,,1964,10,2641,141,-613,,0.0,59,0.0,,0.0,4202.0,,,-16861,-137,36258,35,-3552,-129,15614,,-1071,-5679,130,152,-111,-6579,9035,13237,4996,678,,-141,0.0,5533,,-2010,2150.0,18773.0,,0.0,,-7478,0,-8.0,0.0,789.0,-2784,,,0,2090.0,,2090,4839,61387,66226,66226,-15000.0,,,,,,,,,,,,,
9902,2013年度,,153760,153760,,,6020,40,-8317,310,-1782,-4397.0,274.0,-8145,0.0,,,,,,-2698,-2257,-39930,-3316,0,24118,-24083,,630,9401,256,-9941,-1926,-1580,-25663,-190192,-36432,1168,4397.0,-359,-5996.0,-37222,,-3007,17591.0,,-2500.0,0.0,,-15267,556,-2672.0,,,133040,,0.0,-42753,0.0,0.0,-77081,18737,42650,61387,61387,,,-152902.0,4370.0,-164529.0,-96073.0,234412.0,0.0,-39244.0,-3475.0,8396.0,-5.0,,
9902,2013年01月01日至2013年12月31日,,153760,153760,,,6020,40,-8317,310,-1782,-4397.0,274.0,-8145,,0.0,,,,,-2698,-2257,-39930,-3316,0,24118,-24083,,630,9401,256,-9941,-1926,-1580,-25663,-190192,-36432,1168,4397.0,-359,-5996.0,-37222,,-3007,17591.0,,-2500.0,0.0,,-15267,556,-2672.0,,,133040,,,-42753,,,-77081,18737,42650,61387,61387,,,-152902.0,4370.0,-164529.0,-96073.0,234412.0,,-39244.0,-3475.0,8396.0,-5.0,0.0,
9902,2013年01月01日至2013年09月30日,,162182,162182,,,4293,30,-7150,309,-1332,-4468.0,0.0,-7562,0.0,,0.0,,,,-6631,91,-95,5,0,-8992,-15622,,-367,175,-2254,-9638,-113,-12197,-27819,-196871,-34689,859,4468.0,-359,-5996.0,-35717,,-3007,17552.0,,0.0,0.0,0.0,-14197,0,-4254.0,,0.0,151505,,0.0,-42753,0.0,0.0,-77641,38147,42650,80797,80797,,,-152902.0,,-169052.0,-79001.0,234412.0,,-39804.0,-3475.0,8396.0,-5.0,-270.0,0.0
9902,2013年01月01日至2013年06月30日,,154073,154073,,,2613,20,-3882,304,-1051,-2679.0,-191.0,-113,0.0,,,,,,-1109,-71,-11584,99,0,22103,9438,,54,3361,-2271,-10227,-117,-9200,238,-157823,-3750,543,2267.0,-354,-5996.0,-7290,,-3007,1034.0,,0.0,,0.0,-9556,191,-4004.0,,0.0,134933,,,-42753,0.0,0.0,-39465,88178,42650,130828,130828,,,-152902.0,,-158061.0,-84137.0,234412.0,,-1628.0,-3475.0,8396.0,-5.0,-180.0,0.0
9902,2013年01月01日至2013年03月31日,,150702,150702,,,1216,10,-2627,260,-449,,,0,,,,,,,0,-57,-5828,-425,-27943,-12715,-46968,,-404,2652,-1365,-10240,-56,-9413,-56381,-210963,-60261,132,,-292,-5996.0,-66417,,-1923,0.0,,,,,-2586,0,,0.0,0.0,120956,,,-12991,505.0,,-12491,42048,42650,84698,84698,0.0,,-152902.0,,-154582.0,-108947.0,234412.0,,,,,-5.0,-90.0,
9902,2012年01月01日至2012年12月31日,,2201,2201,,,4775,40,-4784,1348,-298,-5231.0,72.0,-7584,,-7526.0,,,,,2672,1000,18853,576,40704,10069,73874,,-3288,-16625,-407,8682,-653,-12291,61583,43812,46013,338,5231.0,-1486,0.0,50096,,0,25267.0,,0.0,3498.0,,-6712,493,-172.0,,,22374,,,-59767,,,-59535,12935,29715,42650,42650,,,0.0,430.0,-17771.0,0.0,0.0,,232.0,0.0,0.0,0.0,987.0,
9902,2012年01月01日至2012年09月30日,,1428,1428,,,3492,30,-5541,1087,-220,,72.0,-5682,,,,,,,3143,-1287,-1092,581,40704,22055,64104,,-3692,-10171,-2457,-1230,-70,-17620,46484,40122,41550,286,,-1197,,40639,,0,17330.0,,,3498.0,,-5218,493,-172.0,,,15931,,,-45155,,,-45870,10700,29715,40415,40415,,,0.0,430.0,-6362.0,0.0,0.0,,-715.0,0.0,0.0,0.0,-30.0,
9902,2012年01月01日至2012年06月30日,,-2765,-2765,,,2271,20,-3030,784,-152,,-1.0,-63,,,,,,,34,-65,19797,420,31540,31175,82901,,-2622,-13040,-2116,-1319,-81,-19178,63723,64043,61278,94,,-885,,60487,,0,0.0,,,3298.0,,-3225,493,-13.0,,,553,,,-49520,,,-51145,9895,29715,39610,39610,,,0.0,430.0,320.0,0.0,0.0,,-1625.0,0.0,0.0,0.0,61.0,
9902,2012年01月01日至2012年03月31日,,833,833,,,1108,10,-5306,445,-68,,-1.0,-60,,,,,,,347,-679,13116,582,20178,28007,61551,,-2479,-12271,-1086,-715,-65,-16616,44935,41032,41865,50,,-531,,41384,,0,,,,1795.0,,-2175,493,,1987.0,5488.0,7588,,,-39209,0.0,,-40548,8424,29715,38139,38139,,,0.0,,-3903.0,0.0,0.0,,-1339.0,,,0.0,-31.0,
