公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　 匯率變動對現金及約當現金之影響,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 取得無形資產,　　 取得持有至到期日金融資產,　　 取得投資性不動產
9918,2015年01月01日至2015年09月30日,,246221,246221,,,111241,15,-189,7746,-46227,-6090.0,-191,209,-17103.0,1670.0,51081.0,,,-67772,-10950,112100,-39494,-27576,494,9934,31,-23233,,-149725,-179,18909,1766,138792,827,-11717.0,-1327,-24560,26521,272742,44765,6090.0,-34614,288983,,0.0,78315.0,0.0,-74397,197,-175,658.0,0.0,6769.0,-1037.0,10330,,6747,-4795,-195809.0,-193857,105456,343916,449372,449372,,,,,,,,
9918,2015年01月01日至2015年06月30日,,232941,232941,,,74152,10,-70,104,-41379,0.0,-121,209,-1020.0,976.0,32861.0,,,-132487,-7874,28019,-41862,-15209,129,6149,49,-163086,,-146040,2917,36028,3420,106098,3280,-10017.0,-4314,-167400,-134539,98402,41038,0.0,-18393,121047,,0.0,30000.0,0.0,-53633,127,-14,335.0,0.0,6770.0,,-16415,,4915,-3370,,1545,106177,343916,450093,450093,,,,,,,,
9918,2015年01月01日至2015年03月31日,,126082,126082,,,37141,5,48,-6557,-4830,,-58,0,,745.0,26494.0,,,23097,4068,-45659,-40261,-6340,-345,7896,-1269,-58813,,-63264,-1887,5910,4890,29420,3094,-8234.0,-30071,-88884,-62390,63692,2609,,-262,66039,,0.0,,,-29714,61,-6,335.0,0.0,,0.0,-29324,,1578,-1556,,22,36737,343916,380653,380653,0.0,,,,,,,
9918,2014年度,,219070,219070,,,148608,12,346,7154,-19996,-6036.0,-135,1587,0.0,629.0,,,,142772,-8269,24560,-187403,-19596,-879,909,2436,-45470,,-16928,700,-11829,-242,76994,29,,32306,-13164,119005,338075,15170,6036.0,-26608,332673,,-3886.0,0.0,,-128567,140,-819,222.0,-7149.0,,0.0,-160096,,8679,-6076,-213612.0,-211009,-38432,382348,343916,343916,,,132169.0,-16418.0,-20000.0,-37.0,,
9918,2014年01月01日至2014年09月30日,,197464,197464,,,111779,8,234,10893,-14337,-5795.0,-116,915,0.0,694.0,104275.0,,,269854,-15188,73194,-266064,-12276,-415,8104,2424,59633,,-123201,3606,8576,1858,65884,990,-11301.0,-53588,6045,110320,307784,10111,5739.0,-26214,297420,,-3886.0,0.0,-20000.0,-78783,120,-804,105.0,-7137.0,0.0,-10000.0,-120385,,5920,-5218,-213612.0,-212910,-35875,382348,346473,346473,,,,,,,,
9918,2014年01月01日至2014年06月30日,,217204,217204,,,74818,5,152,1136,-9121,-39.0,-89,707,0.0,173.0,67742.0,,,64771,3107,-60166,-213063,-10328,-330,4707,2529,-208773,,-102949,273,29199,3362,32807,1612,-3908.0,-39604,-248377,-180635,36569,6368,0.0,-9976,32961,,-3886.0,0.0,-20000.0,-56572,93,-4,0.0,-7137.0,0.0,,-87506,,3431,-3679,,-248,-54793,382348,327555,327555,,,,,,,,
9918,2014年01月01日至2014年03月31日,,122064,122064,,,37544,3,158,-3969,-4516,,-44,322,,-67.0,29431.0,,,178129,3025,-126295,-106067,-707,-630,4318,2035,-46192,,-10758,5001,-776,5228,-4388,657,-2017.0,-7053,-53245,-23814,98250,2627,,-264,100613,,-3886.0,,,-27552,48,-4,0.0,-11.0,,0.0,-31405,,1297,-1738,,-441,68767,382348,451115,451115,0.0,,,,,,,
9918,2013年度,,254373,254373,,,151457,11,355,-709,-13906,-5238.0,-218,208,-19294.0,2239.0,,,,-41579,-3103,13035,-174977,-43108,-73,292,-2522,-252035,,2950,-1736,9592,-4209,203658,-731,,200600,-51435,63470,317843,10925,5238.0,-50749,283257,,0.0,90962.0,,-103863,220,-105,261.0,-7306.0,,-434.0,-20265,,9619,-9467,-213612.0,-213460,49532,332816,382348,382348,,,114905.0,-8924.0,0.0,0.0,,
9918,2013年01月01日至2013年12月31日,,254373,254373,,,151457,11,355,-709,-13906,-5238.0,-218,208,-19294.0,2239.0,,,,-41579,-3103,13035,-174977,-43108,-73,292,-2522,-252035,,2950,-1736,9592,-4209,203658,-731,,200600,-51435,63470,317843,10925,5238.0,-50749,283257,,0.0,90962.0,,-103863,220,-105,261.0,-7306.0,,-434.0,-20265,,9619,-9467,-213612.0,-213460,49532,332816,382348,382348,,,114905.0,-8924.0,,,0.0,0.0
9918,2013年01月01日至2013年09月30日,,217171,217171,,,114574,8,123,13573,-10265,-4647.0,-170,78,-19294.0,1933.0,,,,-70313,-5284,74596,-80129,-36836,-413,8238,-252,-110393,,-116264,-2541,12275,-2184,164838,94,,49469,-60924,34989,252160,6831,4647.0,-50341,213297,,0.0,90962.0,,-56569,172,-105,261.0,-7129.0,,-435.0,27157,,7076,-6774,-213612.0,-213310,27144,332816,359960,359960,,,95913.0,-6749.0,0.0,,,
