公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業負債增加（減少）,　　　　 股利收入,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 處分其他資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他籌資活動
9942,2015年01月01日至2015年09月30日,,443873,443873,,,71697,12054,2218,-5104,-11356.0,483,-5.0,-1152.0,68835.0,,,-27675,44581,15422,-103499,22502,-48669,,444,-24707,-114902,8081,-2122.0,-133206,-181875,-113040,330833,4050,315.0,-2218,-149482,183498,,62.0,-15292.0,-57241,347,4201.0,-4888,0.0,-29602.0,-491.0,-102904,,160000.0,0.0,-20774,539.0,-332645.0,-192880,20478,-91808,351516,259708,259708,,,,,,,,
9942,2015年01月01日至2015年06月30日,,281455,281455,,,47342,7609,1319,-4059,-10196.0,482,-5.0,-626.0,41866.0,,,22139,31827,5238,-98030,30831,-7995,,798,27805,-69053,0,-1652.0,-42324,-50319,-8453,273002,3659,315.0,-1319,-100259,175398,,,-13957.0,-41299,269,-1638.0,-11721,1668.0,-24890.0,,-91568,,,0.0,-6818,,0.0,-6818,-14098,62914,351516,414430,414430,-222.0,,,,,,,
9942,2015年01月01日至2015年03月31日,,130160,130160,,,23637,3206,669,-1652,-6077.0,-15,,-870.0,19213.0,,,32161,41264,4326,-60251,-18636,-1136,,1916,37778,-77728,2251,-462.0,-36245,-37381,-18168,111992,1641,,-669,-15496,97468,,,,-21242,15,-373.0,-4223,,-17046.0,,-24934,,,,-6791,,,-6791,-2693,63050,351516,414566,414566,,315.0,17935.0,,,,,
9942,2014年度,,709152,709152,,,87237,14492,1238,-5361,-12077.0,2313,,1558.0,,,,-39266,-133457,43888,-135769,-3221,-267825,,-507,-9483,54681,2219,,44653,-223172,-133772,575380,5611,4414.0,-1191,-123837,460377,,0.0,-28622.0,-109522,2268,-508.0,-6948,-37939.0,-22416.0,,-203687,,,66000.0,-26078,,-415807.0,-441749,42397,-142662,494178,351516,351516,,,,,0.0,89400.0,-2257.0,-65864.0
9942,2014年01月01日至2014年09月30日,,556905,556905,,,64283,10748,850,-3918,-12286.0,-708,0.0,1016.0,59985.0,,,-43306,-68193,63363,-68335,-4267,-120738,,1322,-1492,-28677,6694,-1681.0,-23834,-144572,-84587,472318,4528,4414.0,-850,-103201,377209,,0.0,0.0,-48264,1884,-11319.0,-5724,0.0,-34547.0,718.0,-97252,,0.0,0.0,-19973,0.0,-415807.0,-435780,9517,-146306,494178,347872,347872,,,,,,,,
9942,2014年01月01日至2014年06月30日,,379205,379205,,,43006,7108,615,-3391,-9787.0,-253,0.0,1016.0,38314.0,,,-22467,-75675,54591,-5835,-10043,-59429,,1124,-3128,-16674,0,-1119.0,-17782,-77211,-38897,340308,3290,4414.0,-615,-65324,282073,,,0.0,-36161,974,-5165.0,-5339,2286.0,-18614.0,,-62019,,,0.0,-12918,,0.0,-12918,-19575,187561,494178,681739,681739,2015.0,,,,,,,
9942,2014年01月01日至2014年03月31日,,188880,188880,,,21930,3213,326,-1456,-4429.0,-253,,272.0,19603.0,,,-24141,-30931,53169,-13450,4387,-10966,,-2121,5502,-55648,2028,-535.0,-50774,-61740,-42137,146743,1103,,-326,-22067,125453,,,,-24542,745,-26.0,-4811,,-5438.0,,-33501,,,,-6560,,,-6560,3106,88498,494178,582676,582676,,0.0,571.0,,,,,
9942,2013年度,,673602,673602,,,75840,16029,1164,-6276,-16035.0,2135,,-929.0,,,,-40663,-47131,29064,-108187,-14937,-181854,,1426,18260,54596,89559,,155751,-26103,43996,717598,5723,0.0,-1164,-112329,609828,,5118.0,0.0,-229256,926,256.0,-12296,-2235.0,-66025.0,,-303512,,,0.0,-28855,,-266116.0,-294971,-54257,-42912,537090,494178,494178,,,,,-1829.0,70099.0,-8090.0,0.0
9942,2013年01月01日至2013年12月31日,,673602,673602,,,75840,16029,1164,-6276,-16035.0,2135,,-929.0,,,,-40663,-50990,30326,-108187,-14937,-184451,,1426,18260,54596,89559,,155751,-28700,41399,715001,5723,,-1164,-112329,607231,,5118.0,,-229256,926,2853.0,-12296,-2235.0,-66025.0,,-300915,,,0.0,-28855,,-266116.0,-294971,-54257,-42912,537090,494178,494178,,,,,-1829.0,70099.0,-8090.0,
9942,2013年01月01日至2013年09月30日,,480111,480111,,,57158,12082,918,-4069,-11188.0,731,,470.0,,,,-44932,-3267,15335,-70783,-11984,-115631,,-1222,5926,28741,-6469,,19426,-96205,-40103,440008,4125,0.0,-918,-91560,351655,,0.0,,-142765,837,3136.0,-11772,9728.0,-45664.0,,-186500,,,0.0,-21341,,-266116.0,-287457,17186,-105116,537090,431974,431974,,,,,0.0,56102.0,-7550.0,
