公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 存入保證金減少,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 償還公司債,　　 存入保證金增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 取得無活絡市場之債券投資,　　 發放現金股利,　　 取得子公司股權,　　 非控制權益變動,　　　　　 預付費用（增加）減少,　　 短期借款減少,　　 存出保證金增加
9955,2015年01月01日至2015年09月30日,,-54342,-54342,,,23965,6.0,3476,-1360,-387.0,28,700.0,26428.0,,,-2078,10241,5734,151200,-654.0,-1645,43.0,162841,,-4461,3424,-6878,3332,391.0,0.0,-4192,158649,185077,130735,1360,-3476,-12258,116361,,-3198.0,-3500.0,-175470,-490,1423.0,0.0,-181235,,110000.0,-55212,-51.0,0.0,54737,2848,-7289,377325,370036,370036,,,,,,,,,,,,,,,,,
9955,2015年01月01日至2015年06月30日,,-30928,-30928,,,16177,4.0,2250,-1016,125.0,1,,17541.0,,,1313,6893,118,36476,-4190.0,3235,401.0,44246,,6685,18882,-6556,3665,259.0,,22935,67181,84722,53794,1016,-2250,-7105,45455,,-3366.0,-3500.0,-157613,84,1486.0,0.0,-162909,,110000.0,-36808,,,73141,-4754,-49067,377325,328258,328258,0.0,-51.0,,,,,,,,,,,,,,,
9955,2015年01月01日至2015年03月31日,,11457,11457,,,8135,2.0,1029,-605,0.0,0,,8561.0,,,-1344,-9917,2003,31765,-6649.0,-4450,183.0,11591,,967,-1232,-8759,2287,128.0,,-6609,4982,13543,25000,605,-1029,-7,24569,,-3465.0,,-70458,0,33.0,,-73890,,100000.0,-18404,,,81545,-2116,30108,377325,407433,407433,,-51.0,0.0,,,,,,,,,,,,,,
9955,2014年度,,50182,50182,,,32853,5.0,6545,-1253,,2941,,,,,2274,61090,1811,-71285,87.0,5937,-109.0,-195,,9957,-51049,-449,731,,,-40296,-40491,-4989,45193,1253,-6545,-484,39417,,,,-463403,1021,-6634.0,-25.0,-470188,,0.0,432596,,0.0,432622,7187,9038,368287,377325,377325,0.0,26.0,0.0,,-5589.0,0.0,0.0,35502.0,514.0,0.0,-1147.0,0.0,0.0,0.0,,,
9955,2014年01月01日至2014年09月30日,,27388,27388,,,24840,3.0,3031,-664,0.0,263,0.0,27473.0,,,1423,41257,-1974,-261810,-1327.0,2050,130.0,-220251,,18427,-31591,-3140,61984,585.0,0.0,46265,-173986,-146513,-119125,664,-3031,-423,-121915,,-9587.0,0.0,-364435,1020,10513.0,-24.0,-362513,,0.0,390359,-25.0,0.0,390334,1197,-92897,368287,275390,275390,,,,,,,,,,,,,,,,,
9955,2014年01月01日至2014年06月30日,,20068,20068,,,16608,1.0,1903,-288,0.0,-44,,18180.0,,,-1566,60026,-5217,1142,-316.0,6847,359.0,61275,,3903,-31277,-4951,-91,258.0,,-32158,29117,47297,67365,288,-1903,-21,65729,,-5903.0,0.0,-276795,161,11915.0,-24.0,-270646,,130000.0,119000,,,248975,-4151,39907,368287,408194,408194,0.0,-25.0,,,,,,,,,,,,,,,
9955,2014年01月01日至2014年03月31日,,16875,16875,,,8370,0.0,929,-55,0.0,5,,9249.0,,,-1866,58274,-456,166635,-34629.0,-220,116.0,187854,,5321,-55540,-10631,-121,128.0,,-60843,127011,136260,153135,55,-929,-1,152260,,25.0,,-175070,42,8284.0,,-166719,,0.0,0,,,-5,-761,-15225,368287,353062,353062,,-5.0,0.0,,,,,,,,,,,,,,
9955,2013年度,,-73566,-73566,,,35738,0.0,9055,-1288,,-12429,,,,,15541,92796,4453,327894,915.0,534,-316.0,441817,,-5779,-136129,-5254,-17199,,,-162363,279454,312637,239071,1288,-6134,-6289,227936,,,,-546596,42319,8314.0,0.0,-496679,,50000.0,506000,,-32734.0,235926,11521,-21296,389583,368287,368287,-256412.0,1.0,1197.0,,0.0,910.0,0.0,33183.0,1998.0,0.0,-716.0,-30955.0,0.0,26.0,,,
9955,2013年01月01日至2013年12月31日,,-73566,-73566,,,35738,0.0,9055,-1288,,-12429,,,,,15541,92796,4453,327894,,534,-316.0,441817,,-5779,-136129,-5254,-17199,,,-162363,279454,312637,239071,1288,-6134,-6289,227936,,,,-546596,42319,8314.0,,-496679,,50000.0,506000,,-32734.0,235926,11521,-21296,389583,368287,368287,-256412.0,1.0,1197.0,,0.0,910.0,0.0,33183.0,1998.0,0.0,-716.0,-30955.0,0.0,26.0,915.0,,
9955,2013年01月01日至2013年09月30日,,2727,2727,,,27152,0.0,8638,-815,0.0,-12309,,,,,13668,59104,-2878,195588,,-2538,-179.0,264654,,-912,-87542,-8306,-3617,,0.0,-98886,165768,190541,193268,815,-5717,-6290,182076,,,,-443732,42199,16573.0,0.0,-385631,,50000.0,506000,-4.0,-32734.0,266850,7908,71203,389583,460786,460786,-256412.0,0.0,1197.0,,0.0,910.0,,24773.0,1491.0,,-671.0,,,,1889.0,,
