證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　 稀釋繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 利息費用,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨成本,　　　　 銀行存款利息
1522,2015年第3季,,,              3722952,              3722952,,,              2957131,              2957131,                765821,                     46,                    403,                766178,,,                295504,,                223358,,                 98610,                617472,                148706,,,,                  1570,                  1307,                    198,                 24726,                 27801,,                     34,                              0,                211948,                              0,                  6563,                              0,                 29828,                175591,,                 26793,,                 47399,                223998,                372704,,                 62278,                310426,,                              0,                310426,,,                109858,                 -6836,,                 31017,                 19349,                114690,                114690,                425116,,                283523,                 26903,,                371150,                 53966,,                              0.91,                              0.00,                              0.91,,                              0.91,,,,,,,,,,,,,,,,,,,
1522,2015年第2季,,,              3784654,              3784654,,,              2943999,              2943999,                840655,                   -120,                    411,                841186,,,                291866,,                217357,,                 96375,                605598,                235588,,,,                  1633,                  1360,,                  9311,                 12304,,                              0,                              0,                              0,                    475,                  6388,                  1256,                              0,                -43493,,                 25998,,                 49467,                 -7720,                227868,,                 85708,                142160,,                              0,                142160,,,                -20273,                    503,,                -10622,                 -4544,                -25848,                -25848,                116312,,                112872,                 29288,,                 91191,                 25121,,                              0.36,                              0.00,                              0.36,,,                 36324,,,,,,,,,,,,,,,,,,
1522,2015年第1季,,,              3730972,              3730972,,,              2914735,              2914735,                816237,                   -916,                   -391,                816762,,,                279433,,                210529,,                 88967,                578929,                237833,,,,                    402,                  1547,,                 17770,                 19719,,                              0,                              0,                              0,                 20353,                  9426,                    314,                              0,                -76678,,                 25739,,                 55339,                -27359,                210474,,                 63003,                147471,,,                147471,,,                -75934,                  1846,,                -20209,                -14940,                -79357,                -79357,                 68114,,                129731,                 17740,,                 58634,                  9480,,                              0.42,                              0.00,                              0.42,,                              0.42,                 87291,                              0.42,,,,,,,,,,,,,,,,,
1522,2015年01月01日至2015年09月30日,,,             11238578,             11238578,,,              8815865,              8815865,              2422713,                    317,                  1730,              2424126,,,                866803,,                651244,,                283952,              1801999,                622127,,,,                  3605,                  4214,                    198,                 51807,                 59824,,                              0,                              0,                 88333,                              0,                 22377,                  1536,                  9000,                 55420,,                 78530,,                152205,                188919,                811046,,                210989,                600057,,                              0,                600057,,,                 13651,                 -4487,,                    186,                   -135,                  9485,                  9485,                609542,,                526126,                 73931,,                520975,                 88567,,                              1.69,                              0.00,                              1.69,,                              1.68,,,,,,,,,,,,,,,,,,,
1522,2015年01月01日至2015年06月30日,,,              7515626,              7515626,,,              5858734,              5858734,              1656892,                    271,                  1327,              1657948,,,                571299,,                427886,,                185342,              1184527,                473421,,,,                  2035,                  2907,,                 27081,                 32023,,                              0,                              0,                              0,                 20828,                 15814,                  1570,                              0,               -120171,,                 51737,,                104806,                -35079,                438342,,                148711,                289631,,                              0,                289631,,,                -96207,                  2349,,                -30831,                -19484,               -105205,               -105205,                184426,,                242603,                 47028,,                149825,                 34601,,                              0.78,                              0.00,                              0.78,,,                123615,,,,,,,,,,,,,,,,,,
1522,2014年第3季,,,              3434151,              3434151,,,              2719325,              2719325,                714826,                      2,                    514,                715338,,,                268180,,                204672,,                 97476,                570328,                145010,,,,                    236,                  2279,                    709,                 14793,                 18017,,                              0,                    397,                 18916,                              0,                 15306,                    204,                  3065,                    738,,                 26102,,                 33567,                 26220,                171230,,                 32316,                138914,,                              0,                138914,,,                 21580,                 -7375,,                  9753,                  4719,                 19239,                 19239,                158153,,                129767,                  9147,,                145429,                 12724,,                              0.42,                              0.00,                              0.42,,                              0.42,,,,,,,,,,,,,,,,,,,
1522,2014年第2季,,,              3389158,              3389158,,,              2822940,              2822940,                566218,                    -95,                    536,                566849,,,                267264,,                191704,,                 96813,                555781,                 11068,,,,                    933,                  2246,,                 97507,                100686,,                 75354,                  7053,                              0,                 11785,                 18408,                              0,                              0,                 17400,,                 28358,,                 52589,                142317,                153385,,                 80132,                 73253,,                              0,                 73253,,,                -41321,                -23626,,                -16303,                 -8830,                -72420,                -72420,                    833,,                 38929,                 34324,,                -27808,                 28641,,                              0.12,                              0.00,                              0.12,,,                 58384,,,,,,,,,,,,,,,,,,
1522,2014年第1季,,,              3499673,              3499673,,,              2949299,              2949299,                550374,                    489,                100285,                650170,,,                284796,,                194322,,                 89484,                568602,                 81568,,,,                    215,                  1216,,                 31686,                 33117,,                    160,                 35000,                 73988,                              0,                  6447,                              0,                  8194,                 94507,,                 28219,,                 53040,                152445,                234013,,                 36108,                197905,,,                197905,,,                 15396,                 32382,,                  9066,                  3794,                 53050,                 53050,                250955,,                154908,                 42997,,                205815,                 45140,,                              0.50,                              0.00,                              0.50,,                              0.50,                              0,                              0.50,,,,,,,,,,,,,,,,,
1522,2014年度,,,             18762443,             18762443,,,             15103174,             15103174,              3659269,                              0,                101416,              3760685,,,              1195214,,              1223512,,                609421,              3028147,                732538,,,,                 10513,                  7332,                  1884,                217180,                236909,,                 75195,                 42452,                155377,                              0,                 65435,                              0,                 14557,                193032,,                188595,,                 29952,                271298,              1003836,,                236966,                766870,,,                766870,,,,,,,,,                154738,                921608,,                512023,                254847,,                609220,                312388,,                              1.64,                              0.00,                              1.64,,                              1.64,,,                164988,                 -1331,                  4872,,                  6389,                 20180,,,,,,,,,,,
1522,2014年01月01日至2014年09月30日,,,             10322982,             10322982,,,              8491564,              8491564,              1831418,                    396,                101335,              1932357,,,                820240,,                590698,,                283773,              1694711,                237646,,,,                  1384,                  5741,                    709,                143986,                151820,,                 75310,                 42450,                 34520,                    526,                 40161,                              0,                              0,                112645,,                 82679,,                139196,                320982,                558628,,                148556,                410072,,                              0,                410072,,,                 -4345,                  1381,,                  2516,                   -317,                   -131,                   -131,                409941,,                323604,                 86468,,                323436,                 86505,,                              1.04,                              0.00,                              1.04,,                              1.04,,,,,,,,,,,,,,,,,,,
1522,2014年01月01日至2014年06月30日,,,              6888831,              6888831,,,              5772239,              5772239,              1116592,                    394,                100821,              1217019,,,                552060,,                386026,,                186297,              1124383,                 92636,,,,                  1148,                  3462,,                129193,                133803,,                 75514,                 42053,                 15604,                  3591,                 24855,                              0,                              0,                111907,,                 56577,,                105629,                294762,                387398,,                116240,                271158,,                              0,                271158,,,                -25925,                  8756,,                 -7237,                 -5036,                -19370,                -19370,                251788,,                193837,                 77321,,                178007,                 73781,,                              0.62,                              0.00,                              0.62,,,                              0,,,,,,,,,,,,,,,,,,
1522,2014年01月01日至2014年03月31日,,,              4658192,              4658192,,,              3859756,              3859756,                798436,                     18,                 99867,                898285,,,                302496,,                285811,,                118917,                707224,                191061,,,,                    788,                  1216,,                 34247,                 36251,,                   -118,                 35000,                 73935,                 -8194,                  7042,,,                 93581,,                 48907,,                 12119,                 93044,                284105,,                 47625,                236480,,,                236480,,,,,,,,,                 56850,                293330,,                154908,                 81572,,                205815,                 87515,,                              0.50,                              0.00,                              0.50,,,,,                 22976,                 32382,,,                  5286,                  3794,,,,                 48907,,,,,,,
