證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計
1604,2015年第3季,,              2190126,,              1731565,                458561,                458561,,,                310114,,                 74313,,                 35129,                419556,                 39005,,,                 18366,,                   -333,,                  3139,                  3139,,                 82392,                 97286,                136291,,                  2337,                133954,                133954,,,                 69570,                -10635,,                 33118,                 92053,                 92053,                226007,,                130452,                  3502,,                222505,                  3502,,                              0.26,,                              0.26,,,,,,,,,,,,,,,,,,,
1604,2015年01月01日至2015年09月30日,,              7659174,,              5810940,              1848234,              1848234,,,              1302167,,                243654,,                107182,              1653003,                195231,,,                 65411,,                -46868,,                 10564,                 10564,,                295727,                303706,                498937,,                 11462,                487475,                487475,,,                 36518,                 -9755,,                -20228,                  6535,                  6535,                494010,,                473061,                 14414,,                479596,                 14414,,                              0.93,,                              0.93,,,,,,,,,,,,,,,,,,,
1604,2014年第3季,,              2601467,,              2008541,                592926,                592926,,,                354863,,                 96937,,                 36474,                488274,                104652,,,                 32855,,                 -6055,,                  3107,                  3107,,                112357,                136050,                240702,,                      1,                240701,                240701,,,                 29150,                  1908,,                 34250,                 65308,                 65308,                306009,,                237315,                  3386,,                302623,                  3386,,                              0.47,,                              0.46,,,,,,,,,,,,,,,,,,,
1604,2014年01月01日至2014年09月30日,,              8088297,,              6237750,              1850547,              1850547,,,              1270640,,                267541,,                109785,              1647966,                202581,,,                 68402,,                 -9226,,                 10655,                 10655,,                351120,                399641,                602222,,                  3154,                599068,                599068,,,                 14964,                 21268,,                 24764,                 60996,                 60996,                660064,,                592678,                  6390,,                653674,                  6390,,                              1.15,,                              1.15,,,,,,,,,,,,,,,,,,,
1604,2013年07月01日至2013年09月30日,,              2546186,,              2055239,                490947,                490947,,,                400059,,                 83060,,                 42102,                525221,                -34274,,,                 45508,,                205406,,                  3854,                  3854,,                 53083,                300143,                265869,,                              0,                265869,                265869,,,,,,,,                 -5570,                260299,,                209927,                 55942,,                204357,                 55942,,                              0.39,,                              0.39,,              2311493,,                181232,,                 53461,,              1839126,,                185116,                 30997,                -14913,                 20057,,,                -10714,,,              2311493
1604,2013年04月01日至2013年06月30日,,              3238358,,              2512501,                725857,                725857,,,                509155,,                102248,,                 29987,                641390,                 84467,,,                 30601,,                 -8708,,                  6345,                  6345,,                 80035,                 95583,                180050,,                   -698,                180748,                180748,,,,,,,,                 68493,                249241,,                177909,                  2839,,                246402,                  2839,,                              0.33,,                              0.33,,              3049761,,                128766,,                 59831,,              2321250,,                151692,                 39559,                 14350,                 19865,,,                 34278,,,
1604,2013年01月01日至2013年12月31日,,             11122336,,              9044294,              2078042,              2078042,,,              1628657,,                254530,,                146078,              2029265,                 48777,,,                132502,,                159682,,                 28372,                 28372,,                272780,                536592,                585369,,                103520,                481849,                481849,,,,,,,,                231132,                712981,,                427996,                 53853,,                659205,                 53776,,                              0.80,,                              0.80,,             10242029,,                667918,,                212389,,              8007474,,                908460,                128360,                 80453,                104244,                -28155,,                 74460,                   -130,,
1604,2013年01月01日至2013年09月30日,,              8643739,,              6842403,              1801336,              1801336,,,              1400168,,                204626,,                113080,              1717874,                 83462,,,                102692,,                202729,,                 21403,                 21403,,                202953,                486971,                570433,,                   -698,                571131,                571131,,,,,,,,                166123,                737254,,                510981,                 60150,,                677104,                 60150,,                              0.95,,                              0.95,,              7961415,,                520355,,                161969,,              6180206,,                560288,                101909,                 49732,                 66759,,,                 49632,,,              7961415
1604,2013年01月01日至2013年06月30日,,              6097553,,              4787164,              1310389,              1310389,,,                921640,,                200034,,                 70979,              1192653,                117736,,,                 57184,,                 -2677,,                 17549,                 17549,,                149870,                186828,                304564,,                   -698,                305262,                305262,,,,,,,,                171693,                476955,,                301054,                  4208,,                472747,                  4208,,                              0.56,,                              0.56,,              5649922,,                339123,,                108508,,              4341080,,                375172,                 70912,                 64645,                 46702,,,                 60346,,,
1604,2013年01月01日至2013年03月31日,,              2859195,,              2274663,                584532,                584532,,,                412485,,                 97786,,                 40992,                551263,                 33269,,,                 26583,,                  6031,,                 11204,                 11204,,                 69835,                 91245,                124514,,                              0,                124514,                124514,,,,,,,,                103200,                227714,,                123145,                  1369,,                226345,                  1369,,                              0.23,,                              0.23,,              2600161,,                210357,,                 48677,,              2019830,,                223480,                 31353,                 50295,                 26837,,,                 26068,,,
