證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 財務成本,　　　 財務成本淨額
2430,2015年第3季,,              5638624,,              4754799,                883825,                883825,,,                673191,,                105523,                778714,                105111,,,                 12443,,                 23112,,                 -3575,                 31980,                137091,,                 -9759,                146850,,                              0,                146850,,,                 -1339,,                    324,                 -1015,                 -1015,                145835,,                154506,                 -7656,,                153483,                 -7648,,                              0.92,                              0.00,                              0.92,,                              0.92,                              0.00,                              0.92,,,,,,,
2430,2015年第2季,,              5773661,,              4924836,                848825,                848825,,,                643589,,                104616,                748205,                100620,,,                  6008,,                -69849,,                 -3799,                -67640,                 32980,,                 13307,                 19673,,                              0,                 19673,,,                 -4402,,                    -32,                 -4434,                 -4434,                 15239,,                 31122,                -11449,,                 26689,                -11450,,                              0.19,                              0.00,                              0.19,,                              0.19,                              0.00,                              0.19,,,,,,,
2430,2015年01月01日至2015年09月30日,,             17454276,,             14801652,              2652624,              2652624,,,              1952104,,                323563,              2275667,                376957,,,                 25517,,               -101701,,                 -9226,                -85410,                291547,,                 43060,                248487,,                 -7537,                240950,,,                -19617,,                    211,                -19406,                -19406,                221544,,                275380,                -34430,,                255969,                -34425,,                              1.64,                              0.00,                              1.64,,                              1.64,                              0.00,                              1.64,,,,,,,
2430,2015年01月01日至2015年06月30日,,             11815652,,             10046853,              1768799,              1768799,,,              1278913,,                218040,              1496953,                271846,,,                 13074,,               -124813,,                 -5651,               -117390,                154456,,                 52819,                101637,,                 -7537,                 94100,,,                -18278,,                   -113,                -18391,                -18391,                 75709,,                120874,                -26774,,                102486,                -26777,,                              0.72,                              0.00,                              0.72,,                              0.72,                              0.00,                              0.72,,,,,,,
2430,2015年01月01日至2015年03月31日,,              6041991,,              5122018,                919973,                919973,,,                635324,,                113424,                748748,                171225,,,                  7066,,                  2528,,                 -1852,                  7742,                178967,,                 49285,                129682,,                 -7537,                122145,,,                -13876,,                    -81,                -13957,                -13957,                108188,,                137470,                -15325,,                123515,                -15327,,                              0.82,                              0.00,                              0.82,,                              0.82,                              0.00,                              0.82,,,,,,,
2430,2014年第3季,,              6195074,,              5235368,                959706,                959706,,,                710247,,                125835,                836082,                123624,,,                 27442,,                 -7192,,                    126,                 20376,                144000,,                 31806,                112194,,                -43482,                 68712,,,                  1353,,                     63,                  1416,                  1416,                 70128,,                 93364,                -24652,,                 94779,                -24651,,                              0.71,                             -0.15,                              0.56,,                              0.71,                             -0.15,                              0.56,,,,,,,
2430,2014年第2季,,              5545079,,              4686158,                858921,                858921,,,                656701,,                 98730,                755431,                103490,,,                 11817,,                -11984,,                  2070,                  1903,                105393,,                 32436,                 72957,,                -51302,                 21655,,,                -14152,,                              0,                -14152,                -14152,                  7503,,                 51369,                -29714,,                 37217,                -29714,,                              0.48,                             -0.17,                              0.31,,                              0.48,                             -0.17,                              0.31,,,,,,,
2430,2014年度,,             23384140,,             19690197,              3693943,              3693943,,,              2757481,,                439811,              3197292,                496651,,,                 58851,,                -63404,,                  2207,                 -2346,                494305,,                 82023,                412282,,               -453574,                -41292,,,,,,,                 11561,                -29731,,                110642,               -151934,,                122195,               -151926,,                              2.63,                             -1.97,                              0.66,,                              2.63,                             -1.97,                              0.66,                 12290,                 -1244,,                    304,                   -211,,
2430,2014年01月01日至2014年09月30日,,             17855841,,             15049314,              2806527,              2806527,,,              2035090,,                314733,              2349823,                456704,,,                 47224,,                -20483,,                  3986,                 30727,                487431,,                109072,                378359,,               -131676,                246683,,,                  4735,,                     63,                  4798,                  4798,                251481,,                321738,                -75055,,                326535,                -75054,,                              2.37,                             -0.45,                              1.92,,                              2.37,                             -0.45,                              1.92,,,,,,,
2430,2014年01月01日至2014年06月30日,,             11660767,,              9813946,              1846821,              1846821,,,              1324843,,                188898,              1513741,                333080,,,                 19782,,                -13291,,                  3860,                 10351,                343431,,                 77266,                266165,,                -88194,                177971,,,                  3382,,                              0,                  3382,                  3382,                181353,,                228374,                -50403,,                231756,                -50403,,                              1.66,                             -0.30,                              1.36,,                              1.66,                             -0.30,                              1.36,,,,,,,
2430,2014年01月01日至2014年03月31日,,              6115688,,              5127788,                987900,                987900,,,                668142,,                 90168,                758310,                229590,,,                  7965,,                 -1307,,                  1790,                  8448,                238038,,                 44830,                193208,,                -36892,                156316,,,                 17534,,                              0,                 17534,                 17534,                173850,,                177005,                -20689,,                194539,                -20689,,                              1.18,                             -0.12,                              1.06,,                              1.17,                             -0.12,                              1.05,,,,,,,
2430,2013年第3季,,              6563757,,              5538951,              1024806,              1024806,,,                680385,,                168540,                848925,                175881,,,                 10938,,                  9628,,                -10779,                  9787,                185668,,                 38615,                147053,,,                147053,,,,,,,                -38933,                108120,,                160993,                -13940,,                122060,                -13940,,                              0.96,,                              0.96,,                              0.96,,                              0.96,                -38933,,,                              0,,,
2430,2013年第2季,,              6144750,,              5255015,                889735,                889735,,,                689381,,                 91092,                780473,                109262,,,                 14507,,                 -7427,,                 -4441,                  2639,                111901,,                 51987,                 59914,,,                 59914,,,,,,,                 -1220,                 58694,,                 63092,                 -3178,,                 61872,                 -3178,,                              0.38,,                              0.38,,                              0.38,,                              0.38,                 -1220,,,,,,
2430,2013年度,,             24662046,,             20800412,              3861634,              3861634,,,              2727503,,                365139,              3092642,                768992,,,                 61518,,                -76177,,                -15133,                -29792,                739200,,                166185,                573015,,                -99793,                473222,,,,,,,                -31314,                441908,,                520619,                -47397,,                489305,                -47397,,                              3.47,                             -0.36,                              3.11,,                              3.46,                             -0.36,                              3.10,                -40276,                 10798,,                              0,                  1836,,
2430,2013年07月01日至2013年09月30日,,              6563757,,              5538951,              1024806,              1024806,,,                680385,,                165151,                845536,                179270,,,                  7549,,                  9628,,                -10779,                  6398,                185668,,                 38615,                147053,,,                147053,,,,,,,                -38933,                108120,,                160993,                -13940,,                122060,                -13940,,                              0.96,,                              0.96,,                              0.96,,                              0.96,                -38933,,,,,,                              0
2430,2013年04月01日至2013年06月30日,,              6144750,,              5255015,                889735,                889735,,,                689381,,                 88137,                777518,                112217,,,                 11552,,                 -7427,,                 -4441,                   -316,                111901,,                 51987,                 59914,,,                 59914,,,,,,,                 -1220,                 58694,,                 63092,                 -3178,,                 61872,                 -3178,,                              0.38,,                              0.38,,                              0.38,,                              0.38,                 -1220,,,,,,
2430,2013年01月01日至2013年12月31日,,             25687311,,             21678345,              4008966,              4008966,,,              2886655,,                481948,              3368603,                640363,,,                 66754,,                -77095,,                -15133,                -25474,                614889,,                141667,                473222,,,                473222,,,,,,,                -31314,                441908,,                520619,                -47397,,                489305,                -47397,,                              3.11,,                              3.11,,                              3.10,,                              3.10,                -40276,                 10798,,,                  1836,,                              0
2430,2013年01月01日至2013年09月30日,,             19216874,,             16278933,              2937941,              2937941,,,              2058034,,                357283,              2415317,                522624,,,                 36826,,                 -2087,,                -15256,                 19483,                542107,,                130524,                411583,,,                411583,,,,,,,                -33594,                377989,,                428735,                -17152,,                395141,                -17152,,                              2.56,,                              2.56,,                              2.55,,                              2.55,                -33594,,,                              0,,,
2430,2013年01月01日至2013年06月30日,,             12653117,,             10739982,              1913135,              1913135,,,              1377649,,                188743,              1566392,                346743,,,                 25888,,                -11715,,                 -4477,                  9696,                356439,,                 91909,                264530,,,                264530,,,,,,,                  5339,                269869,,                267742,                 -3212,,                273081,                 -3212,,                              1.60,,                              1.60,,                              1.59,,                              1.59,                  5339,,,,,,
2430,2013年01月01日至2013年03月31日,,              6508367,,              5484967,              1023400,              1023400,,,                688268,,                 97651,                785919,                237481,,,                 11381,,                 -4288,,                    -36,                  7057,                244538,,                 39922,                204616,,,                204616,,,,,,,                  6559,                211175,,                204650,                    -34,,                211209,                    -34,,                              1.22,,                              1.22,,                              1.22,,                              1.22,                  6559,,,,,,
