公司代號,公司名稱,營業收入,營業成本,營業毛利,營業費用,營業利益,營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利,所得稅費用(利益),繼續營業單位稅後淨利,停業單位損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股稅後盈餘,換算匯率,換算匯率參考依據
"910069","新曄",9408988,8526118,882870,726250,156620,62493,67832,151281,36291,114990,0,0,0,114990,116166,-1176,0.13,23.52,臺灣銀行6/30平均匯率
"9103","美德醫",709739,560190,149549,132876,16673,7739,0,24412,1404,23008,0,0,0,23008,22111,897,0.05,29.88,1010629臺銀即期匯率買入賣出平均
"910322","康師傅",135456767,95147990,40308777,30075236,10233541,1108668,1119126,10223083,3745338,6477745,0,0,0,6477745,5445633,1032112,0.97,US$1:NT$29.88,台灣銀行101年6月30日即期匯率
"9104","萬宇科",7264244,6198466,1065778,541947,523831,111025,519980,114876,30646,84230,0,0,0,85114,84230,884,0.78,ZAR$1 : NT$3.699,www.oanda.com
"910482","聖馬丁",1999133,1630244,368889,475105,-106216,57483,45619,-94352,51912,-146264,-307763,0,0,-454027,-346023,-108004,-0.47,HKD＄1：NT$3.747,以101年12月31日之匯率換算
"9105","泰金寶",67885006,65562435,2322571,1707362,615209,818864,748905,685168,86299,598869,0,0,0,598869,598869,0,0.15,0.94:1(THB:NT),財報日之匯率
"910579","歐聖",224832,48282,176550,593687,-417137,6486,155755,-566406,-9024,-557382,-10639,0,0,-568021,-541966,-26055,-0.27,RMB$1:NT$4.71,我國與十六個貿易對手通貨對美元之匯率
"9106","新焦點",3119148,2231608,887540,902672,-15132,50436,58051,-22747,26200,-48947,0,0,0,-48947,-91082,42135,-0.13,RMB$1: NT$4.7242,臺銀於財務報表日即期匯率(買入賣出平均價)
"910708","恒大健",1068846,657993,410853,291219,119634,7127,1652,125109,23799,101310,0,0,0,101310,101310,0,0.12,(HKD＄1：NT$3.897),100.12.31 港幣兌新台幣匯率
"910801","金衛醫療",801605,311524,490081,368618,121463,426875,176706,371632,52491,319141,0,0,0,319141,289568,29573,0.15,HKD1：NT3.8012,民國100年9月30日之匯率
"910861","神州",142373052,132364983,10008069,7270880,2737189,1556605,701992,3591802,378128,3213674,0,0,0,3213674,2817591,396083,2.64,HKD＄1：3.8064NT$,以1010930www.oanda.com網站公佈匯率換算
"910948","融達",2283955,2182559,101396,58685,42711,207591,106287,144015,6637,137378,0,0,0,137378,137378,0,0.22,US$1:NT$29.30,臺灣銀行財務報表日之即期匯率-買賣均價
"9110","越南製造",2802013,2529594,272419,425883,-153464,132921,236,-20779,-5374,-15405,0,0,0,-15405,-15405,0,-0.03,USD$1：NT$29.9,台北外匯經紀股份有限公司
"911201","僑威",4190638,3660223,530415,256039,274376,18425,65223,227578,46980,180598,0,0,0,180598,84882,95716,0.32,3.853,民國一百零一年六月三十日臺灣銀行匯率
"911602","華豐泰國",1134959,921228,213731,102938,110793,10640,801,120632,28114,92518,0,0,0,92518,92518,0,0.15,0.94,101/06/30之匯率
"911606","超級集團",5497484,3580043,1917441,993529,923912,39760,21032,942640,79073,863567,0,0,0,863567,830912,32655,1.49,SGD$1:NT$23.5266,中央銀行於101.6.29之即期匯率
"911608","明輝環球",1430274,1081897,348377,227767,120610,6751,9291,118070,26507,91563,0,0,0,91563,117623,-26060,0.25,SGD$1:NT$23.52,臺灣銀行於財務報表日之即期匯率
"911609","揚子江",33177220,24560992,8616228,938855,7677373,4451824,1116266,11012931,2110147,8902784,0,0,0,8902784,8948525,-45741,2.34,RMB$1：NT$ 4.72,銀行期末平均匯率
"911610","聯合環境",2056522,1336243,720279,229752,490527,56858,147467,399918,58987,340931,0,0,0,340931,333899,7032,0.68,SGD$1:NT$23.92,臺灣銀行於財務報表日之即期匯率
"911611","中國泰山",1007185,1091078,-83893,32777,-116670,23168,58130,-151632,5,-151637,0,0,0,-151637,-151637,0,-0.14,RMB1:NTD4.7012,Bloomberg顯示6月30日閉市匯率
"911612","滬安電力",7382173,6727467,654706,318077,336629,44711,143290,238050,54815,183235,0,0,0,183235,183235,0,0.13,4.7328,以101/6/30www.oanda.com公佈之匯率換算
"911616","杜康控股",3761713,2331255,1430458,604154,826304,28510,20531,834283,204495,629788,0,0,0,629788,629788,0,0.57,RMB$1:NT$4.807,2011年12月底
"911619","耀傑集團",450938,349931,101007,88135,12872,3852,15761,963,3007,-2044,0,0,0,-2044,-2044,0,-1.00,SGD1:NT$23.4900,臺灣銀行於101.3.30財務報表日之即期匯率
"911622","泰聚亨",4375348,4363057,12291,175392,-163101,23209,142408,-282300,0,-282300,0,0,0,-282300,-282300,0,-0.47,THB＄1：NT$ 0.94,以101/6/30公佈匯率換算
"911626","華運中國",1813152,1310432,502720,85723,416997,5166,3869,418294,107662,310632,0,0,0,310632,310632,0,0.60,CNY $1: NT $4.701,匯率係採用各該期期末之台灣銀行匯率
"911868","同方友友",2011264,1526992,484272,487425,-3153,75309,66133,6023,2055,3968,0,0,0,3968,-686,4654,0.00,HKD$1:NT$:3.784,2012年9月末
"912000","晨訊科技",5073349,4566992,506357,794713,-288356,114165,95912,-270103,-20113,-249990,0,0,0,-249990,-230748,-19242,-0.14,HKD＄1：NT$3.853,臺灣銀行於財務報表之即期匯率
"912398","友佳國際",3682103,2936629,745474,594153,151321,60465,48333,163453,34448,129005,0,0,0,129005,129005,0,0.32,RMB  1 = NTD4.724,台灣銀行買入賣出平均價
"9136","巨騰",16627568,14357450,2270118,1103102,1167016,161668,93261,1235423,215163,1020260,0,0,0,1020260,989182,31078,0.88,HKD＄1：NT$3.853,臺灣銀行101年6月29日(六月底)即期中價匯率
"913889","大成糖",8728512,8060101,668411,876497,-208086,15657,283533,-475962,42770,-518732,0,0,0,-518732,-503113,-15619,-0.44,HKD＄1：NT$3.8556,OANDA萬達亞太公司匯率
"9151","中國旺旺",45642118,28799210,16842908,8659076,8183832,1571031,265632,9489231,2586443,6902788,0,0,0,6902788,6898694,4094,0.52,USD$1:NT$29.88,臺灣銀行於財務報表日之即期匯率
"9157","陽光能源",2282023,3003039,-721016,592356,-1313372,70613,1871803,-3114562,104290,-3218852,0,0,0,-3218852,-3102930,-115922,-1.39,RMB$1 : NT$4.7056,中央銀行 101/06/30之匯率
"9188","精熙國際",1428115,1124952,303163,272894,30269,27191,25457,32003,-5408,37411,0,0,0,37411,37411,0,0.04,USD$1:NTD$29.88,依臺灣銀行於101年6月30 日之即期匯率
