公司代號,公司名稱,營業收入,營業成本,營業毛利(毛損),營業費用,營業淨利(淨損),營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利(淨損),所得稅費用(利益),繼續營業單位淨利(淨損),停業單位損益,非常損益,會計原則變動累積影響數,合併總損益,合併淨損益,共同控制下前手權益損益,少數股權損益,基本每股盈餘
"1101","台泥",119454948,101745821,17709127,4635709,13073418,3891535,4894917,12070036,2112476,9957560,0,0,0,9957560,7734823,0,2222737,2.09
"1102","亞泥",64243538,58210115,6033423,2035672,3997205,6030724,2231373,7796556,859308,6937248,0,0,0,6937248,6235192,0,702056,1.93
"1103","嘉泥",4644003,4458764,185239,511999,-326760,723033,1002494,-606221,77963,-684184,0,0,0,-684184,-727961,0,43777,-1.13
"1104","環球水泥",4826334,4466791,359543,381946,-22403,866431,126370,717658,2724,714934,0,0,0,714934,711982,0,2952,1.18
"1108","幸福水泥",4190014,3824955,365059,312500,52559,312747,159962,205344,31163,174181,0,0,0,174181,174577,0,-396,0.43
"1109","信大水泥",3661986,3259111,402875,309960,92915,57044,58277,91682,33222,58460,0,0,0,58460,87812,0,-29352,0.21
"1110","東泥",1635019,1479982,155037,57533,97504,155926,145437,107993,38669,69324,0,0,0,69324,68673,0,651,0.12
"1201","味全公司",28572108,18157891,10414217,9247796,1166421,164975,309433,1021963,441814,580149,0,0,0,580149,755714,0,-175565,1.49
"1203","味王公司",6111653,4902272,1209381,823884,385497,62259,181205,266551,118248,148303,0,0,0,148303,100303,0,48000,0.42
"1210","大成長城",87522599,80575116,6947483,5814970,1132513,697468,468727,1361254,253969,1107285,0,0,0,1107285,734003,0,373282,1.43
"1213","大飲",725862,636567,89295,74998,14297,5331,7730,11898,460,11438,0,0,0,11438,11438,0,0,0.22
"1215","卜蜂企業",17770683,16411385,1359298,1131367,227931,281925,54810,455046,150224,304822,0,0,0,304822,308632,0,-3810,1.33
"1216","統一",427515346,300045420,127469926,108318107,19151819,10569426,7442515,22278730,3804016,18474714,0,0,0,18474714,12407340,0,6067374,2.55
"1217","愛之味",4782888,3058378,1724510,1675331,49179,234305,190330,93154,35788,57366,0,0,0,57366,51104,0,6262,0.11
"1218","泰山企業",10557020,9141585,1415435,1804852,-389398,300670,113275,-202003,6397,-208400,0,0,0,-208400,-209886,0,1486,-0.62
"1219","福壽實業",10438927,9999487,439440,527881,-88441,96284,36641,-28798,34910,-63708,0,0,0,-63708,-57704,0,-6004,-0.19
"1220","台榮",3749498,3403448,346050,196296,149754,31582,12317,169019,20482,148537,0,0,0,148537,143328,0,5209,0.81
"1225","福懋油",14868448,14293270,575178,494882,80459,46895,73722,53632,9159,44473,0,0,0,44473,39722,0,4751,0.21
"1227","佳格",20056118,12418989,7637129,5237416,2399713,395431,55803,2739341,496124,2243217,0,0,0,2243217,2238062,0,5155,3.92
"1229","聯華實業",5123865,4531035,592830,349931,242899,1481113,77697,1646315,90616,1555699,0,0,0,1555699,1576160,0,-20461,1.86
"1231","聯華食品",5299597,3776974,1522623,1108715,413908,92097,47240,458765,92270,366495,0,0,0,366495,367156,0,-661,3.00
"1232","大統益",19035621,17979698,1055923,438619,617304,41718,97818,561204,112368,448836,0,0,0,448836,443582,0,5254,2.77
"1233","天仁",2047220,827466,1219754,963066,256688,32833,5631,283890,50667,233223,0,0,0,233223,231647,0,1576,2.56
"1234","黑松",6858474,5125618,1732856,1660648,72208,8323672,156465,8239415,125891,8113524,0,0,0,8113524,8113524,0,0,15.14
"1235","興泰",319273,295686,23587,33502,-9915,47203,23176,14112,1176,12936,0,0,0,12936,14410,0,-1474,0.27
"1236","宏亞食品",2361141,1671589,689552,564582,124970,56215,11012,170173,31241,138932,0,0,0,138932,138932,0,0,1.28
"1262","F-綠悅",5577804,4098884,1478920,210114,1268806,10099,145501,1133404,179812,953592,0,0,0,953592,953592,0,0,954.00
"1301","台塑",196878954,181568110,15310844,9987784,5323060,13307301,1821043,16809318,2146798,14662520,0,0,0,14662520,14662520,0,0,2.40
"1303","南亞塑膠",300706885,271584670,29122215,16933993,12205973,8489643,15207580,5488036,1894749,3593287,0,0,0,3593287,4216030,0,-622743,0.54
"1304","台聚",55268506,49164098,6104408,3816827,2287581,1630055,643638,3273998,511291,2762707,-28713,0,0,2733994,1659794,0,1074200,1.60
"1305","華夏",14166158,12149325,2016833,1056920,959913,165789,130382,995320,55976,939344,-28713,0,0,910631,797520,0,113111,1.88
"1307","三芳化工",10508911,8065598,2443313,1438174,1005139,41858,122176,924821,218391,706430,967,0,0,707397,707397,0,0,2.00
"1308","亞聚",4790510,4295189,495321,190988,304333,445261,47229,702365,84103,618262,0,0,0,618262,618262,0,0,1.32
"1309","台達化工",18633595,17998095,635500,745057,-109557,184900,145536,-70193,-6446,-63747,0,0,0,-63747,-63747,0,0,-0.19
"1310","台苯",18696870,18762801,-65931,528207,-594138,242473,144868,-496533,-11875,-484658,0,0,0,-484658,-440427,0,-44231,-0.88
"1312","國喬石化",22762651,21264348,1498303,1164440,333863,1975550,95303,2214110,324755,1889355,0,0,0,1889355,1741391,0,147964,1.92
"1313","聯成",49537022,46673021,2864001,1649183,1214818,789046,461505,1542359,342518,1199841,0,0,0,1199841,1209272,0,-9431,1.08
"1314","中石化",38352880,37508538,844342,1414375,-570382,2848701,508263,1770056,364730,1405326,0,0,0,1405326,1418079,0,-12753,0.61
"1315","達新工業",3506393,2855631,650762,575727,75035,168086,57771,185350,31551,153799,0,0,0,153799,161714,0,-7915,0.76
"1316","上曜",1534377,1218516,315861,412314,-96453,31392,74209,-139270,-4112,-135158,0,0,0,-135158,-128678,0,-6480,-2.02
"1319","東陽",17004822,13273836,3730986,2933534,801390,553271,292213,1062448,204167,858281,0,0,0,858281,810565,0,47716,1.41
"1321","大洋",5479539,5257132,222407,388554,-166147,70328,25586,-121405,5945,-127350,0,0,0,-127350,-127350,0,0,-0.58
"1323","永裕",3057537,2326761,730776,395435,335341,25218,49947,310612,81509,229103,0,0,0,229103,186370,0,42733,2.26
"1324","地球工業",1364524,1123773,240751,189910,50841,4520,8640,46721,9146,37575,0,0,0,37575,37575,0,0,0.50
"1325","恒大",1057807,903408,154399,66395,88004,7863,2877,92990,20306,72684,0,0,0,72684,74867,0,-2183,0.74
"1326","台化",391599981,376428517,15171464,12300976,2870488,9372308,3256935,8985861,738956,8246905,0,0,0,8246905,7094256,0,1152649,1.25
"1337","F-再生",6017311,3598998,2418313,398436,2019877,44028,29588,2034317,533365,1500952,0,0,0,1500952,1500952,0,0,9.25
"1338","F-廣華",5153960,3971018,1182942,838676,344266,86559,22526,408299,91538,316761,0,0,0,316761,314236,0,2525,4.96
"1340","F-勝悅",2110515,1378971,731544,83075,648469,4721,16873,636317,105854,530463,0,0,0,530463,524774,0,5689,8.82
"1402","遠東新",240417022,192012536,48404486,32105112,16299930,4737692,3408228,17629394,2640678,14988716,0,0,0,14988716,8713177,0,6275539,1.73
"1410","南染",656616,454794,201822,80288,121534,8435,2537,127432,4350,123082,0,0,0,123082,114964,0,8118,1.28
"1413","宏洲纖維",3991844,4113811,-121967,109358,-231325,32361,19939,-218903,51614,-270517,0,0,0,-270517,-271342,0,825,-1.61
"1416","廣豐",1847258,919100,928158,240398,687760,453449,15551,1125658,21788,1103870,0,0,0,1103870,1109839,0,-5969,3.09
"1417","嘉裕",3235309,2269731,965578,961988,3590,294965,34630,263925,94439,169486,0,0,0,169486,169486,0,0,0.45
"1418","東華",2229081,2308501,-79420,179516,-258936,74498,15357,-199795,-5520,-194275,0,0,0,-194275,-194254,0,-21,-1.61
"1419","新紡",936608,671296,265312,254382,10930,196421,30091,177260,1441,175819,0,0,0,175819,175819,0,0,0.59
"1432","大魯閣",913751,823109,90642,189162,-98520,695205,17397,579288,1698,577590,0,0,0,577590,578161,0,-571,6.58
"1434","福懋興業",50289486,45624714,4664772,2496087,2168685,1205096,487314,2886467,369792,2516675,0,0,0,2516675,2409756,0,106919,1.43
"1435","中福國際",23200,3758,19442,41251,-21809,52252,29415,1028,0,1028,0,0,0,1028,1028,0,0,0.01
"1436","華友聯",5036,2268,2768,51696,-48928,136582,183539,-95885,75967,-171852,0,0,0,-171852,-171852,0,0,-0.55
"1437","勤益投控",1615864,1517748,98116,117026,-18910,128264,90408,18946,9516,9430,0,0,0,9430,11248,0,-1818,0.06
"1440","南紡",21850342,20044390,1805952,1346859,459093,394351,69900,783544,130520,653024,0,0,0,653024,668456,0,-15432,0.43
"1441","大東紡織",1593006,1540869,52137,154398,-102261,141539,34034,5244,-2804,8048,0,0,0,8048,8048,0,0,0.09
"1442","名軒",1280535,772780,507755,137104,370651,14085,41312,343424,26199,317225,0,0,0,317225,317225,0,0,1.54
"1443","立益紡織",2404306,2503306,-99000,215902,-314902,204367,197869,-308404,211,-308615,0,0,0,-308615,-308214,0,-401,-2.29
