公司代號,公司名稱,利息收入,減：利息費用,利息淨收益,利息以外淨收益,淨收益,呆帳費用,收回(提存)各項保險責任準備淨額,營業費用,繼續營業單位稅前合併淨利(淨損),所得稅(費用)利益,繼續營業單位稅後合併淨利(淨損),停業單位損益,非常損益(稅後),會計原則變動之累積影響數(稅後),合併總損益,合併總損益歸屬予_母公司股東,合併總損益歸屬予_少數股權,基本每股盈餘,稀釋每股盈餘
"2880","華南金",26341661,13145152,13196509,7151350,20347859,3539741,-305321,9756794,6746003,-931766,5814237,0,0,0,5814237,5814198,39,0.97,0.00
"2881","富邦金",29262929,12965697,16297232,74477078,90774310,2678723,-65396693,13801836,8897058,-1569020,7328038,0,0,0,7328038,7009755,318283,0.91,0.00
"2882","國泰金",58406808,10426611,47980197,17849945,65830142,965404,-45686673,26092824,-6914759,4733385,-2181374,0,0,0,-2181374,-2220182,38808,-0.23,0.00
"2883","開發金",3258424,1882700,1375724,2045284,3421008,186108,0,2650518,584382,-11282,573100,0,0,0,573100,581956,-8856,0.05,0.00
"2884","玉山金控",11824089,7229552,4594537,2689460,7283997,1316802,0,4510197,1456998,-301724,1155274,0,0,0,1155274,1155274,0,0.35,0.24
"2885","元大金",8575970,3875658,4700312,8307350,13007662,478110,0,7910637,4618915,-427999,4190916,0,760,0,4191676,4152592,39084,0.51,0.51
"2886","兆豐金",35487717,21069920,14417797,1652070,16069867,2264852,-322572,10227842,3254601,-1572295,1682306,0,0,0,1682306,1671234,11072,0.15,0.00
"2887","台新金控",37297262,20772970,16524292,12102254,28626546,8117490,0,16488787,4020269,-1482735,2537534,0,0,0,2537534,822211,1715323,0.02,0.00
"2888","新光金",26190822,3847844,22342978,21867733,44210711,620403,-46296573,13260386,-15966651,3375111,-12591540,0,0,0,-12591540,-12347254,-244286,-2.27,0.00
"2889","國票金控",1881634,1826581,55053,1731901,1786954,99485,0,1096307,591162,-177009,414153,0,58,0,414211,524080,-109869,0.24,0.00
"2890","永豐金控",27557744,18858103,8699641,908123,9607764,2945331,0,8831750,-2169317,944463,-1224854,0,0,0,-1224854,-1226837,1983,-0.18,0.00
"2891","中信金",29910928,14668972,15241956,17242528,32484484,7271627,0,15587860,9624997,-652132,8972865,0,0,-65296,8907569,8905959,1610,0.99,0.00
"2892","第一金控",24949616,12777247,12172369,10663097,22835466,1645902,-3817997,9078919,8292648,-2177635,6115013,0,0,0,6115013,6182767,-67754,1.01,0.00
