年季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,營業費用,營業利益（損失）,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,其他綜合損益（淨額）,會計原則變動累積影響數,本期綜合損益總額,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,營業外收入及支出,利息淨收益,利息以外淨收益,呆帳費用,會計原則變動之累積影響數,稀釋每股盈餘,利息收入,減：利息費用,淨收益,收回(提存)各項保險責任準備淨額,收入,費用,列計非常損益及會計原則變動累積影響數前損益,營業支出,換算匯率,換算匯率參考依據
2010/01,1101.0,台泥,22023082.0,19111593.0,2911489.0,759155.0,2152334.0,1735676.0,278039.0,1457637.0,0.0,0.0,0.0,1457637.0,924955.0,0.0,532682.0,0.28,-416658.0,,,,,,,,,,,,,,,
2010/01,1102.0,亞泥,11337187.0,10172353.0,1164834.0,448607.0,716227.0,1880657.0,135951.0,1744706.0,0.0,0.0,0.0,1744706.0,1614305.0,0.0,130401.0,0.54,1164430.0,,,,,,,,,,,,,,,
2010/01,1103.0,嘉泥,920700.0,794562.0,126138.0,139778.0,-13640.0,-42404.0,41245.0,-83649.0,0.0,0.0,0.0,-83649.0,-93002.0,0.0,9353.0,-0.16,-28764.0,,,,,,,,,,,,,,,
2010/01,1104.0,環球水泥,1360971.0,1314967.0,46004.0,148745.0,-102741.0,-107352.0,2151.0,-109503.0,0.0,0.0,0.0,-109503.0,-111315.0,0.0,1812.0,-0.18,-4611.0,,,,,,,,,,,,,,,
2010/01,1108.0,幸福水泥,824510.0,762791.0,61719.0,77053.0,-15334.0,-42422.0,-10227.0,-32195.0,0.0,0.0,0.0,-32195.0,-33371.0,0.0,1176.0,-0.08,-27088.0,,,,,,,,,,,,,,,
2010/01,1109.0,信大水泥,473825.0,403188.0,70637.0,58094.0,12543.0,15387.0,2435.0,12952.0,0.0,0.0,0.0,12952.0,9234.0,0.0,3718.0,0.02,2844.0,,,,,,,,,,,,,,,
2010/01,1110.0,東泥,341970.0,306231.0,35739.0,15919.0,19820.0,22503.0,4007.0,18496.0,0.0,0.0,0.0,18496.0,18483.0,0.0,13.0,0.03,2683.0,,,,,,,,,,,,,,,
2010/01,1201.0,味全公司,5322064.0,3385005.0,1937059.0,1718227.0,218832.0,211912.0,25648.0,186264.0,0.0,0.0,0.0,186264.0,190397.0,0.0,-4133.0,0.38,-6920.0,,,,,,,,,,,,,,,
2010/01,1203.0,味王公司,1597196.0,1225551.0,371645.0,190092.0,181553.0,137425.0,17028.0,120397.0,0.0,0.0,0.0,120397.0,42342.0,0.0,78055.0,0.19,-44128.0,,,,,,,,,,,,,,,
2010/01,1210.0,大成長城,17594808.0,16062064.0,1532744.0,1301547.0,231197.0,320032.0,52253.0,267779.0,0.0,0.0,0.0,267779.0,240699.0,0.0,27080.0,0.55,88835.0,,,,,,,,,,,,,,,
2010/01,1213.0,大飲,170133.0,145359.0,24774.0,17202.0,7572.0,6768.0,2661.0,4107.0,0.0,0.0,0.0,4107.0,4107.0,0.0,0.0,0.08,-804.0,,,,,,,,,,,,,,,
2010/01,1215.0,卜蜂企業,3662117.0,3310464.0,351653.0,246398.0,105255.0,110936.0,22963.0,87973.0,0.0,0.0,0.0,87973.0,87666.0,0.0,307.0,0.38,5681.0,,,,,,,,,,,,,,,
2010/01,1216.0,統一,80545364.0,54806609.0,25738755.0,20694852.0,5043903.0,6188044.0,1191003.0,4997041.0,0.0,0.0,0.0,4997041.0,3090867.0,0.0,1906174.0,0.79,1144141.0,,,,,,,,,,,,,,,
