年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
97/02,9102,東亞科,      4631922,         91103,      1521256,         92484,        318025,      6654790,      4367214,         39681,         56034,      4462929,      2174884,              0,       -197534,         88919,              0,        125592,      2191861,22.28,資產負債表日台銀新加坡收盤價買賣平均匯率,毋須經會計師查核或核閱
97/02,9103,美德醫,      1939229,              0,        890980,         30810,        252098,      3113117,      1178745,        438812,         19427,      1636984,        660070,        143792,        559928,         44409,              0,         67934,      1476133,US$1:NT$30.355,以97年6月30日台灣銀行之匯率換算,毋須經會計師查核或核閱
97/02,9104,萬宇科,      6280486,        138279,        578652,        197776,        267180,      7462373,      3399804,      1494717,            814,      4895335,          4256,        568581,      1893667,         38501,              0,         62033,      2567038,4.8144,OANDA萬達亞太私人有限公司提供之匯率報價,毋須經會計師查核或核閱
97/02,910482,聖馬丁,      2864663,         76345,        794543,        486648,         16502,      4238701,      1977579,        109454,         11498,      2098531,        216620,        369929,      1354149,        153726,              0,         45746,      2140170,HKD$1:NT$3.891,上市時臺灣會計師覆核的財務資料,經會計師查核
97/02,9105,泰金寶,     37541303,         61154,      7004334,        553415,        837151,     45997357,     32129046,              0,              0,     32129046,      3606326,      2859574,      7640133,       -237722,              0,              0,     13868311,0.92:1(THB:NT),財報日之匯率,經會計師核閱
97/02,910579,歐聖,      2155953,              0,      1251537,         48793,              0,      3456283,        239021,              0,              0,        239021,      2330588,        296983,        604726,        -15035,              0,              0,      3217262,RMB$1: NT$4.43,我國與16個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
97/02,910801,金衛醫療,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,0,0,毋須經會計師查核或核閱
97/02,9110,越南製造,      6366843,         26060,      1224196,          7844,        108761,      7733704,      2154316,              0,          1744,      2156060,         35298,              0,      5542346,              0,              0,              0,      5577644,USD$1：NT$30.354,依財務報表日之匯率換算,經會計師核閱
97/02,911201,僑威,      3908930,         36980,      2182859,         10486,         75470,      6214725,      2921460,        425325,        123893,      3470678,        101730,        747964,        728395,        180274,              0,        985684,      2744047,HKD＄1：NT$3.891,台灣銀行,毋須經會計師查核或核閱
97/02,911606,超級集團,      3629264,      1296985,      2365283,         85676,          7738,      7384946,      1446951,        502662,              0,      1949613,      3178115,          9723,      2188914,       -151194,              0,        209775,      5435333,SGD$1:NT$22.2999,97.6.30，www.oanda.com網站公佈之匯率換算,毋須經會計師查核或核閱
97/02,911609,揚子江,     71122367,        647431,      6938358,     14496432,         51515,     93256103,     61429780,              0,          8567,     61438347,     23842936,              0,      7613090,        713452,       -359456,          7734,     31817756,RMB$1：NT$ 4.81,我國與十六個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
97/02,911610,聯合環境,      1301122,         44629,         34915,         56868,      1198767,      2636301,        331361,        449898,         17626,        798885,      1263119,              0,        554191,         20106,              0,              0,      1837416,SGD$1:NT$22.54,依臺灣銀行97.9.30即期匯率,毋須經會計師查核或核閱
97/02,9136,巨騰,     16572571,        712077,      7648970,        111640,          3206,     25048464,     14872359,         77816,              0,     14950175,        389100,      4338628,      3622552,      1378372,              0,        369637,     10098289,HKD＄1：NT$3.891,台灣銀行,毋須經會計師查核或核閱
