年季,公司代號,公司名稱,資產,現金及約當現金,存放央行及拆借銀行同業,公平價值變動列入損益之金融資產-淨額,附賣回票券及債券投資,應收款項-淨額,待出售資產,貼現及放款-淨額,備供出售金融資產-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,其他金融資產-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他資產-淨額,資產總計,負債,央行及金融同業存款,央行及同業融資,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付商業本票-淨額,應付款項,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,應付退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股東權益,股本,資本公積,保留盈餘,股東權益其他項目,母公司股東權益合計,少數股權,股東權益總計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,預收股款(股東權益項下)之約當發行股數(單位:股),每股淨值(元)
97/04,2880,華南金,,     32179189,    121304504,     43892275,      7350430,     35152731,              0,  1122676237,    101475140,    187493639,         87545,     10183391,        595884,     26586679,        592225,     20583302,  1710153171,,     51736738,              0,     48063588,     36779523,        414570,     47587265,              0,  1382462269,     34500000,      1825000,              0,      1383012,      7912359,        749916,      6990916,  1620405156,,     60896128,     12408866,     18594234,     -2152563,     89746665,          1350,     89748015,              0,              0,             14.74
97/04,2881,富邦金,,     75636607,    253854546,     67379353,      9270303,     88270466,              0,    917714668,    287006135,     12299861,      1818578,    234910846,     16486651,     22163170,      1651171,     18258120,  2006720475,,     65196619,              0,     45710893,     25641780,      4000000,     46404827,              0,  1151574376,     75369854,      5640000,              0,              0,    363862280,     64467604,     10577770,  1858446003,,     77190935,     49091476,     35811601,    -18378895,    143715117,      4559355,    148274472,              0,              0,             18.62
97/04,2882,國泰金,,    400986802,     47621198,    126813079,     11748246,     84805400,              0,  1362904646,    483418435,    653052341,      2616092,    360037102,    109643616,     40479156,      7790572,     54352648,  3746269333,,     62866360,      1643000,     73030548,     20712416,              0,     35033195,              0,  1090441845,     38865978,              0,              0,              0,  2076810004,    193940126,      7426906,  3600770378,,     97375372,     81971213,     19380812,    -56373904,    142353493,      3145462,    145498955,     66659815,              0,             14.72
97/04,2883,開發金,,     13595022,     21550305,     32274773,      3116003,     12308301,              0,     78783537,     43989740,              0,     12515673,     51156637,              0,      4449835,              0,     16217415,    289957241,,      7214988,              0,     27972075,     26614375,      3341974,     11555266,              0,     18813158,     51708902,      9257005,              0,              0,              0,     17329993,      1916361,    175724097,,    112309170,      9120126,       -477075,     -7317095,    113635126,        598018,    114233144,    557320000,              0,             10.65
97/04,2884,玉山金控,,     11573928,     88970396,     74377362,        353252,     32607482,              0,    532944978,     42884680,     14241499,              0,      9194423,              0,     13283041,      4039733,      4996188,    829466962,,     21168220,              0,     31443604,     23161468,              0,     10261151,              0,    658990601,     32800000,              0,              0,              0,              0,      2369094,        530623,    780724761,,     35443511,     10407577,      3881743,       -990630,     48742201,              0,     48742201,     42000000,              0,             13.92
97/04,2885,元大金,,     16457094,     35999826,     95616294,     16075318,     40961300,         40819,    232873593,     22521541,      6061721,      5996309,      7098108,              0,      7666553,      8266121,     23993558,    519628155,,     11865082,              0,      4542348,     36396684,      2876978,     26145584,              0,    289242436,     22300000,      3506500,              0,        925974,        770160,      1684921,     11269070,    411525737,,     81021057,     25634097,      2364647,     -1147255,    107872546,        229872,    108102418,     28000000,              0,             13.36
97/04,2886,兆豐金,,    271765325,    103187216,    198444433,      1729297,    120773646,              0,  1321437849,    232069590,     96097583,      2545633,     26611797,        518814,     24902825,         67982,      9460830,  2409612820,,    396503184,     53185187,     51434065,    248491993,      1656547,     72689909,              0,  1316769564,     54349347,      4435062,              0,      1639846,     13322952,      6026328,     11074453,  2231578437,,    110594262,     43426403,     20349144,      3108674,    177478483,        555900,    178034383,              0,              0,             16.05
97/04,2887,台新金控,,     40473339,    217194440,     86699629,      6464695,    104909292,              0,  1491834854,     70363526,    182357996,        957539,     34401848,              0,     44032067,     20757601,     51971727,  2352418553,,    183388667,              0,     39757245,     60543383,        499710,     56179116,              0,  1731784195,    112404780,              0,              0,              0,      1272793,        671038,     18726102,  2205227029,,     69880779,     19071634,     -3838131,       -546608,     84567674,     62623850,    147191524,              0,              0,             12.10
97/04,2888,新光金,,     87378035,     46159280,     93980159,     41932170,     43595627,              0,    471295366,    363925482,      9848572,      1430930,    439414452,     80317594,     19638275,      2335046,     38922314,  1740173302,,      3727779,              0,     25373852,     32522665,              0,     14370357,              0,    327636749,     28797829,      3655328,      1654000,              0,  1136774656,     91857377,     17608273,  1683978865,,     62541866,     20674538,    -15062643,    -23680293,     44473468,     11720969,     56194437,     38680000,              0,              7.16
97/04,2889,國票金控,,      3747155,        340020,     81614701,      3097472,      8219963,              0,              0,     71179830,              0,      1392171,      5717789,              0,      2318540,              0,      2954470,    180582111,,      8566000,              0,        710024,    139834734,      1537658,      1427015,              0,              0,              0,              0,              0,        137444,      2358600,      1041931,         13021,    155626427,,     21947143,              0,       -538564,        -25962,     21382617,      3573067,     24955684,    100000000,              0,             10.21
97/04,2890,永豐金控,,     18201069,    100342513,     49820241,      4348601,     59028848,              0,    677154103,     32300183,    117684986,         54562,     22228803,              0,     11767948,      2389533,     14295911,  1109617301,,     41827280,              0,     20410052,     14453287,      6711021,     32366246,              0,    838635961,     36363382,     12845311,              0,              0,              0,     20110683,      4206065,  1027929288,,     69880178,      1727983,      9963140,         74875,     81646176,         41837,     81688013,              0,              0,             11.68
97/04,2891,中信金,,     42688206,     96863876,    173929769,              0,    115706824,              0,    921675255,    122702320,    171565663,      2229079,     22901197,              0,     33493548,     11964807,     11545363,  1727265907,,     17070983,     13830249,     93361955,     73433455,              0,     47959099,              0,  1226170702,    110575565,              0,              0,              0,              0,      1249852,      3347276,  1586999136,,     98486544,     38903887,     20668153,    -17867418,    140191166,         75605,    140266771,    168000000,              0,             14.48
97/04,2892,第一金控,,     27786949,    155603264,     58448875,      6130334,     44911685,              0,  1160544079,     61065319,    229985592,      3573642,     13546239,              0,     24068802,        539655,     13909244,  1800113679,,    117270987,         45067,     75438158,     18531762,              0,     62661289,              0,  1383600013,     19900000,              0,              0,      1766216,     11728255,      1199998,      7874781,  1700016526,,     61647354,      9943476,     20677166,      7179207,     99447203,        649950,    100097153,              0,              0,             16.13
